,hpso01 (Ingest) [Bmax=16250],hpso01 (RCAL) [Bmax=16250],hpso01 (FastImg) [Bmax=16250],hpso01 (ICAL) [Bmax=16250],hpso01 (DPrepA) [Bmax=16250],hpso01 (DPrepB) [Bmax=16250],hpso01 (DPrepC) [Bmax=16250],hpso01 (DPrepD) [Bmax=16250],hpso02a (Ingest) [Bmax=16250],hpso02a (RCAL) [Bmax=16250],hpso02a (FastImg) [Bmax=16250],hpso02a (ICAL) [Bmax=16250],hpso02a (DPrepA) [Bmax=16250],hpso02a (DPrepB) [Bmax=16250],hpso02a (DPrepC) [Bmax=16250],hpso02a (DPrepD) [Bmax=16250],hpso02b (Ingest) [Bmax=16250],hpso02b (RCAL) [Bmax=16250],hpso02b (FastImg) [Bmax=16250],hpso02b (ICAL) [Bmax=16250],hpso02b (DPrepA) [Bmax=16250],hpso02b (DPrepB) [Bmax=16250],hpso02b (DPrepC) [Bmax=16250],hpso02b (DPrepD) [Bmax=16250],hpso04a (Ingest) [Bmax=16250],hpso04a (RCAL) [Bmax=16250],hpso04a (FastImg) [Bmax=16250],hpso04a (PSS) [Bmax=16250],hpso04b (Ingest) [Bmax=16250],hpso04b (RCAL) [Bmax=16250],hpso04b (FastImg) [Bmax=16250],hpso04b (PSS) [Bmax=16250],hpso04c (Ingest) [Bmax=16250],hpso04c (RCAL) [Bmax=16250],hpso04c (FastImg) [Bmax=16250],hpso04c (PSS) [Bmax=16250],hpso05a (Ingest) [Bmax=16250],hpso05a (RCAL) [Bmax=16250],hpso05a (FastImg) [Bmax=16250],hpso05a (PST) [Bmax=16250],hpso05b (Ingest) [Bmax=16250],hpso05b (RCAL) [Bmax=16250],hpso05b (FastImg) [Bmax=16250],hpso05b (PST) [Bmax=16250],hpso13 (Ingest) [Bmax=16250],hpso13 (RCAL) [Bmax=16250],hpso13 (FastImg) [Bmax=16250],hpso13 (ICAL) [Bmax=16250],hpso13 (DPrepA) [Bmax=16250],hpso13 (DPrepB) [Bmax=16250],hpso13 (DPrepC) [Bmax=16250],hpso14 (Ingest) [Bmax=16250],hpso14 (RCAL) [Bmax=16250],hpso14 (FastImg) [Bmax=16250],hpso14 (ICAL) [Bmax=16250],hpso14 (DPrepA) [Bmax=16250],hpso14 (DPrepB) [Bmax=16250],hpso14 (DPrepC) [Bmax=16250],hpso15 (Ingest) [Bmax=16250],hpso15 (RCAL) [Bmax=16250],hpso15 (FastImg) [Bmax=16250],hpso15 (ICAL) [Bmax=16250],hpso15 (DPrepA) [Bmax=16250],hpso15 (DPrepB) [Bmax=16250],hpso15 (DPrepC) [Bmax=16250],hpso18 (Ingest) [Bmax=16250],hpso18 (RCAL) [Bmax=16250],hpso18 (FastImg) [Bmax=16250],hpso18 (SinglePulse) [Bmax=16250],hpso22 (Ingest) [Bmax=16250],hpso22 (RCAL) [Bmax=16250],hpso22 (FastImg) [Bmax=16250],hpso22 (ICAL) [Bmax=16250],hpso22 (DPrepA) [Bmax=16250],hpso22 (DPrepB) [Bmax=16250],hpso27and33 (Ingest) [Bmax=16250],hpso27and33 (RCAL) [Bmax=16250],hpso27and33 (FastImg) [Bmax=16250],hpso27and33 (ICAL) [Bmax=16250],hpso27and33 (DPrepA) [Bmax=16250],hpso27and33 (DPrepB) [Bmax=16250],hpso32 (Ingest) [Bmax=16250],hpso32 (RCAL) [Bmax=16250],hpso32 (FastImg) [Bmax=16250],hpso32 (ICAL) [Bmax=16250],hpso32 (DPrepB) [Bmax=16250],hpso37a (Ingest) [Bmax=16250],hpso37a (RCAL) [Bmax=16250],hpso37a (FastImg) [Bmax=16250],hpso37a (ICAL) [Bmax=16250],hpso37a (DPrepA) [Bmax=16250],hpso37a (DPrepB) [Bmax=16250],hpso37b (Ingest) [Bmax=16250],hpso37b (RCAL) [Bmax=16250],hpso37b (FastImg) [Bmax=16250],hpso37b (ICAL) [Bmax=16250],hpso37b (DPrepA) [Bmax=16250],hpso37b (DPrepB) [Bmax=16250],hpso37c (Ingest) [Bmax=16250],hpso37c (RCAL) [Bmax=16250],hpso37c (FastImg) [Bmax=16250],hpso37c (ICAL) [Bmax=16250],hpso37c (DPrepA) [Bmax=16250],hpso37c (DPrepB) [Bmax=16250],hpso38a (Ingest) [Bmax=16250],hpso38a (RCAL) [Bmax=16250],hpso38a (FastImg) [Bmax=16250],hpso38a (ICAL) [Bmax=16250],hpso38a (DPrepA) [Bmax=16250],hpso38a (DPrepB) [Bmax=16250],hpso38b (Ingest) [Bmax=16250],hpso38b (RCAL) [Bmax=16250],hpso38b (FastImg) [Bmax=16250],hpso38b (ICAL) [Bmax=16250],hpso38b (DPrepA) [Bmax=16250],hpso38b (DPrepB) [Bmax=16250],max_low (Ingest) [Bmax=16250],max_low (RCAL) [Bmax=16250],max_low (FastImg) [Bmax=16250],max_low (ICAL) [Bmax=16250],max_low (DPrepA) [Bmax=16250],max_low (DPrepA_Image) [Bmax=16250],max_low (DPrepB) [Bmax=16250],max_low (DPrepC) [Bmax=16250],max_low (DPrepD) [Bmax=16250],max_mid_band1 (Ingest) [Bmax=16250],max_mid_band1 (RCAL) [Bmax=16250],max_mid_band1 (FastImg) [Bmax=16250],max_mid_band1 (ICAL) [Bmax=16250],max_mid_band1 (DPrepA) [Bmax=16250],max_mid_band1 (DPrepA_Image) [Bmax=16250],max_mid_band1 (DPrepB) [Bmax=16250],max_mid_band1 (DPrepC) [Bmax=16250],max_mid_band1 (DPrepD) [Bmax=16250],max_mid_band2 (Ingest) [Bmax=16250],max_mid_band2 (RCAL) [Bmax=16250],max_mid_band2 (FastImg) [Bmax=16250],max_mid_band2 (ICAL) [Bmax=16250],max_mid_band2 (DPrepA) [Bmax=16250],max_mid_band2 (DPrepA_Image) [Bmax=16250],max_mid_band2 (DPrepB) [Bmax=16250],max_mid_band2 (DPrepC) [Bmax=16250],max_mid_band2 (DPrepD) [Bmax=16250],max_mid_band5a_1 (Ingest) [Bmax=16250],max_mid_band5a_1 (RCAL) [Bmax=16250],max_mid_band5a_1 (FastImg) [Bmax=16250],max_mid_band5a_1 (ICAL) [Bmax=16250],max_mid_band5a_1 (DPrepA) [Bmax=16250],max_mid_band5a_1 (DPrepA_Image) [Bmax=16250],max_mid_band5a_1 (DPrepB) [Bmax=16250],max_mid_band5a_1 (DPrepC) [Bmax=16250],max_mid_band5a_1 (DPrepD) [Bmax=16250],max_mid_band5a_2 (Ingest) [Bmax=16250],max_mid_band5a_2 (RCAL) [Bmax=16250],max_mid_band5a_2 (FastImg) [Bmax=16250],max_mid_band5a_2 (ICAL) [Bmax=16250],max_mid_band5a_2 (DPrepA) [Bmax=16250],max_mid_band5a_2 (DPrepA_Image) [Bmax=16250],max_mid_band5a_2 (DPrepB) [Bmax=16250],max_mid_band5a_2 (DPrepC) [Bmax=16250],max_mid_band5a_2 (DPrepD) [Bmax=16250],max_mid_band5b_1 (Ingest) [Bmax=16250],max_mid_band5b_1 (RCAL) [Bmax=16250],max_mid_band5b_1 (FastImg) [Bmax=16250],max_mid_band5b_1 (ICAL) [Bmax=16250],max_mid_band5b_1 (DPrepA) [Bmax=16250],max_mid_band5b_1 (DPrepA_Image) [Bmax=16250],max_mid_band5b_1 (DPrepB) [Bmax=16250],max_mid_band5b_1 (DPrepC) [Bmax=16250],max_mid_band5b_1 (DPrepD) [Bmax=16250],max_mid_band5b_2 (Ingest) [Bmax=16250],max_mid_band5b_2 (RCAL) [Bmax=16250],max_mid_band5b_2 (FastImg) [Bmax=16250],max_mid_band5b_2 (ICAL) [Bmax=16250],max_mid_band5b_2 (DPrepA) [Bmax=16250],max_mid_band5b_2 (DPrepA_Image) [Bmax=16250],max_mid_band5b_2 (DPrepB) [Bmax=16250],max_mid_band5b_2 (DPrepC) [Bmax=16250],max_mid_band5b_2 (DPrepD) [Bmax=16250]
Frequencies backward kernels3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.78806839296345,100.45227604903718,,,47.003300454481014,56.71990443660011,,,,,,,165.97877501445265,162.66762243126047,,,41.35028552091408,48.76557171856912,41.35028535148445,43.663877192626906,45.18982430807372,86.02499585395599,,48.79478386503402,58.85009644057714,58.41813469269005,50.895289036310494,54.24744015145846,41.85667049423929,,41.23071554415368,48.062223416980004,40.45560979823037,41.71153624167464,44.17723292659559,40.0,,82.78806839296345,100.45227604903718,,,93.86024326788285,106.61082256869464,93.8602435864004,85.91836747396826,90.4943719109433,,147.8754669024082,140.01517284722422,117.43117312758886,116.62624875617385,127.66708966160614,,313.15295486695294,292.83604652987657,245.11342299257518,268.16215346045425,,147.8754669024082,140.01517284722422,129.4451734300867,116.62624875161282,127.66709152169157,,147.8754669024082,140.01517284722422,147.87546689724758,116.62624875161282,127.66709076206547,,147.8754669024082,140.01517284722422,147.87546689724758,116.62624875161282,127.66709076206547,,105.08274676208534,118.84694181524704,98.50679192005222,95.51388780295696,102.86379115111605,,105.08274676208534,118.84694181524704,105.0827449284852,95.51388780295696,102.86379115111605,,,,,,,,,,,313.15295486695294,292.83604652987657,313.1529548627065,243.30090650790535,245.11341891093483,262.56005847946614,603.7888227702426,,,165.97877501445265,162.66762243126047,165.97878302159626,134.08588009856,134.8744900515347,142.7095717438028,381.3052919575905,,,104.31897824533779,114.14759834058799,104.3189782440959,91.3844685427454,93.57263106209062,100.70193649436494,195.21889120937453,,,82.9336937343801,91.58963573102685,82.93369214141666,74.22499283407306,75.34305446320248,80.16577482425684,147.82565944520468,,,63.7838679157973,69.22969645259715,63.783867404398286,57.11105787047497,57.9616568541514,59.43090839666146,108.19779290581141,,,46.51436294980872,46.572892126000085,46.51436204338353,40.0,40.0,40.0,69.09207452232738,
Frequencies backward kernels4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.78806839296345,100.63829842233969,,,47.003300454481014,56.765668488169055,,,,,,,165.97877501445265,162.82115699670143,,,41.35028552091408,48.84155303952413,41.35028535148445,43.663877192626906,45.18982430807372,86.02499585395599,,48.79478386503402,58.900898305458654,58.41813469269005,50.895289036310494,54.24744015145846,41.85667049423929,,41.23071554415368,48.09782583917507,40.45560979823037,41.71153624167464,44.17723292659559,40.0,,82.78806839296345,100.63829842233969,,,93.86024326788285,106.61545970590534,93.8602435864004,85.91836747396826,91.48358785743413,,147.8754669024082,140.15533705761575,117.43117312758886,116.62624875617385,127.66708966160614,,313.15295486695294,293.9195372147595,245.11342299257518,268.16215346045425,,147.8754669024082,140.15533705761575,129.4451734300867,116.62624875161282,127.66709152169157,,147.8754669024082,140.15533705761575,147.87546689724758,116.62624875161282,127.66709076206547,,147.8754669024082,140.15533705761575,147.87546689724758,116.62624875161282,127.66709076206547,,105.08274676208534,118.85330449005083,98.50679192005222,95.51388780295696,104.19469077179659,,105.08274676208534,118.85330449005083,105.0827449284852,95.51388780295696,104.19469077179659,,,,,,,,,,,313.15295486695294,293.9195372147595,313.1529548627065,243.30090650790535,245.11341891093483,262.56005847946614,603.7888227702426,,,165.97877501445265,162.82115699670143,165.97878302159626,134.08588009856,134.8744900515347,142.7095717438028,381.3052919575905,,,104.31897824533779,114.15903686498527,104.3189782440959,91.3844685427454,93.57263106209062,100.70193649436494,199.2326679516725,,,82.9336937343801,91.59572077784628,82.93369214141666,74.22499283407306,75.34305446320248,80.16577482425684,150.08968414539962,,,63.7838679157973,69.23310728442048,63.783867404398286,57.11105787047497,57.9616568541514,60.150286012334654,109.50877349146921,,,46.51436294980872,46.57399423545268,46.51436204338353,40.0,40.0,40.0,69.53842035929664,
Frequencies backward grid0,32768.0,1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1500.0,(undefined),32768.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),32768.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1009.991056768289,727.1815092638062,(undefined),65536.0,538.9106732469052,1076.7866629898808,(undefined),65536.0,309.37600068624107,618.1593835281677,(undefined),65536.0,1009.991056768289,727.1815092638062,(undefined),65536.0,3676.4326341146634,1763.4641473468378,(undefined),40000.0,261.21149632239513,521.9212344698552,261.21149632239513,403.0540788670101,403.0540788670101,3200.0,65536.0,322.2189921177397,643.8212132715598,894.8544371933378,497.1909356825173,497.1909356825173,5000.0,65536.0,257.9547512531722,515.4139043846659,286.6062635725801,398.02881001253394,398.02881001253394,2500.0,65536.0,538.9106732469052,1076.7866629898808,(undefined),65536.0,2414.1426668997783,1157.9852009911804,2414.1426668997783,894.2545468709208,1000.0,65536.0,3259.7786040836563,1563.6046875955976,1207.4924417886202,1207.4924417886202,1207.4924417886202,65536.0,6780.628502141226,3252.4350388181706,2511.6897145573553,2511.6897145573553,65536.0,3259.7786040836563,1563.6046875955976,2173.274168099727,1207.4924417886202,1207.4924417886202,65536.0,3259.7786040836563,1563.6046875955976,3259.7786040836563,1207.4924417886202,1207.4924417886202,65536.0,3259.7786040836563,1563.6046875955976,3259.7786040836563,1207.4924417886202,1207.4924417886202,65536.0,2722.601066020032,1305.9412211328704,1815.142702990266,1008.5130422414231,1008.5130422414231,65536.0,2722.601066020032,1305.9412211328704,2722.601066020032,1008.5130422414231,1008.5130422414231,65536.0,2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,65536.0,(undefined),65536.0,6780.628502141226,3252.4350388181706,6780.628502141226,2511.6897145573553,2511.6897145573553,2511.6897145573553,65536.0,(undefined),65536.0,3676.4326341146634,1763.4641473468378,3676.4326341146634,1361.8358133158226,1361.8358133158226,1361.8358133158226,65536.0,(undefined),65536.0,2602.7936212227987,1248.474078168412,2602.7936212227987,964.1342651844309,964.1342651844309,964.1342651844309,65536.0,(undefined),65536.0,2044.4001055965148,980.6330847493856,2044.4001055965148,757.2948648839946,757.2948648839946,757.2948648839946,65536.0,(undefined),65536.0,1615.8229026477838,775.0552407156821,1615.8229026477838,598.5358063662928,598.5358063662928,598.5358063662928,65536.0,(undefined),65536.0,1041.285283166391,499.4710456886,1041.285283166391,385.7169764969673,385.7169764969673,500.0,65536.0,(undefined)
Frequencies backward grid1,32768.0,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,32768.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,32768.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,2019.558553451659,1453.9394929925988,,65536.0,808.2711560208619,1615.0851313661387,,65536.0,464.0102335702701,927.1853026460273,,65536.0,2019.558553451659,1453.9394929925988,,65536.0,5514.494806570386,2645.042084215139,,40000.0,391.7711462657152,782.8357489705423,391.7711462657152,604.5350169007022,604.5350169007022,3200.0,65536.0,483.27271301923463,965.6760393897778,1342.225873765601,745.7306245903046,745.7306245903046,5000.0,65536.0,386.88655543856316,773.0752806665877,429.86382302328974,596.9976404288616,596.9976404288616,2500.0,65536.0,808.2711560208619,1615.0851313661387,,65536.0,3621.1126387992745,1736.8764450679282,3621.1126387992745,1341.280466795748,1341.280466795748,65536.0,4889.535255060916,2345.274386834516,1811.1060218133737,1811.1060218133737,1811.1060218133737,65536.0,10170.668112507454,4878.377930924128,3767.259952131288,3767.259952131288,65536.0,4889.535255060916,2345.274386834516,3259.7786040836563,1811.1060218133737,1811.1060218133737,65536.0,4889.535255060916,2345.274386834516,4889.535255060916,1811.1060218133737,1811.1060218133737,65536.0,4889.535255060916,2345.274386834516,4889.535255060916,1811.1060218133737,1811.1060218133737,65536.0,4083.788607959765,1958.798846281178,2722.601066020032,1512.656581147074,1512.656581147074,65536.0,4083.788607959765,1958.798846281178,4083.788607959765,1512.656581147074,1512.656581147074,65536.0,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,65536.0,,65536.0,10170.668112507454,4878.377930924128,10170.668112507454,3767.259952131288,3767.259952131288,3767.259952131288,65536.0,,65536.0,5514.494806570386,2645.042084215139,5514.494806570386,2042.59958758406,2042.59958758406,2042.59958758406,65536.0,,65536.0,3904.0819272403155,1872.6026181108641,3904.0819272403155,1446.0929017246065,1446.0929017246065,1446.0929017246065,65536.0,,65536.0,3066.5130858400435,1470.8625590408603,3066.5130858400435,1135.855231776643,1135.855231776643,1135.855231776643,65536.0,,65536.0,2423.66853429443,1162.5170446296113,2423.66853429443,897.7378949369104,897.7378949369104,897.7378949369104,65536.0,,65536.0,1561.8836417927025,749.1622878457075,1561.8836417927025,578.531185344861,578.531185344861,578.531185344861,65536.0,
Frequencies backward grid2,32768.0,6590.78122076136,4744.703814848597,6590.78122076136,2441.466451169051,2441.466451169051,4744.703814848597,,32768.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,32768.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,65536.0,4038.693502406632,2907.4553987723175,,65536.0,1077.6316350842394,2153.3835978862576,,65536.0,618.6444643776531,1236.2112207240377,,65536.0,4038.693502406632,2907.4553987723175,,65536.0,7352.556977594775,3526.6200180912742,,40000.0,522.3307944011752,1043.750262565609,522.3307944011752,806.0159537629055,806.0159537629055,3200.0,65536.0,644.3264317751682,1287.5308644346665,1789.5973095663412,994.2703121075014,994.2703121075014,5000.0,65536.0,515.818357835032,1030.736656052458,573.1213808637368,795.9664696855765,795.9664696855765,2500.0,65536.0,1077.6316350842394,2153.3835978862576,,65536.0,4828.082609751441,2315.7676871743406,4828.082609751441,1788.3063841681017,1788.3063841681017,65536.0,6519.291904838624,3126.9440835744203,2414.7195985996987,2414.7195985996987,2414.7195985996987,65536.0,13560.707720387763,6504.3208178727855,5022.83018303477,5022.83018303477,65536.0,6519.291904838624,3126.9440835744203,4346.283038268417,2414.7195985996987,2414.7195985996987,65536.0,6519.291904838624,3126.9440835744203,6519.291904838624,2414.7195985996987,2414.7195985996987,65536.0,6519.291904838624,3126.9440835744203,6519.291904838624,2414.7195985996987,2414.7195985996987,65536.0,5444.976148857445,2611.6564692589372,3630.0594274868595,2016.800117240791,2016.800117240791,65536.0,5444.976148857445,2611.6564692589372,5444.976148857445,2016.800117240791,2016.800117240791,65536.0,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,65536.0,,65536.0,13560.707720387763,6504.3208178727855,13560.707720387763,5022.83018303477,5022.83018303477,5022.83018303477,65536.0,,65536.0,7352.556977594775,3526.6200180912742,7352.556977594775,2723.3633579754173,2723.3633579754173,2723.3633579754173,65536.0,,65536.0,5205.370232252657,2496.731155957967,5205.370232252657,1928.0515355533043,1928.0515355533043,1928.0515355533043,65536.0,,65536.0,4088.626065258137,1961.092031615367,4088.626065258137,1514.4155964449083,1514.4155964449083,1514.4155964449083,65536.0,,65536.0,3231.514165344172,1549.9788473015467,3231.514165344172,1196.9399818997936,1196.9399818997936,1196.9399818997936,65536.0,,65536.0,2082.4820000032378,998.8535291309122,2082.4820000032378,771.345393063828,771.345393063828,771.345393063828,65536.0,
Frequencies backward grid3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65536.0,1616.3525895009034,3229.9805290701393,,65536.0,927.912923915292,1854.2630558404826,,,,,,65536.0,11028.681318207267,5289.77588285103,,40000.0,783.4500888644667,1565.5792888526385,783.4500888644667,1208.9778263156445,1208.9778263156445,3200.0,65536.0,966.4338671409787,1931.2405134509902,2684.3401803962356,1491.3496857510963,1491.3496857510963,5000.0,65536.0,773.6819608386259,1546.0594059280418,859.6364949340269,1193.9041270392163,1193.9041270392163,2500.0,65536.0,1616.3525895009034,3229.9805290701393,,65536.0,7242.02255073392,3473.5501694166,7242.02255073392,2682.3582163564483,2682.3582163564483,65536.0,9778.805203194423,4690.283474554932,3621.9467489340564,3621.9467489340564,3621.9467489340564,65536.0,20340.78693366233,9756.206586629321,7533.970638170312,7533.970638170312,65536.0,9778.805203194423,4690.283474554932,6519.291904838624,3621.9467489340564,3621.9467489340564,65536.0,9778.805203194423,4690.283474554932,9778.805203194423,3621.9467489340564,3621.9467489340564,65536.0,9778.805203194423,4690.283474554932,9778.805203194423,3621.9467489340564,3621.9467489340564,65536.0,8167.351229610696,3917.3717130369573,5444.976148857445,3025.0871866158723,3025.0871866158723,65536.0,8167.351229610696,3917.3717130369573,8167.351229610696,3025.0871866158723,3025.0871866158723,,,,,,,,,,65536.0,20340.78693366233,9756.206586629321,20340.78693366233,7533.970638170312,7533.970638170312,7533.970638170312,65536.0,,65536.0,11028.681318207267,5289.77588285103,11028.681318207267,4084.8908948860035,4084.8908948860035,4084.8908948860035,65536.0,,65536.0,7807.946841272109,3744.9882295565817,7807.946841272109,2891.968800495013,2891.968800495013,2891.968800495013,65536.0,,65536.0,6132.852023290151,2941.5509750472097,6132.852023290151,2271.5363235567147,2271.5363235567147,2271.5363235567147,65536.0,,65536.0,4847.205426864331,2324.902451403282,4847.205426864331,1795.3441542175892,1795.3441542175892,1795.3441542175892,65536.0,,65536.0,3123.6787159976375,1498.2360108293155,3123.6787159976375,1156.9738073711717,1156.9738073711717,1156.9738073711717,65536.0,
Frequencies backward grid4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65536.0,1751.0328277484869,3499.1297616871657,,65536.0,1005.2300385998562,2008.776014518347,,,,,,65536.0,11947.7124032381,5730.564848744302,,40000.0,848.7299123061157,1696.0365453382658,848.7299123061157,1309.718294340875,1309.718294340875,3200.0,65536.0,1046.9607257767918,2092.167925601918,2908.025898026413,1615.6195290282537,1615.6195290282537,5000.0,65536.0,838.1478614174639,1674.8900933112345,931.2652732969598,1293.3885412648453,1293.3885412648453,2500.0,65536.0,1751.0328277484869,3499.1297616871657,,65536.0,7845.507535887998,3762.9957897872027,7845.507535887998,2905.871174158465,2905.871174158465,65536.0,10593.683527686082,5081.118322057407,3923.75353620476,3923.75353620476,3923.75353620476,65536.0,22035.806736778104,10569.178028316608,8161.755751304593,8161.755751304593,65536.0,10593.683527686082,5081.118322057407,7062.544121309762,3923.75353620476,3923.75353620476,65536.0,10593.683527686082,5081.118322057407,10593.683527686082,3923.75353620476,3923.75353620476,65536.0,10593.683527686082,5081.118322057407,10593.683527686082,3923.75353620476,3923.75353620476,65536.0,8847.94499968993,4243.80052377774,5898.70532905242,3277.1589536884744,3277.1589536884744,65536.0,8847.94499968993,4243.80052377774,8847.94499968993,3277.1589536884744,3277.1589536884744,,,,,,,,,,65536.0,22035.806736778104,10569.178028316608,22035.806736778104,8161.755751304593,8161.755751304593,8161.755751304593,65536.0,,65536.0,11947.7124032381,5730.564848744302,11947.7124032381,4425.272778735271,4425.272778735271,4425.272778735271,65536.0,,65536.0,8458.59099343031,4057.0524977547234,8458.59099343031,3132.94811646757,3132.94811646757,3132.94811646757,65536.0,,65536.0,6643.90851270975,3186.66571073766,6643.90851270975,2460.816505120733,2460.816505120733,2460.816505120733,65536.0,,65536.0,5251.128242165199,2518.633352306392,5251.128242165199,1944.9451971407466,1944.9451971407466,1944.9451971407466,65536.0,,65536.0,3383.97789496109,1623.0816311680849,3383.97789496109,1253.380910839671,1253.380910839671,1253.380910839671,65536.0,
Frequencies backward fft,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,(undefined),65536,40,40,(undefined),65536,40,40,(undefined),65536,40,40,(undefined),65536,40,40,(undefined),65536,40,40,40,200,160,3200,65536,40,40,40,200,300,5000,65536,40,40,40,200,260,2500,65536,40,40,(undefined),65536,40,40,40,200,1000,65536,40,40,40,200,700,65536,40,40,40,700,65536,40,40,40,200,700,65536,40,40,40,200,700,65536,40,40,40,200,700,65536,40,40,40,200,1000,65536,40,40,40,200,1000,65536,40,40,40,200,40,500,65536,16384,65536,40,40,40,200,40,500,65536,16384,65536,40,40,40,200,40,500,65536,16384,65536,40,40,40,200,40,500,65536,16384,65536,40,40,40,200,40,500,65536,16384,65536,40,40,40,200,40,500,65536,16384,65536,40,40,40,200,40,500,65536,16384
Channels out,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,128,65536,40,40,128,65536,40,40,128,65536,40,40,4096,65536,40,40,4096,65536,40,40,40,40,160,3200,65536,40,40,40,40,300,5000,65536,40,40,40,40,260,2500,65536,40,40,1024,65536,40,40,40,40,1000,65536,40,40,40,40,700,65536,40,40,40,700,65536,40,40,40,40,700,65536,40,40,40,40,700,65536,40,40,40,40,700,65536,40,40,40,40,1000,65536,40,40,40,40,1000,65536,40,40,40,40,40,500,65536,16384,65536,40,40,40,40,40,500,65536,16384,65536,40,40,40,40,40,500,65536,16384,65536,40,40,40,40,40,500,65536,16384,65536,40,40,40,40,40,500,65536,16384,65536,40,40,40,40,40,500,65536,16384,65536,40,40,40,40,40,500,65536,16384
-- Visibility --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
