,max_LOW_continuum [blcoal] [spbf],max_LOW_spectral [blcoal] [spbf],max_MID_continuum [blcoal] [spbf],max_MID_spectral [blcoal] [spbf],max_Band5_MID_continuum [blcoal] [spbf],max_Band5_MID_spectral [blcoal] [spbf],01ICAL [blcoal] [spbf],01DPrepA [blcoal] [spbf],01DPrepB [blcoal] [spbf],01DPrepC [blcoal] [spbf],02AICAL [blcoal] [spbf],02ADPrepA [blcoal] [spbf],02ADPrepB [blcoal] [spbf],02ADPrepC [blcoal] [spbf],02BICAL [blcoal] [spbf],02BDPrepA [blcoal] [spbf],02BDPrepB [blcoal] [spbf],02BDPrepC [blcoal] [spbf],13ICAL [Bmax=40000] [blcoal] [spbf],13DPrepA [Bmax=40000] [blcoal] [spbf],13DPrepB [Bmax=40000] [blcoal] [spbf],13DPrepC [Bmax=40000] [blcoal] [spbf],14ICAL [Bmax=25000] [blcoal] [spbf],14DPrepA [Bmax=25000] [blcoal] [spbf],14DPrepB [Bmax=25000] [blcoal] [spbf],14DPrepC [Bmax=25000] [blcoal] [spbf],15ICAL [Bmax=15000] [blcoal] [spbf],15DPrepA [Bmax=15000] [blcoal] [spbf],15DPrepB [Bmax=15000] [blcoal] [spbf],15DPrepC [Bmax=15000] [blcoal] [spbf],22ICAL [blcoal] [spbf],22DPrepA [blcoal] [spbf],22DPrepB [blcoal] [spbf],27ICAL [Bmax=50000] [blcoal] [spbf],27DPrepA [Bmax=50000] [blcoal] [spbf],27DPrepB [Bmax=50000] [blcoal] [spbf],32ICAL [Bmax=20000] [blcoal] [spbf],32DPrepB [Bmax=20000] [blcoal] [spbf],37aICAL [blcoal] [spbf],37aDPrepA [blcoal] [spbf],37aDPrepB [blcoal] [spbf],37bICAL [blcoal] [spbf],37bDPrepA [blcoal] [spbf],37bDPrepB [blcoal] [spbf],37cICAL [Bmax=95000] [blcoal] [spbf],37cDPrepA [Bmax=95000] [blcoal] [spbf],37cDPrepB [Bmax=95000] [blcoal] [spbf],38aICAL [blcoal] [spbf],38aDPrepA [blcoal] [spbf],38aDPrepB [blcoal] [spbf],38bICAL [blcoal] [spbf],38bDPrepA [blcoal] [spbf],38bDPrepB [blcoal] [spbf]
"Channels backward, no-smear3",4466.26348098825,14465.914413852615,3013.917810920462,13729.335263104213,3104.5340595364714,5657.462746707873,3435.07044070933,3180.6721154882,3180.6721154882,2060.949145519562,2862.67420802834,3180.6721154882,3180.6721154882,2060.949145519562,2862.67420802834,3180.6721154882,3180.6721154882,2060.949145519562,652.8904418135188,483.6464543146965,1208.9778263156445,528.8250998120863,805.3801496725802,596.6068115237296,1491.3496857510963,837.7684576434344,859.6364949340269,716.3789380602059,1193.9041270392163,76.98569793480485,773.6819608386259,1193.9041270392163,1193.9041270392163,2682.3582163564483,2682.3582163564483,2682.3582163564483,7533.970638170312,7533.970638170312,1955.9732804231985,1448.937874446404,3621.9467489340564,1676.58642438262,1448.937874446404,3621.9467489340564,1955.9732804231985,1448.937874446404,3621.9467489340564,1633.6510299688712,3025.0871866158723,3025.0871866158723,1960.336041270146,3025.0871866158723,3025.0871866158723
"Channels backward, no-smear4",8931.554112875032,28930.855905350065,5022.83018303477,22881.859242246133,5174.069230853,9428.950373368421,6869.447804173029,6360.65115931682,6360.65115931682,4121.205260413133,5724.655352792174,6360.65115931682,6360.65115931682,4121.205260413133,5724.655352792174,6360.65115931682,6360.65115931682,4121.205260413133,1088.0892646396737,806.0159537629055,2014.9015700148148,881.3136957236542,1342.225873765601,994.2703121075014,2485.5084313703824,1396.2560606678828,,,,,1289.4091646977774,1989.779440352671,1989.779440352671,4470.461877672626,4470.461877672626,4470.461877672626,10045.11108995104,10045.11108995104,3259.7786040836563,2414.7195985996987,6036.401045713372,2794.133846147517,2414.7195985996987,6036.401045713372,3259.7786040836563,2414.7195985996987,6036.401045713372,2722.601066020032,5041.661321982965,5041.661321982965,3267.07608300433,5041.661321982965,5041.661321982965
"Channels backward, no-smear5",,,7031.742547520076,32034.383219760202,7243.604400849842,13200.437999296486,,,,,,,,,,,,,1523.288086473978,1128.3854518718204,2820.825313173438,1233.802290410372,,,,,,,,,1805.136367739783,2785.654753143743,2785.654753143743,6258.565537827592,6258.565537827592,6258.565537827592,,,4563.583925007532,3380.5013190529257,8450.855341013887,3911.681264714464,3380.5013190529257,8450.855341013887,4563.583925007532,3380.5013190529257,8450.855341013887,3811.551099692947,7058.235456070325,7058.235456070325,4573.8161227602595,7058.235456070325,7058.235456070325
"Channels backward, no-smear6",,,11049.567270263373,50339.43117338024,11382.674739763022,20743.413250674002,,,,,,,,,,,,,1740.887497252959,1289.570200737334,3223.787184677295,1410.0465875824484,,,,,,,,,2836.590773151726,4377.4053782844685,4377.4053782844685,8940.721027388057,8940.721027388057,8940.721027388057,,,7171.194564597031,5312.06475692582,13279.763930416846,6146.776099231232,5312.06475692582,13279.763930416846,7171.194564597031,5312.06475692582,13279.763930416846,5989.451165093498,11091.383723198613,11091.383723198613,7187.29620064201,11091.383723198613,11091.383723198613
"Channels backward, no-smear7",,,15067.391990198219,68644.47912648872,15521.745078190484,28286.38850162736,,,,,,,,,,,,,,,,,,,,,,,,,3868.045178265424,5969.156003228102,5969.156003228102,,,,,,9778.805203194423,7243.628193459831,18108.672519208772,8381.87093257496,7243.628193459831,18108.672519208772,9778.805203194423,7243.628193459831,18108.672519208772,8167.351229610696,15124.531989867131,15124.531989867131,9800.776277769013,15124.531989867131,15124.531989867131
"Channels backward, no-smear8",,,18080.76052947859,82373.26509018058,18626.047831869946,33943.619939647484,,,,,,,,,,,,,,,,,,,,,,,,,4641.6359820297885,7162.968971877786,7162.968971877786,,,,,,11734.513181907203,8692.300770509128,21730.353960832246,10058.192057312433,8692.300770509128,21730.353960832246,11734.513181907203,8692.300770509128,21730.353960832246,9800.776277769013,18149.39318963302,18149.39318963302,11760.88633545867,18149.39318963302,18149.39318963302
"Channels backward, no-smear9",,,22098.585247986757,100678.31304361316,22765.118170239723,41486.595190876724,,,,,,,,,,,,,,,,,,,,,,,,,5673.090386989883,8754.719596739762,8754.719596739762,,,,,,14342.123819976441,10623.864206351685,26559.262549210896,12293.286890062791,10623.864206351685,26559.262549210896,12386.41584142446,9175.19162948914,22937.581107860868,11978.676341888648,22182.5414561377,22182.5414561377,14374.366412224357,22182.5414561377,22182.5414561377
"Channels backward, no-smear10",,,26116.409966266117,118983.36099533516,26904.188508167405,49029.57044203559,,,,,,,,,,,,,,,,,,,,,,,,,6704.544791911086,10346.470221536132,10346.470221536132,,,,,,16949.734457906787,12555.427642058461,31388.171137799913,14528.381722726019,12555.427642058461,31388.171137799913,,,,14156.576405879654,26215.689722525978,26215.689722525978,16987.846488913263,26215.689722525978,26215.689722525978
"Channels backward, no-smear11",,,30134.234684264968,137288.40894903094,31043.258846574812,56572.54569243952,,,,,,,,,,,,,,,,,,,,,,,,,7735.999196790231,11938.220846287122,11938.220846287122,,,,,,19557.345095862493,14486.991077609053,36217.0797262356,16763.476555282203,14486.991077609053,36217.0797262356,,,,16334.476469786141,30248.837988860792,30248.837988860792,19601.326565676056,30248.837988860792,30248.837988860792
Frequencies predict ifft,200,200,200,200,200,200,200,200,40,200,200,200,40,200,200,200,40,200,200,200,40,200,200,200,40,200,200,200,40,200,200,200,40,200,200,40,200,40,200,200,40,200,200,40,200,200,40,200,200,40,200,200,40
Frequencies predict kernels0,293.53493658247305,582.1367436206677,248.92863005964603,567.8618749989231,104.68244950243287,199.95715588142428,209.4260950912369,209.08901946227726,208.95887031560682,407.789988421676,209.0935484093012,209.08901946227726,208.95887031560682,407.789988421676,209.0935484093012,209.08901946227726,208.95887031560682,407.789988421676,42.97470528574093,42.15270065101507,42.637173672704954,82.03459684383898,51.46834441476724,50.79263546860249,51.39509280360232,40.94022500908771,42.69312032258158,41.713825057844915,41.77666109080823,40.0,41.396307066156865,41.32314860200226,41.31543607009071,93.40162434497529,92.94619789779989,92.50985835053595,253.93361551724863,251.09564677208905,120.99977640621803,120.36917598090332,121.09911207956957,120.83428632625555,120.36917598090332,121.09911207956957,120.68349093991017,120.1981766024002,120.74390775715754,102.34351613292705,102.45120131389521,102.30082314771073,102.44419967005997,102.45120131389521,102.30082314771073
Frequencies predict kernels1,294.7702976172154,606.7251499340564,249.79948663440828,650.1034866363161,104.93169193164131,207.9292436995934,210.86535805752152,209.91539297579828,209.5479514497759,413.1020327491759,209.92817287153053,209.91539297579828,209.5479514497759,413.1020327491759,209.92817287153053,209.91539297579828,209.5479514497759,413.1020327491759,44.08554294869146,42.59975909212721,43.47803800073871,86.96246394317374,52.38970095373774,51.16176745492429,52.25717552994764,48.04608218340737,43.957066647806236,42.19087625810736,42.30512837948493,40.0,41.61153434567287,41.47757222230931,41.46343930232051,94.97916391853374,94.15334647784202,93.35925629537773,258.90324872076224,253.75804752864016,122.05621682826678,120.90376232384662,122.23734096862235,121.75421790397183,120.90376232384662,122.23734096862235,121.47876056817627,120.59046713469569,121.58915515520482,102.64401457534026,102.84139402665788,102.56571908603775,102.828565169751,102.84139402665788,102.56571908603775
Frequencies predict kernels2,298.2437223070724,671.6834060415565,250.82786199604098,736.0153434006554,105.22633816068826,217.01151175596954,214.89350059241409,212.23990170915891,211.20817180267449,427.81245741644125,212.27573244543166,212.23990170915891,211.20817180267449,427.81245741644125,212.27573244543166,212.23990170915891,211.20817180267449,427.81245741644125,45.36826451173166,43.123916558177406,44.45491992261794,92.4731199214666,53.46204343911674,51.596023693436614,53.26166539819185,55.32175898083467,45.411235696447434,42.74972921013411,42.923455068303475,40.0,41.86526126306508,41.65988467666641,41.63819858957387,96.8170824284634,95.56527422395838,94.35657651367646,264.6776343778276,256.87960997838445,123.29720194187433,121.53445301392892,123.57349778226612,122.83607066407268,121.53445301392892,123.57349778226612,122.41497633848748,121.05382151722588,122.58379396940026,102.99906260653367,103.30202269171495,102.87880732696223,103.28234017149906,103.30202269171495,102.87880732696223
Frequencies predict kernels3,307.8827447216712,829.1397661062841,253.2702868011179,909.7087970657201,105.92755627738117,237.3577837663242,225.9337525817688,218.69848680608823,215.84626230019353,467.0720871798249,218.79713666040396,218.69848680608823,215.84626230019353,467.0720871798249,218.79713666040396,218.69848680608823,215.84626230019353,467.0720871798249,48.30124840240843,44.35298897477985,46.71045444970381,104.503373968686,55.94540493363855,52.62035904477508,55.59226132675367,69.76248996650381,48.717242160522716,44.05825152288402,44.36818102337061,40.0,42.466005013829026,42.09269426294046,42.05319407689523,101.08055365888347,98.86233192943492,96.7010398240448,278.0134648760679,264.1992491854422,126.21680516874352,123.02978950054904,126.71327308052226,125.38638793394857,123.02978950054904,126.71327308052226,124.62604924795379,122.1547742738432,124.93110436110894,103.84317754162656,104.39541184240791,103.62363350902095,104.35957214527069,104.39541184240791,103.62363350902095
Frequencies predict kernels4,339.0278924205873,1166.8741855315363,259.3529617553342,1247.3532862585284,107.68258314233955,282.5108051645522,254.70433123912477,245.87976264831133,245.87976264831133,564.002532873752,236.33470779775277,245.87976264831133,245.87976264831133,564.002532873752,236.33470779775277,245.87976264831133,245.87976264831133,564.002532873752,55.04611199217905,47.32559907462549,51.99440475164102,130.1636099024313,61.797627499803,55.130781680982494,61.10524937881445,97.33089295491982,,,,,43.951102005353654,43.16944311375487,43.086327315310925,111.16176774039089,106.7658812535379,102.40276107677968,293.0574565191329,272.6296102187151,133.3299484902039,126.73848965872567,134.34266164989313,131.6278377762014,126.73848965872567,134.34266164989313,130.06008924885364,124.89945830212982,130.69017068659036,105.95062253085638,107.11470388414335,105.48606717055642,107.0393465119316,107.11470388414335,105.48606717055642
Frequencies predict kernels5,,,266.6395912529371,1567.4428706570109,109.80087404031028,329.7653929422166,,,,,,,,,,,,,62.35837121542326,50.744421952727485,57.840463982496914,156.11141055772336,,,,,,,,,45.710984365600105,44.45729829480644,44.32326786427891,122.43633041017337,115.75328334600772,109.00825133972502,,,141.59027866286547,131.15425926160165,143.17132722483706,138.9202618219397,131.15425926160165,143.17132722483706,136.44626541186165,128.19251616246325,137.44231967323012,108.48467512548619,110.36562041760865,107.73078608556855,110.2442016994131,110.36562041760865,107.73078608556855
Frequencies predict kernels6,,,283.72667118862813,2164.5240225641733,114.83151017761003,424.2415872219748,,,,,,,,,,,,,66.10754279185578,52.5639864303699,60.87423647069862,168.94556154408298,,,,,,,,,49.76748916527159,47.469599246937655,47.22126154698295,140.39022793262572,130.3104753803679,119.92972363253789,,,160.07754210864857,141.40799503248587,162.83582098322697,155.38123988973274,141.40799503248587,162.83582098322697,150.98352646555702,135.93452421499433,152.75968555060606,114.46409559539951,117.96377636352436,113.0486275836794,117.73918702206257,117.96377636352436,113.0486275836794
Frequencies predict kernels7,,,303.0633424656301,2719.7078572039422,120.6204380592764,515.9983656801895,,,,,,,,,,,,,,,,,,,,,,,,,54.26128338217915,50.867374867864925,50.49699161194057,,,,,,179.88959562910185,152.86924927398823,183.80312813615168,173.18521553033216,152.86924927398823,183.80312813615168,166.8553565187784,144.72485379574593,169.4182724852468,121.28578116698675,126.52601654367727,119.14782239134325,126.19157787067313,126.52601654367727,119.14782239134325
Frequencies predict kernels8,,,318.5295485209273,3115.9381012228923,125.31504835651941,582.717731001607,,,,,,,,,,,,,,,,,,,,,,,,,57.79696531811066,53.57798656426379,53.11461846912956,,,,,,195.11861772596185,161.94805282387338,199.86662965380128,186.95597561202547,161.94805282387338,199.86662965380128,179.21221373575986,151.7744840712335,182.35225668898025,126.77809592819132,133.35144866349734,124.08020212191929,132.9334863637171,133.35144866349734,124.08020212191929
Frequencies predict kernels9,,,339.9988153290891,3623.409406293132,131.91447405528473,669.0608803555219,,,,,,,,,,,,,,,,,,,,,,,,,62.63631318290132,57.33208113049885,56.74527536331356,,,,,,215.58227919664137,174.44513633507592,221.39781524782322,205.54820166981352,174.44513633507592,221.39781524782322,183.38181683101033,154.18908504151332,191.32864756791398,134.4474691261689,142.7981311813898,130.99574889383447,142.26946812369133,142.7981311813898,130.99574889383447
Frequencies predict kernels10,,,362.10371141088586,4111.643227909353,138.79652738774072,752.7314046924887,,,,,,,,,,,,,,,,,,,,,,,,,67.55194344779801,61.18862279404397,60.48040446875963,,,,,,236.02570877133996,187.2075184260311,267.9907262821344,224.1997376506572,187.2075184260311,267.9907262821344,,,,142.39073876488973,152.49630578872848,138.1879996503921,151.85891109061217,152.49630578872848,138.1879996503921
Frequencies predict kernels11,,,389.9023918392926,4584.1506185241615,145.87716304461495,834.0588059402411,,,,,,,,,,,,,,,,,,,,,,,,,72.49810908604582,65.1052863618096,64.27838224892704,,,,,,256.33108784488303,200.1053235463684,320.9461603322812,242.7843056538435,200.1053235463684,320.9461603322812,,,,150.51424118233376,162.34030492130424,145.57010437463157,161.59673051959956,162.34030492130424,145.57010437463157
Frequencies predict de-grid0,559.1337152950158,65536.0,1005.0053854489457,65536.0,1034.9988790363216,65536.0,429.9899422466631,398.1901223156782,500.0,1500.0,358.44033998018244,398.1901223156782,500.0,1500.0,358.44033998018244,398.1901223156782,500.0,1500.0,217.69161204396846,161.27694549614694,500.0,3200.0,500.0,198.9432998193914,100.0,5000.0,500.0,238.85374289707516,398.02881001253394,2500.0,257.9547512531722,398.02881001253394,500.0,894.2545468709208,894.2545468709208,894.2545468709208,2511.6897145573553,2511.6897145573553,652.167937578682,483.15612439994436,1207.4924417886202,559.0389802377872,483.15612439994436,1207.4924417886202,652.167937578682,483.15612439994436,1207.4924417886202,544.700977250144,1008.5130422414231,1008.5130422414231,653.5959856457442,1008.5130422414231,1008.5130422414231
Frequencies predict de-grid1,1117.2953217949262,65536.0,1507.2335084877068,65536.0,1552.3826770323226,65536.0,859.2872958419088,795.6877005716108,795.6877005716108,1500.0,716.1882027630096,795.6877005716108,795.6877005716108,1500.0,716.1882027630096,795.6877005716108,795.6877005716108,1500.0,326.49132165556017,241.8693256283889,604.5350169007022,3200.0,500.0,298.3591812197435,100.0,5000.0,500.0,358.2350436199255,596.9976404288616,2500.0,386.88655543856316,596.9976404288616,596.9976404288616,1341.280466795748,1341.280466795748,1341.280466795748,3767.259952131288,3767.259952131288,978.1192792840136,724.6015700009231,1811.1060218133737,838.4258482659727,724.6015700009231,1811.1060218133737,978.1192792840136,724.6015700009231,1811.1060218133737,816.9384956364858,1512.656581147074,1512.656581147074,980.28100389151,1512.656581147074,1512.656581147074
Frequencies predict de-grid2,2233.6181120846836,65536.0,2009.4616148571042,65536.0,2069.7664721575957,65536.0,1717.881724030251,1590.6825558293533,1590.6825558293533,1500.0,1431.683593715042,1590.6825558293533,1590.6825558293533,1500.0,1431.683593715042,1590.6825558293533,1590.6825558293533,1500.0,435.2910290982149,322.4617028333052,806.0159537629055,3200.0,536.9572860809892,397.7750591462314,100.0,5000.0,573.1213808637368,477.6163424109698,795.9664696855765,2500.0,515.818357835032,795.9664696855765,795.9664696855765,1788.3063841681017,1788.3063841681017,1788.3063841681017,5022.83018303477,5022.83018303477,1304.070614995905,966.0470075132783,2414.7195985996987,1117.8127093029952,966.0470075132783,2414.7195985996987,1304.070614995905,966.0470075132783,2414.7195985996987,1089.1760088165274,2016.800117240791,2016.800117240791,1306.96601779828,2016.800117240791,2016.800117240791
Frequencies predict de-grid3,4466.26348098825,65536.0,3013.917810920462,65536.0,3104.5340595364714,65536.0,3435.07044070933,3180.6721154882,3180.6721154882,2060.949145519562,2862.67420802834,3180.6721154882,3180.6721154882,2060.949145519562,2862.67420802834,3180.6721154882,3180.6721154882,2060.949145519562,652.8904418135188,483.6464543146965,1208.9778263156445,3200.0,805.3801496725802,596.6068115237296,100.0,5000.0,859.6364949340269,716.3789380602059,1193.9041270392163,2500.0,773.6819608386259,1193.9041270392163,1193.9041270392163,2682.3582163564483,2682.3582163564483,2682.3582163564483,7533.970638170312,7533.970638170312,1955.9732804231985,1448.937874446404,3621.9467489340564,1676.58642438262,1448.937874446404,3621.9467489340564,1955.9732804231985,1448.937874446404,3621.9467489340564,1633.6510299688712,3025.0871866158723,3025.0871866158723,1960.336041270146,3025.0871866158723,3025.0871866158723
Frequencies predict de-grid4,8931.554112875032,65536.0,5022.83018303477,65536.0,5174.069230853,65536.0,6869.447804173029,6360.65115931682,6360.65115931682,4121.205260413133,5724.655352792174,6360.65115931682,6360.65115931682,4121.205260413133,5724.655352792174,6360.65115931682,6360.65115931682,4121.205260413133,1088.0892646396737,806.0159537629055,2014.9015700148148,3200.0,1342.225873765601,994.2703121075014,100.0,5000.0,,,,,1289.4091646977774,1989.779440352671,1989.779440352671,4470.461877672626,4470.461877672626,4470.461877672626,10045.11108995104,10045.11108995104,3259.7786040836563,2414.7195985996987,6036.401045713372,2794.133846147517,2414.7195985996987,6036.401045713372,3259.7786040836563,2414.7195985996987,6036.401045713372,2722.601066020032,5041.661321982965,5041.661321982965,3267.07608300433,5041.661321982965,5041.661321982965
Frequencies predict de-grid5,,,7031.742547520076,65536.0,7243.604400849842,65536.0,,,,,,,,,,,,,1523.288086473978,1128.3854518718204,2820.825313173438,3200.0,,,,,,,,,1805.136367739783,2785.654753143743,2785.654753143743,6258.565537827592,6258.565537827592,6258.565537827592,,,4563.583925007532,3380.5013190529257,8450.855341013887,3911.681264714464,3380.5013190529257,8450.855341013887,4563.583925007532,3380.5013190529257,8450.855341013887,3811.551099692947,7058.235456070325,7058.235456070325,4573.8161227602595,7058.235456070325,7058.235456070325
Frequencies predict de-grid6,,,11049.567270263373,65536.0,11382.674739763022,65536.0,,,,,,,,,,,,,1740.887497252959,1289.570200737334,3223.787184677295,3200.0,,,,,,,,,2836.590773151726,4377.4053782844685,4377.4053782844685,8940.721027388057,8940.721027388057,8940.721027388057,,,7171.194564597031,5312.06475692582,13279.763930416846,6146.776099231232,5312.06475692582,13279.763930416846,7171.194564597031,5312.06475692582,13279.763930416846,5989.451165093498,11091.383723198613,11091.383723198613,7187.29620064201,11091.383723198613,11091.383723198613
Frequencies predict de-grid7,,,15067.391990198219,65536.0,15521.745078190484,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,3868.045178265424,5969.156003228102,5969.156003228102,,,,,,9778.805203194423,7243.628193459831,18108.672519208772,8381.87093257496,7243.628193459831,18108.672519208772,9778.805203194423,7243.628193459831,18108.672519208772,8167.351229610696,15124.531989867131,15124.531989867131,9800.776277769013,15124.531989867131,15124.531989867131
Frequencies predict de-grid8,,,18080.76052947859,65536.0,18626.047831869946,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,4641.6359820297885,7162.968971877786,7162.968971877786,,,,,,11734.513181907203,8692.300770509128,21730.353960832246,10058.192057312433,8692.300770509128,21730.353960832246,11734.513181907203,8692.300770509128,21730.353960832246,9800.776277769013,18149.39318963302,18149.39318963302,11760.88633545867,18149.39318963302,18149.39318963302
Frequencies predict de-grid9,,,22098.585247986757,65536.0,22765.118170239723,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,5673.090386989883,8754.719596739762,8754.719596739762,,,,,,14342.123819976441,10623.864206351685,26559.262549210896,12293.286890062791,10623.864206351685,26559.262549210896,12386.41584142446,9175.19162948914,22937.581107860868,11978.676341888648,22182.5414561377,22182.5414561377,14374.366412224357,22182.5414561377,22182.5414561377
Frequencies predict de-grid10,,,26116.409966266117,65536.0,26904.188508167405,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,6704.544791911086,10346.470221536132,10346.470221536132,,,,,,16949.734457906787,12555.427642058461,31388.171137799913,14528.381722726019,12555.427642058461,31388.171137799913,,,,14156.576405879654,26215.689722525978,26215.689722525978,16987.846488913263,26215.689722525978,26215.689722525978
Frequencies predict de-grid11,,,30134.234684264968,65536.0,31043.258846574812,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,7735.999196790231,11938.220846287122,11938.220846287122,,,,,,19557.345095862493,14486.991077609053,36217.0797262356,16763.476555282203,14486.991077609053,36217.0797262356,,,,16334.476469786141,30248.837988860792,30248.837988860792,19601.326565676056,30248.837988860792,30248.837988860792
Frequencies total,14885.274922420835,65536.0,65536.0,65536.0,31043.258846574816,65536.0,28620.50430957373,10600.623194271158,10600.623194271158,20603.25389985791,19080.56725075056,10600.623194271158,10600.623194271158,20603.25389985791,19080.56725075056,10600.623194271158,10600.623194271158,20603.25389985791,8704.068635983613,3223.7871846772946,3223.7871846772946,5874.90211016006,4473.825921121464,2485.5084313703824,100.0,5000.0,2148.954502933313,1193.9041270392163,1193.9041270392163,2500.0,32233.041312942332,11938.220846287122,11938.220846287122,8940.721027388057,8940.721027388057,8940.721027388057,10045.111089951039,10045.111089951039,65190.5312565323,36217.0797262356,36217.0797262356,65536.0,36217.0797262356,36217.0797262356,41287.433744201386,22937.581107860868,22937.581107860868,54447.72758676212,30248.837988860792,30248.837988860792,65536.0,30248.837988860792,30248.837988860792
Frequencies backward kernels0,293.53493658247305,582.1367436206677,248.92863005964603,567.8618749989231,104.68244950243287,199.95715588142428,209.4260950912369,209.08901946227726,208.95887031560682,407.789988421676,209.0935484093012,209.08901946227726,208.95887031560682,407.789988421676,209.0935484093012,209.08901946227726,208.95887031560682,407.789988421676,42.97470528574093,42.15270065101507,42.637173672704954,82.03459684383898,51.46834441476724,50.79263546860249,51.39509280360232,40.94022500908771,42.69312032258158,41.713825057844915,41.77666109080823,40.0,41.396307066156865,41.32314860200226,41.31543607009071,93.40162434497529,92.94619789779989,92.50985835053595,253.93361551724863,251.09564677208905,120.99977640621803,120.36917598090332,121.09911207956957,120.83428632625555,120.36917598090332,121.09911207956957,120.68349093991017,120.1981766024002,120.74390775715754,102.34351613292705,102.45120131389521,102.30082314771073,102.44419967005997,102.45120131389521,102.30082314771073
Frequencies backward kernels1,294.7702976172154,606.7251499340564,249.79948663440828,650.1034866363161,104.93169193164131,207.9292436995934,210.86535805752152,209.91539297579828,209.5479514497759,413.1020327491759,209.92817287153053,209.91539297579828,209.5479514497759,413.1020327491759,209.92817287153053,209.91539297579828,209.5479514497759,413.1020327491759,44.08554294869146,42.59975909212721,43.47803800073871,86.96246394317374,52.38970095373774,51.16176745492429,52.25717552994764,48.04608218340737,43.957066647806236,42.19087625810736,42.30512837948493,40.0,41.61153434567287,41.47757222230931,41.46343930232051,94.97916391853374,94.15334647784202,93.35925629537773,258.90324872076224,253.75804752864016,122.05621682826678,120.90376232384662,122.23734096862235,121.75421790397183,120.90376232384662,122.23734096862235,121.47876056817627,120.59046713469569,121.58915515520482,102.64401457534026,102.84139402665788,102.56571908603775,102.828565169751,102.84139402665788,102.56571908603775
Frequencies backward kernels2,298.2437223070724,671.6834060415565,250.82786199604098,736.0153434006554,105.22633816068826,217.01151175596954,214.89350059241409,212.23990170915891,211.20817180267449,427.81245741644125,212.27573244543166,212.23990170915891,211.20817180267449,427.81245741644125,212.27573244543166,212.23990170915891,211.20817180267449,427.81245741644125,45.36826451173166,43.123916558177406,44.45491992261794,92.4731199214666,53.46204343911674,51.596023693436614,53.26166539819185,55.32175898083467,45.411235696447434,42.74972921013411,42.923455068303475,40.0,41.86526126306508,41.65988467666641,41.63819858957387,96.8170824284634,95.56527422395838,94.35657651367646,264.6776343778276,256.87960997838445,123.29720194187433,121.53445301392892,123.57349778226612,122.83607066407268,121.53445301392892,123.57349778226612,122.41497633848748,121.05382151722588,122.58379396940026,102.99906260653367,103.30202269171495,102.87880732696223,103.28234017149906,103.30202269171495,102.87880732696223
Frequencies backward kernels3,307.8827447216712,829.1397661062841,253.2702868011179,909.7087970657201,105.92755627738117,237.3577837663242,225.9337525817688,218.69848680608823,215.84626230019353,467.0720871798249,218.79713666040396,218.69848680608823,215.84626230019353,467.0720871798249,218.79713666040396,218.69848680608823,215.84626230019353,467.0720871798249,48.30124840240843,44.35298897477985,46.71045444970381,104.503373968686,55.94540493363855,52.62035904477508,55.59226132675367,69.76248996650381,48.717242160522716,44.05825152288402,44.36818102337061,40.0,42.466005013829026,42.09269426294046,42.05319407689523,101.08055365888347,98.86233192943492,96.7010398240448,278.0134648760679,264.1992491854422,126.21680516874352,123.02978950054904,126.71327308052226,125.38638793394857,123.02978950054904,126.71327308052226,124.62604924795379,122.1547742738432,124.93110436110894,103.84317754162656,104.39541184240791,103.62363350902095,104.35957214527069,104.39541184240791,103.62363350902095
Frequencies backward kernels4,339.0278924205873,1166.8741855315363,259.3529617553342,1247.3532862585284,107.68258314233955,282.5108051645522,254.70433123912477,245.87976264831133,245.87976264831133,564.002532873752,236.33470779775277,245.87976264831133,245.87976264831133,564.002532873752,236.33470779775277,245.87976264831133,245.87976264831133,564.002532873752,55.04611199217905,47.32559907462549,51.99440475164102,130.1636099024313,61.797627499803,55.130781680982494,61.10524937881445,97.33089295491982,,,,,43.951102005353654,43.16944311375487,43.086327315310925,111.16176774039089,106.7658812535379,102.40276107677968,293.0574565191329,272.6296102187151,133.3299484902039,126.73848965872567,134.34266164989313,131.6278377762014,126.73848965872567,134.34266164989313,130.06008924885364,124.89945830212982,130.69017068659036,105.95062253085638,107.11470388414335,105.48606717055642,107.0393465119316,107.11470388414335,105.48606717055642
Frequencies backward kernels5,,,266.6395912529371,1567.4428706570109,109.80087404031028,329.7653929422166,,,,,,,,,,,,,62.35837121542326,50.744421952727485,57.840463982496914,156.11141055772336,,,,,,,,,45.710984365600105,44.45729829480644,44.32326786427891,122.43633041017337,115.75328334600772,109.00825133972502,,,141.59027866286547,131.15425926160165,143.17132722483706,138.9202618219397,131.15425926160165,143.17132722483706,136.44626541186165,128.19251616246325,137.44231967323012,108.48467512548619,110.36562041760865,107.73078608556855,110.2442016994131,110.36562041760865,107.73078608556855
