,max_LOW_continuum [blcoal] [!otf] [spbf],max_LOW_spectral [blcoal] [!otf] [spbf],max_MID_continuum [blcoal] [!otf] [spbf],max_MID_spectral [blcoal] [!otf] [spbf],max_Band5_MID_continuum [blcoal] [!otf] [spbf],max_Band5_MID_spectral [blcoal] [!otf] [spbf],01ICAL [blcoal] [!otf] [spbf],01DPrepA [blcoal] [!otf] [spbf],01DPrepB [blcoal] [!otf] [spbf],01DPrepC [blcoal] [!otf] [spbf],02AICAL [blcoal] [!otf] [spbf],02ADPrepA [blcoal] [!otf] [spbf],02ADPrepB [blcoal] [!otf] [spbf],02ADPrepC [blcoal] [!otf] [spbf],02BICAL [blcoal] [!otf] [spbf],02BDPrepA [blcoal] [!otf] [spbf],02BDPrepB [blcoal] [!otf] [spbf],02BDPrepC [blcoal] [!otf] [spbf],13ICAL [blcoal] [!otf] [Bmax=40000] [spbf],13DPrepA [blcoal] [!otf] [Bmax=40000] [spbf],13DPrepB [blcoal] [!otf] [Bmax=40000] [spbf],13DPrepC [blcoal] [!otf] [Bmax=40000] [spbf],14ICAL [blcoal] [!otf] [Bmax=25000] [spbf],14DPrepA [blcoal] [!otf] [Bmax=25000] [spbf],14DPrepB [blcoal] [!otf] [Bmax=25000] [spbf],14DPrepC [blcoal] [!otf] [Bmax=25000] [spbf],15ICAL [blcoal] [!otf] [Bmax=15000] [spbf],15DPrepA [blcoal] [!otf] [Bmax=15000] [spbf],15DPrepB [blcoal] [!otf] [Bmax=15000] [spbf],15DPrepC [blcoal] [!otf] [Bmax=15000] [spbf],22ICAL [blcoal] [!otf] [spbf],22DPrepA [blcoal] [!otf] [spbf],22DPrepB [blcoal] [!otf] [spbf],27ICAL [blcoal] [!otf] [Bmax=50000] [spbf],27DPrepA [blcoal] [!otf] [Bmax=50000] [spbf],27DPrepB [blcoal] [!otf] [Bmax=50000] [spbf],32ICAL [blcoal] [!otf] [Bmax=20000] [spbf],32DPrepB [blcoal] [!otf] [Bmax=20000] [spbf],37aICAL [blcoal] [!otf] [spbf],37aDPrepA [blcoal] [!otf] [spbf],37aDPrepB [blcoal] [!otf] [spbf],37bICAL [blcoal] [!otf] [spbf],37bDPrepA [blcoal] [!otf] [spbf],37bDPrepB [blcoal] [!otf] [spbf],37cICAL [blcoal] [!otf] [Bmax=95000] [spbf],37cDPrepA [blcoal] [!otf] [Bmax=95000] [spbf],37cDPrepB [blcoal] [!otf] [Bmax=95000] [spbf],38aICAL [blcoal] [!otf] [spbf],38aDPrepA [blcoal] [!otf] [spbf],38aDPrepB [blcoal] [!otf] [spbf],38bICAL [blcoal] [!otf] [spbf],38bDPrepA [blcoal] [!otf] [spbf],38bDPrepB [blcoal] [!otf] [spbf]
Combined samples full0,31.0,16.0,41.0,23.0,42.0,23.0,11.0,31.0,31.0,16.0,17.0,31.0,31.0,16.0,17.0,31.0,31.0,16.0,8.0,21.0,21.0,21.0,7.0,13.0,13.0,13.0,4.0,8.0,8.0,8.0,16.0,43.0,43.0,27.0,27.0,27.0,10.0,10.0,23.0,42.0,42.0,15.0,42.0,42.0,23.0,42.0,42.0,23.0,43.0,43.0,15.0,43.0,43.0
Combined samples full1,15.0,8.0,27.0,15.0,28.0,15.0,5.0,15.0,15.0,8.0,8.0,15.0,15.0,8.0,8.0,15.0,15.0,8.0,5.0,14.0,14.0,14.0,4.0,9.0,9.0,9.0,3.0,5.0,5.0,5.0,10.0,29.0,29.0,18.0,18.0,18.0,7.0,7.0,15.0,28.0,28.0,10.0,28.0,28.0,15.0,28.0,28.0,15.0,28.0,28.0,10.0,28.0,28.0
Combined samples full2,7.0,4.0,20.0,11.0,21.0,11.0,2.0,7.0,7.0,4.0,4.0,7.0,7.0,4.0,4.0,7.0,7.0,4.0,4.0,10.0,10.0,10.0,3.0,6.0,6.0,6.0,2.0,4.0,4.0,4.0,8.0,21.0,21.0,13.0,13.0,13.0,5.0,5.0,11.0,21.0,21.0,7.0,21.0,21.0,11.0,21.0,21.0,11.0,21.0,21.0,7.0,21.0,21.0
Combined samples full3,3.0,2.0,13.0,7.0,14.0,7.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,7.0,7.0,7.0,2.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,5.0,14.0,14.0,9.0,9.0,9.0,3.0,3.0,7.0,14.0,14.0,5.0,14.0,14.0,7.0,14.0,14.0,7.0,14.0,14.0,5.0,14.0,14.0
Combined samples full4,1.0,1.0,8.0,4.0,8.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,,,,,3.0,8.0,8.0,5.0,5.0,5.0,2.0,2.0,4.0,8.0,8.0,3.0,8.0,8.0,4.0,8.0,8.0,4.0,8.0,8.0,3.0,8.0,8.0
Combined samples full5,,,5.0,3.0,6.0,3.0,,,,,,,,,,,,,1.0,3.0,3.0,3.0,,,,,,,,,2.0,6.0,6.0,3.0,3.0,3.0,,,3.0,6.0,6.0,2.0,6.0,6.0,3.0,6.0,6.0,3.0,6.0,6.0,2.0,6.0,6.0
Combined samples full6,,,3.0,2.0,3.0,2.0,,,,,,,,,,,,,1.0,2.0,2.0,2.0,,,,,,,,,1.0,3.0,3.0,2.0,2.0,2.0,,,2.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0
Combined samples full7,,,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,,,,,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0
Combined samples full8,,,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,,,,,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0
Combined samples full9,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
Combined samples full10,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0
Combined samples full11,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0
Combined samples facet0,52.0,16.0,174.0,23.0,107.0,23.0,48.0,52.0,31.0,16.0,57.0,52.0,31.0,16.0,57.0,52.0,31.0,16.0,33.0,21.0,21.0,21.0,31.0,13.0,13.0,13.0,15.0,8.0,8.0,8.0,67.0,43.0,43.0,27.0,27.0,27.0,10.0,10.0,136.0,105.0,140.0,91.0,105.0,140.0,78.0,42.0,105.0,59.0,43.0,43.0,66.0,43.0,43.0
Combined samples facet1,26.0,8.0,116.0,15.0,71.0,15.0,24.0,26.0,15.0,8.0,28.0,26.0,15.0,8.0,28.0,26.0,15.0,8.0,22.0,14.0,14.0,14.0,20.0,8.0,8.0,9.0,10.0,5.0,5.0,5.0,45.0,29.0,29.0,18.0,18.0,18.0,7.0,7.0,91.0,70.0,93.0,60.0,70.0,93.0,52.0,28.0,70.0,39.0,28.0,28.0,44.0,28.0,28.0
Combined samples facet2,13.0,4.0,87.0,11.0,53.0,11.0,12.0,13.0,7.0,4.0,14.0,13.0,7.0,4.0,14.0,13.0,7.0,4.0,16.0,10.0,10.0,10.0,15.0,6.0,6.0,6.0,7.0,4.0,4.0,4.0,33.0,21.0,21.0,13.0,13.0,13.0,5.0,5.0,68.0,52.0,70.0,45.0,52.0,70.0,39.0,21.0,52.0,29.0,21.0,21.0,33.0,21.0,21.0
Combined samples facet3,6.0,2.0,58.0,7.0,35.0,7.0,6.0,6.0,3.0,2.0,7.0,6.0,3.0,2.0,7.0,6.0,3.0,2.0,11.0,7.0,7.0,7.0,10.0,4.0,4.0,4.0,5.0,2.0,2.0,2.0,22.0,14.0,14.0,9.0,9.0,9.0,3.0,3.0,45.0,35.0,46.0,30.0,35.0,46.0,26.0,14.0,35.0,19.0,14.0,14.0,22.0,14.0,14.0
Combined samples facet4,3.0,1.0,34.0,4.0,21.0,4.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,6.0,4.0,4.0,4.0,6.0,2.0,2.0,2.0,,,,,13.0,8.0,8.0,5.0,5.0,5.0,2.0,2.0,27.0,21.0,28.0,18.0,21.0,28.0,15.0,8.0,21.0,11.0,8.0,8.0,13.0,8.0,8.0
Combined samples facet5,,,24.0,3.0,15.0,3.0,,,,,,,,,,,,,4.0,3.0,3.0,3.0,,,,,,,,,9.0,6.0,6.0,3.0,3.0,3.0,,,19.0,15.0,20.0,13.0,15.0,20.0,11.0,6.0,15.0,8.0,6.0,6.0,9.0,6.0,6.0
Combined samples facet6,,,15.0,2.0,9.0,2.0,,,,,,,,,,,,,4.0,2.0,2.0,2.0,,,,,,,,,6.0,3.0,3.0,2.0,2.0,2.0,,,12.0,9.0,12.0,8.0,9.0,12.0,7.0,3.0,9.0,5.0,3.0,3.0,6.0,3.0,3.0
Combined samples facet7,,,11.0,1.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,2.0,,,,,,9.0,7.0,9.0,6.0,7.0,9.0,5.0,2.0,7.0,3.0,2.0,2.0,4.0,2.0,2.0
Combined samples facet8,,,9.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,2.0,,,,,,7.0,5.0,7.0,5.0,5.0,7.0,4.0,2.0,5.0,3.0,2.0,2.0,3.0,2.0,2.0
Combined samples facet9,,,7.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,,,,,,6.0,4.0,6.0,4.0,4.0,6.0,4.0,2.0,5.0,2.0,1.0,1.0,3.0,1.0,1.0
Combined samples facet10,,,6.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,5.0,4.0,5.0,3.0,4.0,5.0,,,,2.0,1.0,1.0,2.0,1.0,1.0
Combined samples facet11,,,5.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,4.0,3.0,4.0,3.0,3.0,4.0,,,,1.0,1.0,1.0,2.0,1.0,1.0
Kernel time pred0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred5 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,10.0,10.0,10.0,10.0,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred6 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,10.0,10.0,10.0,10.0,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred7 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred8 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred9 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred10 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,,,,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred11 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,,,,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward5 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,10.0,10.0,10.0,10.0,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward6 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,10.0,10.0,10.0,10.0,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward7 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward8 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward9 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward10 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,,,,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward11 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,,,,10.0,10.0,10.0,10.0,10.0,10.0
Visibilities kernel pred0 [1],1.9009290153294387,112.69683142971365,2.4133983197906455,361.8194463391675,4.767783248940592,1018.3507326119224,2.0535388502151215,1.9041622676953964,3.144023075720245,3.665909623848318,1.7142582487181852,1.9041622676953964,3.144023075720245,3.665909623848318,1.7142582487181852,1.9041622676953964,3.144023075720245,3.665909623848318,6.5350790437524955,15.6517869454469,18.64062171128012,116.31722689762738,9.583459333997325,16.58890652868908,3.2303873024230856,359.5283173670437,11.37616646888409,15.426585717717577,14.962754088436839,171.57656346097306,6.649859238057555,16.000250201121755,19.887784869457636,15.710165214910504,15.786061214351697,15.458979609695504,16.709187977722262,17.544701002426514,4.120613061517675,4.019376760082132,5.807371955111132,4.638014825266228,4.019376760082132,5.807371955111132,5.414117112394893,16.972109484305964,5.801627700819883,8.584944724412928,16.3522692039624,16.182806165519718,6.9094014690893,16.3522692039624,16.182806165519718
Visibilities kernel pred1 [1],3.768709208230856,150.43576529443874,3.5943165009085014,486.5050060451353,5.935234821749268,1502.115484891092,4.077031319447302,3.7891600748145366,6.163369856174798,8.580491455738757,3.411586895271359,3.7891600748145366,6.163369856174798,8.580491455738757,3.411586895271359,3.7891600748145366,6.163369856174798,8.580491455738757,14.444716455954563,34.2744570871336,31.985178783200972,162.3924535913061,10.425793691352938,39.64897909403583,5.027791921910119,444.1973003386798,14.24166368400991,36.12421125466588,34.281537482167295,274.52250153755693,14.784916743251102,35.45171094252842,34.778973393047764,34.76047475227949,35.06108827944759,33.78897593366414,33.195176303028745,35.947385779794274,4.5569537841144605,6.130611221611516,5.775105365297957,8.234980889847051,6.130611221611516,5.775105365297957,11.097979871442112,37.85488639578847,6.0891104950896775,19.412038811935208,37.52361522236073,36.82254404818927,15.494818205472589,37.52361522236073,36.82254404818927
Visibilities kernel pred2 [1],7.37232335703566,272.7696264054707,4.7535388513804495,587.6175728397201,10.552277066868296,1963.2881899800968,8.004723979763927,7.487309542189724,18.578584058850936,32.64483894261877,6.744452516543306,7.487309542189724,18.578584058850936,32.64483894261877,6.744452516543306,7.487309542189724,18.578584058850936,32.64483894261877,25.951412464659228,62.06753143567669,56.301650394629334,211.1978262434734,13.471732724617363,68.93273016517443,6.397299385839777,580.1152170759754,19.293241420604012,58.56492649424425,54.3492755749876,343.1531269219461,26.742638283828516,64.98833471869608,63.13163911775407,62.95724900145285,63.7704235727622,60.3966681023697,57.365037125362534,63.928859615314295,6.301047156799592,10.959785900118138,6.060393252643515,14.543852370984236,10.959785900118138,6.060393252643515,19.61237045422062,66.61967030334408,10.846937483210935,34.66484535982423,66.41019215513798,64.54195544242737,27.441442862225028,66.41019215513798,64.54195544242737
Visibilities kernel pred3 [1],25.788111527105944,444.4376805557084,8.61784783103377,749.6815165071641,23.71148796174532,2822.4947020499226,28.25167499542608,26.86150243438664,76.6742102577276,115.85191092395316,20.767764236311727,26.86150243438664,76.6742102577276,115.85191092395316,20.767764236311727,26.86150243438664,76.6742102577276,115.85191092395316,54.11407175431356,124.52124181144455,107.25197517037792,261.7632449062643,24.32934006111591,147.59118402284136,8.709256342768876,692.0373546528374,31.26123168174342,165.37254574608545,147.1402783559315,686.3062538438923,59.44661463323382,144.71632454253142,137.50603073649575,130.66941688264234,133.5607897179136,122.04100499250531,123.76932416158952,144.62953994397157,13.870771424828934,24.198437257940242,13.622165027154365,32.22647586802361,24.198437257940242,13.622165027154365,43.518643792651716,146.43086289532388,23.753801211126056,78.60304893423114,147.86007593960682,140.60451352801581,61.19426250005857,147.86007593960682,140.60451352801581
Visibilities kernel pred4 [1],90.25759571651363,635.035044201776,23.437246154885234,959.8064877479788,64.16279233566314,4153.875138888142,99.88993628062082,95.81092401827544,336.47566016065014,336.7884281076634,89.7135580417565,95.81092401827544,336.47566016065014,336.7884281076634,89.7135580417565,95.81092401827544,336.47566016065014,336.7884281076634,149.7322455391894,316.9327291398315,252.67288537995003,411.8747883115883,58.761258217481874,441.89066090679876,14.477290992708827,994.4465118179978,,,,,162.8229573190641,411.55961798060395,372.4773093617586,356.55419831274037,371.03545532222626,317.4196237517269,216.82330726621151,262.4090615417147,36.02899174123992,65.71087943166206,35.950296204995375,86.29287105033163,65.71087943166206,35.950296204995375,121.58175632816398,404.3484814670309,63.29127796962095,221.02014821509337,420.3490402023072,381.01859468471565,168.87095103371317,420.3490402023072,381.01859468471565
Visibilities kernel pred5 [1],,,44.2326976844872,1019.7626836632329,121.99736793456832,4747.749147198898,,,,,,,,,,,,,284.50439091312444,520.1309917949171,394.6050335288448,632.7388282341622,,,,,,,,,318.3141863553229,746.0016968115217,643.0442287082677,755.5309456260361,798.5693955382338,648.1194982568865,,,66.71253229560718,125.4275012335566,67.57871082762362,160.44786587146862,125.4275012335566,67.57871082762362,223.3957114439034,710.8366223568217,118.37581873649545,413.9435825862279,761.6315000804661,658.0223746673568,332.8751594502878,761.6315000804661,658.0223746673568
Visibilities kernel pred6 [1],,,100.1993071832516,1108.9561500136263,298.66307679592666,5539.40278682903,,,,,,,,,,,,,309.77775879044253,839.7705389832768,625.7985853000283,997.9967397989078,,,,,,,,,696.5077527762563,2195.899055179336,1735.9659790335018,1412.3392534024035,1520.1557260653378,1165.4713866466393,,,144.00887721628868,309.509491389941,161.79206440955684,374.60623364952426,309.509491389941,161.79206440955684,507.66462038878825,1976.4788243607782,280.7570303349263,978.6312527601799,2240.10219603215,1777.377168510646,740.6700638131396,2240.10219603215,1777.377168510646
Visibilities kernel pred7 [1],,,168.1868405376661,1766.0361178022179,487.79165038058034,9111.79635005981,,,,,,,,,,,,,,,,,,,,,,,,,1318.8872517538769,4191.791207381168,3094.385882451235,,,,,,229.7569272393956,509.25563380680023,268.71712980729905,622.2803860900141,509.25563380680023,268.71712980729905,890.3980631044782,3598.1461889780276,446.16101481716413,2083.3393107864486,4272.999581531205,3169.3849190519954,1424.321998426517,4272.999581531205,3169.3849190519954
Visibilities kernel pred8 [1],,,229.33028479969062,1541.8021673723804,777.1215328203859,8069.7617388169865,,,,,,,,,,,,,,,,,,,,,,,,,1992.9284678892052,4775.825393366629,3384.018006442411,,,,,,324.2631753087781,815.3440106545079,388.248952878512,839.2333404752485,815.3440106545079,388.248952878512,1255.2166217369784,3981.155037194109,698.5773793385097,2379.460099487217,4865.946180567903,3466.731637624834,2174.4557334478236,4865.946180567903,3466.731637624834
Visibilities kernel pred9 [1],,,329.02882286926564,1326.1317556175777,1108.0302502398265,7029.30689193838,,,,,,,,,,,,,,,,,,,,,,,,,2262.6001090812574,10910.245173558882,7400.2746127874825,,,,,,415.18145547702267,1169.2568445723655,509.42669893731426,1179.9572185512577,1169.2568445723655,509.42669893731426,1298.4290403501388,4095.239071858061,720.8359253288412,4088.57754803081,11109.77269238494,7582.647674437395,2498.223613793692,11109.77269238494,7582.647674437395
Visibilities kernel pred10 [1],,,417.1418085951901,1168.825379135041,1225.5664582851844,6248.529767505168,,,,,,,,,,,,,,,,,,,,,,,,,3739.302969626891,12081.66715126637,7919.9568366397725,,,,,,534.6459538084636,1299.6288691783104,668.4012777473238,1720.355497190684,1299.6288691783104,668.4012777473238,,,,4538.588380722055,12296.699057857171,8116.294363812373,4170.2850753103,12296.699057857171,8116.294363812373
Visibilities kernel pred11 [1],,,534.5936191455273,1048.4613254532062,1770.3744781542296,5639.615516675209,,,,,,,,,,,,,,,,,,,,,,,,,4038.05860569483,13102.120641308587,8359.948984526143,,,,,,706.8649667546975,1885.1296030980586,896.6618361281055,1846.4211954146656,1885.1296030980586,896.6618361281055,,,,9864.092827194421,13329.927376198002,8568.106837731375,4541.554388814916,13329.927376198002,8568.106837731375
Visibilities kernel bw0 [1],1.9009290153294387,112.69683142971365,2.4133983197906455,361.8194463391675,4.767783248940592,1018.3507326119224,2.0535388502151215,1.9041622676953964,3.144023075720245,3.665909623848318,1.7142582487181852,1.9041622676953964,3.144023075720245,3.665909623848318,1.7142582487181852,1.9041622676953964,3.144023075720245,3.665909623848318,6.5350790437524955,15.6517869454469,18.64062171128012,116.31722689762738,9.583459333997325,16.58890652868908,3.2303873024230856,359.5283173670437,11.37616646888409,15.426585717717577,14.962754088436839,171.57656346097306,6.649859238057555,16.000250201121755,19.887784869457636,15.710165214910504,15.786061214351697,15.458979609695504,16.709187977722262,17.544701002426514,4.120613061517675,4.019376760082132,5.807371955111132,4.638014825266228,4.019376760082132,5.807371955111132,5.414117112394893,16.972109484305964,5.801627700819883,8.584944724412928,16.3522692039624,16.182806165519718,6.9094014690893,16.3522692039624,16.182806165519718
