,Ingest (Low) [],RCAL (Low) [],FastImg (Low) [],ICAL (Low) [],DPrepA (Low) [],DPrepA_Image (Low) [],DPrepB (Low) [],DPrepC (Low) [],DPrepD (Low) [],Ingest (Mid1) [],RCAL (Mid1) [],FastImg (Mid1) [],ICAL (Mid1) [],DPrepA (Mid1) [],DPrepA_Image (Mid1) [],DPrepB (Mid1) [],DPrepC (Mid1) [],DPrepD (Mid1) [],Ingest (Mid5b) [],RCAL (Mid5b) [],FastImg (Mid5b) [],ICAL (Mid5b) [],DPrepA (Mid5b) [],DPrepA_Image (Mid5b) [],DPrepB (Mid5b) [],DPrepC (Mid5b) [],DPrepD (Mid5b) [],Ingest (Mid5a) [],RCAL (Mid5a) [],FastImg (Mid5a) [],ICAL (Mid5a) [],DPrepA (Mid5a) [],DPrepA_Image (Mid5a) [],DPrepB (Mid5a) [],DPrepC (Mid5a) [],DPrepD (Mid5a) [],Ingest (Mid2) [],RCAL (Mid2) [],FastImg (Mid2) [],ICAL (Mid2) [],DPrepA (Mid2) [],DPrepA_Image (Mid2) [],DPrepB (Mid2) [],DPrepC (Mid2) [],DPrepD (Mid2) []
Visibilities kernel pred11,,,,,,,,,,,2181.9953190598144,2945.3123647465827,2181.995334047783,2505.7384391018822,2340.574679888738,2646.2810144340133,1400.9289322884977,,,4757.025520666681,20662.655621493752,4757.025520666681,19525.18828925545,17348.033076199637,19673.045709383023,7945.57784284976,,,5563.814597694339,18059.356057961126,5563.814625966968,18458.499549129716,16097.25100866608,18692.24606023999,5356.456486901824,,,2601.338852496594,8141.384288132732,2601.3388599010086,2519.310122499666,2345.0944548738457,15221.278809308824,6373.226833799142,
Visibilities kernel bw0,(undefined),6.773518417108292,3.5355519066189713,6.773518417106277,3.3004837241200016,3.249596877152177,3.375235474598679,83.81040412522498,(undefined),(undefined),3.7603639784512515,25.123690333033164,3.7603639784512515,4.073325943470025,4.073325943470025,4.073325943470025,154.26468154070787,(undefined),(undefined),7.480417441416208,23.552913890876493,7.480417441416208,17.77102960108353,17.77102960108353,17.77102960108353,875.9416334983714,(undefined),(undefined),7.427657770298827,23.536651598753153,7.427657770298827,17.361310855338523,17.361310855338523,17.361310855338523,862.0315558195357,(undefined),(undefined),4.830637901336409,23.544081575264908,4.830637901336409,4.2349380228828695,4.2349380228828695,13.192236178285835,338.7225928338752,(undefined)
Visibilities kernel bw1,,29.79771197244532,9.802205689105074,29.79771197243645,6.597520925313439,6.495800369856689,6.74694636691848,116.40333906281246,,,5.335347753182275,57.35192568054093,5.335347753182275,5.889193080522007,5.889193080522007,5.889193080522007,208.67500305927905,,,17.019714862150252,52.990339147654,17.019714862150252,40.38776152637757,40.38776152637757,40.38776152637757,1325.1764115718897,,,16.811713935803706,52.95285285197703,16.811713935803706,38.78267448479159,38.78267448479159,38.78267448479159,1281.834915277811,,,8.081993233303752,52.954826837625184,8.081993233303752,6.215577687752758,6.215577687752758,27.184752832483856,501.4719242088947,
Visibilities kernel bw2,,148.97413580922273,38.69721167101899,148.97413580917842,20.939038774136524,20.616200744678604,21.41328131933342,232.80667812562493,,,8.26062368975612,100.12409794544777,8.26062368975612,9.68319745066633,9.68319745066633,10.180601085722811,269.5290584758852,,,30.12178220264661,97.14387592508056,30.12178220264661,70.69554687832931,70.69554687832931,70.69554687832931,1779.2881124455635,,,29.575075375902877,97.07195112079185,29.575075375902877,66.63366024288744,66.63366024288744,66.63366024288744,1689.3142562426058,,,14.013629488675157,97.02297355083472,14.013629488675157,10.696398237467545,10.696398237467545,48.32662600450938,658.085349829932,
Visibilities kernel bw3,,595.8676937335237,140.91435310878978,595.8676937333463,97.70274437810002,96.19636379359025,99.91558703369623,465.61335625124985,,,17.229418711646357,237.97340091936158,17.229418829993993,22.11308380136936,20.65551744430836,23.353368779834074,377.6635604293891,,,67.06645230780389,211.92393683200993,67.06645230780389,153.55990744394302,153.55990744394302,153.55990744394302,2699.259594722925,,,64.9525367096882,211.73832899405855,64.9525367096882,139.3296283964131,139.3296283964131,139.3296283964131,2466.9372293422184,,,28.896117185504245,211.16183743942264,28.896117185504245,22.797583923678285,22.797583923678285,108.73080558728923,951.508646586353,
Visibilities kernel bw4,,1191.706537265992,444.0216950008476,1191.7065372656373,586.1781540615835,577.1404612520039,599.4543422724938,931.2267125024997,,,47.439484333234525,630.4394104608878,47.439484659092926,62.64917026057713,58.51969995739178,66.1630548677824,535.5798896114953,,,184.39173499733866,647.2125294326522,184.39173499733866,413.6602909025949,413.6602909025949,413.6602909025949,4362.55635115482,,,173.14062614155054,646.1941853852023,173.14062614155054,384.56659282058365,350.29102905209277,389.4364956597674,3720.93685922784,,,72.26530405331452,637.1934529355107,72.26530425900947,59.98923342600937,58.0228704547078,317.12194259213476,1463.991475674563,
Visibilities kernel bw5,,,,,,,,,,,95.46864788999919,1207.5831286371324,95.46864854576644,125.29442566238673,117.0357431008226,132.32197529907734,694.005863106662,,,361.9799824109419,1357.6505583248352,361.9799824109419,759.3317041540058,710.5961815720902,765.0818575012628,5352.6017645084285,,,329.1860472152093,1353.4181765915757,329.1860472152093,717.8483479267143,626.0197375185566,726.9387155585762,4323.624198681196,,,140.0795969714625,1302.7286174190374,140.0795973701831,117.5750946913093,109.44452615396233,591.9533004331603,1797.4164657467334,
Visibilities kernel bw6,,,,,,,,,,,240.02788177183692,2855.3335139747255,240.02788342057116,306.26656287152286,286.0792456097579,323.44452957881884,907.5681789560384,,,798.6768216379428,2830.6058040128064,798.6768216379428,2386.443006369348,2120.342789817955,2404.51470437174,6843.558067909071,,,684.5311920976096,2802.410168148784,684.5311920976096,2256.0682589696785,1967.4674510058667,2284.6376496158246,5140.60808032068,,,357.6941668351437,2453.6984671808673,357.6941678532793,307.92571728225903,286.6319972529594,1860.4027752536856,2349.4358537325234,
Visibilities kernel bw7,,,,,,,,,,,467.5798954932237,2820.745344723284,467.5798987049963,626.4460286189014,585.1543361516192,661.5823129152955,899.744917496644,,,1523.8338997764972,5731.9408172859585,1523.8338997764972,4881.333906495529,4337.04099603786,4918.298540459793,11866.42515835947,,,1390.9698580558984,5598.242462820242,1390.969865124138,4614.65973297556,4024.3431403282125,4673.096802016471,8538.817347143437,,,650.345318025839,4243.124257177047,650.3453198769728,539.8623557101058,502.52972250782057,3805.34842434954,3306.867954547757,
Visibilities kernel bw8,,,,,,,,,,,654.6074343852567,5393.690824261097,654.607438881708,902.0768001896715,842.6171243139675,952.6727421553725,998.1453197567375,,,2314.0995994005375,13594.699977467879,2314.0995994005375,5857.585954135184,5204.436104461995,5901.943403319453,10784.81359634665,,,2225.543128307922,13076.898798118815,2225.5431396170616,5537.5777413385185,4829.199613168508,5607.702047682847,7596.730038616788,,,936.492167621567,8782.577931359487,936.4921702871851,755.8025442662945,703.537186513514,4566.40662043874,2965.600417801387,
Visibilities kernel bw9,,,,,,,,,,,960.0850113339,4602.769679923362,960.0850179286548,1378.1652766155412,1287.3246069148236,1455.464205420852,1161.4693150913417,,,2642.2659106045126,16246.629914545885,2642.2659106045126,14318.510702037336,12721.92583144274,14426.93977432635,9622.721330386279,,,2720.0986628314113,15214.59693161114,2720.0986766536444,13536.270171563956,11804.683153840526,13707.684750394032,6644.41319263157,,,1430.7448528205773,8751.056662846335,1430.7448568930292,1385.630074909727,1289.8108002492108,11162.301763696358,3919.1899969773735,
Visibilities kernel bw10,,,,,,,,,,,1418.3013767383939,3629.730180116793,1418.3013864806037,1628.7345529797233,1521.3778084238588,1720.0874831324186,1550.7107940607202,,,4387.610945670529,18620.097040003657,4387.610945670529,16921.849495773582,15034.979453934196,17049.99274198284,8697.603239455446,,,4821.981295973532,16875.410956167067,4821.981320476521,15997.384860444698,13950.967081338647,16199.965405416113,5922.877600183004,,,2254.4993281321804,8486.727093152927,2254.499334549356,1637.5563334051312,1524.315820714299,13191.790286371868,3511.0172604510944,
Visibilities kernel bw11,,,,,,,,,,,2181.9953190598144,2945.3123647465827,2181.995334047783,2505.7384391018822,2340.574679888738,2646.2810144340133,1400.9289322884977,,,4757.025520666681,20662.655621493752,4757.025520666681,19525.18828925545,17348.033076199637,19673.045709383023,7945.57784284976,,,5563.814597694339,18059.356057961126,5563.814625966968,18458.499549129716,16097.25100866608,18692.24606023999,5356.456486901824,,,2601.338852496594,8141.384288132732,2601.3388599010086,2519.310122499666,2345.0944548738457,15221.278809308824,6373.226833799142,
Oversampling used pred0,(undefined),6.475479671630268,3.466075110507063,6.475479671628449,3.241566993735262,3.1928566283693414,3.313050784953994,46.9012233237045,(undefined),(undefined),3.6800117384404203,20.912788349414015,3.6800117384404203,3.9765756207435032,3.9765756207435032,3.9765756207435032,58.362347187563614,(undefined),(undefined),7.112319900784975,19.833641129401386,7.112319900784975,15.623286809650644,15.623286809650644,15.623286809650644,63.999934650348074,(undefined),(undefined),7.065033529395087,19.822328482833335,7.065033529395087,15.310131833821714,15.310131833821714,15.310131833821714,63.99991864575758,(undefined),(undefined),4.688188202773077,19.827497406334565,4.688188202773077,4.1291484808892065,4.1291484808892065,12.006066993846254,63.69131724791079,(undefined)
Oversampling used pred1,,23.970444115201914,9.154812197826722,23.970444115196322,6.315819447456626,6.2233392810775,6.45140257075257,53.76593616898936,,,5.157750700324776,38.062637807091136,5.157750700324776,5.668750108414677,5.668750108414677,5.668750108414677,61.60688791899871,,,15.04749520171287,36.21844513007123,15.04749520171287,30.119412925175546,30.119412925175546,30.119412925175546,63.99999994469863,,,14.88687989341831,36.20203951475038,14.88687989341831,29.252081136611864,29.252081136611864,29.252081136611864,63.999999890562336,,,7.648719238880517,36.202903657367756,7.648719238880517,5.967804743510143,5.967804743510143,22.288874504939272,63.976209662986435,
Oversampling used pred2,,57.87250994372431,29.205282464802302,57.87250994372004,17.977627995929197,17.743046680305184,18.320067609279505,62.363499023481246,,,7.807020300725647,50.77521067181199,7.807020300725647,9.051925828356723,9.051925828356723,9.480668602838833,63.08218253022994,,,24.174217474083505,50.1397275892638,24.174217474083505,42.97852834641787,42.97852834641787,42.97852834641787,63.999999999956664,,,23.829847730942255,50.12401919870679,23.829847730942255,41.5898850823875,41.5898850823875,41.5898850823875,63.99999999982125,,,12.674308090824113,50.113312300487564,12.674308090824113,9.921733024889598,9.921733024889598,34.101206572864584,63.99798044870062,
Oversampling used pred3,,63.99461993091244,57.04324208737636,63.99461993091243,50.26118019700483,49.93135718055817,50.73171299695988,63.958154133653956,,,15.208893756791745,62.4913834832709,15.208893847727673,18.820730331079822,17.771678891250943,19.694629701383683,63.832822219705946,,,41.742107789034996,61.72625267123266,41.742107789034996,58.29942615155981,58.29942615155981,58.29942615155981,64.0,,,40.98865513614025,61.719596742791396,40.98865513614025,56.86743898099279,56.86743898099279,56.86743898099279,64.0,,,23.39802483010382,61.6987991639544,23.39802483010382,19.305136088082634,19.305136088082634,52.45154636559127,63.999980120365485,
Oversampling used pred4,,63.999999547526606,63.941206799652434,63.999999547526606,63.99373301395025,63.99277444275913,63.99491539476052,63.99997263942922,,,33.68055821876813,63.996878687833416,33.68055837435945,40.13861203133864,38.53528015354849,41.4231808807037,63.98609657690308,,,60.49210473280351,63.99760327214201,60.49210473280351,63.905162164559236,63.905162164559236,63.905162164559236,64.0,,,59.81208625437612,63.99756452536342,59.81208625437612,63.85004333076738,63.74272895110379,63.86111400562116,64.0,,,43.4918313252001,63.9971936396133,43.49183139163339,39.1178365090584,38.335256363566785,63.56624111813608,63.99999999378672,
Oversampling used pred5,,,,,,,,,,,49.7691984723838,63.999999647624016,49.76919861934894,55.10311031635261,53.86735466388815,56.0352195262458,63.99885295818649,,,63.78598451247537,63.99999996683871,63.78598451247537,63.99958999600355,63.99911669432922,63.999625492646025,64.0,,,63.64129548131008,63.99999996455308,63.64129548131008,63.99921202874624,63.99665369729298,63.999317130853555,64.0,,,56.951184515675166,63.999999921247216,56.95118455993605,53.9530558700262,52.58062336595085,63.994277839300956,63.99999999996742,
Oversampling used pred6,,,,,,,,,,,62.53941313262409,64.0,62.539413170548016,63.485372569551124,63.29276692349669,63.60735007015798,63.999960286706276,,,63.99977935701297,64.0,63.99977935701297,64.0,63.9999999999998,64.0,64.0,,,63.998668379271294,64.0,63.998668379271294,63.99999999999998,63.99999999999776,63.999999999999986,64.0,,,63.77104100243215,64.0,63.77104100610327,63.49864509329334,63.29889662005985,63.99999999998792,63.99999999999999,
Oversampling used pred7,,,,,,,,,,,63.95943022801205,64.0,63.95943023006408,63.99667608706976,63.99363114951827,63.99808866120798,63.999955079713835,,,63.99999999757879,64.0,63.99999999757879,64.0,64.0,64.0,64.0,,,63.99999998037785,64.0,63.99999998037785,64.0,64.0,64.0,64.0,,,63.99771864824676,64.0,63.99771864831327,63.9870033286983,63.97660269358685,64.0,64.0,
Oversampling used pred8,,,,,,,,,,,63.9978667496305,64.0,63.99786674978156,63.99995669941353,63.999889550502516,63.99998048149043,63.999990462371784,,,63.99999999999999,64.0,63.99999999999999,64.0,64.0,64.0,64.0,,,63.999999999999964,64.0,63.999999999999964,64.0,64.0,64.0,64.0,,,63.99997481670979,64.0,63.999974816710846,63.99956656346818,63.99901283333264,64.0,64.0,
Oversampling used pred9,,,,,,,,,,,63.99998263195258,64.0,63.99998263195438,63.999999975993845,63.999999899626175,63.99999999289372,63.99999927155251,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,63.999999989511615,64.0,63.999999989511615,63.999999978656405,63.999999903480216,64.0,64.0,
Oversampling used pred10,,,,,,,,,,,63.999999987241054,64.0,63.999999987241054,63.999999999535945,63.9999999974833,63.9999999998899,63.99999999841434,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,63.99999999999998,64.0,63.99999999999998,63.999999999596135,63.999999997597094,64.0,64.0,
Oversampling used pred11,,,,,,,,,,,63.99999999999992,64.0,63.99999999999992,64.0,63.99999999999999,64.0,63.99999998322617,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,63.99999999999999,64.0,64.0,
Oversampling used bw0,(undefined),6.475479671630268,3.466075110507063,6.475479671628449,3.241566993735262,3.1928566283693414,3.313050784953994,46.9012233237045,(undefined),(undefined),3.6800117384404203,20.912788349414015,3.6800117384404203,3.9765756207435032,3.9765756207435032,3.9765756207435032,58.362347187563614,(undefined),(undefined),7.112319900784975,19.833641129401386,7.112319900784975,15.623286809650644,15.623286809650644,15.623286809650644,63.999934650348074,(undefined),(undefined),7.065033529395087,19.822328482833335,7.065033529395087,15.310131833821714,15.310131833821714,15.310131833821714,63.99991864575758,(undefined),(undefined),4.688188202773077,19.827497406334565,4.688188202773077,4.1291484808892065,4.1291484808892065,12.006066993846254,63.69131724791079,(undefined)
Oversampling used bw1,,23.970444115201914,9.154812197826722,23.970444115196322,6.315819447456626,6.2233392810775,6.45140257075257,53.76593616898936,,,5.157750700324776,38.062637807091136,5.157750700324776,5.668750108414677,5.668750108414677,5.668750108414677,61.60688791899871,,,15.04749520171287,36.21844513007123,15.04749520171287,30.119412925175546,30.119412925175546,30.119412925175546,63.99999994469863,,,14.88687989341831,36.20203951475038,14.88687989341831,29.252081136611864,29.252081136611864,29.252081136611864,63.999999890562336,,,7.648719238880517,36.202903657367756,7.648719238880517,5.967804743510143,5.967804743510143,22.288874504939272,63.976209662986435,
Oversampling used bw2,,57.87250994372431,29.205282464802302,57.87250994372004,17.977627995929197,17.743046680305184,18.320067609279505,62.363499023481246,,,7.807020300725647,50.77521067181199,7.807020300725647,9.051925828356723,9.051925828356723,9.480668602838833,63.08218253022994,,,24.174217474083505,50.1397275892638,24.174217474083505,42.97852834641787,42.97852834641787,42.97852834641787,63.999999999956664,,,23.829847730942255,50.12401919870679,23.829847730942255,41.5898850823875,41.5898850823875,41.5898850823875,63.99999999982125,,,12.674308090824113,50.113312300487564,12.674308090824113,9.921733024889598,9.921733024889598,34.101206572864584,63.99798044870062,
Oversampling used bw3,,63.99461993091244,57.04324208737636,63.99461993091243,50.26118019700483,49.93135718055817,50.73171299695988,63.958154133653956,,,15.208893756791745,62.4913834832709,15.208893847727673,18.820730331079822,17.771678891250943,19.694629701383683,63.832822219705946,,,41.742107789034996,61.72625267123266,41.742107789034996,58.29942615155981,58.29942615155981,58.29942615155981,64.0,,,40.98865513614025,61.719596742791396,40.98865513614025,56.86743898099279,56.86743898099279,56.86743898099279,64.0,,,23.39802483010382,61.6987991639544,23.39802483010382,19.305136088082634,19.305136088082634,52.45154636559127,63.999980120365485,
Oversampling used bw4,,63.999999547526606,63.941206799652434,63.999999547526606,63.99373301395025,63.99277444275913,63.99491539476052,63.99997263942922,,,33.68055821876813,63.996878687833416,33.68055837435945,40.13861203133864,38.53528015354849,41.4231808807037,63.98609657690308,,,60.49210473280351,63.99760327214201,60.49210473280351,63.905162164559236,63.905162164559236,63.905162164559236,64.0,,,59.81208625437612,63.99756452536342,59.81208625437612,63.85004333076738,63.74272895110379,63.86111400562116,64.0,,,43.4918313252001,63.9971936396133,43.49183139163339,39.1178365090584,38.335256363566785,63.56624111813608,63.99999999378672,
Oversampling used bw5,,,,,,,,,,,49.7691984723838,63.999999647624016,49.76919861934894,55.10311031635261,53.86735466388815,56.0352195262458,63.99885295818649,,,63.78598451247537,63.99999996683871,63.78598451247537,63.99958999600355,63.99911669432922,63.999625492646025,64.0,,,63.64129548131008,63.99999996455308,63.64129548131008,63.99921202874624,63.99665369729298,63.999317130853555,64.0,,,56.951184515675166,63.999999921247216,56.95118455993605,53.9530558700262,52.58062336595085,63.994277839300956,63.99999999996742,
Oversampling used bw6,,,,,,,,,,,62.53941313262409,64.0,62.539413170548016,63.485372569551124,63.29276692349669,63.60735007015798,63.999960286706276,,,63.99977935701297,64.0,63.99977935701297,64.0,63.9999999999998,64.0,64.0,,,63.998668379271294,64.0,63.998668379271294,63.99999999999998,63.99999999999776,63.999999999999986,64.0,,,63.77104100243215,64.0,63.77104100610327,63.49864509329334,63.29889662005985,63.99999999998792,63.99999999999999,
Oversampling used bw7,,,,,,,,,,,63.95943022801205,64.0,63.95943023006408,63.99667608706976,63.99363114951827,63.99808866120798,63.999955079713835,,,63.99999999757879,64.0,63.99999999757879,64.0,64.0,64.0,64.0,,,63.99999998037785,64.0,63.99999998037785,64.0,64.0,64.0,64.0,,,63.99771864824676,64.0,63.99771864831327,63.9870033286983,63.97660269358685,64.0,64.0,
Oversampling used bw8,,,,,,,,,,,63.9978667496305,64.0,63.99786674978156,63.99995669941353,63.999889550502516,63.99998048149043,63.999990462371784,,,63.99999999999999,64.0,63.99999999999999,64.0,64.0,64.0,64.0,,,63.999999999999964,64.0,63.999999999999964,64.0,64.0,64.0,64.0,,,63.99997481670979,64.0,63.999974816710846,63.99956656346818,63.99901283333264,64.0,64.0,
Oversampling used bw9,,,,,,,,,,,63.99998263195258,64.0,63.99998263195438,63.999999975993845,63.999999899626175,63.99999999289372,63.99999927155251,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,63.999999989511615,64.0,63.999999989511615,63.999999978656405,63.999999903480216,64.0,64.0,
Oversampling used bw10,,,,,,,,,,,63.999999987241054,64.0,63.999999987241054,63.999999999535945,63.9999999974833,63.9999999998899,63.99999999841434,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,63.99999999999998,64.0,63.99999999999998,63.999999999596135,63.999999997597094,64.0,64.0,
Oversampling used bw11,,,,,,,,,,,63.99999999999992,64.0,63.99999999999992,64.0,63.99999999999999,64.0,63.99999998322617,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,63.99999999999999,64.0,64.0,
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",(undefined),2512.698790060951,1809.0904657256951,2512.698790060951,931.2414905129898,931.2414905129898,931.2414905129898,1809.0904657256951,(undefined),(undefined),904.5597563976627,3252.4350388181706,904.5597563976627,1005.0053854489457,1005.0053854489457,1005.0053854489457,1373.4278293411337,(undefined),(undefined),884.9539836067656,1768.2114187945754,884.9539836067656,1365.5018777230769,1365.5018777230769,1365.5018777230769,2488.214539298124,(undefined),(undefined),878.4803344221916,1755.2763217318097,878.4803344221916,1355.512792331873,1355.512792331873,1355.512792331873,2470.012277238968,(undefined),(undefined),630.500997159299,1763.4641473468378,630.500997159299,544.9192586195416,544.9192586195416,1361.8358133158226,992.7986277992072,(undefined)
"Channels predict, no-smear1",,5024.424813405256,3617.208237988821,5024.424813405256,1861.5105341316757,1861.5105341316757,1861.5105341316757,3617.208237988821,,,1356.5650741686497,4878.377930924128,1356.5650741686497,1507.2335084877068,1507.2335084877068,1507.2335084877068,2059.86715195982,,,1327.2764773900503,2652.1626151975665,1327.2764773900503,2048.098308014086,2048.098308014086,2048.098308014086,3732.1672916129596,,,1317.5670289686655,2632.760995049357,1317.5670289686655,2033.115705347188,2033.115705347188,2033.115705347188,3704.864923992691,,,945.5973858340815,2645.042084215139,945.5973858340815,817.2247845994948,817.2247845994948,2042.59958758406,1489.0438165150779,
"Channels predict, no-smear2",,10047.876765942678,7233.443651746777,10047.876765942678,3722.048367432926,3722.048367432926,3722.048367432926,7233.443651746777,,,1808.570373420898,6504.3208178727855,1808.570373420898,2009.4616148571042,2009.4616148571042,2009.4616148571042,2746.3064623796045,,,1769.5989651795082,3536.1138086001583,1769.5989651795082,2730.6947344207297,2730.6947344207297,2730.6947344207297,4976.1200417921455,,,1756.6537175567425,3510.2456653832655,1756.6537175567425,2710.7186144999496,2710.7186144999496,2710.7186144999496,4939.717568631215,,,1260.6937661381571,3526.6200180912742,1260.6937661381571,1089.530300895098,1089.530300895098,2723.3633579754173,1985.2889999151987,
"Channels predict, no-smear3",,20094.780623893577,14465.914413852615,20094.780623893577,7443.123906952532,7443.123906952532,7443.123906952532,14465.914413852615,,,2712.580953399158,9756.206586629321,2712.580953399158,3013.917810920462,3013.917810920462,3013.917810920462,4119.185071013969,,,2654.2439347632017,5304.016192404592,2654.2439347632017,4095.8875833483976,4095.8875833483976,4095.8875833483976,7464.025540014693,,,2634.8270887733916,5265.21500306821,2634.8270887733916,4065.9244289430007,4065.9244289430007,4065.9244289430007,7409.422855775241,,,1890.8865183728738,5289.77588285103,1890.8865183728738,1634.1413237984086,1634.1413237984086,4084.8908948860035,2977.7793613957497,
"Channels predict, no-smear4",,40188.588316266854,28930.855905350065,40188.588316266854,14885.274922420835,14885.274922420835,14885.274922420835,28930.855905350065,,,4520.602091119545,16259.978117949031,4520.602091119545,5022.83018303477,5022.83018303477,5022.83018303477,6864.942273636082,,,4423.533866735149,8839.820956417883,4423.533866735149,6826.273276550539,6826.273276550539,6826.273276550539,12439.836533920661,,,4391.173824052722,8775.15367486393,4391.173824052722,6776.336053187005,6776.336053187005,6776.336053187005,12348.833427517198,,,3151.2720127948655,8816.087608755946,3151.2720127948655,2723.3633579754173,2723.3633579754173,6807.945964038775,4962.7600779759905,
"Channels predict, no-smear5",,,,,,,,,,,6328.623220362096,22763.7496469424,6328.623220362096,7031.742547520076,7031.742547520076,7031.742547520076,9610.699470687023,,,6192.823795965634,12375.625719055834,6192.823795965634,9556.65896797004,9556.65896797004,9556.65896797004,17415.647526891702,,,6147.520556611662,12285.09234525353,6147.520556611662,9486.74767567361,9486.74767567361,9486.74767567361,17288.243998358386,,,4411.657503381265,12342.399333294128,4411.657503381265,3812.5853877207524,3812.5853877207524,9531.001031438836,6947.740792113483,
"Channels predict, no-smear6",,,,,,,,,,,9944.665471916558,35771.292703005485,9944.665471916558,11049.567270263373,11049.567270263373,11049.567270263373,15102.21386022389,,,9731.403652177218,19447.235243184474,9731.403652177218,15017.430349348004,15017.430349348004,15017.430349348004,27367.269511822615,,,9660.21401948799,19304.969684960284,9660.21401948799,14907.570919231697,14907.570919231697,14907.570919231697,27167.065139038263,,,6932.428481437218,19395.02278134777,6932.428481437218,5991.0294435878495,5991.0294435878495,14977.111164731723,10917.702218412896,
"Channels predict, no-smear7",,,,,,,,,,,13560.707720387763,48778.83575805354,13560.707720387763,15067.391990198219,15067.391990198219,15067.391990198219,20593.728247660394,,,13269.983507404142,26518.844766947794,13269.983507404142,20478.201730094595,20478.201730094595,20478.201730094595,37318.8914967592,,,13172.90748135622,26324.847024362658,13172.90748135622,20328.394162114328,20328.394162114328,20328.394162114328,37045.88627931056,,,9453.19945809229,26447.64622874797,9453.19945809229,8169.473497854613,8169.473497854613,20423.221297423315,14887.663643875816,
"Channels predict, no-smear8",,,,,,,,,,,16272.739405947037,58534.493049076,16272.739405947037,18080.76052947859,18080.76052947859,18080.76052947859,24712.36403777495,,,15923.918398595604,31822.551909456844,15923.918398595604,24573.780265375666,24573.780265375666,24573.780265375666,44782.60798534446,,,15807.427577515955,31589.7550285665,15807.427577515955,24394.011594153737,24394.011594153737,24394.011594153737,44455.00213509318,,,11343.777690213876,31737.113814226475,11343.777690213876,9803.306538131448,9803.306538131448,24507.803896874604,17865.134712644343,
"Channels predict, no-smear9",,,,,,,,,,,19888.781652859445,71542.03610356698,19888.781652859445,22098.585247986757,22098.585247986757,22098.585247986757,30203.878424293223,,,19462.498253264697,38894.16143309911,19462.498253264697,30034.551645878844,30034.551645878844,30034.551645878844,54734.22996993109,,,19320.121038991805,38609.63236770124,19320.121038991805,29814.8348366946,29814.8348366946,29814.8348366946,54333.82327541498,,,13864.548666143593,38789.737261594215,13864.548666143593,11981.750591556696,11981.750591556696,29953.914029246473,21835.096137712964,
"Channels predict, no-smear10",,,,,,,,,,,23504.823899465737,84549.57915900485,23504.823899465737,26116.409966266117,26116.409966266117,26116.409966266117,35695.392810509155,,,23001.078107950136,45965.770956308144,23001.078107950136,35495.32302631758,35495.32302631758,35495.32302631758,64685.85195470918,,,22832.814500189143,45629.5097061388,22832.814500189143,35235.65807922186,35235.65807922186,35235.65807922186,64212.64441466497,,,16385.319641927366,45842.360708727,16385.319641927366,14160.194644853267,14160.194644853267,35400.02416123361,25805.05756242697,
"Channels predict, no-smear11",,,,,,,,,,,27120.86614583087,97557.12221209386,27120.86614583087,30134.234684264968,30134.234684264968,30134.234684264968,41186.9071966738,,,26539.657962409896,53037.380479699175,26539.657962409896,40956.09440622273,40956.09440622273,40956.09440622273,74637.47393780021,,,26345.507961359923,52649.387045585485,26345.507961359923,40656.48132131802,40656.48132131802,40656.48132131802,74091.4655559558,,,18906.090617660288,52894.984155741186,18906.090617660288,16338.63869792686,16338.63869792686,40846.13429392234,29775.01898739218,
"Channels backward, no-smear0",(undefined),2512.698790060951,1809.0904657256951,2512.698790060951,931.2414905129898,931.2414905129898,931.2414905129898,1809.0904657256951,(undefined),(undefined),904.5597563976627,3252.4350388181706,904.5597563976627,1005.0053854489457,1005.0053854489457,1005.0053854489457,1373.4278293411337,(undefined),(undefined),884.9539836067656,1768.2114187945754,884.9539836067656,1365.5018777230769,1365.5018777230769,1365.5018777230769,2488.214539298124,(undefined),(undefined),878.4803344221916,1755.2763217318097,878.4803344221916,1355.512792331873,1355.512792331873,1355.512792331873,2470.012277238968,(undefined),(undefined),630.500997159299,1763.4641473468378,630.500997159299,544.9192586195416,544.9192586195416,1361.8358133158226,992.7986277992072,(undefined)
