Frequency Max [GHz],0.35,0.35,1.05,1.05,13.5,13.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.95,0.95,0.95,0.95,1.5,1.5,1.5,1.4,1.56,1.56,1.56,1.425,12.0,12.0,12.0,1.5,1.5,1.5,1.05,1.05,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,11.0,11.0,11.0,11.0,11.0,11.0
Pipeline,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Ingest rate [M/s],9563.01312,9563.01312,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,4781.50656,4781.50656,4781.50656,4781.50656,4781.50656,4781.50656,4781.50656,4781.50656,4781.50656,4781.50656,4781.50656,4781.50656,2441.3239701003395,2441.3239701003395,3902.307504987704,7111.502469689801,2339.6684698761555,2339.6684698761555,3.5700507658022387,301.94066508576725,1256.607169137975,1256.607169137975,1256.607169137975,80.02728372930248,9129.632914285712,9129.632914285712,9129.632914285712,5083.465492930651,5083.465492930651,5083.465492930651,1837.6030455608811,1837.6030455608811,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9012.691084936572,9012.691084936572,9012.691084936572,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712
Averaged rate0 [M/s],1068.006804412988,4702.156614425932,5557.019537169209,5557.019537169209,2632.2631211519947,5557.019537169209,2053.4987434000855,760.5864024349835,760.5864024349835,1478.2673126817897,1369.0157395189751,760.5864024349835,760.5864024349835,1478.2673126817897,1369.0157395189751,760.5864024349835,760.5864024349835,1478.2673126817897,362.85087221986504,134.3916323195664,134.3916323195664,446.3200273691854,118.84248181297401,66.02491821520934,2.6563948599766602,224.66729001023864,33.55882287867294,18.644423173564526,18.644423173564526,65.17754108311387,2733.1488085693786,1012.2822033974956,1012.2822033974956,470.17873065893633,470.17873065893633,470.17873065893633,219.0395368896133,219.0395368896133,5527.726071639861,3070.9689272751784,3070.9689272751784,5557.019537169209,3070.9689272751784,3070.9689272751784,3500.901427552892,1944.9552360807218,1944.9552360807218,4616.80734182898,2564.901484386682,2564.901484386682,5557.019537169209,2564.901484386682,2564.901484386682
Averaged rate1 [M/s],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Averaged rate2 [M/s],141.85516357533257,624.5514475564056,4.214119973370234,4.214119973370234,1.996155046750689,4.214119973370234,272.7505095876864,101.02286622592253,101.02286622592253,196.3469245533511,181.83587488790292,101.02286622592253,101.02286622592253,196.3469245533511,181.83587488790292,101.02286622592253,101.02286622592253,196.3469245533511,8.461322791543159,3.133879697136858,3.133879697136858,10.407740780109677,13.798865857877114,7.666189529454271,0.3084354666714016,26.086242480049044,2.7767748610592644,1.5427050512014868,1.5427050512014868,5.393018647869954,2.0726608764547456,0.7676558672308879,0.7676558672308879,32.89230629777295,32.89230629777295,32.89230629777295,12.716400486603327,12.716400486603327,4.191905515178975,2.328843979667231,2.328843979667231,4.214119973370234,2.328843979667231,2.328843979667231,21.60777129833686,12.00437909961693,12.00437909961693,3.5011178028563807,1.9450719046035552,1.9450719046035552,4.214119973370234,1.9450719046035552,1.9450719046035552
Predict rate0 [M/s],3.6105665099345465,423.19409529833393,0.7160903327573392,77.79827352036897,0.5935537225369947,241.60954509431352,2.77662970880828,2.5712846156328792,3.2287147163264,9.686144148979201,2.3146032012381066,2.5712846156328792,3.2287147163264,9.686144148979201,2.3146032012381066,2.5712846156328792,3.2287147163264,9.686144148979201,0.3299774115688298,0.8001103533410245,0.9925595537826394,11.576477286249846,0.5935537225369947,1.0159503430569425,0.2043380661520508,17.282099231556828,0.5935537225369947,0.7769695866982546,0.7769695866982546,8.147192635389237,0.3264605604529314,0.784888644052856,0.5935537225369947,1.8087487508246345,1.8087487508246345,1.8087487508246345,1.1930493754058977,5.476886686075762,0.5935537225369947,0.5735582324082685,0.8309752115517925,0.663639335526848,0.5735582324082685,0.8309752115517925,0.7741934141382021,2.4377946726493898,0.8309752115517925,1.0436667188045934,1.9887264798986906,1.1871074450739894,0.8397063426737393,1.9887264798986906,1.1871074450739894
Predict rate1 [M/s],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Predict rate2 [M/s],28.372268931704053,624.5514475564058,0.2325271425811765,2.1070599866851176,0.2661569809855564,4.214119973370235,21.821714121548656,20.205453943647512,20.205453943647512,196.34692455335122,18.18512871982767,20.205453943647512,20.205453943647512,196.34692455335122,18.18512871982767,20.205453943647512,20.205453943647512,196.34692455335122,0.5076963993094773,1.5669398485684294,1.5669398485684294,5.20387039005484,0.5519982218540107,3.8330947647271363,0.1542177333357008,13.043121240024524,0.16662298174879328,0.7713525256007437,0.7713525256007437,2.6965093239349778,0.24872153266273353,0.767655867230888,0.23029793253342773,16.446153148886477,16.446153148886477,16.446153148886477,0.847829566279422,6.358200243301665,0.1796566274006602,0.31051594265843047,0.31051594265843047,0.3593104114519165,0.31051594265843047,0.31051594265843047,1.6206071462675107,6.002189549808466,0.9603669899985493,1.400455840206934,1.9450719046035554,0.2593458269598397,0.6302058546826788,1.9450719046035554,0.2593458269598397
Backward rate0 [M/s],3.6105665099345465,423.19409529833393,0.7160903327573392,77.79827352036897,0.5935537225369947,241.60954509431352,2.77662970880828,2.5712846156328792,3.2287147163264,9.686144148979201,2.3146032012381066,2.5712846156328792,3.2287147163264,9.686144148979201,2.3146032012381066,2.5712846156328792,3.2287147163264,9.686144148979201,0.3299774115688298,0.8001103533410245,0.9925595537826394,11.576477286249846,0.5935537225369947,1.0159503430569425,0.2043380661520508,17.282099231556828,0.5935537225369947,0.7769695866982546,0.7769695866982546,8.147192635389237,0.3264605604529314,0.784888644052856,0.5935537225369947,1.8087487508246345,1.8087487508246345,1.8087487508246345,1.1930493754058977,5.476886686075762,0.5935537225369947,0.5735582324082685,0.8309752115517925,0.663639335526848,0.5735582324082685,0.8309752115517925,0.7741934141382021,2.4377946726493898,0.8309752115517925,1.0436667188045934,1.9887264798986906,1.1871074450739894,0.8397063426737393,1.9887264798986906,1.1871074450739894
Backward rate1 [M/s],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Backward rate2 [M/s],28.372268931704053,624.5514475564058,0.2325271425811765,2.1070599866851176,0.2661569809855564,4.214119973370235,21.821714121548656,20.205453943647512,20.205453943647512,196.34692455335122,18.18512871982767,20.205453943647512,20.205453943647512,196.34692455335122,18.18512871982767,20.205453943647512,20.205453943647512,196.34692455335122,0.5076963993094773,1.5669398485684294,1.5669398485684294,5.20387039005484,0.5519982218540107,3.8330947647271363,0.1542177333357008,13.043121240024524,0.16662298174879328,0.7713525256007437,0.7713525256007437,2.6965093239349778,0.24872153266273353,0.767655867230888,0.23029793253342773,16.446153148886477,16.446153148886477,16.446153148886477,0.847829566279422,6.358200243301665,0.1796566274006602,0.31051594265843047,0.31051594265843047,0.3593104114519165,0.31051594265843047,0.31051594265843047,1.6206071462675107,6.002189549808466,0.9603669899985493,1.400455840206934,1.9450719046035554,0.2593458269598397,0.6302058546826788,1.9450719046035554,0.2593458269598397
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.09440398684029373,0.09440398684029373,0.8580149336490602,0.8580149336490602,17.04886816211769,17.04886816211769,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,1.4098307776762335,1.4098307776762335,1.4098307776762335,1.4098307776762335,2.179085545775391,2.179085545775391,2.179085545775391,2.203297607395118,2.3177546259610975,2.3177546259610975,2.3177546259610975,2.3206973331141834,17.82888173816229,17.82888173816229,17.82888173816229,1.961176991197852,1.961176991197852,1.961176991197852,0.8580149336490602,0.8580149336490602,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093
Delta W earth1 [lambda],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Delta W earth2 [lambda],24.167420631115196,24.167420631115196,772.2134402841542,772.2134402841542,15343.98134590592,15343.98134590592,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,90.22916977127895,90.22916977127895,90.22916977127895,90.22916977127895,54.47713864438477,54.47713864438477,54.47713864438477,55.08244018487794,20.859791633649877,20.859791633649877,20.859791633649877,20.88627599802765,16045.993564346061,16045.993564346061,16045.993564346061,196.1176991197852,196.1176991197852,196.1176991197852,13.728238938384964,13.728238938384964,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,742.9471108013097,742.9471108013097,742.9471108013097,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883
Delta W snapshot0 [lambda],2.1351037050869808,2.3548338663879864,109.92591847526496,172.83815132845783,11064.896063742957,8878.642487799832,1.3572055334956992,1.1716934298779638,1.3809954242519467,1.1754724848916365,1.380995391478987,1.1716934298779638,1.3809954242519467,1.1754724848916365,1.380995391478987,1.1716934298779638,1.3809954242519467,1.1754724848916365,86.73197333855578,49.222151333229135,84.87061565017193,105.35451124854038,622.0820741388005,90.11408179848453,159.75344406177615,652.8510098687176,723.0925301928856,125.75491661084483,201.473434110224,943.6958460674462,5285.060143143159,1977.1945735425409,8500.289182136274,65.98869498376729,55.14361838725691,97.76356565969115,99.05001965163854,24.417506345082398,535.006560963978,141.986624725825,273.50322930198814,149.74555476327046,141.986624725825,273.50322930198814,102.93905694323942,43.13651487213108,220.79775365094207,2145.714594208328,1178.6732759347408,7386.015154170169,2517.6089699695785,1178.6732759347408,7386.015154170169
Delta W snapshot1 [lambda],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Delta W snapshot2 [lambda],34.16165928139169,37.67734186220778,3297.777554257949,5185.144539853735,331946.8819122887,266359.27463399497,21.715288535931187,18.74709487804742,22.095926788031147,18.807559758266184,22.09592626366379,18.74709487804742,22.095926788031147,18.807559758266184,22.09592626366379,18.74709487804742,22.095926788031147,18.807559758266184,693.8557867084462,393.7772106658331,678.9649252013754,842.836089988323,3110.4103706940027,450.5704089924227,798.7672203088807,3264.2550493435883,2169.2775905786566,377.2647498325345,604.4203023306719,2831.0875382023387,158551.80429429476,59315.83720627623,255008.6754640882,659.8869498376729,551.4361838725691,977.6356565969115,396.20007860655414,97.67002538032959,16050.196828919343,4259.59874177475,8205.096879059643,4492.366642898114,4259.59874177475,8205.096879059643,1955.8420819215492,819.5937825704906,4195.1573193679,64371.43782624984,35360.198278042226,221580.45462510508,75528.26909908735,35360.198278042226,221580.45462510508
Delta W max0 [lambda],2.1351037050869808,2.3548338663879864,109.92591847526496,172.83815132845783,11064.896063742957,8878.642487799832,1.3572055334956992,1.1716934298779638,1.3809954242519467,1.1754724848916365,1.380995391478987,1.1716934298779638,1.3809954242519467,1.1754724848916365,1.380995391478987,1.1716934298779638,1.3809954242519467,1.1754724848916365,86.73197333855578,49.222151333229135,84.87061565017193,105.35451124854038,622.0820741388005,90.11408179848453,159.75344406177615,652.8510098687176,723.0925301928856,125.75491661084483,201.473434110224,943.6958460674462,5285.060143143159,1977.1945735425409,8500.289182136274,65.98869498376729,55.14361838725691,97.76356565969115,99.05001965163854,24.417506345082398,535.006560963978,141.986624725825,273.50322930198814,149.74555476327046,141.986624725825,273.50322930198814,102.93905694323942,43.13651487213108,220.79775365094207,2145.714594208328,1178.6732759347408,7386.015154170169,2517.6089699695785,1178.6732759347408,7386.015154170169
Delta W max1 [lambda],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Delta W max2 [lambda],34.16165928139169,37.67734186220778,3297.777554257949,5185.144539853735,331946.8819122887,266359.27463399497,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,693.8557867084462,393.7772106658331,678.9649252013754,842.836089988323,3110.4103706940027,450.5704089924227,798.7672203088807,3264.2550493435883,2169.2775905786566,377.2647498325345,604.4203023306719,2831.0875382023387,158551.80429429476,59315.83720627623,255008.6754640882,659.8869498376729,551.4361838725691,977.6356565969115,396.20007860655414,97.67002538032959,16050.196828919343,4259.59874177475,8205.096879059643,4492.366642898114,4259.59874177475,8205.096879059643,1955.8420819215492,819.5937825704906,4195.1573193679,64371.43782624984,35360.198278042226,221580.45462510508,75528.26909908735,35360.198278042226,221580.45462510508
W kernel support pred0 [uv-pixels],0.9426083881769683,2.1858615053892674,1.2991675564927816,2.55274584204771,0.9704585887990285,3.259991874240462,0.8609520216030805,0.6868503035704705,0.7770563171860811,1.4829514481508468,0.6633524790372729,0.6868503035704705,0.7770563171860811,1.4829514481508468,0.6633524790372729,0.6868503035704705,0.7770563171860811,1.4829514481508468,2.1430050647420074,2.687666764207809,4.048873769692706,4.764314481169987,2.7405445413779286,2.2652851351348895,3.4841715028676368,8.841661261445584,3.7942384637392723,2.572257977204279,3.6665342900050923,10.262549433947068,1.0363674572606143,0.9502809907222947,1.319220979437325,2.0679143428720335,1.806898505650941,2.778827242537759,2.5887593915630753,3.583201094893897,1.659698999394942,0.9049128210121734,1.4806461524881,1.1726457135388473,0.9049128210121734,1.4806461524881,1.115515994851518,1.4647562350599124,1.260705123699679,0.918352232540381,0.9591803026361461,0.9610674959142379,0.8839243868852404,0.9591803026361461,0.9610674959142379
W kernel support pred1 [uv-pixels],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
W kernel support pred2 [uv-pixels],7.583311756387338,17.658329644020107,16.826162472730935,33.25142592861337,12.546311022423549,42.580950658847435,7.015387062886702,6.247242415976737,6.247242415976737,13.50054431938514,5.330491183521604,6.247242415976737,6.247242415976737,13.50054431938514,5.330491183521604,6.247242415976737,6.247242415976737,13.50054431938514,10.254142603603022,12.872460674022175,19.432672685517733,22.889302925643083,9.20664953455112,7.605851925104323,11.714176397241694,29.86298213218673,8.678856762555586,5.879155142541794,8.38610693456097,23.54828418190843,13.403433594613036,12.284014782065025,17.087663102267975,11.708067158188904,10.224355307716314,15.75597552708716,7.348956134399136,10.18083277423116,21.534181564644218,11.694442192710335,19.19428199815042,15.177335301848919,11.694442192710335,19.19428199815042,10.223237406276114,13.442364827857237,11.56063363458077,11.86906433047824,12.399694091607282,12.424226375822814,11.42177917215276,12.399694091607282,12.424226375822814
AW kernel support pred0 [uv-pixels],9.049227070499535,9.26164081147302,9.093285233612956,9.355025993234433,9.052170450923567,9.57222790264178,9.041086128530269,9.02617102317006,9.033483077976003,9.121356532751733,9.024413361069232,9.02617102317006,9.033483077976003,9.121356532751733,9.024413361069232,9.02617102317006,9.033483077976003,9.121356532751733,9.251619896402461,9.3927393573668,9.868808378061944,10.183255494952782,9.40800639791855,9.280706694183536,9.650878253371292,12.616456470108693,9.767100159193543,9.360369175480796,9.718203213546378,13.649905526567109,9.059473357015232,9.050029500577782,9.096171941678959,9.234515132342136,9.179590525166338,9.419229312627971,9.364917254701508,9.68707025299439,9.15175397224994,9.045378223912596,9.120982021080724,9.076072827466792,9.045378223912596,9.120982021080724,9.06886850355487,9.118416026270511,9.087869794892674,9.046732604814398,9.050968282618449,9.05116847328028,9.043302622478718,9.050968282618449,9.05116847328028
AW kernel support pred1 [uv-pixels],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
AW kernel support pred2 [uv-pixels],11.768883430239354,19.8196015554521,19.081921904219683,34.44789291503998,15.440528497152766,43.52168837500678,11.4112074576759,10.955730820167993,10.955730820167993,16.225433643501873,10.460121235320436,10.955730820167993,10.955730820167993,16.225433643501873,10.460121235320436,10.955730820167993,10.955730820167993,16.225433643501873,13.643586058475483,15.706694235396812,21.41561971324825,24.595125297949856,12.874874587818336,11.78341985616286,14.7723366014214,31.189705061563245,12.502901851368618,10.750091403800976,12.301495417951902,25.209555488185796,16.144721494197455,15.228165325015093,19.312903207353635,14.767492562404142,13.62121292170513,18.145268386281025,11.619257991168054,13.588574464485202,23.33925824997579,14.75669265786354,21.199539179532213,17.645155336940203,14.75669265786354,21.199539179532213,13.620373822516148,16.177056968596396,14.650878814357867,14.895458639499184,15.321632209573515,15.341492790393355,14.541562483358609,15.321632209573515,15.341492790393355
W kernel support bw0 [uv-pixels],0.9426083881769683,2.1858615053892674,1.2991675564927816,2.55274584204771,0.9704585887990285,3.259991874240462,0.8609520216030805,0.6868503035704705,0.7770563171860811,1.4829514481508468,0.6633524790372729,0.6868503035704705,0.7770563171860811,1.4829514481508468,0.6633524790372729,0.6868503035704705,0.7770563171860811,1.4829514481508468,2.1430050647420074,2.687666764207809,4.048873769692706,4.764314481169987,2.7405445413779286,2.2652851351348895,3.4841715028676368,8.841661261445584,3.7942384637392723,2.572257977204279,3.6665342900050923,10.262549433947068,1.0363674572606143,0.9502809907222947,1.319220979437325,2.0679143428720335,1.806898505650941,2.778827242537759,2.5887593915630753,3.583201094893897,1.659698999394942,0.9049128210121734,1.4806461524881,1.1726457135388473,0.9049128210121734,1.4806461524881,1.115515994851518,1.4647562350599124,1.260705123699679,0.918352232540381,0.9591803026361461,0.9610674959142379,0.8839243868852404,0.9591803026361461,0.9610674959142379
W kernel support bw1 [uv-pixels],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
W kernel support bw2 [uv-pixels],7.583311756387338,17.658329644020107,16.826162472730935,33.25142592861337,12.546311022423549,42.580950658847435,7.015387062886702,6.247242415976737,6.247242415976737,13.50054431938514,5.330491183521604,6.247242415976737,6.247242415976737,13.50054431938514,5.330491183521604,6.247242415976737,6.247242415976737,13.50054431938514,10.254142603603022,12.872460674022175,19.432672685517733,22.889302925643083,9.20664953455112,7.605851925104323,11.714176397241694,29.86298213218673,8.678856762555586,5.879155142541794,8.38610693456097,23.54828418190843,13.403433594613036,12.284014782065025,17.087663102267975,11.708067158188904,10.224355307716314,15.75597552708716,7.348956134399136,10.18083277423116,21.534181564644218,11.694442192710335,19.19428199815042,15.177335301848919,11.694442192710335,19.19428199815042,10.223237406276114,13.442364827857237,11.56063363458077,11.86906433047824,12.399694091607282,12.424226375822814,11.42177917215276,12.399694091607282,12.424226375822814
AW kernel support bw0 [uv-pixels],9.049227070499535,9.26164081147302,9.093285233612956,9.355025993234433,9.052170450923567,9.57222790264178,9.041086128530269,9.02617102317006,9.033483077976003,9.121356532751733,9.024413361069232,9.02617102317006,9.033483077976003,9.121356532751733,9.024413361069232,9.02617102317006,9.033483077976003,9.121356532751733,9.251619896402461,9.3927393573668,9.868808378061944,10.183255494952782,9.40800639791855,9.280706694183536,9.650878253371292,12.616456470108693,9.767100159193543,9.360369175480796,9.718203213546378,13.649905526567109,9.059473357015232,9.050029500577782,9.096171941678959,9.234515132342136,9.179590525166338,9.419229312627971,9.364917254701508,9.68707025299439,9.15175397224994,9.045378223912596,9.120982021080724,9.076072827466792,9.045378223912596,9.120982021080724,9.06886850355487,9.118416026270511,9.087869794892674,9.046732604814398,9.050968282618449,9.05116847328028,9.043302622478718,9.050968282618449,9.05116847328028
AW kernel support bw1 [uv-pixels],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
AW kernel support bw2 [uv-pixels],11.768883430239354,19.8196015554521,19.081921904219683,34.44789291503998,15.440528497152766,43.52168837500678,11.4112074576759,10.955730820167993,10.955730820167993,16.225433643501873,10.460121235320436,10.955730820167993,10.955730820167993,16.225433643501873,10.460121235320436,10.955730820167993,10.955730820167993,16.225433643501873,13.643586058475483,15.706694235396812,21.41561971324825,24.595125297949856,12.874874587818336,11.78341985616286,14.7723366014214,31.189705061563245,12.502901851368618,10.750091403800976,12.301495417951902,25.209555488185796,16.144721494197455,15.228165325015093,19.312903207353635,14.767492562404142,13.62121292170513,18.145268386281025,11.619257991168054,13.588574464485202,23.33925824997579,14.75669265786354,21.199539179532213,17.645155336940203,14.75669265786354,21.199539179532213,13.620373822516148,16.177056968596396,14.650878814357867,14.895458639499184,15.321632209573515,15.341492790393355,14.541562483358609,15.321632209573515,15.341492790393355
-- Data --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapshot vis size [GB],1.0257964363538885,0.3800280287680783,29.873314746252564,3.583546116882447,71.6831894314626,9.264441610466006,171.41007078626367,27.404938205883816,5.168054141011916,2.8499054058230913,116.27783627174999,27.404938205883816,5.168054141011916,2.8499054058230913,116.27783627174999,27.404938205883816,5.168054141011916,2.8499054058230913,101.63535319565023,10.681696306390053,1.4734214042359177,0.9491108339006572,11.618894722626884,5.844212087482476,0.4168389519573928,0.0869682115578252,3.271880360271988,1.9758354048637379,0.4220678920372673,0.03159627373046664,4249.475749804179,58.880725844823075,202.51044733076702,74.41068901516074,31.09073940615319,8.819273402034739,8.280927126938934,0.7290673921849121,602.9636895434945,555.6334887818934,122.31941165172702,2120.75946656314,555.6334887818934,122.31941165172702,906.565702974321,105.5270714058813,61.73130089067075,3716.0041956346176,567.0177035761676,284.251891465008,5247.986262897767,567.0177035761676,284.251891465008
Facet vis size predict [GB],0.026750815337982445,30.669211368297987,0.06629560677158525,60.58929655450053,0.3791731173402879,570.4602932240631,0.35761067660989454,0.14293372008297306,0.3424452580012685,2.6112737153965204,0.28904299137154466,0.14293372008297306,0.3424452580012685,2.6112737153965204,0.28904299137154466,0.14293372008297306,0.3424452580012685,2.6112737153965204,0.13588468414358668,0.09119323188364989,0.16097504744016256,0.9219898261619442,0.02036924509379174,0.0810316485286589,0.054532828491456665,3.7036609788727737,0.014101818145773062,0.03229016155799979,0.05173244841946105,1.6615243802355257,4.2394764467815,2.4982364471976632,6.08876642048991,0.7025330464987809,0.29353675072749635,1.0408166980174662,0.018081761885612356,0.16835971758174187,0.20487187392857145,0.5852190348744569,2.276634607438132,1.5632775422758698,0.5852190348744569,2.276634607438132,1.2060329840912278,1.0500808440571967,1.4655333842940885,7.800804563052381,4.811924409326251,7.743348474453195,6.526545176364223,4.811924409326251,7.743348474453195
Facet size [GB],1.1440762750591582,3.1779896529421054,6.5088365149991265,10.170057054686135,16.57887579726182,103.6179737328864,1.3325082430018622,1.1424110450976184,1.1424110450976184,3.1733640141600516,0.9253529465290709,1.1424110450976184,1.1424110450976184,3.1733640141600516,0.9253529465290709,1.1424110450976184,1.1424110450976184,3.1733640141600516,2.8170902260335073,6.7088911418645845,6.7088911418645845,6.7088911418645845,0.5284516660377205,2.83163829967057,2.83163829967057,2.101779339116429,0.27394934367395435,0.9394696285115031,0.9394696285115031,0.6616633836510255,39.44870548904942,93.94696285115033,33.820906626414114,10.873491070734987,10.873491070734987,10.873491070734987,0.32142402543205556,2.0089001589503472,10.560405538451752,17.7455374274395,17.7455374274395,23.760912461516448,17.7455374274395,17.7455374274395,12.97243149789396,44.48707646740041,7.117932234784066,53.14713898436503,102.52148723835849,16.403437958137356,43.049182577335685,102.52148723835849,16.403437958137356
Facet size (all pol) [GB],2.2881525501183164,12.711958611768422,13.017673029998253,40.68022821874454,33.15775159452364,414.4718949315456,5.330032972007449,2.2848220901952367,4.5696441803904735,12.693456056640207,3.7014117861162834,2.2848220901952367,4.5696441803904735,12.693456056640207,3.7014117861162834,2.2848220901952367,4.5696441803904735,12.693456056640207,11.26836090413403,13.417782283729169,13.417782283729169,13.417782283729169,2.113806664150882,5.66327659934114,5.66327659934114,4.203558678232858,1.0957973746958174,1.8789392570230061,1.8789392570230061,1.323326767302051,157.7948219561977,187.89392570230066,135.28362650565646,43.49396428293995,21.746982141469974,43.49396428293995,1.2856961017282222,4.0178003179006945,42.24162215380701,35.491074854879,70.982149709758,95.04364984606579,35.491074854879,70.982149709758,51.88972599157584,88.97415293480083,28.471728939136263,212.58855593746011,205.04297447671698,65.61375183254943,172.19673030934274,205.04297447671698,65.61375183254943
Image size [GB],3.1779896529421046,3.1779896529421046,113.00063394095704,113.00063394095704,103.61797373288637,103.61797373288637,23.133823663226774,3.173364014160051,3.173364014160051,3.173364014160051,10.281699405878562,3.173364014160051,3.173364014160051,3.173364014160051,10.281699405878562,3.173364014160051,3.173364014160051,3.173364014160051,48.907816424192816,6.708891141864585,6.708891141864585,6.708891141864585,9.174508090932648,2.83163829967057,2.83163829967057,2.101779339116429,3.043881596377269,0.939469628511503,0.939469628511503,0.6616633836510253,684.8733591848858,93.9469628511503,93.9469628511503,10.873491070734987,10.873491070734987,10.873491070734987,2.0089001589503472,2.0089001589503472,359.34713290564986,110.90960892149687,110.90960892149687,808.5310490377123,110.90960892149687,110.90960892149687,144.13812775437734,44.48707646740041,44.48707646740041,332.1696186522814,102.52148723835849,102.52148723835849,747.3816419676333,102.52148723835849,102.52148723835849
