,max_LOW_continuum [blcoal] [spbf],max_LOW_spectral [blcoal] [spbf],max_MID_continuum [blcoal] [spbf],max_MID_spectral [blcoal] [spbf],max_Band5_MID_continuum [blcoal] [spbf],max_Band5_MID_spectral [blcoal] [spbf],01ICAL [blcoal] [spbf],01DPrepA [blcoal] [spbf],01DPrepB [blcoal] [spbf],01DPrepC [blcoal] [spbf],02AICAL [blcoal] [spbf],02ADPrepA [blcoal] [spbf],02ADPrepB [blcoal] [spbf],02ADPrepC [blcoal] [spbf],02BICAL [blcoal] [spbf],02BDPrepA [blcoal] [spbf],02BDPrepB [blcoal] [spbf],02BDPrepC [blcoal] [spbf],13ICAL [Bmax=40000] [blcoal] [spbf],13DPrepA [Bmax=40000] [blcoal] [spbf],13DPrepB [Bmax=40000] [blcoal] [spbf],13DPrepC [Bmax=40000] [blcoal] [spbf],14ICAL [Bmax=25000] [blcoal] [spbf],14DPrepA [Bmax=25000] [blcoal] [spbf],14DPrepB [Bmax=25000] [blcoal] [spbf],14DPrepC [Bmax=25000] [blcoal] [spbf],15ICAL [Bmax=15000] [blcoal] [spbf],15DPrepA [Bmax=15000] [blcoal] [spbf],15DPrepB [Bmax=15000] [blcoal] [spbf],15DPrepC [Bmax=15000] [blcoal] [spbf],22ICAL [blcoal] [spbf],22DPrepA [blcoal] [spbf],22DPrepB [blcoal] [spbf],27ICAL [Bmax=50000] [blcoal] [spbf],27DPrepA [Bmax=50000] [blcoal] [spbf],27DPrepB [Bmax=50000] [blcoal] [spbf],37aICAL [blcoal] [spbf],37aDPrepA [blcoal] [spbf],37aDPrepB [blcoal] [spbf],37bICAL [blcoal] [spbf],37bDPrepA [blcoal] [spbf],37bDPrepB [blcoal] [spbf],37cICAL [blcoal] [spbf],37cDPrepA [blcoal] [spbf],37cDPrepB [blcoal] [spbf],38aICAL [blcoal] [spbf],38aDPrepA [blcoal] [spbf],38aDPrepB [blcoal] [spbf],38bICAL [blcoal] [spbf],38bDPrepA [blcoal] [spbf],38bDPrepB [blcoal] [spbf]
"Channels backward, no-smear6",8718.594098944057,20919.503696560292,8950.253853200655,7551.381573183239,7376.054651711721,20743.413250674002,4967.3311145435555,4967.3311145435555,6208.990620889499,2980.140341877421,4967.3311145435555,4967.3311145435555,6208.990620889499,2980.140341877421,4967.3311145435555,4967.3311145435555,6208.990620889499,2980.140341877421,1305.6886756205524,1492.2024563576322,1740.887497252959,1175.0541913352508,2952.7630415486615,2530.9556882932425,1968.5458837866436,921.5415981150793,2836.590773151726,2026.1623118020095,2836.590773151726,84.68391562454629,2836.590773151726,2836.590773151726,3545.715676687566,5793.658586237482,5793.658586237482,24139.6021320338,5378.462250070566,6146.776099231232,7171.194564597031,5378.462250070566,6146.776099231232,7171.194564597031,5378.462250070566,6146.776099231232,7171.194564597031,7187.29620064201,7187.29620064201,8984.063753727927,7187.29620064201,7187.29620064201,8984.063753727927
"Channels backward, no-smear7",14839.477070095914,35606.98274460911,12204.691877411036,10297.138769598103,10058.17223141585,28286.38850162736,8454.545042454996,8454.545042454996,10568.008024797524,5072.092687410612,8454.545042454996,8454.545042454996,10568.008024797524,5072.092687410612,8454.545042454996,8454.545042454996,10568.008024797524,5072.092687410612,2448.085581991677,2797.7989205144668,3264.0833718308622,2203.1459242849523,4026.4544859839125,3451.2626407859493,2684.3401803962356,1256.6341599289278,3868.045178265424,2762.9154584904936,3868.045178265424,115.47678637614594,3868.045178265424,3868.045178265424,4835.0336829480575,8690.38651503596,8690.38651503596,36209.301832246616,7334.170229535046,8381.87093257496,9778.805203194423,7334.170229535046,8381.87093257496,9778.805203194423,7334.170229535046,8381.87093257496,9778.805203194423,9800.776277769013,9800.776277769013,12250.91384989669,9800.776277769013,9800.776277769013,12250.91384989669
"Channels backward, no-smear8",,,14645.520394671583,12356.456665854836,12069.760415985334,33943.619939647484,,,,,,,,,,,,,2937.684255914099,3357.3402620894426,3916.8816036176854,2643.7566667083624,4831.723069211167,4141.492855034531,3221.185902688852,1507.9535812499012,4641.6359820297885,3315.4803184005273,4641.6359820297885,138.5714394367396,4641.6359820297885,4641.6359820297885,5802.02218761939,10428.4232721203,10428.4232721203,43451.12165232386,8800.951213784592,10058.192057312433,11734.513181907203,8800.951213784592,10058.192057312433,11734.513181907203,8800.951213784592,10058.192057312433,11734.513181907203,11760.88633545867,11760.88633545867,14701.051421855485,11760.88633545867,11760.88633545867,14701.051421855485
"Channels backward, no-smear9",,,17899.958417113157,15102.21386022389,14751.877995289396,41486.595190876724,,,,,,,,,,,,,3590.4824877320066,4103.395384109068,4787.279245909301,3231.2376565236927,5905.414513429553,5061.79980727001,3936.9801989593916,1843.0461429839345,5673.090386989883,4052.233464876353,5673.090386989883,169.36431018053136,5673.090386989883,5673.090386989883,7091.340193737987,12745.80561478502,12745.80561478502,53106.88141211929,10756.659192559386,12293.286890062791,14342.123819976441,10756.659192559386,12293.286890062791,14342.123819976441,10756.659192559386,12293.286890062791,14342.123819976441,14374.366412224357,14374.366412224357,17967.901517736373,14374.366412224357,14374.366412224357,17967.901517736373
"Channels backward, no-smear10",,,21154.396439210148,17847.97105410027,17433.99557450734,49029.57044203559,,,,,,,,,,,,,4243.280719478493,4849.450506080123,5657.676888187798,3818.7186462585823,6979.105957591291,5982.106759439538,4652.774495168067,2178.138704705447,6704.544791911086,4788.986611309735,6704.544791911086,200.15718092361135,6704.544791911086,6704.544791911086,8380.658199914396,15063.187957426973,15063.187957426973,62762.64117378621,12712.367171199045,14528.381722726019,16949.734457906787,12712.367171199045,14528.381722726019,16949.734457906787,12712.367171199045,14528.381722726019,16949.734457906787,16987.846488913263,16987.846488913263,21234.75161354068,16987.846488913263,16987.846488913263,21234.75161354068
"Channels backward, no-smear11",,,24408.834461039172,20593.728247660394,20116.113153633392,56572.54569243952,,,,,,,,,,,,,4896.078951200545,5595.505628029037,6528.074530444741,4406.199635968495,8052.79740173797,6902.413711599666,5368.56879132114,2513.2312664086135,7735.999196790231,5525.739757706479,7735.999196790231,230.95005166550342,7735.999196790231,7735.999196790231,9669.976205977098,17380.570299965282,17380.570299965282,72418.40093250672,14668.075149698398,16763.476555282203,19557.345095862493,14668.075149698398,16763.476555282203,19557.345095862493,14668.075149698398,16763.476555282203,19557.345095862493,19601.326565676056,19601.326565676056,24501.601709168484,19601.326565676056,19601.326565676056,24501.601709168484
Frequencies predict ifft,500,500,500,500,500,500,500,500,100,500,500,500,100,500,500,500,100,500,500,500,100,500,500,500,100,500,500,500,100,500,500,500,100,500,500,100,500,500,100,500,500,100,500,500,100,500,500,100,500,500,100
Frequencies predict kernels0,295.6344777896915,595.7190172046925,249.4750572396417,456.3235122831209,104.79715607145992,199.98296761981052,211.43026268403523,210.69859032303324,210.74079467259315,410.9675938300071,211.43026268403523,210.69859032303324,210.74079467259315,410.9675938300071,211.43026268403523,210.69859032303324,210.74079467259315,410.9675938300071,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,101.01265983609377,121.46272957299092,121.26312688333006,121.01319221562491,121.46273871729866,121.26312688333006,121.01319221562491,121.46273871729866,121.26312688333006,121.01319221562491,102.85570064886872,102.64271189505969,102.57976669290277,102.85570064886872,102.64271189505969,102.57976669290277
Frequencies predict kernels1,297.6882758585597,615.4087185445895,250.8001182090479,460.503114152525,105.1420408118,207.97495762395224,213.49083478595315,212.22366366621264,212.29683778851376,415.46391239591,213.49083478595315,212.22366366621264,212.29683778851376,415.46391239591,213.49083478595315,212.22366366621264,212.29683778851376,415.46391239591,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,108.38108381233783,122.89938051913468,122.53615040325664,122.08068522291079,122.89939714922546,122.53615040325664,122.08068522291079,122.89939714922546,122.53615040325664,122.08068522291079,103.58142642626075,103.19203763471592,103.07684328923638,103.58142642626075,103.19203763471592,103.07684328923638
Frequencies predict kernels2,301.37795507098343,649.6369527491267,252.36202889508613,465.4107481282823,105.54939086501773,217.07908651844065,217.17924419792027,214.9624445435506,215.09070678720974,423.50000766459436,217.17924419792027,214.9624445435506,215.09070678720974,423.50000766459436,217.17924419792027,214.9624445435506,215.09070678720974,423.50000766459436,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,116.52759077224832,124.58171304952926,124.02888026206195,123.33453896851329,124.58173834223871,124.02888026206195,123.33453896851329,124.58173834223871,124.02888026206195,123.33453896851329,104.43537122245222,103.83952703079989,103.66304398377112,104.43537122245222,103.83952703079989,103.66304398377112
Frequencies predict kernels3,307.62905998904387,704.7674406082845,256.05937621764343,476.9480768691372,106.5172264656949,237.47167460261824,223.3903712481102,219.5995628772793,219.81958986881332,436.99856045143827,223.3903712481102,219.5995628772793,219.81958986881332,436.99856045143827,223.3903712481102,219.5995628772793,219.81958986881332,436.99856045143827,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,101.55439081470175,101.55439071696114,134.05376857613697,128.51810932364498,127.5297757868398,126.28394253933818,128.51815446922393,127.5297757868398,126.28394253933818,128.51815446922393,127.5297757868398,126.28394253933818,106.45044756963964,105.37214804916981,105.05187229643799,106.45044756963964,105.37214804916981,105.05187229643799
Frequencies predict kernels4,318.58699612558047,794.6622719998037,265.19520091899676,505.0102748889939,108.92975720202332,282.71780831712096,234.17260272296033,227.7197824754032,228.09621152662822,460.33955683119007,234.17260272296033,227.7197824754032,228.09621152662822,460.33955683119007,234.17260272296033,227.7197824754032,228.09621152662822,460.33955683119007,100.0,100.0,100.0,118.31431288407369,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,112.090901514447,112.09090132312978,170.68619468252018,137.99471368570838,136.00046588610098,133.4671092910935,137.99480447680605,136.00046588610098,133.4671092910935,137.99480447680605,136.00046588610098,133.4671092910935,111.39325711996183,109.15846912121351,108.49039907498289,111.39325711996183,109.15846912121351,108.49039907498289
Frequencies predict kernels5,336.8822018550743,931.3832822625458,276.0139637426681,537.5259328661964,111.8237743750961,330.0604524743741,251.91455260125056,241.25563891065855,241.88191524929928,498.5301187438013,251.91455260125056,241.25563891065855,241.88191524929928,498.5301187438013,251.91455260125056,241.25563891065855,241.88191524929928,498.5301187438013,100.0,100.0,100.0,139.53173890303674,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,123.83613086768126,123.83613057988136,207.14658271171123,148.8292390935515,145.74790441111332,141.80473717442536,148.8293789416794,145.74790441111332,141.80473717442536,148.8293789416794,145.74790441111332,141.80473717442536,117.1865608891343,113.64117138478751,112.57408143185165,117.1865608891343,113.64117138478751,112.57408143185165
Frequencies predict kernels6,367.1154900447129,1134.573774274102,300.9247149232235,610.0775532285472,118.6255909807597,424.696666584257,280.66484827487506,263.5746000454255,264.58811400740444,559.9692619087949,280.66484827487506,263.5746000454255,264.58811400740444,559.9692619087949,280.66484827487506,263.5746000454255,264.58811400740444,559.9692619087949,100.0,100.0,100.0,150.1351331145529,115.38889311083521,100.0,100.0,100.0,102.57845654656468,100.0,100.0,100.0,100.0,100.0,100.0,142.47964670730806,142.47964627844212,260.1121049468158,172.58233965348114,167.29736971758652,160.4526399513213,172.58257833420518,167.29736971758652,160.4526399513213,172.58257833420518,167.29736971758652,160.4526399513213,130.32274632397844,123.95891308104837,122.01887600822305,130.32274632397844,123.95891308104837,122.01887600822305
Frequencies predict kernels7,469.7093091785,1574.942681919154,328.486099014411,687.578927610024,126.34541033860843,516.5977640492841,349.51967342887525,318.41181429561783,349.00714643219936,705.6441342310218,349.51967342887525,318.41181429561783,349.00714643219936,705.6441342310218,349.51967342887525,318.41181429561783,349.00714643219936,705.6441342310218,109.58056535964776,102.61611202004529,100.0,221.96598417806516,140.63856969742545,113.92771471998701,100.0,100.0,125.7869104933848,100.0,100.0,100.0,100.0,100.0,100.0,174.30354038750713,174.30353973978717,366.54819369701426,197.5063204708472,190.09884860087854,180.42280412364272,197.5066538647703,190.09884860087854,180.42280412364272,197.5066538647703,190.09884860087854,180.42280412364272,144.6018404949611,135.3693819724971,132.52454809600422,144.6018404949611,135.3693819724971,132.52454809600422
Frequencies predict kernels8,,,350.1509311747069,747.0261880804029,132.53456150586194,583.4182437654886,,,,,,,,,,,,,123.61060986085353,115.45361628205805,107.94816148704906,251.28525911334722,158.9729618453419,127.67218803625495,100.0,101.27823208870804,142.57459020918918,105.08787576872123,109.36070174093435,100.0,100.0,100.0,100.0,193.31227959723168,193.31227882724693,477.38163932057313,216.4077647448279,207.48145084092874,195.7662155203683,216.40816575288744,207.48145084092874,195.7662155203683,216.40816575288744,207.48145084092874,195.7662155203683,155.68438877258077,144.33568326858972,140.8155890825301,155.68438877258077,144.33568326858972,140.8155890825301
Frequencies predict kernels9,,,379.78105791077337,826.7800168649335,141.143993612107,669.889276031942,,,,,,,,,,,,,141.78396900457514,132.1197354002351,123.20748443437456,289.1496503294637,182.6802372105208,145.5785010450206,100.0,116.54818309922229,164.23280924918413,119.86494268582581,124.94407010552814,100.0,100.0,100.0,100.0,218.31318668172239,218.313185757139,643.1343409380374,241.55527587682886,230.69595339486077,216.37634603278053,241.55576283083101,230.69595339486077,216.37634603278053,241.55576283083101,230.69595339486077,216.37634603278053,170.6874569984446,156.59517189015065,152.19257975599174,170.6874569984446,156.59517189015065,152.19257975599174
Frequencies predict kernels10,,,409.8565531696975,906.3448674892062,150.0267529567355,753.6815842415896,,,,,,,,,,,,,159.40690122796462,148.30847555368075,138.05864844993866,325.7860146796542,205.63953957909706,163.0185877598363,100.0,131.32210754493397,185.17291106555237,134.25378968760117,140.0993099932678,100.0,100.0,100.0,100.0,242.84563291943797,242.84563184803568,827.4472815075269,266.46561932771385,253.76520851837574,236.95980594439996,266.46618808398773,253.76520851837574,236.95980594439996,266.46618808398773,253.76520851837574,236.95980594439996,185.77448747232043,169.0357525992439,163.77654811974907,185.77448747232043,169.0357525992439,163.77654811974907
Frequencies predict kernels11,,,440.10134823679573,985.2901107899636,159.08113342985533,835.125992819422,,,,,,,,,,,,,176.54406906276284,164.06871134259947,152.5356773938685,361.3609698603215,227.9468841642607,180.02773598215506,100.0,145.6675149647671,205.4965394167734,148.28479745866522,154.86532435024992,100.0,100.0,100.0,100.0,266.8957666963051,266.89576548436787,1028.9073290040842,291.0521636125626,276.58825417640435,257.39955086003266,291.0528107025291,276.58825417640435,257.39955086003266,291.0528107025291,276.58825417640435,257.39955086003266,200.83514545198625,181.54379935830707,175.45500628011055,200.83514545198625,181.54379935830707,175.45500628011055
Frequencies predict de-grid0,909.8309866017943,65536.0,814.1586879068773,65536.0,670.7606799322704,65536.0,518.4912680476514,518.4912680476514,647.9409371938357,1500.0,518.4912680476514,518.4912680476514,647.9409371938357,1500.0,518.4912680476514,518.4912680476514,647.9409371938357,1500.0,163.29175506988688,186.60597979706088,500.0,3200.0,500.0,230.1882917635234,100.0,5000.0,500.0,184.279432327378,300.0,2500.0,257.9547512531722,257.9547512531722,500.0,579.5482945194844,579.5482945194844,2414.1426668997783,500.0,559.0389802377872,700.0,489.19226073465074,559.0389802377872,700.0,489.19226073465074,559.0389802377872,700.0,653.5959856457442,653.5959856457442,1000.0,653.5959856457442,653.5959856457442,1000.0
Frequencies predict de-grid1,1317.8899577352893,65536.0,1220.9634817176923,65536.0,1006.0253861736142,65536.0,750.9722913093254,750.9722913093254,938.5421732762752,1500.0,750.9722913093254,750.9722913093254,938.5421732762752,1500.0,750.9722913093254,750.9722913093254,938.5421732762752,1500.0,244.89153980831534,279.8628750922677,500.0,3200.0,500.0,345.22666677738835,100.0,5000.0,500.0,276.37358062694705,386.88655543856316,2500.0,386.88655543856316,386.88655543856316,500.0,869.2210952001216,869.2210952001216,3621.1126387992745,733.6557740038452,838.4258482659727,978.1192792840136,733.6557740038452,838.4258482659727,978.1192792840136,733.6557740038452,838.4258482659727,978.1192792840136,980.28100389151,980.28100389151,1225.2947645381312,980.28100389151,980.28100389151,1225.2947645381312
Frequencies predict de-grid2,1929.9783292924083,65536.0,1627.768254954736,65536.0,1341.2900879856256,65536.0,1099.6937503967672,1099.6937503967672,1374.4439667205775,1500.0,1099.6937503967672,1099.6937503967672,1374.4439667205775,1500.0,1099.6937503967672,1099.6937503967672,1374.4439667205775,1500.0,326.49132165556017,373.1197678573648,500.0,3200.0,536.9572860809892,460.2650387885061,100.0,5000.0,515.818357835032,368.4677264226425,515.818357835032,2500.0,515.818357835032,515.818357835032,644.7501595153672,1158.8938919419184,1158.8938919419184,4828.082609751441,978.1192792840136,1117.8127093029952,1304.070614995905,978.1192792840136,1117.8127093029952,1304.070614995905,978.1192792840136,1117.8127093029952,1304.070614995905,1306.96601779828,1306.96601779828,1633.6510299688712,1306.96601779828,1306.96601779828,1633.6510299688712
Frequencies predict de-grid3,2801.7404981711366,65536.0,2441.3777808470027,65536.0,2011.8194871775715,65536.0,1596.3575956667946,1596.3575956667946,1995.2737529262452,1500.0,1596.3575956667946,1596.3575956667946,1995.2737529262452,1500.0,1596.3575956667946,1596.3575956667946,1995.2737529262452,1500.0,489.69088245777766,559.6335508566157,652.8904418135188,3200.0,805.3801496725802,690.3417798070242,100.0,5000.0,773.6819608386259,552.6560155090033,773.6819608386259,2500.0,773.6819608386259,773.6819608386259,967.0796624647984,1738.239481487407,1738.239481487407,7242.02255073392,1467.0462818524363,1676.58642438262,1955.9732804231985,1467.0462818524363,1676.58642438262,1955.9732804231985,1467.0462818524363,1676.58642438262,1955.9732804231985,1960.336041270146,1960.336041270146,2450.3635573561846,1960.336041270146,1960.336041270146,2450.3635573561846
Frequencies predict de-grid4,4100.1096457592,65536.0,4068.596807922735,65536.0,3352.8782802456103,65536.0,2336.0696699277173,2336.0696699277173,2919.913831461066,1500.0,2336.0696699277173,2336.0696699277173,2919.913831461066,1500.0,2336.0696699277173,2336.0696699277173,2919.913831461066,1500.0,816.0900005904109,932.661113816414,1088.0892646396737,3200.0,1342.225873765601,1150.4952582398796,100.0,5000.0,1289.4091646977774,921.0325906756974,1289.4091646977774,2500.0,1289.4091646977774,1289.4091646977774,1611.7386666437208,2896.9306558489093,2896.9306558489093,12069.902431522405,2444.9002773955567,2794.133846147517,3259.7786040836563,2444.9002773955567,2794.133846147517,3259.7786040836563,2444.9002773955567,2794.133846147517,3259.7786040836563,3267.07608300433,3267.07608300433,4083.788607959765,3267.07608300433,3267.07608300433,4083.788607959765
Frequencies predict de-grid5,5973.470817098378,65536.0,5695.815825583903,65536.0,4693.937071285416,65536.0,3403.3684955976228,3403.3684955976228,4254.037353875833,2041.931396401626,3403.3684955976228,3403.3684955976228,4254.037353875833,2041.931396401626,3403.3684955976228,3403.3684955976228,4254.037353875833,2041.931396401626,1142.489117401017,1305.6886756205524,1523.288086473978,3200.0,1879.0715966813752,1610.6487352975146,100.0,5000.0,1805.136367739783,1289.4091646977774,1805.136367739783,2500.0,1805.136367739783,1805.136367739783,2256.3976701657107,4055.6218284109505,4055.6218284109505,16897.78231193275,3422.754269286298,3911.681264714464,4563.583925007532,3422.754269286298,3911.681264714464,4563.583925007532,3422.754269286298,3911.681264714464,4563.583925007532,4573.8161227602595,4573.8161227602595,5717.21365697514,4573.8161227602595,4573.8161227602595,5717.21365697514
Frequencies predict de-grid6,8718.594098944057,65536.0,8950.253853200655,65536.0,7376.054651711721,65536.0,4967.3311145435555,4967.3311145435555,6208.990620889499,2980.140341877421,4967.3311145435555,4967.3311145435555,6208.990620889499,2980.140341877421,4967.3311145435555,4967.3311145435555,6208.990620889499,2980.140341877421,1305.6886756205524,1492.2024563576322,1740.887497252959,3200.0,2952.7630415486615,2530.9556882932425,100.0,5000.0,2836.590773151726,2026.1623118020095,2836.590773151726,2500.0,2836.590773151726,2836.590773151726,3545.715676687566,5793.658586237482,5793.658586237482,24139.6021320338,5378.462250070566,6146.776099231232,7171.194564597031,5378.462250070566,6146.776099231232,7171.194564597031,5378.462250070566,6146.776099231232,7171.194564597031,7187.29620064201,7187.29620064201,8984.063753727927,7187.29620064201,7187.29620064201,8984.063753727927
Frequencies predict de-grid7,14839.477070095914,65536.0,12204.691877411036,65536.0,10058.17223141585,65536.0,8454.545042454996,8454.545042454996,10568.008024797524,5072.092687410612,8454.545042454996,8454.545042454996,10568.008024797524,5072.092687410612,8454.545042454996,8454.545042454996,10568.008024797524,5072.092687410612,2448.085581991677,2797.7989205144668,3264.0833718308622,3200.0,4026.4544859839125,3451.2626407859493,100.0,5000.0,3868.045178265424,2762.9154584904936,3868.045178265424,2500.0,3868.045178265424,3868.045178265424,4835.0336829480575,8690.38651503596,8690.38651503596,36209.301832246616,7334.170229535046,8381.87093257496,9778.805203194423,7334.170229535046,8381.87093257496,9778.805203194423,7334.170229535046,8381.87093257496,9778.805203194423,9800.776277769013,9800.776277769013,12250.91384989669,9800.776277769013,9800.776277769013,12250.91384989669
Frequencies predict de-grid8,,,14645.520394671583,65536.0,12069.760415985334,65536.0,,,,,,,,,,,,,2937.684255914099,3357.3402620894426,3916.8816036176854,3200.0,4831.723069211167,4141.492855034531,100.0,5000.0,4641.6359820297885,3315.4803184005273,4641.6359820297885,2500.0,4641.6359820297885,4641.6359820297885,5802.02218761939,10428.4232721203,10428.4232721203,43451.12165232386,8800.951213784592,10058.192057312433,11734.513181907203,8800.951213784592,10058.192057312433,11734.513181907203,8800.951213784592,10058.192057312433,11734.513181907203,11760.88633545867,11760.88633545867,14701.051421855485,11760.88633545867,11760.88633545867,14701.051421855485
Frequencies predict de-grid9,,,17899.958417113157,65536.0,14751.877995289396,65536.0,,,,,,,,,,,,,3590.4824877320066,4103.395384109068,4787.279245909301,3231.2376565236927,5905.414513429553,5061.79980727001,100.0,5000.0,5673.090386989883,4052.233464876353,5673.090386989883,2500.0,5673.090386989883,5673.090386989883,7091.340193737987,12745.80561478502,12745.80561478502,53106.88141211929,10756.659192559386,12293.286890062791,14342.123819976441,10756.659192559386,12293.286890062791,14342.123819976441,10756.659192559386,12293.286890062791,14342.123819976441,14374.366412224357,14374.366412224357,17967.901517736373,14374.366412224357,14374.366412224357,17967.901517736373
Frequencies predict de-grid10,,,21154.396439210148,65536.0,17433.99557450734,65536.0,,,,,,,,,,,,,4243.280719478493,4849.450506080123,5657.676888187798,3818.7186462585823,6979.105957591291,5982.106759439538,100.0,5000.0,6704.544791911086,4788.986611309735,6704.544791911086,2500.0,6704.544791911086,6704.544791911086,8380.658199914396,15063.187957426973,15063.187957426973,62762.64117378621,12712.367171199045,14528.381722726019,16949.734457906787,12712.367171199045,14528.381722726019,16949.734457906787,12712.367171199045,14528.381722726019,16949.734457906787,16987.846488913263,16987.846488913263,21234.75161354068,16987.846488913263,16987.846488913263,21234.75161354068
Frequencies predict de-grid11,,,24408.834461039172,65536.0,20116.113153633392,65536.0,,,,,,,,,,,,,4896.078951200545,5595.505628029037,6528.074530444741,4406.199635968495,8052.79740173797,6902.413711599666,100.0,5000.0,7735.999196790231,5525.739757706479,7735.999196790231,2500.0,7735.999196790231,7735.999196790231,9669.976205977098,17380.570299965282,17380.570299965282,65536.0,14668.075149698398,16763.476555282203,19557.345095862493,14668.075149698398,16763.476555282203,19557.345095862493,14668.075149698398,16763.476555282203,19557.345095862493,19601.326565676056,19601.326565676056,24501.601709168484,19601.326565676056,19601.326565676056,24501.601709168484
Frequencies backward kernels0,295.6344777896915,595.7190172046925,249.4750572396417,456.3235122831209,104.79715607145992,199.98296761981052,211.43026268403523,210.69859032303324,210.74079467259315,410.9675938300071,211.43026268403523,210.69859032303324,210.74079467259315,410.9675938300071,211.43026268403523,210.69859032303324,210.74079467259315,410.9675938300071,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,101.01265983609377,121.46272957299092,121.26312688333006,121.01319221562491,121.46273871729866,121.26312688333006,121.01319221562491,121.46273871729866,121.26312688333006,121.01319221562491,102.85570064886872,102.64271189505969,102.57976669290277,102.85570064886872,102.64271189505969,102.57976669290277
Frequencies backward kernels1,297.6882758585597,615.4087185445895,250.8001182090479,460.503114152525,105.1420408118,207.97495762395224,213.49083478595315,212.22366366621264,212.29683778851376,415.46391239591,213.49083478595315,212.22366366621264,212.29683778851376,415.46391239591,213.49083478595315,212.22366366621264,212.29683778851376,415.46391239591,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,108.38108381233783,122.89938051913468,122.53615040325664,122.08068522291079,122.89939714922546,122.53615040325664,122.08068522291079,122.89939714922546,122.53615040325664,122.08068522291079,103.58142642626075,103.19203763471592,103.07684328923638,103.58142642626075,103.19203763471592,103.07684328923638
Frequencies backward kernels2,301.37795507098343,649.6369527491267,252.36202889508613,465.4107481282823,105.54939086501773,217.07908651844065,217.17924419792027,214.9624445435506,215.09070678720974,423.50000766459436,217.17924419792027,214.9624445435506,215.09070678720974,423.50000766459436,217.17924419792027,214.9624445435506,215.09070678720974,423.50000766459436,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,116.52759077224832,124.58171304952926,124.02888026206195,123.33453896851329,124.58173834223871,124.02888026206195,123.33453896851329,124.58173834223871,124.02888026206195,123.33453896851329,104.43537122245222,103.83952703079989,103.66304398377112,104.43537122245222,103.83952703079989,103.66304398377112
Frequencies backward kernels3,307.62905998904387,704.7674406082845,256.05937621764343,476.9480768691372,106.5172264656949,237.47167460261824,223.3903712481102,219.5995628772793,219.81958986881332,436.99856045143827,223.3903712481102,219.5995628772793,219.81958986881332,436.99856045143827,223.3903712481102,219.5995628772793,219.81958986881332,436.99856045143827,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,101.55439081470175,101.55439071696114,134.05376857613697,128.51810932364498,127.5297757868398,126.28394253933818,128.51815446922393,127.5297757868398,126.28394253933818,128.51815446922393,127.5297757868398,126.28394253933818,106.45044756963964,105.37214804916981,105.05187229643799,106.45044756963964,105.37214804916981,105.05187229643799
Frequencies backward kernels4,318.58699612558047,794.6622719998037,265.19520091899676,505.0102748889939,108.92975720202332,282.71780831712096,234.17260272296033,227.7197824754032,228.09621152662822,460.33955683119007,234.17260272296033,227.7197824754032,228.09621152662822,460.33955683119007,234.17260272296033,227.7197824754032,228.09621152662822,460.33955683119007,100.0,100.0,100.0,118.31431288407369,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,112.090901514447,112.09090132312978,170.68619468252018,137.99471368570838,136.00046588610098,133.4671092910935,137.99480447680605,136.00046588610098,133.4671092910935,137.99480447680605,136.00046588610098,133.4671092910935,111.39325711996183,109.15846912121351,108.49039907498289,111.39325711996183,109.15846912121351,108.49039907498289
Frequencies backward kernels5,336.8822018550743,931.3832822625458,276.0139637426681,537.5259328661964,111.8237743750961,330.0604524743741,251.91455260125056,241.25563891065855,241.88191524929928,498.5301187438013,251.91455260125056,241.25563891065855,241.88191524929928,498.5301187438013,251.91455260125056,241.25563891065855,241.88191524929928,498.5301187438013,100.0,100.0,100.0,139.53173890303674,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,123.83613086768126,123.83613057988136,207.14658271171123,148.8292390935515,145.74790441111332,141.80473717442536,148.8293789416794,145.74790441111332,141.80473717442536,148.8293789416794,145.74790441111332,141.80473717442536,117.1865608891343,113.64117138478751,112.57408143185165,117.1865608891343,113.64117138478751,112.57408143185165
