,max_LOW_continuum [blcoal] [spbf],max_LOW_spectral [blcoal] [spbf],max_MID_continuum [blcoal] [spbf],max_MID_spectral [blcoal] [spbf],max_Band5_MID_continuum [blcoal] [spbf],max_Band5_MID_spectral [blcoal] [spbf],01ICAL [blcoal] [spbf],01DPrepA [blcoal] [spbf],01DPrepB [blcoal] [spbf],01DPrepC [blcoal] [spbf],02AICAL [blcoal] [spbf],02ADPrepA [blcoal] [spbf],02ADPrepB [blcoal] [spbf],02ADPrepC [blcoal] [spbf],02BICAL [blcoal] [spbf],02BDPrepA [blcoal] [spbf],02BDPrepB [blcoal] [spbf],02BDPrepC [blcoal] [spbf],13ICAL [Bmax=40000] [blcoal] [spbf],13DPrepA [Bmax=40000] [blcoal] [spbf],13DPrepB [Bmax=40000] [blcoal] [spbf],13DPrepC [Bmax=40000] [blcoal] [spbf],14ICAL [Bmax=25000] [blcoal] [spbf],14DPrepA [Bmax=25000] [blcoal] [spbf],14DPrepB [Bmax=25000] [blcoal] [spbf],14DPrepC [Bmax=25000] [blcoal] [spbf],15ICAL [Bmax=15000] [blcoal] [spbf],15DPrepA [Bmax=15000] [blcoal] [spbf],15DPrepB [Bmax=15000] [blcoal] [spbf],15DPrepC [Bmax=15000] [blcoal] [spbf],22ICAL [blcoal] [spbf],22DPrepA [blcoal] [spbf],22DPrepB [blcoal] [spbf],27ICAL [Bmax=50000] [blcoal] [spbf],27DPrepA [Bmax=50000] [blcoal] [spbf],27DPrepB [Bmax=50000] [blcoal] [spbf],32ICAL [Bmax=20000] [blcoal] [spbf],32DPrepB [Bmax=20000] [blcoal] [spbf],37aICAL [blcoal] [spbf],37aDPrepA [blcoal] [spbf],37aDPrepB [blcoal] [spbf],37bICAL [blcoal] [spbf],37bDPrepA [blcoal] [spbf],37bDPrepB [blcoal] [spbf],37cICAL [Bmax=95000] [blcoal] [spbf],37cDPrepA [Bmax=95000] [blcoal] [spbf],37cDPrepB [Bmax=95000] [blcoal] [spbf],38aICAL [blcoal] [spbf],38aDPrepA [blcoal] [spbf],38aDPrepB [blcoal] [spbf],38bICAL [blcoal] [spbf],38bDPrepA [blcoal] [spbf],38bDPrepB [blcoal] [spbf]
Visibilities bw2 [1/s],10550057.015961478,325080391.118371,151300.8560786589,23326643.91271687,385893.14797792333,23326643.91271687,8114181.528933505,7513276.5548902005,7513276.5548902005,25552329.192554448,23664070.928100884,7513276.5548902005,7513276.5548902005,25552329.192554448,23664070.928100884,7513276.5548902005,7513276.5548902005,25552329.192554448,167560.86704201653,155150.26571286368,155150.26571286368,1122532.0251761735,731694.374371559,203258.57389392328,20442.989337888106,1728986.5612418326,516532.5527678155,143488.56800991428,143488.56800991428,752386.5131124941,93495.93054905986,148402.25252641633,148402.25252641633,334035.0436599032,334035.0436599032,334035.0436599032,1011461.3236715905,1011461.3236715905,130918.64937161913,450207.1900006478,450207.1900006478,191462.0331111348,450207.1900006478,450207.1900006478,234738.7429989896,450207.1900006478,450207.1900006478,1292070.0629728215,376017.9501183044,376017.9501183044,246008.97826620078,376017.9501183044,376017.9501183044
Visibilities bw3 [1/s],61670274.12311562,814501371.0890816,621939.9163912927,65686758.90609715,1555837.862278284,65686758.90609715,47431840.350969195,43918796.07416283,43918796.07416283,128036064.91597702,118573858.1521176,43918796.07416283,43918796.07416283,128036064.91597702,118573858.1521176,43918796.07416283,43918796.07416283,128036064.91597702,750633.9472170845,595744.5937325673,595744.5937325673,2873635.1591620515,2950082.339078863,819494.5635906132,54949.85994367155,4647440.147544678,2776774.8610592647,771352.5256007434,771352.5256007434,2696509.3239349774,376951.6842475087,598325.2910600234,598325.2910600234,1296876.5905214627,1296876.5905214627,1296876.5905214627,4531107.721096021,4531107.721096021,527819.5994952194,1815139.3346248912,1815139.3346248912,784171.3924231153,1815139.3346248912,1815139.3346248912,963006.6144492902,1815139.3346248912,1815139.3346248912,5457501.762992071,1516023.046090397,1516023.046090397,1011294.2698493472,1516023.046090397,1516023.046090397
Visibilities bw4 [1/s],141855163.57533255,624551447.5564055,2472590.3662639125,161307147.9011916,6367602.162721325,161307147.9011916,109104167.0962836,101022866.22592254,101022866.22592254,196346924.5533511,181835874.88790295,101022866.22592254,101022866.22592254,196346924.5533511,181835874.88790295,101022866.22592254,101022866.22592254,196346924.5533511,2633259.572619208,2438211.573504817,2438211.573504817,8097336.194221759,13798865.857877117,3833094.764727136,154217.7333357008,13043121.240024522,,,,,1586822.311269336,2448773.5479409676,2448773.5479409676,5459394.861500343,5459394.861500343,5459394.861500343,6358200.2433016645,6358200.2433016645,2139589.8006757093,7428853.120970111,7428853.120970111,2962468.7702337,7428853.120970111,7428853.120970111,3890084.122394376,7428853.120970111,7428853.120970111,22336298.411039382,6204650.944006525,6204650.944006525,4020656.0850913525,6204650.944006525,6204650.944006525
Visibilities bw5 [1/s],,,2601701.0260926704,113156925.2861792,6253540.054241977,113156925.2861792,,,,,,,,,,,,,3879138.037409837,2394535.4510295233,2394535.4510295233,7952334.077066991,,,,,,,,,1669706.2197800777,2404908.193775761,2404908.193775761,6702000.472524097,6702000.472524097,6702000.472524097,,,2148997.04772652,7295782.519740423,7295782.519740423,3151831.7976575512,7295782.519740423,7295782.519740423,3939770.6601039814,7295782.519740423,7295782.519740423,21936315.03481364,6093507.554281699,6093507.554281699,4230667.018089027,6093507.554281699,6093507.554281699
Visibilities bw6 [1/s],,,9710348.953550883,259168378.32160106,30009250.41978592,259168378.32160106,,,,,,,,,,,,,1692291.4508105551,1566939.8485684295,1566939.8485684295,5203870.390054841,,,,,,,,,7010935.836155661,11540578.747011723,11540578.747011723,16446153.148886476,16446153.148886476,16446153.148886476,,,8102621.311450598,35010730.818072766,35010730.818072766,13612319.868328512,35010730.818072766,35010730.818072766,15124753.22304987,35010730.818072766,35010730.818072766,78950772.45478621,29241291.63496894,29241291.63496894,17764169.56933245,29241291.63496894,29241291.63496894
Visibilities bw7 [1/s],,,18982655.23714316,495393215.1353213,58665216.05526454,495393215.1353213,,,,,,,,,,,,,,,,,,,,,,,,,12182835.294002341,22560725.281398576,22560725.281398576,,,,,,14783794.402442912,68442638.40578821,68442638.40578821,22175591.32855537,68442638.40578821,68442638.40578821,32852653.616048988,68442638.40578821,68442638.40578821,205788778.53954586,57163929.21354139,57163929.21354139,30868629.96646199,57163929.21354139,57163929.21354139
Visibilities bw8 [1/s],,,8655176.951414868,156858909.7132084,22290508.691201698,156858909.7132084,,,,,,,,,,,,,,,,,,,,,,,,,4629002.250578928,8572200.799852684,8572200.799852684,,,,,,7021571.898381179,26005551.376176804,26005551.376176804,11234472.70312176,26005551.376176804,26005551.376176804,12482723.928780977,26005551.376176804,26005551.376176804,78191847.08971843,21720077.7258466,21720077.7258466,17593314.34379626,21720077.7258466,21720077.7258466
Visibilities bw9 [1/s],,,11565290.761680271,137193016.99216768,47656482.604345754,137193016.99216768,,,,,,,,,,,,,,,,,,,,,,,,,7422503.324102305,18327123.937945276,18327123.937945276,,,,,,10007930.689177454,55599141.81844075,55599141.81844075,18014219.70030664,55599141.81844075,55599141.81844075,2881063.9433237165,6002189.549808465,6002189.549808465,83586071.97449213,46436916.91469365,46436916.91469365,18806996.29391786,46436916.91469365,46436916.91469365
Visibilities bw10 [1/s],,,979619.0849624581,9832946.63164279,4036673.7330393577,9832946.63164279,,,,,,,,,,,,,,,,,,,,,,,,,628712.1949600051,1552372.5816993127,1552372.5816993127,,,,,,847706.270065889,4709445.368390764,4709445.368390764,1525867.305415989,4709445.368390764,4709445.368390764,,,,7080042.764008615,3933372.1611527153,3933372.1611527153,1593018.9464732066,3933372.1611527153,3933372.1611527153
Visibilities bw11 [1/s],,,645900.8802550613,4214119.9733702345,1996155.046750689,4214119.9733702345,,,,,,,,,,,,,,,,,,,,,,,,,621802.3662051851,767655.8672308879,767655.8672308879,,,,,,628791.79835944,2328843.9796672305,2328843.9796672305,754548.4520103544,2328843.9796672305,2328843.9796672305,,,,3501117.8028563806,1945071.904603555,1945071.904603555,1575511.0037562437,1945071.904603555,1945071.904603555
-- Geometry --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.09440398684029373,0.09440398684029373,0.8580149336490602,0.8580149336490602,17.04886816211769,17.04886816211769,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,1.4098307776762335,1.4098307776762335,1.4098307776762335,1.4098307776762335,2.179085545775391,2.179085545775391,2.179085545775391,2.203297607395118,2.3177546259610975,2.3177546259610975,2.3177546259610975,2.3206973331141834,17.82888173816229,17.82888173816229,17.82888173816229,1.961176991197852,1.961176991197852,1.961176991197852,0.8580149336490602,0.8580149336490602,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093
Delta W earth1 [lambda],0.37761594736117493,0.37761594736117493,1.9305336007103855,1.9305336007103855,38.3599533647648,38.3599533647648,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,3.172119249771525,3.172119249771525,3.172119249771525,3.172119249771525,4.902942477994629,4.902942477994629,4.902942477994629,4.957419616639014,5.214947908412469,5.214947908412469,5.214947908412469,5.221568999506912,40.11498391086515,40.11498391086515,40.11498391086515,4.412648230195167,4.412648230195167,4.412648230195167,1.9305336007103855,1.9305336007103855,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221
Delta W earth2 [lambda],1.5104637894446997,1.5104637894446997,3.432059734596241,3.432059734596241,68.19547264847075,68.19547264847075,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,5.639323110704934,5.639323110704934,5.639323110704934,5.639323110704934,8.716342183101563,8.716342183101563,8.716342183101563,8.813190429580471,9.27101850384439,9.27101850384439,9.27101850384439,9.282789332456733,71.31552695264917,71.31552695264917,71.31552695264917,7.844707964791408,7.844707964791408,7.844707964791408,3.432059734596241,3.432059734596241,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837
Delta W earth3 [lambda],6.041855157778799,6.041855157778799,7.722134402841542,7.722134402841542,153.4398134590592,153.4398134590592,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,12.6884769990861,12.6884769990861,12.6884769990861,12.6884769990861,19.611769911978516,19.611769911978516,19.611769911978516,19.829678466556057,20.859791633649877,20.859791633649877,20.859791633649877,20.88627599802765,160.4599356434606,160.4599356434606,160.4599356434606,17.650592920780667,17.650592920780667,17.650592920780667,7.722134402841542,7.722134402841542,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884
Delta W earth4 [lambda],24.167420631115196,24.167420631115196,21.450373341226506,21.450373341226506,426.22170405294224,426.22170405294224,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,35.245769441905836,35.245769441905836,35.245769441905836,35.245769441905836,54.47713864438477,54.47713864438477,54.47713864438477,55.08244018487794,,,,,445.72204345405726,445.72204345405726,445.72204345405726,49.0294247799463,49.0294247799463,49.0294247799463,13.728238938384964,13.728238938384964,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023
Delta W earth5 [lambda],,,42.04273174880395,42.04273174880395,835.3945399437669,835.3945399437669,,,,,,,,,,,,,69.08170810613544,69.08170810613544,69.08170810613544,69.08170810613544,,,,,,,,,873.6152051699522,873.6152051699522,873.6152051699522,96.09767256869475,96.09767256869475,96.09767256869475,,,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125
Delta W earth6 [lambda],,,103.81980697153628,103.81980697153628,2062.9130476162404,2062.9130476162404,,,,,,,,,,,,,90.22916977127895,90.22916977127895,90.22916977127895,90.22916977127895,,,,,,,,,2157.294690317637,2157.294690317637,2157.294690317637,196.1176991197852,196.1176991197852,196.1176991197852,,,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433
Delta W earth7 [lambda],,,193.05336007103855,193.05336007103855,3835.99533647648,3835.99533647648,,,,,,,,,,,,,,,,,,,,,,,,,4011.4983910865153,4011.4983910865153,4011.4983910865153,,,,,,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207
Delta W earth8 [lambda],,,277.99683850229553,277.99683850229553,5523.833284526131,5523.833284526131,,,,,,,,,,,,,,,,,,,,,,,,,5776.557683164582,5776.557683164582,5776.557683164582,,,,,,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038
Delta W earth9 [lambda],,,415.2792278861451,415.2792278861451,8251.652190464962,8251.652190464962,,,,,,,,,,,,,,,,,,,,,,,,,8629.178761270548,8629.178761270548,8629.178761270548,,,,,,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,742.9471108013097,742.9471108013097,742.9471108013097,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773
Delta W earth10 [lambda],,,580.0180951467647,580.0180951467647,11525.034877591559,11525.034877591559,,,,,,,,,,,,,,,,,,,,,,,,,12052.324054997707,12052.324054997707,12052.324054997707,,,,,,1391.2250606694886,1391.2250606694886,1391.2250606694886,1391.2250606694886,1391.2250606694886,1391.2250606694886,,,,9452.146735725055,9452.146735725055,9452.146735725055,9452.146735725055,9452.146735725055,9452.146735725055
Delta W earth11 [lambda],,,772.2134402841542,772.2134402841542,15343.98134590592,15343.98134590592,,,,,,,,,,,,,,,,,,,,,,,,,16045.993564346061,16045.993564346061,16045.993564346061,,,,,,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,,,,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883
Delta W snapshot0 [lambda],0.7552319351977103,2.10183493705262,22.69121722143128,61.182119340527656,1263.3823896530137,8719.54436330476,0.6904976413608945,0.6676393917062569,0.5278525994191318,2.227294883698958,0.6183508057896449,0.6676393917062569,0.5278525994191318,2.227294883698958,0.6183508057896449,0.6676393917062569,0.5278525994191318,2.227294883698958,45.48783394611957,41.29936309967687,32.9646422842472,252.3425179655435,53.761205911483295,69.71642726372359,61.15833005567532,603.5050704360611,66.23564235200344,74.96711925264044,59.91062822958019,834.0660495843887,3854.8790377085247,1962.5090742813313,1860.2863702573661,58.65433085497779,48.996193516338955,38.71774887827801,10.400839910751445,6.7831912769729135,114.45390415279883,50.15458906848565,45.27655216295532,94.3563591796505,50.15458906848565,45.27655216295532,69.04010894444254,41.12001465073285,36.59785914718478,758.3115286247753,1141.721463668911,882.5355080027513,1801.7064818817937,1141.721463668911,882.5355080027513
Delta W snapshot1 [lambda],1.5104638703954205,4.20366987410524,34.036825832146924,91.77317901079148,1895.0735844795204,13079.316544957139,1.380995282721789,1.3352787834125137,1.0557051988382635,4.454589767397916,1.2367016115792897,1.3352787834125137,1.0557051988382635,4.454589767397916,1.2367016115792897,1.3352787834125137,1.0557051988382635,4.454589767397916,68.23175091917936,61.9490446495153,49.4469634263708,378.51377694831524,80.64180886722495,104.57464089558538,91.73749508351298,905.2576056540917,99.35346352800515,112.45067887896066,89.86594234437028,1251.099074376583,5782.318556562787,2943.763611421997,2790.429555386049,87.9814962824667,73.49429027450843,58.07662331741702,15.601259866127167,10.17478691545937,171.68085622919824,75.23188360272847,67.91482824443298,141.53453876947574,75.23188360272847,67.91482824443298,103.5601634166638,61.680021976099276,54.896788720777174,1137.467292937163,1712.5821955033664,1323.803262004127,2702.5597228226907,1712.5821955033664,1323.803262004127
Delta W snapshot2 [lambda],3.020927740790841,8.40733974821048,45.38243444286256,122.36423868105531,2526.7647793060273,17439.08872660952,2.761990565443578,2.6705575668250274,2.111410397676527,8.909179534795832,2.4734032231585794,2.6705575668250274,2.111410397676527,8.909179534795832,2.4734032231585794,2.6705575668250274,2.111410397676527,8.909179534795832,90.97566789223914,82.59872619935373,65.9292845684944,504.685035931087,107.52241182296659,139.43285452744718,122.31666011135064,1207.0101408721223,132.47128470400688,149.9342385052809,119.82125645916038,1668.1320991687774,7709.758075417049,3925.0181485626626,3720.5727405147322,117.30866170995559,97.99238703267791,77.43549775655602,20.80167982150289,13.566382553945827,228.90780830559765,100.3091781369713,90.55310432591064,188.712718359301,100.3091781369713,90.55310432591064,138.08021788888507,82.2400293014657,73.19571829436956,1516.6230572495506,2283.442927337822,1765.0710160055025,3603.4129637635874,2283.442927337822,1765.0710160055025
Delta W snapshot3 [lambda],6.041855481581682,16.81467949642096,68.07365166429385,183.54635802158296,3790.1471689590408,26158.633089914278,5.523981130887156,5.341115133650055,4.222820795353054,17.818359069591665,4.946806446317159,5.341115133650055,4.222820795353054,17.818359069591665,4.946806446317159,5.341115133650055,4.222820795353054,17.818359069591665,136.46350183835872,123.8980892990306,98.8939268527416,757.0275538966305,161.2836177344499,209.14928179117075,183.47499016702596,1810.5152113081833,198.7069270560103,224.90135775792132,179.73188468874056,2502.198148753166,11564.637113125575,5887.527222843994,5580.859110772098,175.9629925649334,146.98858054901686,116.15324663483403,31.202519732254334,20.34957383091874,343.3617124583965,150.46376720545695,135.82965648886596,283.0690775389515,150.46376720545695,135.82965648886596,207.1203268333276,123.36004395219855,109.79357744155435,2274.934585874326,3425.164391006733,2647.606524008254,5405.119445645381,3425.164391006733,2647.606524008254
Delta W snapshot4 [lambda],12.083710963163364,33.62935899284192,113.45608610715641,305.9105967026383,6316.911948265068,43597.7218165238,11.047962261774313,10.68223026730011,8.445641590706108,35.63671813918333,9.893612892634318,10.68223026730011,8.445641590706108,35.63671813918333,9.893612892634318,10.68223026730011,8.445641590706108,35.63671813918333,227.43916973059788,206.49681549838434,164.823211421236,1261.7125898277175,268.8060295574165,348.5821363186179,305.7916502783766,3017.5253521803056,,,,,19274.39518854262,9812.545371406657,9301.43185128683,293.271654274889,244.98096758169478,193.58874439139004,41.60335964300578,27.132765107891654,572.2695207639941,250.77294534242822,226.3827608147766,471.7817958982524,250.77294534242822,226.3827608147766,345.20054472221267,205.60007325366425,182.98929573592392,3791.5576431238765,5708.607318344554,4412.677540013756,9008.532409408968,5708.607318344554,4412.677540013756
Delta W snapshot5 [lambda],,,158.83852055001896,428.2748353836936,8843.676727571095,61036.81054313332,,,,,,,,,,,,,318.414837622837,289.0955416977381,230.7524959897304,1766.3976257588045,,,,,,,,,26984.153263959673,13737.56351996932,13022.004591801562,410.58031598484456,342.9733546143727,271.0242421479461,,,801.1773290695918,351.0821234793995,316.93586514068727,660.4945142575534,351.0821234793995,316.93586514068727,483.2807626110977,287.84010255512993,256.1850140302935,5308.1807003734275,7992.050245682376,6177.748556019259,12611.945373172557,7992.050245682376,6177.748556019259
Delta W snapshot6 [lambda],,,249.60338943574408,673.0033127458042,13897.20628618315,95914.98799635236,,,,,,,,,,,,,363.9026715689566,330.39490479741494,263.7171382739776,2018.740143724348,,,,,,,,,42403.66941479377,21587.599817094644,20463.150072831028,586.543308549778,489.96193516338957,387.1774887827801,,,1258.9929456807872,551.700479753342,498.0420737925085,1037.9199509761554,551.700479753342,498.0420737925085,759.4411983888679,452.32016115806135,402.5764506190326,8341.426814872528,12558.93610035802,9707.890588030263,19818.771300699733,12558.93610035802,9707.890588030263
Delta W snapshot7 [lambda],,,340.3682583214692,917.7317901079149,18950.735844795203,130793.1654495714,,,,,,,,,,,,,,,,,,,,,,,,,57823.18556562787,29437.63611421997,27904.29555386049,,,,,,1716.8085622919825,752.3188360272846,679.1482824443298,1415.3453876947574,752.3188360272846,679.1482824443298,1035.601634166638,616.8002197609927,548.9678872077717,11374.67292937163,17125.82195503366,13238.03262004127,27025.597228226907,17125.82195503366,13238.03262004127
Delta W snapshot8 [lambda],,,408.44190998576306,1101.2781481294978,22740.883013754243,156951.79853948567,,,,,,,,,,,,,,,,,,,,,,,,,69387.82267875344,35325.16333706397,33485.15466463259,,,,,,2060.170274750379,902.7826032327416,814.9779389331958,1698.4144652337088,902.7826032327416,814.9779389331958,1242.7219609999656,740.1602637131913,658.7614646493261,13649.607515245956,20550.986346040398,15885.639144049523,32430.716673872288,20550.986346040398,15885.639144049523
Delta W snapshot9 [lambda],,,499.20677887148815,1346.0066254916085,27794.4125723663,191829.9759927047,,,,,,,,,,,,,,,,,,,,,,,,,84807.33882958753,43175.19963418929,40926.300145662055,,,,,,2517.9858913615744,1103.400959506684,996.084147585017,2075.839901952311,1103.400959506684,996.084147585017,1311.762069944408,781.2802783639241,695.3593237965108,16682.853629745056,25117.87220071604,19415.781176060525,39637.542601399466,25117.87220071604,19415.781176060525
Delta W snapshot10 [lambda],,,589.9716477572133,1590.7351028537191,32847.94213097835,226708.15344592376,,,,,,,,,,,,,,,,,,,,,,,,,100226.85498042165,51025.235931314615,48367.445626691515,,,,,,2975.8015079727697,1304.0193157806268,1177.1903562368384,2453.2653386709126,1304.0193157806268,1177.1903562368384,,,,19716.09974424416,29684.75805539168,22945.923208071534,46844.368528926636,29684.75805539168,22945.923208071534
Delta W snapshot11 [lambda],,,680.7365166429385,1835.4635802158298,37901.471689590406,261586.3308991428,,,,,,,,,,,,,,,,,,,,,,,,,115646.37113125574,58875.27222843994,55808.59110772098,,,,,,3433.617124583965,1504.6376720545693,1358.2965648886595,2830.690775389515,1504.6376720545693,1358.2965648886595,,,,22749.34585874326,34251.64391006732,26476.06524008254,54051.19445645381,34251.64391006732,26476.06524008254
Delta W max0 [lambda],0.7552319351977103,2.10183493705262,22.69121722143128,61.182119340527656,1263.3823896530137,8719.54436330476,0.6904976413608945,0.6676393917062569,0.5278525994191318,2.227294883698958,0.6183508057896449,0.6676393917062569,0.5278525994191318,2.227294883698958,0.6183508057896449,0.6676393917062569,0.5278525994191318,2.227294883698958,45.48783394611957,41.29936309967687,32.9646422842472,252.3425179655435,53.761205911483295,69.71642726372359,61.15833005567532,603.5050704360611,66.23564235200344,74.96711925264044,59.91062822958019,834.0660495843887,3854.8790377085247,1962.5090742813313,1860.2863702573661,58.65433085497779,48.996193516338955,38.71774887827801,10.400839910751445,6.7831912769729135,114.45390415279883,50.15458906848565,45.27655216295532,94.3563591796505,50.15458906848565,45.27655216295532,69.04010894444254,41.12001465073285,36.59785914718478,758.3115286247753,1141.721463668911,882.5355080027513,1801.7064818817937,1141.721463668911,882.5355080027513
Delta W max1 [lambda],1.5104638703954205,4.20366987410524,34.036825832146924,91.77317901079148,1895.0735844795204,13079.316544957139,1.380995282721789,1.3352787834125137,1.0557051988382635,4.454589767397916,1.2367016115792897,1.3352787834125137,1.0557051988382635,4.454589767397916,1.2367016115792897,1.3352787834125137,1.0557051988382635,4.454589767397916,68.23175091917936,61.9490446495153,49.4469634263708,378.51377694831524,80.64180886722495,104.57464089558538,91.73749508351298,905.2576056540917,99.35346352800515,112.45067887896066,89.86594234437028,1251.099074376583,5782.318556562787,2943.763611421997,2790.429555386049,87.9814962824667,73.49429027450843,58.07662331741702,15.601259866127167,10.17478691545937,171.68085622919824,75.23188360272847,67.91482824443298,141.53453876947574,75.23188360272847,67.91482824443298,103.5601634166638,61.680021976099276,54.896788720777174,1137.467292937163,1712.5821955033664,1323.803262004127,2702.5597228226907,1712.5821955033664,1323.803262004127
Delta W max2 [lambda],3.020927740790841,8.40733974821048,45.38243444286256,122.36423868105531,2526.7647793060273,17439.08872660952,2.761990565443578,2.6705575668250274,2.111410397676527,8.909179534795832,2.4734032231585794,2.6705575668250274,2.111410397676527,8.909179534795832,2.4734032231585794,2.6705575668250274,2.111410397676527,8.909179534795832,90.97566789223914,82.59872619935373,65.9292845684944,504.685035931087,107.52241182296659,139.43285452744718,122.31666011135064,1207.0101408721223,132.47128470400688,149.9342385052809,119.82125645916038,1668.1320991687774,7709.758075417049,3925.0181485626626,3720.5727405147322,117.30866170995559,97.99238703267791,77.43549775655602,20.80167982150289,13.566382553945827,228.90780830559765,100.3091781369713,90.55310432591064,188.712718359301,100.3091781369713,90.55310432591064,138.08021788888507,82.2400293014657,73.19571829436956,1516.6230572495506,2283.442927337822,1765.0710160055025,3603.4129637635874,2283.442927337822,1765.0710160055025
Delta W max3 [lambda],6.041855481581682,16.81467949642096,68.07365166429385,183.54635802158296,3790.1471689590408,26158.633089914278,5.523981858540616,5.523981858540616,5.523981858540616,17.818359069591665,5.523981858540616,5.523981858540616,5.523981858540616,17.818359069591665,5.523981858540616,5.523981858540616,5.523981858540616,17.818359069591665,136.46350183835872,123.8980892990306,98.8939268527416,757.0275538966305,161.2836177344499,209.14928179117075,183.47499016702596,1810.5152113081833,198.7069270560103,224.90135775792132,179.73188468874056,2502.198148753166,11564.637113125575,5887.527222843994,5580.859110772098,175.9629925649334,146.98858054901686,116.15324663483403,31.202519732254334,20.34957383091874,343.3617124583965,150.46376720545695,135.82965648886596,283.0690775389515,150.46376720545695,135.82965648886596,207.1203268333276,123.36004395219855,109.79357744155435,2274.934585874326,3425.164391006733,2647.606524008254,5405.119445645381,3425.164391006733,2647.606524008254
Delta W max4 [lambda],24.167420631115196,33.62935899284192,113.45608610715641,305.9105967026383,6316.911948265068,43597.7218165238,22.095927434162466,22.095927434162466,22.095927434162466,35.63671813918333,22.095927434162466,22.095927434162466,22.095927434162466,35.63671813918333,22.095927434162466,22.095927434162466,22.095927434162466,35.63671813918333,227.43916973059788,206.49681549838434,164.823211421236,1261.7125898277175,268.8060295574165,348.5821363186179,305.7916502783766,3017.5253521803056,,,,,19274.39518854262,9812.545371406657,9301.43185128683,293.271654274889,244.98096758169478,193.58874439139004,41.60335964300578,27.132765107891654,572.2695207639941,250.77294534242822,226.3827608147766,471.7817958982524,250.77294534242822,226.3827608147766,345.20054472221267,205.60007325366425,182.98929573592392,3791.5576431238765,5708.607318344554,4412.677540013756,9008.532409408968,5708.607318344554,4412.677540013756
