,max_LOW_continuum [],max_LOW_spectral [],max_MID_continuum [],max_MID_spectral [],max_Band5_MID_continuum [],max_Band5_MID_spectral [],01ICAL [],01DPrepA [],01DPrepB [],01DPrepC [],02AICAL [],02ADPrepA [],02ADPrepB [],02ADPrepC [],02BICAL [],02BDPrepA [],02BDPrepB [],02BDPrepC [],13ICAL [] [Bmax=40000],13DPrepA [] [Bmax=40000],13DPrepB [] [Bmax=40000],13DPrepC [] [Bmax=40000],14ICAL [] [Bmax=25000],14DPrepA [] [Bmax=25000],14DPrepB [] [Bmax=25000],14DPrepC [] [Bmax=25000],15ICAL [] [Bmax=15000],15DPrepA [] [Bmax=15000],15DPrepB [] [Bmax=15000],15DPrepC [] [Bmax=15000],22ICAL [],22DPrepA [],22DPrepB [],27ICAL [] [Bmax=50000],27DPrepA [] [Bmax=50000],27DPrepB [] [Bmax=50000],32ICAL [] [Bmax=20000],32DPrepB [] [Bmax=20000],37aICAL [],37aDPrepA [],37aDPrepB [],37bICAL [],37bDPrepA [],37bDPrepB [],37cICAL [] [Bmax=95000],37cDPrepA [] [Bmax=95000],37cDPrepB [] [Bmax=95000],38aICAL [],38aDPrepA [],38aDPrepB [],38bICAL [],38bDPrepA [],38bDPrepB []
Max Baseline [m],65000,65000,150000,150000,150000,150000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,40000,40000,40000,40000,25000,25000,25000,25000,15000,15000,15000,15000,150000,150000,150000,50000,50000,50000,20000,20000,150000,150000,150000,150000,150000,150000,95000,95000,95000,150000,150000,150000,150000,150000,150000
Dump time [s],0.9,0.9,0.14,0.14,0.14,0.14,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.28476339651597127,0.28476339651597127,0.28476339651597127,0.1562587293059796,0.4468866669484593,0.4468866669484593,0.4468866669484593,0.2641923185657977,0.7601696575533425,0.7601696575533425,0.7601696575533425,0.455336081013013,0.14,0.14,0.14,0.22573535985065513,0.22573535985065513,0.22573535985065513,0.5444051941858186,0.5444051941858186,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Observation Time [s],3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,15840.000000000002,15840.000000000002,15840.000000000002,15840.000000000002,21600.0,21600.0,21600.0,442.8,442.8,442.8,7920.000000000001,7920.000000000001,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Snapshot Time [s],48.9999436026165,54.008363246136454,342.40423010992896,202.03937426767476,1736.7176453833038,1398.718497360746,33.85669516057531,17.469324271183023,29.963273231568305,29.2501759343577,34.938645747705515,17.469324271183023,29.963273231568305,29.2501759343577,34.938645747705515,17.469324271183023,29.963273231568305,29.2501759343577,162.7546875836817,92.74722219078151,160.64468291904168,199.61061053395832,759.2777027978817,109.24638002686515,195.84070418136136,788.6103328220554,829.9743130687968,142.31522859980674,229.53138577695557,1090.4528252877442,789.2000910228761,297.7932595334178,672.2862700902948,89.63560158919854,74.84470274754632,133.04827838805858,116.30685893628335,75.39140726802763,692.4289796030009,182.85078956044168,353.8000976606724,164.32319964803497,182.85078956044168,353.8000976606724,132.8778536491353,56.11361936761265,110.37176056836785,409.7880724908288,225.8397116613279,502.5242974045686,479.80337985274264,225.8397116613279,502.5242974045686
Facets,2.0,1.0,5.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,3.0,3.0,6.0,3.0,3.0,4.0,1.0,1.0,3.0,1.0,1.0,5.0,1.0,1.0
Stations/antennas,512,512,197,197,197,197,512,512,512,512,512,512,512,512,512,512,512,512,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
Max Baseline [per bin]0 [m],4062.5,4062.5,5000.0,5000.0,5000.0,5000.0,4062.5,4062.5,4062.5,4062.5,4062.5,4062.5,4062.5,4062.5,4062.5,4062.5,4062.5,4062.5,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Max Baseline [per bin]1 [m],8125.0,8125.0,7500.0,7500.0,7500.0,7500.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0
Max Baseline [per bin]2 [m],16250.0,16250.0,10000.0,10000.0,10000.0,10000.0,16250.0,16250.0,16250.0,16250.0,16250.0,16250.0,16250.0,16250.0,16250.0,16250.0,16250.0,16250.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Max Baseline [per bin]3 [m],32500.0,32500.0,15000.0,15000.0,15000.0,15000.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0
Max Baseline [per bin]4 [m],65000.0,65000.0,25000.0,25000.0,25000.0,25000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,,,,,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,20000.0,20000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0
Max Baseline [per bin]5 [m],,,35000.0,35000.0,35000.0,35000.0,,,,,,,,,,,,,35000.0,35000.0,35000.0,35000.0,,,,,,,,,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,,,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0
Max Baseline [per bin]6 [m],,,55000.0,55000.0,55000.0,55000.0,,,,,,,,,,,,,40000.0,40000.0,40000.0,40000.0,,,,,,,,,55000.0,55000.0,55000.0,50000.0,50000.0,50000.0,,,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0
Max Baseline [per bin]7 [m],,,75000.0,75000.0,75000.0,75000.0,,,,,,,,,,,,,,,,,,,,,,,,,75000.0,75000.0,75000.0,,,,,,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0
Max Baseline [per bin]8 [m],,,90000.0,90000.0,90000.0,90000.0,,,,,,,,,,,,,,,,,,,,,,,,,90000.0,90000.0,90000.0,,,,,,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0
Max Baseline [per bin]9 [m],,,110000.0,110000.0,110000.0,110000.0,,,,,,,,,,,,,,,,,,,,,,,,,110000.0,110000.0,110000.0,,,,,,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,95000.0,95000.0,95000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0
Max Baseline [per bin]10 [m],,,130000.0,130000.0,130000.0,130000.0,,,,,,,,,,,,,,,,,,,,,,,,,130000.0,130000.0,130000.0,,,,,,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,,,,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0
Max Baseline [per bin]11 [m],,,150000.0,150000.0,150000.0,150000.0,,,,,,,,,,,,,,,,,,,,,,,,,150000.0,150000.0,150000.0,,,,,,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,,,,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0
Baseline fraction [per bin]0,0.493626883,0.493626883,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.493626883,0.493626883,0.493626883,0.493626883,0.493626883,0.493626883,0.493626883,0.493626883,0.493626883,0.493626883,0.493626883,0.493626883,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115
Baseline fraction [per bin]1,0.1332914111,0.1332914111,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.1332914111,0.1332914111,0.1332914111,0.1332914111,0.1332914111,0.1332914111,0.1332914111,0.1332914111,0.1332914111,0.1332914111,0.1332914111,0.1332914111,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095
Baseline fraction [per bin]2,0.1365062318,0.1365062318,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.1365062318,0.1365062318,0.1365062318,0.1365062318,0.1365062318,0.1365062318,0.1365062318,0.1365062318,0.1365062318,0.1365062318,0.1365062318,0.1365062318,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053
Baseline fraction [per bin]3,0.1710107961,0.1710107961,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.1710107961,0.1710107961,0.1710107961,0.1710107961,0.1710107961,0.1710107961,0.1710107961,0.1710107961,0.1710107961,0.1710107961,0.1710107961,0.1710107961,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095
Baseline fraction [per bin]4,0.065564678,0.065564678,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.065564678,0.065564678,0.065564678,0.065564678,0.065564678,0.065564678,0.065564678,0.065564678,0.065564678,0.065564678,0.065564678,0.065564678,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,,,,,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0356976322567,0.0356976322567,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134
Baseline fraction [per bin]5,,,0.037562820607,0.037562820607,0.037562820607,0.037562820607,,,,,,,,,,,,,0.037562820607,0.037562820607,0.037562820607,0.037562820607,,,,,,,,,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,,,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607
Baseline fraction [per bin]6,,,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,,,,,,,,,,,,,0.0143386353027,0.0143386353027,0.0143386353027,0.0143386353027,,,,,,,,,0.0573545412107,0.0573545412107,0.0573545412107,0.043015905908,0.043015905908,0.043015905908,,,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107
Baseline fraction [per bin]7,,,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,,,,,,,,,,,,,,,,,,,,,,,,,0.0548158127103,0.0548158127103,0.0548158127103,,,,,,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103
Baseline fraction [per bin]8,,,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,,,,,,,,,,,,,,,,,,,,,,,,,0.0173566136032,0.0173566136032,0.0173566136032,,,,,,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032
Baseline fraction [per bin]9,,,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,,,,,,,,,,,,,,,,,,,,,,,,,0.0151805606028,0.0151805606028,0.0151805606028,,,,,,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.00379514015071,0.00379514015071,0.00379514015071,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028
Baseline fraction [per bin]10,,,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,,,,,,,,,,,,,,,,,,,,,,,,,0.0010880265302,0.0010880265302,0.0010880265302,,,,,,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,,,,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302
Baseline fraction [per bin]11,,,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,,,,,,,,,,,,,,,,,,,,,,,,,0.000466297083087,0.000466297083087,0.000466297083087,,,,,,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,,,,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087
-- Image --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facet FoV size [deg],9.428910882205546,15.714851470342577,1.6269737985071502,6.779057493779791,0.13354177878084147,0.3338544469521037,11.133845896288854,17.181860951063044,17.181860951063044,17.181860951063044,9.278204913574044,17.181860951063044,17.181860951063044,17.181860951063044,9.278204913574044,17.181860951063044,17.181860951063044,17.181860951063044,2.555525875550021,3.943712770910526,3.943712770910526,3.943712770910526,1.1237985838663551,2.6013856108017475,2.6013856108017475,2.3880487372046404,1.2940198352770884,2.3963330282909046,2.3963330282909046,2.192475334391248,0.20186709430322577,0.31152329367781756,0.31152329367781756,2.861080204290725,2.861080204290725,2.861080204290725,6.779057493779791,6.779057493779791,0.868043026276568,1.1252409599881439,1.1252409599881439,1.5190752959839944,1.1252409599881439,1.1252409599881439,1.5190752959839942,2.8131023999703597,2.8131023999703597,0.2923118393863541,0.4059886658143807,0.4059886658143807,0.2630806554477187,0.4059886658143807,0.4059886658143807
Total FoV size [deg],15.714851470342577,15.714851470342577,6.77905749377979,6.77905749377979,0.3338544469521037,0.3338544469521037,46.391024567870225,17.181860951063047,17.181860951063047,17.181860951063047,30.927349711913482,17.181860951063047,17.181860951063047,17.181860951063047,30.927349711913482,17.181860951063047,17.181860951063047,17.181860951063047,10.64802448145842,3.9437127709105257,3.9437127709105257,3.9437127709105257,4.682494099443145,2.6013856108017475,2.6013856108017475,2.3880487372046404,4.313399450923628,2.396333028290904,2.396333028290904,2.1924753343912475,0.8411128929301074,0.3115232936778175,0.3115232936778175,2.8610802042907246,2.8610802042907246,2.8610802042907246,6.77905749377979,6.77905749377979,5.063584319946647,2.8131023999703593,2.8131023999703593,7.59537647991997,2.8131023999703593,2.8131023999703593,5.063584319946647,2.8131023999703593,2.8131023999703593,0.7307795984658851,0.40598866581438064,0.40598866581438064,1.0961693976988278,0.40598866581438064,0.40598866581438064
PSF size [arcs],14.192259379479477,14.192259379479477,1.026706652111203,1.026706652111203,0.052802819899117066,0.052802819899117066,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,2.4513052924299807,2.4513052924299807,2.4513052924299807,2.4513052924299807,2.488876478592876,2.488876478592876,2.488876478592876,2.6519609530423187,3.98036867634397,3.98036867634397,3.98036867634397,4.339439761605704,0.05174479279247161,0.05174479279247161,0.05174479279247161,1.3968926428394057,1.3968926428394057,1.3968926428394057,7.700299890834023,7.700299890834023,0.43004950575276385,0.43004950575276385,0.43004950575276385,0.43004950575276385,0.43004950575276385,0.43004950575276385,0.6790255353991008,0.6790255353991008,0.6790255353991008,0.06455411908949733,0.06455411908949733,0.06455411908949733,0.06455411908949733,0.06455411908949733,0.06455411908949733
Pixel size [arcs],2.838451875895895,2.838451875895895,0.20534133042224062,0.20534133042224062,0.010560563979823412,0.010560563979823412,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,0.4902610584859961,0.4902610584859961,0.4902610584859961,0.4902610584859961,0.49777529571857515,0.49777529571857515,0.49777529571857515,0.5303921906084638,0.796073735268794,0.796073735268794,0.796073735268794,0.8678879523211408,0.01034895855849432,0.01034895855849432,0.01034895855849432,0.27937852856788115,0.27937852856788115,0.27937852856788115,1.5400599781668047,1.5400599781668047,0.08600990115055276,0.08600990115055276,0.08600990115055276,0.08600990115055276,0.08600990115055276,0.08600990115055276,0.13580510707982016,0.13580510707982016,0.13580510707982016,0.012910823817899467,0.012910823817899467,0.012910823817899467,0.012910823817899467,0.012910823817899467,0.012910823817899467
Facet side length [pixels],11958.659389011576,19931.098981685962,28523.754387788627,118848.97661578593,45523.17513813955,113807.93784534889,12905.949417816295,19916.588607741196,19916.588607741196,19916.588607741196,10754.957848180245,19916.588607741196,19916.588607741196,19916.588607741196,10754.957848180245,19916.588607741196,19916.588607741196,19916.588607741196,18765.29451551956,28958.787832591905,28958.787832591905,28958.787832591905,8127.512427226125,18813.686174134542,18813.686174134542,16208.714242331302,5851.808947602809,10836.683236301496,10836.683236301496,9094.389641772457,70221.7073712337,108366.83236301498,108366.83236301498,36867.145045987396,36867.145045987396,36867.145045987396,15846.530215438122,15846.530215438122,36332.501872379624,47097.68761234395,47097.68761234395,63581.87827666434,47097.68761234395,47097.68761234395,40268.52290855408,74571.3387195446,74571.3387195446,81507.00812228129,113204.17794761292,113204.17794761292,73356.30731005316,113204.17794761292,113204.17794761292
