,01c [otf],01s [otf],02A [otf],02B [otf],13c [otf],13s [Bmax=40000] [otf],14c [otf],14s [otf],15c [otf],15s [Bmax=13000] [otf],22 [otf],27 [otf],33 [otf],37a [otf],37b [otf],37c [otf],38a [otf],38b [otf],max_Band5_MID_continuum [otf],max_Band5_MID_spectral [otf],max_LOW_continuum [otf],max_LOW_spectral [otf],max_MID_continuum [otf],max_MID_spectral [otf]
Delta W earth9 [lambda],,,,,682.358096395297,682.358096395297,1054.6774041552892,1066.396041979237,1121.7932389651712,1123.2175092272646,8629.178761270548,949.2096637397603,949.2096637397603,996.0842150355509,996.0842150355509,949.2096637397603,6767.513343329773,6767.513343329773,8251.652190464962,8251.652190464962,,,415.2792278861451,415.2792278861451
Delta W earth10 [lambda],,,,,953.0456057091338,953.0456057091338,1473.0618289441643,1489.4291825990995,1566.8021271497018,1568.7913971851879,12052.324054997707,1325.7556460497478,1325.7556460497478,1391.2250606694886,1391.2250606694886,1325.7556460497478,9452.146735725055,9452.146735725055,11525.034877591559,11525.034877591559,,,580.0180951467647,580.0180951467647
Delta W earth11 [lambda],,,,,1268.8476999086101,1268.8476999086101,1961.1769911978517,1982.9678466556059,2085.9791633649875,2088.627599802765,16045.993564346061,1765.0592920780668,1765.0592920780668,1852.2227139090824,1852.2227139090824,1765.0592920780668,12584.219026852883,12584.219026852883,15343.98134590592,15343.98134590592,,,772.2134402841542,772.2134402841542
Delta W snapshot0 [lambda],0.8251585772421366,3.4208998495336833,0.8251584849933616,0.8251584849933616,23.73687349988864,222.90519923848237,41.45294493695094,168.32791445385092,49.51604351610753,190.6771544825485,1222.097884459338,30.042104215368955,30.042104215368955,30.870378762578614,30.870378762578614,30.04210439595032,584.8278388007916,584.8278388007916,798.2247059895217,4648.314848271183,0.8470211835741038,2.4140455326597676,10.451938895422295,36.81113865562172
Delta W snapshot1 [lambda],1.195637938452892,4.956814067691663,1.1956378047862994,1.1956378047862994,35.60531024983296,334.35779885772354,62.17941740542641,252.4918716807764,74.27406527416129,286.01573172382274,1833.146826689007,45.063156323053434,45.063156323053434,46.30556814386792,46.30556814386792,45.06315659392548,877.2417582011874,877.2417582011874,1197.3370589842825,6972.472272406774,1.2273164088522728,3.497902710588643,15.67790834313344,55.21670798343258
Delta W snapshot2 [lambda],1.7513569802690248,7.260685394928634,1.7513567844757063,1.7513567844757063,47.47374699977728,445.81039847696474,82.90588987390188,336.65582890770185,99.03208703221506,381.354308965097,2444.195768918676,60.08420843073791,60.08420843073791,61.74075752515723,61.74075752515723,60.08420879190064,1169.6556776015832,1169.6556776015832,1596.4494119790434,9296.629696542366,1.7977592467695265,5.123688477481956,20.90387779084459,73.62227731124344
Delta W snapshot3 [lambda],2.542835615582911,10.541956679175229,2.5428353313060734,2.5428353313060734,71.21062049966592,668.7155977154471,124.35883481085283,504.9837433615528,148.54813054832258,495.76060165462604,3666.293653378014,90.12631264610687,90.12631264610687,92.61113628773585,92.61113628773585,90.12631318785095,1754.4835164023748,1754.4835164023748,2394.674117968565,13944.944544813548,2.610208137136524,7.4392015394209166,31.35581668626688,110.43341596686516
Delta W snapshot4 [lambda],3.7216335830716774,15.428956464223347,3.7216331670108755,3.7216331670108755,118.6843674994432,1114.5259961924119,207.26472468475473,841.6395722692547,247.58021758053764,953.3857724127424,6110.4894222966905,150.21052107684477,150.21052107684477,154.35189381289308,154.35189381289308,150.2105219797516,2924.139194003958,2924.139194003958,3991.1235299476084,23241.574241355913,3.820238399385244,10.887838014649157,52.25969447711147,184.0556932781086
Delta W snapshot5 [lambda],5.422470650448327,22.480199011221348,5.422470044242091,5.422470044242091,166.1581144992205,1560.3363946693764,290.1706145586566,1178.2954011769566,346.61230461275267,1334.7400813778395,8554.685191215367,210.29472950758267,210.29472950758267,216.0926513380503,216.0926513380503,210.29473077165224,4093.794871605541,4093.794871605541,5587.572941926652,32538.20393789828,5.56613920634411,15.863727786049902,73.16357226795606,257.677970589352
Delta W snapshot6 [lambda],7.914786353138862,32.81271284246594,7.9147854683036725,7.9147854683036725,261.10560849877504,1783.241593907859,455.9823943064604,1851.6070589923602,544.6764786771828,2097.448699308033,13443.076729052718,330.4631463690585,330.4631463690585,339.57416638836474,339.57416638836474,330.46314835545354,6433.106226808707,6433.106226808707,8780.471765884738,51131.46333098301,8.124488903669976,23.15513061938961,114.97132784964523,404.92252521183894
Delta W snapshot7 [lambda],13.47197677130019,55.85142611483565,13.47197526519774,13.47197526519774,356.0531024983296,3343.5779885772354,621.7941740542641,2524.9187168077638,742.740652741613,2860.1573172382273,18331.46826689007,450.6315632305343,450.6315632305343,463.0556814386792,463.0556814386792,450.6315659392548,8772.417582011874,8772.417582011874,11973.370589842825,69724.72272406775,13.82891728284251,39.41298828832274,156.7790834313344,552.1670798343258
Delta W snapshot8 [lambda],,,,,427.2637229979955,4012.2935862926824,746.1530088651169,3029.902460169317,891.2887832899355,3432.1887806858726,21997.761920268083,540.7578758766412,540.7578758766412,555.666817726415,555.666817726415,540.7578791271058,10526.901098414248,10526.901098414248,14368.04470781139,83669.66726888128,,,188.1349001176013,662.600495801191
Delta W snapshot9 [lambda],,,,,522.2112169975501,4903.914383246612,911.9647886129208,3703.2141179847204,1089.3529573543656,4194.897398616066,26886.153458105437,660.926292738117,660.926292738117,679.1483327767295,679.1483327767295,660.9262967109071,12866.212453617414,12866.212453617414,17560.943531769477,102262.92666196602,,,229.94265569929047,809.8450504236779
Delta W snapshot10 [lambda],,,,,617.1587109971047,5795.535180200542,1077.7765683607245,4376.525775800124,1287.4171314187956,4957.60601654626,31774.54499594279,781.0947095995928,781.0947095995928,802.6298478270439,802.6298478270439,781.0947142947083,15205.52380882058,15205.52380882058,20753.842355727564,120856.18605505076,,,271.7504112809796,957.0896050461647
Delta W snapshot11 [lambda],,,,,712.1062049966592,6687.155977154471,1243.5883481085282,5049.8374336155275,1485.481305483226,5720.314634476455,36662.93653378014,901.2631264610686,901.2631264610686,926.1113628773584,926.1113628773584,901.2631318785096,17544.83516402375,17544.83516402375,23946.74117968565,139449.4454481355,,,313.5581668626688,1104.3341596686516
Delta W max0 [lambda],0.8251585772421366,3.4208998495336833,0.8251584849933616,0.8251584849933616,23.73687349988864,222.90519923848237,41.45294493695094,168.32791445385092,49.51604351610753,190.6771544825485,1222.097884459338,30.042104215368955,30.042104215368955,30.870378762578614,30.870378762578614,30.04210439595032,584.8278388007916,584.8278388007916,798.2247059895217,4648.314848271183,0.8470211835741038,2.4140455326597676,10.451938895422295,36.81113865562172
Delta W max1 [lambda],1.195637938452892,4.956814067691663,1.1956378047862994,1.1956378047862994,35.60531024983296,334.35779885772354,62.17941740542641,252.4918716807764,74.27406527416129,286.01573172382274,1833.146826689007,45.063156323053434,45.063156323053434,46.30556814386792,46.30556814386792,45.06315659392548,877.2417582011874,877.2417582011874,1197.3370589842825,6972.472272406774,1.2273164088522728,3.497902710588643,15.67790834313344,55.21670798343258
Delta W max2 [lambda],1.7513569802690248,7.260685394928634,1.7513567844757063,1.7513567844757063,47.47374699977728,445.81039847696474,82.90588987390188,336.65582890770185,99.03208703221506,381.354308965097,2444.195768918676,60.08420843073791,60.08420843073791,61.74075752515723,61.74075752515723,60.08420879190064,1169.6556776015832,1169.6556776015832,1596.4494119790434,9296.629696542366,1.7977592467695265,5.123688477481956,20.90387779084459,73.62227731124344
Delta W max3 [lambda],2.542835615582911,10.541956679175229,2.5428353313060734,2.5428353313060734,71.21062049966592,668.7155977154471,124.35883481085283,504.9837433615528,148.54813054832258,495.76060165462604,3666.293653378014,90.12631264610687,90.12631264610687,92.61113628773585,92.61113628773585,90.12631318785095,1754.4835164023748,1754.4835164023748,2394.674117968565,13944.944544813548,2.610208137136524,7.4392015394209166,31.35581668626688,110.43341596686516
Delta W max4 [lambda],3.7216335830716774,15.428956464223347,3.7216331670108755,3.7216331670108755,118.6843674994432,1114.5259961924119,207.26472468475473,841.6395722692547,247.58021758053764,953.3857724127424,6110.4894222966905,150.21052107684477,150.21052107684477,154.35189381289308,154.35189381289308,150.2105219797516,2924.139194003958,2924.139194003958,3991.1235299476084,23241.574241355913,3.820238399385244,10.887838014649157,52.25969447711147,184.0556932781086
Delta W max5 [lambda],5.422471337476216,22.480199011221348,5.422471337476216,5.422471337476216,166.1581144992205,1560.3363946693764,290.1706145586566,1178.2954011769566,346.61230461275267,1334.7400813778395,8554.685191215367,210.29472950758267,210.29472950758267,216.0926513380503,216.0926513380503,210.29473077165224,4093.794871605541,4093.794871605541,5587.572941926652,32538.20393789828,5.93082802536461,15.863727786049902,73.16357226795606,257.677970589352
Delta W max6 [lambda],11.552639929482813,32.81271284246594,11.552639929482813,11.552639929482813,261.10560849877504,1783.241593907859,455.9823943064604,1851.6070589923602,544.6764786771828,2097.448699308033,13443.076729052718,330.4631463690585,330.4631463690585,339.57416638836474,339.57416638836474,330.46314835545354,6433.106226808707,6433.106226808707,8780.471765884738,51131.46333098301,12.635699922871826,23.15513061938961,114.97132784964523,404.92252521183894
Delta W max7 [lambda],33.47075398311001,55.85142611483565,33.47075398311001,33.47075398311001,356.0531024983296,3343.5779885772354,621.7941740542641,2524.9187168077638,742.740652741613,2860.1573172382273,18331.46826689007,450.6315632305343,450.6315632305343,463.0556814386792,463.0556814386792,450.6315659392548,8772.417582011874,8772.417582011874,11973.370589842825,69724.72272406775,36.608637169026565,39.41298828832274,193.05336007103855,552.1670798343258
Delta W max8 [lambda],,,,,456.78517196709964,4012.2935862926824,746.1530088651169,3029.902460169317,891.2887832899355,3432.1887806858726,21997.761920268083,635.421345148104,635.421345148104,666.8001770072697,666.8001770072697,635.421345148104,10526.901098414248,10526.901098414248,14368.04470781139,83669.66726888128,,,277.99683850229553,662.600495801191
Delta W max9 [lambda],,,,,682.358096395297,4903.914383246612,1054.6774041552892,3703.2141179847204,1121.7932389651712,4194.897398616066,26886.153458105437,949.2096637397603,949.2096637397603,996.0842150355509,996.0842150355509,949.2096637397603,12866.212453617414,12866.212453617414,17560.943531769477,102262.92666196602,,,415.2792278861451,809.8450504236779
Delta W max10 [lambda],,,,,953.0456057091338,5795.535180200542,1473.0618289441643,4376.525775800124,1566.8021271497018,4957.60601654626,31774.54499594279,1325.7556460497478,1325.7556460497478,1391.2250606694886,1391.2250606694886,1325.7556460497478,15205.52380882058,15205.52380882058,20753.842355727564,120856.18605505076,,,580.0180951467647,957.0896050461647
Delta W max11 [lambda],,,,,1268.8476999086101,6687.155977154471,1961.1769911978517,5049.8374336155275,2085.9791633649875,5720.314634476455,36662.93653378014,1765.0592920780668,1765.0592920780668,1852.2227139090824,1852.2227139090824,1765.0592920780668,17544.83516402375,17544.83516402375,23946.74117968565,139449.4454481355,,,772.2134402841542,1104.3341596686516
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,
W kernel support pred0 [uv-pixels],2.750041921991362,3.310170484626459,2.7500416908227656,2.7500416908227656,3.759582766279271,8.378792205798211,3.057918435839123,3.1862121140262754,3.08918948762306,3.07735132795028,1.6010099102698327,2.7696930249157896,2.7696930249157896,2.7559294314172265,2.7559294314172265,2.7696930374341013,1.3701127570642904,1.3701127570642904,1.290039172219541,2.00407678317361,2.4524226115178878,2.227046826557159,4.583026734115669,4.880107442909503
W kernel support pred1 [uv-pixels],3.634744548868887,4.375511609959958,3.6347442431754273,3.6347442431754273,5.101125383733944,11.376895064229501,4.148528042893233,4.32268695136672,4.1909778844511765,4.174907763090446,2.171316743102781,3.757288345573032,3.757288345573032,3.738606468561798,3.738606468561798,3.757288362564677,1.8580608735023325,1.8580608735023325,1.7494330746914917,2.718224003059858,3.2411960672705837,2.9432016963210668,6.219312447396134,6.6227950013193855
W kernel support pred2 [uv-pixels],4.844223756434521,5.832214403337589,4.844223348761421,4.844223348761421,6.33512710984448,14.137678025946004,5.151509025962959,5.367887861106594,5.204248939198448,5.18428328017827,2.6955462333540843,4.665452237971789,4.665452237971789,4.642243786093357,4.642243786093357,4.665452259080512,2.306545691027098,2.306545691027098,2.171659449352729,3.374768130260173,4.319417248039536,3.922075569855671,7.724762504881203,8.226261081254398
W kernel support pred3 [uv-pixels],6.414682948372594,7.72410725634289,6.414682408132784,6.414682408132784,8.599408189670141,19.210250875682746,6.991430255481611,7.285349513013702,7.063068196513598,6.316828669555442,3.656646967880618,6.3312559408134605,6.3312559408134605,6.299735880259503,6.299735880259503,6.33125596948191,3.1286888159528474,3.1286888159528474,2.9456360421726617,4.57866514703808,5.7192672220113305,5.192817675004938,10.487875821137012,11.169548355828695
W kernel support pred4 [uv-pixels],8.547587316059492,10.294255096322551,8.547586595530262,8.547586595530262,12.643685990854022,28.289904357069,10.27643757617295,10.709056132741575,10.38187751919711,10.3419608447154,5.370955745357575,9.304875984119796,9.304875984119796,9.258493875868979,9.258493875868979,9.304876026305948,4.594879786401959,4.594879786401959,4.325839693186164,6.72666909396485,7.620173104667234,6.918198317542386,15.42527527597807,16.42968691981885
W kernel support pred5 [uv-pixels],11.35438803385117,13.677538311342289,11.35438803385117,11.35438803385117,16.303999639026877,36.52658825250874,13.248275741836155,13.806624842367649,13.384355571664376,13.332839186948638,6.920213722592638,11.994504058055428,11.994504058055428,11.934654659809402,11.934654659809402,11.994504112490775,5.919651850685117,5.919651850685117,5.572831139455425,8.668479068240439,10.617678379799617,9.187980121671131,19.896026418388217,21.193446082618458
W kernel support pred6 [uv-pixels],20.11178465076857,18.20432670853363,20.11178465076857,20.11178465076857,22.954004063404113,40.43116887255857,18.644702070347435,19.43190417530178,18.836548915746924,18.763919891454716,9.729959890161489,16.877387155504866,16.877387155504866,16.793035713361384,16.793035713361384,16.877387232226287,8.321716533817604,8.321716533817604,7.833677223632861,12.191477925070103,18.803327559523158,12.22257534584246,28.02293872806311,29.85463866118914
W kernel support pred7 [uv-pixels],45.09913102949984,27.23641591411918,45.09913102949984,45.09913102949984,29.03956668240905,65.30416227601883,23.58028763811765,24.577351229177072,23.823270323871792,23.731281708096773,12.296228948333507,21.34217906030645,21.34217906030645,21.23536992132377,21.23536992132377,21.34217915745468,10.515069963516783,10.515069963516783,9.897891497511665,15.410532394846346,42.14781065759961,18.270327107264144,41.54727978628811,37.787221660774556
W kernel support pred8 [uv-pixels],,,,,35.087790832677754,75.0832183756501,27.07552901472273,28.221501545700576,27.354793817997848,27.249068970671427,14.111723411086494,27.69173961634281,27.69173961634281,27.995470720779,27.995470720779,27.69173961634281,12.066449915643618,12.066449915643618,11.357829064818208,17.688545068205503,,,54.85736448709425,43.410663283228274
W kernel support pred9 [uv-pixels],,,,,47.62113658003813,87.57285721013108,35.211213934633214,32.86536581379037,32.57278318492002,31.731638075616686,16.423018726246166,37.560173022137654,37.560173022137654,37.97314637800734,37.97314637800734,37.560173022137654,14.041168994447197,14.041168994447197,13.216039595868935,20.58946446456891,,,74.55807688794057,50.58280241060204
W kernel support pred10 [uv-pixels],,,,,61.450783393054884,99.56573354746334,45.40266940537495,37.314278405544904,41.9932849887587,36.025762634154006,18.63505178007761,48.43877950368992,48.43877950368992,48.97263614827645,48.97263614827645,48.43877950368992,15.930749007214935,15.930749007214935,14.994021460381072,23.366589059539194,,,96.34428368811811,57.45979167099155
W kernel support pred11 [uv-pixels],,,,,76.49524519299813,111.15839498742564,56.47630874376378,41.60577176817927,52.226438749896786,40.167713148736006,20.766853565182902,60.26183770051392,60.26183770051392,60.927559713573345,60.927559713573345,60.26183770051392,17.75150140991935,17.75150140991935,16.707141340272372,26.043681115510445,,,120.09487987399693,64.09865628457953
AW kernel support pred0 [uv-pixels],10.371245372312332,10.53362371823164,10.371245311015613,10.371245311015613,10.683373183433408,13.046231594906818,10.457096401977214,10.495329801181466,10.466283566311436,10.46279557267738,10.127350726265098,10.376473362962349,10.376473362962349,10.372808059101049,10.372808059101049,10.376473366303744,10.093424045737418,10.093424045737418,10.082866708722321,10.198839333613188,10.296328309911463,10.24498597205864,11.000187909559497,11.12723904004676
AW kernel support pred1 [uv-pixels],10.640083079352909,10.915360820829259,10.64008297492538,10.64008297492538,11.225928922836397,15.147070386793928,10.826369886655062,10.89429311518265,10.842707024906597,10.836505655898163,10.233015997196452,10.682565970392082,10.682565970392082,10.676009475771934,10.676009475771934,10.68256597636841,10.1711548119985,10.1711548119985,10.151872540710139,10.362853937541084,10.51215258386646,10.424127600198839,11.776240797399504,11.994224177890834
AW kernel support pred2 [uv-pixels],11.11154821806595,11.57647290181679,11.111548040335574,11.111548040335574,11.837813797229895,17.316868653579274,11.248913069473772,11.349635240368544,11.273163132907648,11.263959922209239,10.356928574444712,11.034783395463455,11.034783395463455,11.024991037162904,11.024991037162904,11.034783404388119,10.262560744024645,10.262560744024645,10.23308872061427,10.554101569201414,10.892996160958722,10.741632872876389,12.636136900050527,12.948798066884848
AW kernel support pred3 [uv-pixels],11.880578998017821,12.635736342116706,11.88057870632606,11.88057870632606,13.189003799095893,21.657186768060846,12.201643209718258,12.37240144542558,12.242831876187871,11.828031300284826,10.647585033598487,11.835742553303772,11.835742553303772,11.818911631830952,11.818911631830952,11.835742568639297,10.478010007013184,10.478010007013184,10.424815187471989,10.998371448932849,11.519983400889656,11.267890459435772,14.491222834515739,14.99195819341808
AW kernel support pred4 [uv-pixels],13.155274566715098,14.35171376484923,13.155274098554107,13.155274098554107,16.12026040221802,30.005311005422215,14.338938916704379,14.652094841837803,14.414693226829712,14.385970739356676,11.351086539119924,13.659455226320313,13.659455226320313,13.627901850596935,13.627901850596935,13.65945525505769,11.00513154176202,11.00513154176202,10.895544458683327,12.05189101758317,12.572471441410947,12.159830095887289,18.383120446205545,19.23368431380911
AW kernel support pred5 [uv-pixels],15.130172755896167,16.943289357684833,15.130172755896167,15.130172755896167,19.126432083098734,37.87072285246625,16.598699049375057,17.047665222483793,16.707512503922995,16.666271352196123,12.160976850827382,15.616277648617423,15.616277648617423,15.570355867767129,15.570355867767129,15.616277690427962,11.62076925307958,11.62076925307958,11.44798877134687,13.234142562195807,14.585441171828306,13.58009494503716,22.267731524365068,23.43420911524124
AW kernel support pred6 [uv-pixels],22.460718640303792,20.77011099900602,22.460718640303792,22.460718640303792,25.03769762863136,41.64948278672077,21.15714808975959,21.85403623768641,21.326405582172693,21.262283266218844,13.952495098159016,19.617497220512117,19.617497220512117,19.544975018408973,19.544975018408973,19.61749728651733,13.009648960260737,13.009648960260737,12.70301140848359,15.768073249369168,21.29706851448629,15.792129308133084,29.753740856517172,31.48490828301981
AW kernel support pred7 [uv-pixels],46.19449772013973,29.014175015789863,46.19449772013973,46.19449772013973,30.71313128129533,66.06537376396656,25.613081913279473,26.53386879899597,25.836954327557077,25.752159744554405,15.849203334863079,23.568805804329227,23.568805804329227,23.47213104290836,23.47213104290836,23.568805892299526,14.510916454092513,14.510916454092513,14.070119263762965,18.370751446051646,43.3178709452446,20.827982442052107,42.733785903428966,39.08803040369916
AW kernel support pred8 [uv-pixels],,,,,36.48497040587734,75.74621892639632,28.86319925834786,29.94082746842478,29.125328235492443,29.02605312074669,17.29568552070159,29.442018323806032,29.442018323806032,29.7278721215965,29.7278721215965,29.442018323806032,15.671605328323448,15.671605328323448,15.132755237088494,20.31956265843183,,,55.76137048593685,44.54756656305509
AW kernel support pred9 [uv-pixels],,,,,48.65976417097235,88.14196117596887,36.60368269382888,34.353053286051015,34.07324763523149,33.27005943730679,19.227988560497746,38.868581109334535,38.868581109334535,39.267796549406384,39.267796549406384,38.868581109334535,17.23816773124758,17.23816773124758,16.57298110176849,22.889430900259313,,,75.22570590714359,51.5618065985862
AW kernel support pred10 [uv-pixels],,,,,62.259126074979164,100.06665427026361,46.49088501129841,38.63101568592929,43.16753391319809,37.38790677976512,21.14864427915354,49.46024019156287,49.46024019156287,49.98318808671045,49.98318808671045,49.46024019156287,18.80927334935828,18.80927334935828,18.02278223677932,25.41648056433811,,,96.86186555800266,58.32347433815779
AW kernel support pred11 [uv-pixels],,,,,77.14611161385194,111.60729714575356,57.354803193114776,42.79065604107774,53.17519068604005,41.39378189534195,23.049125948672106,61.085915586517004,61.085915586517004,61.742752875548454,61.742752875548454,61.085915586517004,20.374390845038008,20.374390845038008,19.471224197873077,27.897550538468344,,,120.51049818148522,64.87401434695303
"W kernel support pred, ff0 [pixels]",10.371245372312332,10.53362371823164,10.371245311015613,10.371245311015613,10.683373183433408,13.046231594906818,10.457096401977214,10.495329801181466,10.466283566311436,10.46279557267738,10.127350726265098,10.376473362962349,10.376473362962349,10.372808059101049,10.372808059101049,10.376473366303744,10.093424045737418,10.093424045737418,10.082866708722321,10.198839333613188,10.296328309911463,10.24498597205864,11.000187909559497,11.12723904004676
"W kernel support pred, ff1 [pixels]",10.640083079352909,10.915360820829259,10.64008297492538,10.64008297492538,11.225928922836397,15.147070386793928,10.826369886655062,10.89429311518265,10.842707024906597,10.836505655898163,10.233015997196452,10.682565970392082,10.682565970392082,10.676009475771934,10.676009475771934,10.68256597636841,10.1711548119985,10.1711548119985,10.151872540710139,10.362853937541084,10.51215258386646,10.424127600198839,11.776240797399504,11.994224177890834
"W kernel support pred, ff2 [pixels]",11.11154821806595,11.57647290181679,11.111548040335574,11.111548040335574,11.837813797229895,17.316868653579274,11.248913069473772,11.349635240368544,11.273163132907648,11.263959922209239,10.356928574444712,11.034783395463455,11.034783395463455,11.024991037162904,11.024991037162904,11.034783404388119,10.262560744024645,10.262560744024645,10.23308872061427,10.554101569201414,10.892996160958722,10.741632872876389,12.636136900050527,12.948798066884848
"W kernel support pred, ff3 [pixels]",11.880578998017821,12.635736342116706,11.88057870632606,11.88057870632606,13.189003799095893,21.657186768060846,12.201643209718258,12.37240144542558,12.242831876187871,11.828031300284826,10.647585033598487,11.835742553303772,11.835742553303772,11.818911631830952,11.818911631830952,11.835742568639297,10.478010007013184,10.478010007013184,10.424815187471989,10.998371448932849,11.519983400889656,11.267890459435772,14.491222834515739,14.99195819341808
"W kernel support pred, ff4 [pixels]",13.155274566715098,14.35171376484923,13.155274098554107,13.155274098554107,16.12026040221802,30.005311005422215,14.338938916704379,14.652094841837803,14.414693226829712,14.385970739356676,11.351086539119924,13.659455226320313,13.659455226320313,13.627901850596935,13.627901850596935,13.65945525505769,11.00513154176202,11.00513154176202,10.895544458683327,12.05189101758317,12.572471441410947,12.159830095887289,18.383120446205545,19.23368431380911
"W kernel support pred, ff5 [pixels]",15.130172755896167,16.943289357684833,15.130172755896167,15.130172755896167,19.126432083098734,37.87072285246625,16.598699049375057,17.047665222483793,16.707512503922995,16.666271352196123,12.160976850827382,15.616277648617423,15.616277648617423,15.570355867767129,15.570355867767129,15.616277690427962,11.62076925307958,11.62076925307958,11.44798877134687,13.234142562195807,14.585441171828306,13.58009494503716,22.267731524365068,23.43420911524124
"W kernel support pred, ff6 [pixels]",22.460718640303792,20.77011099900602,22.460718640303792,22.460718640303792,25.03769762863136,41.64948278672077,21.15714808975959,21.85403623768641,21.326405582172693,21.262283266218844,13.952495098159016,19.617497220512117,19.617497220512117,19.544975018408973,19.544975018408973,19.61749728651733,13.009648960260737,13.009648960260737,12.70301140848359,15.768073249369168,21.29706851448629,15.792129308133084,29.753740856517172,31.48490828301981
"W kernel support pred, ff7 [pixels]",46.19449772013973,29.014175015789863,46.19449772013973,46.19449772013973,30.71313128129533,66.06537376396656,25.613081913279473,26.53386879899597,25.836954327557077,25.752159744554405,15.849203334863079,23.568805804329227,23.568805804329227,23.47213104290836,23.47213104290836,23.568805892299526,14.510916454092513,14.510916454092513,14.070119263762965,18.370751446051646,43.3178709452446,20.827982442052107,42.733785903428966,39.08803040369916
"W kernel support pred, ff8 [pixels]",,,,,36.48497040587734,75.74621892639632,28.86319925834786,29.94082746842478,29.125328235492443,29.02605312074669,17.29568552070159,29.442018323806032,29.442018323806032,29.7278721215965,29.7278721215965,29.442018323806032,15.671605328323448,15.671605328323448,15.132755237088494,20.31956265843183,,,55.76137048593685,44.54756656305509
"W kernel support pred, ff9 [pixels]",,,,,48.65976417097235,88.14196117596887,36.60368269382888,34.353053286051015,34.07324763523149,33.27005943730679,19.227988560497746,38.868581109334535,38.868581109334535,39.267796549406384,39.267796549406384,38.868581109334535,17.23816773124758,17.23816773124758,16.57298110176849,22.889430900259313,,,75.22570590714359,51.5618065985862
"W kernel support pred, ff10 [pixels]",,,,,62.259126074979164,100.06665427026361,46.49088501129841,38.63101568592929,43.16753391319809,37.38790677976512,21.14864427915354,49.46024019156287,49.46024019156287,49.98318808671045,49.98318808671045,49.46024019156287,18.80927334935828,18.80927334935828,18.02278223677932,25.41648056433811,,,96.86186555800266,58.32347433815779
"W kernel support pred, ff11 [pixels]",,,,,77.14611161385194,111.60729714575356,57.354803193114776,42.79065604107774,53.17519068604005,41.39378189534195,23.049125948672106,61.085915586517004,61.085915586517004,61.742752875548454,61.742752875548454,61.085915586517004,20.374390845038008,20.374390845038008,19.471224197873077,27.897550538468344,,,120.51049818148522,64.87401434695303
W kernel support bw0 [uv-pixels],2.750041921991362,3.310170484626459,2.7500416908227656,2.7500416908227656,3.759582766279271,8.378792205798211,3.057918435839123,3.1862121140262754,3.0891894876230603,3.0773513279502804,1.6010099102698327,2.76969302491579,2.76969302491579,2.7559294314172265,2.7559294314172265,2.769693037434102,1.3701127570642904,1.3701127570642904,1.2900391722195412,2.00407678317361,2.4524226115178878,2.227046826557159,0.7502427140505541,4.8801074429095035
W kernel support bw1 [uv-pixels],3.634744548868887,4.375511609959958,3.6347442431754273,3.6347442431754273,5.101125383733944,11.376895064229501,4.148528042893233,4.32268695136672,4.190977884451177,4.174907763090447,2.171316743102781,3.7572883455730324,3.7572883455730324,3.738606468561798,3.738606468561798,3.757288362564678,1.8580608735023325,1.8580608735023325,1.749433074691492,2.718224003059858,3.2411960672705837,2.9432016963210668,1.0172507197304423,6.622795001319386
W kernel support bw2 [uv-pixels],4.844223756434521,5.832214403337589,4.844223348761421,4.844223348761421,6.33512710984448,14.137678025946004,5.151509025962959,5.367887861106594,5.2042489391984486,5.184283280178271,2.6955462333540843,4.665452237971791,4.665452237971791,4.642243786093357,4.642243786093357,4.665452259080513,2.306545691027098,2.306545691027098,2.171659449352729,3.374768130260173,4.319417248039536,3.922075569855671,1.2625976589757404,8.2262610812544
W kernel support bw3 [uv-pixels],6.414682948372594,7.72410725634289,6.414682408132784,6.414682408132784,8.599408189670141,19.210250875682746,6.991430255481611,7.285349513013702,7.063068196513599,6.316828669555443,3.656646967880618,6.331255940813462,6.331255940813462,6.299735880259503,6.299735880259503,6.331255969481913,3.128688815952848,3.128688815952848,2.9456360421726617,4.57866514703808,5.7192672220113305,5.192817675004938,1.712206808845535,11.169548355828697
W kernel support bw4 [uv-pixels],8.547587316059492,10.294255096322551,8.547586595530262,8.547586595530262,12.643685990854022,28.289904357069,10.27643757617295,10.709056132741575,10.381877519197111,10.341960844715402,5.370955745357575,9.304875984119798,9.304875984119798,9.258493875868979,9.258493875868979,9.30487602630595,4.594879786401959,4.594879786401959,4.325839693186164,6.72666909396485,7.620173104667234,6.918198317542386,2.513596812742183,16.429686919818852
W kernel support bw5 [uv-pixels],11.35438803385117,13.677538311342289,11.35438803385117,11.35438803385117,16.303999639026877,36.52658825250874,13.248275741836155,13.806624842367649,13.38435557166438,13.33283918694864,6.920213722592638,11.994504058055432,11.994504058055432,11.934654659809402,11.934654659809402,11.994504112490777,5.919651850685118,5.919651850685118,5.572831139455425,8.668479068240439,10.617678379799617,9.187980121671131,3.2372632643128867,21.19344608261846
