Frequency Max [GHz],0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6
Pipeline,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Visibilities kernel pred10 [1],,,,,,,,,,223.07906733395956,1674.8096715019205,1674.8096259493182,1313.2269370770966,1273.0840202962163,1344.8353922476642,1168.825379135041,122.41202274078118,4187.3118393628665,827.8645046201708,1915.7974060831539,1915.7975125338642,1347.7019231983443,8316.485749690179,8316.485749690179,2656.3308240523197,454.2868121982799,8454.544258525599,3800.2568653299245,3872.0603408494408,3872.0603785147705,12510.781065555293,11337.061342447241,12661.280756961258,5659.501226717001,2085.487557093841,14509.221833936266,15337.975396273583,3883.7878413067115,3883.78771113231,12538.803580828868,11382.70634508132,12686.683413536002,15391.940593951644,8417.678341989576,15674.67522014574,2383.35070698149,4355.9458207056305,4355.945820638136,13782.10178909743,12653.472838187017,13911.763687989642,3415.442219513704,1307.9308401702972,14904.657948881546
Visibilities kernel pred11 [1],,,,,,,,,,198.59760288862444,1793.4573711676937,1793.4573189846597,1840.157416865788,1840.157416865788,1840.157416865788,1048.4613254532062,108.97796487939814,3418.6321889229775,739.064379661533,3080.392991897556,3080.393175366578,1969.2237969241808,8027.429992481164,8027.429992481164,2385.5976766324643,405.5570788443858,8252.373437486125,3404.699996511177,4187.98182515435,4187.981869602771,13590.997108268484,12206.533584764944,13771.259031393556,5098.081584652394,1868.4002099436866,15818.145568991828,13776.587358662868,4205.162119685855,4205.161965579416,13636.436393564903,12268.40923671808,13814.143127320775,13904.609096896858,7560.654780499664,17720.986475762926,2135.6961123565966,4761.485250657488,4761.485250575098,15109.173734706566,13742.196441465776,15268.735118990207,3077.364398054552,1172.0131130127063,16328.629801923304
Visibilities kernel bw0 [1],42.4999626477837,2.0559314818045653,2.0559314807654774,1.9046745016327444,3.1662109287651536,3.16621093029506,112.69683142971365,21.872748608855915,2.864787876151377,69.04211074207839,4.656606876067736,4.656606873304712,4.038530030895176,4.03658229968649,4.041671572042035,361.8194463391675,67.54532540035117,18.096662698722266,227.91564238027888,5.2524182272840045,5.252418233476925,3.9069188194056186,16.077824031187266,16.09487987475991,691.26209656301,233.8848201105275,17.02292272432288,766.3246676590757,6.870808451957798,6.8708084531023115,16.284747280291896,16.257078201757263,16.287762177887586,1064.903952952193,786.7066342294141,17.112588926354476,2099.3957749664332,6.711796113880899,6.711796110115414,16.14841284085025,16.122077682717006,16.151283822370566,2371.2636043564708,2155.621683005477,16.966572156219502,477.2874239877835,7.086982334194701,7.086982334192925,16.929546577814733,16.908576676648295,16.931641185945608,630.1325034733732,478.59719933224505,17.837799005877134
Visibilities kernel bw1 [1],25.312817902426026,4.087674178514176,4.087674172719959,3.789532384549006,6.280096798445584,6.280096806913132,150.43576529443874,18.091268712575832,7.947640587453013,77.24877794373874,8.26348935524062,8.26348934633072,6.249552838552155,6.244048715655692,6.2584439471093845,486.5050060451353,76.30837578858558,40.685429239437056,262.39081717939183,10.554690148543663,10.554690171169423,5.844415809334625,36.67632653859246,36.74662790523523,962.7285237346973,268.8257455690208,39.35581375926316,979.6677898756134,15.39406778410621,15.394067788782568,37.37939753546602,37.263642249072035,37.392039039439425,1550.4644703489184,1004.0488995978449,39.569555954119416,2835.5730452546213,15.268102304793535,15.268102289162606,35.79324175207425,35.68681478211071,35.804869259529475,3512.6187994208367,3010.5896971735324,39.23242999928811,601.3167289288588,16.022787799077193,16.02278779907076,37.993383916721896,37.907402192823106,38.001986294896525,919.2751294262703,616.2960486133001,40.13181784757058
Visibilities kernel bw2 [1],23.651179213391636,8.057110951526337,8.057110920048578,7.484530379500394,19.509399769864462,19.509399841349317,272.7696264054707,21.297041823562193,31.54118170659635,83.77115818288225,14.585004044843146,14.585004020948626,11.01374463400374,10.998920812632836,11.037733041321959,587.6175728397201,83.5854110898474,72.22543589010965,283.40437364887987,18.518071438260595,18.51807149861265,10.275840328606876,64.46999269457308,64.65652396082974,1194.488946429755,296.94123313090984,69.93888651316537,1117.8943269529098,27.23369565724159,27.23369566986915,66.17712845436192,65.86465339050527,66.21134419188176,2000.674171530574,1171.6576045405102,70.34098633571573,3571.284790598178,27.015932732050153,27.0159326898216,65.6427495100538,65.34502632945983,65.67535980412853,4610.958493726246,3743.90523639384,69.74351362838017,689.9389927959164,28.61179780957863,28.61179780956134,67.34217706020863,67.10913835889815,67.36553727436275,1188.4763916874579,723.136840178298,71.34082628861574
Visibilities kernel bw3 [1],32.22331489769707,28.718926758815385,28.71892646375789,26.818773825046843,86.05682673020648,86.05682673020648,444.4376805557084,24.869697599068115,119.03127573249401,94.40020858150181,32.271092145927334,32.27109205181156,25.037716418040418,24.976919243604588,25.13651346267325,749.6815165071641,96.20698654693159,161.56836708481723,314.108409147076,42.05235469035549,42.05235493464734,22.955254038338467,141.33622135457074,142.05331587616442,1579.1658113813553,344.7678386980722,157.12910947826333,1308.2105910934094,60.579306761685494,60.57930681221112,147.45604941724812,146.20656637655864,147.5937164536065,2811.3725857266177,1436.2635739108712,158.23784272628004,4521.944830804473,60.12116434378881,60.12116417460872,146.3204256641459,145.1283548849662,146.4517758566355,6682.652379528274,4965.696163663239,156.9107458268252,812.255246969065,64.88903636653552,64.88903636646309,150.45890611967505,149.51824576431895,150.55362868284888,1675.5868697938022,891.7800045358879,160.48991609091138
Visibilities kernel bw4 [1],56.00196356480614,102.05256568555046,102.05256568555046,97.57259148060747,351.11384247980527,351.11384247980527,635.035044201776,28.813819283091508,346.6268756892753,103.23606983928542,86.12928685306451,86.12928635260924,69.38212715598505,69.0358268794268,69.95056550060391,959.8064877479788,113.30278245354397,448.505824205256,373.06390574055115,109.59461171264824,109.59461298487462,64.4436609072732,388.092919525728,391.8871532056907,2092.909210664635,409.46056490079485,445.60218322115395,1619.2851050721383,166.1887908678722,166.18879115074964,419.9736863435598,412.74970486145554,420.7813334084643,4005.0759581820075,1777.588044786718,451.73880778185617,6014.311908318564,165.1012866995079,165.101285749411,417.1120417517579,410.19850404878014,417.88463569166396,9957.790895981909,6603.547566895885,448.20063617813804,1010.2436907583259,171.3827869487362,171.38278694834605,431.310428226645,425.7488233897681,431.87663856548704,2397.7890747868673,1109.0234048193788,458.2091092303476
Visibilities kernel bw5 [1],,,,,,,,,,126.96278450511521,172.89496410634305,172.89496258211943,135.2082656048892,134.14936249209643,136.96619914992039,1019.7626836632329,116.11809734681258,828.7825068821226,384.25786444063914,213.66788582375708,213.66788959870664,123.71757995780804,678.5567185362361,688.2894052770292,2258.376392190358,421.73806690746443,859.3377119966455,1696.6466819818322,325.4553715005277,325.45537236292074,762.5033109219876,742.2030425226335,764.8095557160725,4487.647477877492,1862.4044981398301,883.8429631924581,6500.77490693538,323.6889050767475,323.68890217051137,758.0610120408048,738.5669172230672,760.2735826317852,11474.545590324024,7137.044394790356,878.0095929308386,1060.552578974239,338.83874688565237,338.838746884433,788.8119621462502,772.7905774704055,790.4633959691636,2693.758833522886,1164.1804705985644,896.6799182831411
Visibilities kernel bw6 [1],,,,,,,,,,148.15303209272616,370.2309348862092,370.2309295596776,311.7379482065845,307.48346527909314,318.9700802247019,1108.9561500136263,121.94728857955243,1768.2942313289263,541.7468338204892,480.7315263668966,480.73154030794393,309.0053091974781,1869.5229831693168,1910.757552281336,2489.322378369375,445.93222300534507,2103.246227513167,2431.1751602206805,714.5812000426129,714.5812032898701,2252.0038474212192,2150.3448422607853,2263.930584554121,5126.9962797623075,2001.3999941875697,2296.572829251268,9568.69718147726,712.3051941819404,712.3051831651809,2243.469935802546,2145.1821731604123,2254.981230349507,13510.527351433453,7878.150522036045,2294.1543939135586,1522.1894463811086,910.4256024035312,910.4256023976467,2365.590021540145,2281.1872780277213,2374.5205501462474,3085.808266080216,1253.1135060859704,2331.9867620095865
Visibilities kernel bw7 [1],,,,,,,,,,173.6292399489082,611.7280958603827,611.728084250502,599.0204356264917,587.5969644279467,618.8833465099736,1766.0361178022179,190.55527248099554,2773.155433258184,638.0740555677467,836.0440600700535,836.0440922069896,514.4081192213472,3380.4857032028945,3474.38128850255,3987.6744706437003,700.2897450200359,3827.4992260390172,2888.700620598346,1357.2872433735604,1357.2872518660497,4312.288294197754,4046.9266145927763,4344.344123864603,8347.570696506751,3170.6269214625345,4622.910419312602,11503.99053349842,1355.733734369379,1355.7337053811352,4304.206025907413,4046.06375498647,4335.321216113915,22326.633916052077,12628.009019775738,4670.043748177956,1809.9911619033517,1467.8186312257633,1467.8186312121852,4596.974393571984,4366.026548319057,4622.037652484336,5030.5983696504,1986.6543828212561,4702.4260718736305
Visibilities kernel bw8 [1],,,,,,,,,,150.04792045500412,822.2846807815939,822.2846628688745,822.6235286174925,803.9410013886163,855.6158404130549,1541.8021673723804,164.67474585284535,2718.3049741953864,553.124459029026,1172.3748928008413,1172.3749446794081,691.904526788736,3726.0224653172204,3841.614367128441,3490.366482912947,607.0540191819674,4105.4292946956475,2515.96360399653,2055.0775040737212,2055.0775192379883,4923.355113246137,4568.352069602092,4967.071842140833,7358.932779704261,2761.4691139063757,5445.1094645777075,10072.347623475822,2055.4863625560447,2055.4863105864765,4920.502491915318,4573.765268755784,4963.099727919175,19815.35146377572,11056.179919019783,5572.018262940561,1576.9891792834424,2250.219585395302,2250.2195853702524,5301.942677392943,4983.063137585509,5337.16108937228,4437.32511740121,1730.8817670873352,5549.728199290954
Visibilities kernel bw9 [1],,,,,,,,,,255.34869066148931,1151.988476070156,1151.9884474858582,1180.6618461769915,1148.8302626328075,1237.9198045385936,1326.1317556175777,140.11983963318224,5162.402437842302,944.6678654075595,1754.7669758507814,1754.7670645787216,1202.292264490012,8212.164188675239,8494.169260634422,3009.049635940698,518.3839246230167,8494.373827930493,4318.567102123931,2338.49905438684,2338.499074641323,11274.581354847862,10327.19366628033,11393.846939905856,6384.064577024599,2369.949170617371,12856.527921888977,17371.42647456908,2342.570814529186,2342.5707447953873,11285.193991979459,10355.597206436683,11401.93165654628,17293.199585001566,9533.849194612962,13470.636903441964,2707.7437642365594,3897.263777925678,3897.2637778731455,12289.84556535821,11406.91252319743,12389.434781821761,3851.4202215970377,1485.9677603020393,13149.647728317703
Visibilities kernel bw10 [1],,,,,,,,,,223.07906733395956,1674.8096715019205,1674.8096259493182,1313.2269370770966,1273.0840202962163,1344.8353922476642,1168.825379135041,122.41202274078118,4187.3118393628665,827.8645046201708,1915.7974060831539,1915.7975125338642,1347.7019231983443,8316.485749690179,8316.485749690179,2656.3308240523197,454.2868121982799,8454.544258525599,3800.2568653299245,3872.0603408494408,3872.0603785147705,12510.781065555293,11337.061342447241,12661.280756961258,5659.501226717001,2085.487557093841,14509.221833936266,15337.975396273583,3883.7878413067115,3883.78771113231,12538.803580828868,11382.70634508132,12686.683413536002,15391.940593951644,8417.678341989576,15674.67522014574,2383.35070698149,4355.9458207056305,4355.945820638136,13782.10178909743,12653.472838187017,13911.763687989642,3415.442219513704,1307.9308401702972,14904.657948881546
Visibilities kernel bw11 [1],,,,,,,,,,198.59760288862444,1793.4573711676937,1793.4573189846597,1840.157416865788,1840.157416865788,1840.157416865788,1048.4613254532062,108.97796487939814,3418.6321889229775,739.064379661533,3080.392991897556,3080.393175366578,1969.2237969241808,8027.429992481164,8027.429992481164,2385.5976766324643,405.5570788443858,8252.373437486125,3404.699996511177,4187.98182515435,4187.981869602771,13590.997108268484,12206.533584764944,13771.259031393556,5098.081584652394,1868.4002099436866,15818.145568991828,13776.587358662868,4205.162119685855,4205.161965579416,13636.436393564903,12268.40923671808,13814.143127320775,13904.609096896858,7560.654780499664,17720.986475762926,2135.6961123565966,4761.485250657488,4761.485250575098,15109.173734706566,13742.196441465776,15268.735118990207,3077.364398054552,1172.0131130127063,16328.629801923304
Oversampling used pred0 [1],31.22786864398214,2.038976106659838,2.038976105645908,1.891205988804984,3.1129527404507513,3.1129527419177307,53.150780381621786,18.649408004859716,2.823239852515087,42.42396349937101,4.525409196938334,4.525409194350409,3.943675063977956,3.9418328940573346,3.9466462237904167,63.785442758398936,41.90933353478343,15.870736579100338,62.232464526372034,5.080852296616875,5.080852302363162,3.819069613364263,14.315959181414293,14.329302597837717,63.99880230831662,62.39105055588464,15.049968149229699,63.999632751319716,6.563548851865086,6.5635488529003325,14.477601110034428,14.456017392731034,14.479952362044031,63.99999666688916,63.999733584602275,15.1190414814155,63.99999999999972,6.419537223253776,6.419537219839242,14.371160143586877,14.350573034502041,14.373403973599295,63.99999999999999,63.999999999999886,15.006509197665018,63.96518161217608,6.758752094545514,6.758752094543915,14.977933153446322,14.961741359635532,14.979550199877878,63.99686356513859,63.96589244809343,15.67412859599444
