,Ingest (Low) [],ICAL (Low) [],RCAL (Low) [],DPrepA (Low) [],DPrepA_Image (Low) [],DPrepB (Low) [],DPrepC (Low) [],DPrepD (Low) [],Fast_Img (Low) [],Ingest (Mid1) [],ICAL (Mid1) [],RCAL (Mid1) [],DPrepA (Mid1) [],DPrepA_Image (Mid1) [],DPrepB (Mid1) [],DPrepC (Mid1) [],DPrepD (Mid1) [],Fast_Img (Mid1) [],Ingest (Mid2) [],ICAL (Mid2) [],RCAL (Mid2) [],DPrepA (Mid2) [],DPrepA_Image (Mid2) [],DPrepB (Mid2) [],DPrepC (Mid2) [],DPrepD (Mid2) [],Fast_Img (Mid2) [],Ingest (Mid5A) [],ICAL (Mid5A) [],RCAL (Mid5A) [],DPrepA (Mid5A) [],DPrepA_Image (Mid5A) [],DPrepB (Mid5A) [],DPrepC (Mid5A) [],DPrepD (Mid5A) [],Fast_Img (Mid5A) [],Ingest (Mid5B) [],ICAL (Mid5B) [],RCAL (Mid5B) [],DPrepA (Mid5B) [],DPrepA_Image (Mid5B) [],DPrepB (Mid5B) [],DPrepC (Mid5B) [],DPrepD (Mid5B) [],Fast_Img (Mid5B) [],Ingest (Mid5C) [],ICAL (Mid5C) [],RCAL (Mid5C) [],DPrepA (Mid5C) [],DPrepA_Image (Mid5C) [],DPrepB (Mid5C) [],DPrepC (Mid5C) [],DPrepD (Mid5C) [],Fast_Img (Mid5C) []
Combined samples facet3,,6.0,6.0,6.0,6.0,6.0,2.0,,2.0,,30.0,30.0,34.0,34.0,34.0,25.0,,12.0,,26.0,26.0,36.0,24.0,14.0,26.0,,12.0,,22.0,22.0,14.0,14.0,14.0,7.0,,12.0,,22.0,22.0,14.0,14.0,14.0,7.0,,12.0,,21.0,21.0,14.0,14.0,14.0,7.0,,12.0
Combined samples facet4,,3.0,3.0,3.0,3.0,3.0,1.0,,1.0,,18.0,18.0,20.0,20.0,20.0,15.0,,7.0,,16.0,16.0,21.0,14.0,8.0,15.0,,7.0,,13.0,13.0,8.0,8.0,8.0,4.0,,7.0,,13.0,13.0,8.0,8.0,8.0,4.0,,7.0,,13.0,13.0,8.0,8.0,8.0,4.0,,7.0
Combined samples facet5,,,,,,,,,,,12.0,12.0,14.0,14.0,14.0,10.0,,5.0,,11.0,11.0,15.0,10.0,6.0,11.0,,5.0,,9.0,9.0,6.0,6.0,6.0,3.0,,5.0,,9.0,9.0,6.0,6.0,6.0,3.0,,5.0,,9.0,9.0,6.0,6.0,6.0,3.0,,5.0
Combined samples facet6,,,,,,,,,,,8.0,8.0,9.0,9.0,9.0,6.0,,3.0,,7.0,7.0,9.0,6.0,3.0,7.0,,3.0,,6.0,6.0,3.0,3.0,3.0,2.0,,3.0,,6.0,6.0,3.0,3.0,3.0,2.0,,3.0,,5.0,5.0,3.0,3.0,3.0,2.0,,3.0
Combined samples facet7,,,,,,,,,,,6.0,6.0,6.0,6.0,6.0,5.0,,2.0,,5.0,5.0,7.0,4.0,2.0,5.0,,2.0,,4.0,4.0,2.0,2.0,2.0,1.0,,2.0,,4.0,4.0,2.0,2.0,2.0,1.0,,2.0,,4.0,4.0,2.0,2.0,2.0,1.0,,2.0
Combined samples facet8,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,4.0,,2.0,,4.0,4.0,6.0,4.0,2.0,4.0,,2.0,,3.0,3.0,2.0,2.0,2.0,1.0,,2.0,,3.0,3.0,2.0,2.0,2.0,1.0,,2.0,,3.0,3.0,2.0,2.0,2.0,1.0,,2.0
Combined samples facet9,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,3.0,,1.0,,3.0,3.0,4.0,3.0,1.0,3.0,,1.0,,3.0,3.0,1.0,1.0,1.0,1.0,,1.0,,3.0,3.0,1.0,1.0,1.0,1.0,,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,,1.0
Combined samples facet10,,,,,,,,,,,3.0,3.0,4.0,4.0,4.0,2.0,,1.0,,3.0,3.0,4.0,2.0,1.0,3.0,,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,,1.0
Combined samples facet11,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,2.0,,1.0,,2.0,2.0,3.0,2.0,1.0,2.0,,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,,1.0
Kernel time pred0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred5 [s],,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred6 [s],,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred7 [s],,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred8 [s],,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred9 [s],,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred10 [s],,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred11 [s],,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward5 [s],,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward6 [s],,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward7 [s],,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward8 [s],,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward9 [s],,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward10 [s],,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward11 [s],,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Visibilities kernel pred0,(undefined),2.2818589176519057,2.281858917654026,2.1142659169993414,2.115821810487434,2.1171982604432595,124.4964028808924,(undefined),3.182389488871669,(undefined),5.16315652058151,5.163156520578005,4.481937037554625,4.479229619191908,4.4859834694662295,155.21735603623063,(undefined),20.102145582743407,(undefined),5.824343047356807,5.824343050121729,4.336751863242835,6.476663456718753,17.834458476624228,279.0470828378948,(undefined),18.91042689058334,(undefined),7.622998976635766,7.622998976961087,18.0719227537955,18.03362387940169,18.075708724612472,1165.406651498628,(undefined),19.01033979904867,(undefined),7.446930726740688,7.446930729228729,17.921325357078356,17.884860247682766,17.924926692849787,2608.458628433384,(undefined),18.84815524877729,(undefined),7.865975169407471,7.865975169407471,18.792730566967204,18.763661182349388,18.795336868355516,689.9885922419636,(undefined),19.815978410387455
Visibilities kernel pred1,,4.530906452840468,4.530906452852222,4.202014721645868,4.210697876820495,4.21840735368456,164.70901331439597,,8.826740120517124,,9.148585621534211,9.148585621523356,6.9303378695299465,6.922705858086177,6.941765107338603,210.90315307438374,,45.18654584000258,,11.687220945422531,11.687220955480282,6.483445372439309,14.359970684763255,40.63715143713908,375.9039183616242,,43.717732438752144,,17.06214420950691,17.062144210832088,41.447974537545186,41.288220069179644,41.46381100947165,1680.4444781737488,,43.95754077365101,,16.923974612883928,16.923974623181326,39.69197728279524,39.5450292821245,39.70652904232687,3837.112182473193,,43.58322646733357,,17.77182191179905,17.771821911799858,42.150133505831754,42.03119559339115,42.16081881474247,997.1573041250608,,44.58218565367039
Visibilities kernel pred2,,8.898923565546845,8.898923565609975,8.274870574052814,8.322163138350799,8.364579846280156,293.10700703005136,,34.96740395695141,,16.119179716750427,16.119179716722215,12.202457572330232,12.181962136026318,12.233210253358632,273.6689104240303,,80.18949344707258,,20.471276464892387,20.4712764915875,11.391249367168989,25.331165780834628,71.34006762035577,490.20764348297575,,77.68398377841368,,30.149361092199193,30.149361095765258,73.31086292389907,72.8810867405787,73.35360613702187,2148.7406255998826,,78.14062222516317,,29.912137204875812,29.912137232602277,72.72665604307818,72.3169279136427,72.76735767584054,5001.4693518415215,,77.47772812034691,,31.709642065510554,31.70964206551344,74.65883586208642,74.33727611443155,74.68779349104197,1277.6987430774554,,79.25146296773937
Visibilities kernel pred3,,31.43501989863739,31.435019899213387,29.428220755465176,29.87459205841132,30.28574777894157,464.5034467001826,,130.33178602175926,,35.52546767262598,35.52546767251406,27.681741247756964,27.598244174520396,27.80764914138133,386.86795933327187,,179.14504551729107,,46.31383985310187,46.3138399599478,25.4044413210123,55.97631662938708,155.9509823788177,699.8572767485135,,174.47056105381395,,66.88405637361863,66.8840563877701,162.99370064287857,161.28865411616266,163.16456194211264,2973.7558125949286,,175.77744796069925,,66.39319417065593,66.39319428087009,161.7689194420467,160.14078928939142,161.93183608051703,7154.532289841351,,174.30954109258028,,71.78049481808293,71.7804948180928,166.53961501525413,165.24913322224094,166.65647744487583,1774.3487855234828,,178.2801757916931
Visibilities kernel pred4,,109.56741640388661,109.56741640388661,105.2921397638322,105.2921397638322,105.2921397638322,647.0453972453556,,362.9429853414958,,93.98462011109162,93.98462011051154,76.32869126076274,75.86053001269295,77.0429829437384,556.4477685747842,,494.13205405523695,,119.6888992931486,119.68889983570172,71.03404513320507,153.21841132938846,425.6466926062057,1089.9763490890018,,493.93138665233937,,182.33771054760578,182.33771062537255,461.8400071450414,452.160266185698,462.8271438677254,4153.30513373566,,501.7181115595607,,181.22245572465542,181.2224563324417,458.8613490048877,449.5838117700865,459.80553597142404,10452.047535915117,,497.87154946303474,,188.74193502411552,188.74193502415983,475.5802551837257,468.0543621235177,476.2708779357157,2488.9556847793583,,508.91781799430356
Visibilities kernel pred5,,,,,,,,,,,186.97994529230357,186.979945290588,147.93087698820673,146.5239137896897,150.10545261560375,728.0501213520206,,902.4275431462361,,231.34107265584677,231.34107422451584,135.753902021395,286.2027381669821,739.988302185988,1336.2969901135093,,949.0836696117797,,354.67783085571926,354.67783108805185,833.7877912190845,807.1132794256865,836.5594648482885,4602.437369046586,,981.2267713849241,,352.9715022139734,352.97150403685833,829.3777108770155,803.7100263865568,832.0378792502482,11891.145281987805,,975.1952541029488,,371.302824614436,371.30282461457944,866.0132808329486,844.6613112439653,868.0017155022962,2764.7059342839025,,995.5503930509977
Visibilities kernel pred6,,,,,,,,,,,393.96476763329736,393.96476762757385,337.27604609876835,331.81715456110567,345.93630966218984,962.8184500714691,,1867.963482313955,,512.3640082124683,512.3640137381902,335.8450444061263,677.2194371380631,2019.9466535519691,1731.2689666876868,,2291.1981531861284,,768.5200884296012,768.5200892704083,2434.6406419770497,2306.0525053998485,2448.494181387295,5200.915090635986,,2544.97219869431,,766.7611420514949,766.7611486983566,2427.3950707509007,2302.7140796899553,2440.7825791980435,13805.15730790142,,2546.701998941037,,987.3397300702626,987.339730070922,2573.406633143963,2464.3928233754777,2583.8689079939195,3131.5367532640225,,2584.922357994917
Visibilities kernel pred7,,,,,,,,,,,642.5794580328992,642.5794580209003,641.4056195577157,627.2095121664333,664.4715577603971,960.1116781946715,,2861.8731571014646,,879.7905070113586,879.7905192719946,553.9303312765925,1253.2130240645429,3628.4308082876755,2057.9137384539076,,4090.631508935053,,1442.851475326754,1442.851477450237,4613.744607492949,4289.109185991166,4649.833185671413,8425.539900129785,,5104.605369848924,,1442.7019736637926,1442.7019905604045,4609.629301931047,4292.78433759027,4644.720103804465,22653.816908032306,,5178.374676988211,,1576.1169473978791,1576.1169473993493,4956.384553123656,4666.744426022492,4984.971222624095,5078.602001025168,,5195.776756627905
Visibilities kernel pred8,,,,,,,,,,,857.1070525622814,857.1070525442158,874.7456697552678,852.0147245896546,912.2673328853149,1068.0075038053226,,2775.4000213195977,,1224.3017400263332,1224.3017593686884,740.2868823017333,1400.02060594569,3984.7522335128215,2313.0330688397084,,4326.217966300137,,2168.3730832620877,2168.373086969656,5231.441068149538,4806.326426028909,5279.648238464022,7411.483670011389,,5988.495026991223,,2171.1522321349826,2171.1522617589026,5233.898177455545,4817.260153877083,5280.9624992104,20041.97003551673,,6170.455437274891,,2399.9087536485713,2399.9087536512,5681.091868390564,5289.048485263152,5720.518371750037,4469.492896601326,,6109.897470650003
Visibilities kernel pred9,,,,,,,,,,,1190.9708612284765,1190.9708612003164,1245.3921587958241,1207.5961792048515,1308.9280255944657,1245.7911931924086,,5227.027389297175,,1817.5594156978846,1817.5594479769452,1276.457289207732,2086.102604947299,8750.449934883067,2723.8328455490937,,8814.169949603953,,2446.797302094649,2446.797306923467,11885.684623994088,10778.085350107778,12014.09219244335,6417.613253251216,,14041.194647225942,,2453.7033155347326,2453.70335429561,11909.724341213256,10819.19953336371,12035.667970195256,17442.202022872127,,14880.554797313916,,4123.184515469642,4123.184515475223,13070.598606337031,12010.15755857287,13179.601900402555,3871.753120341981,,14384.955562409912
Visibilities kernel pred10,,,,,,,,,,,1720.5233744089198,1720.5233743649712,1375.8201429454418,1329.120462343777,1415.0764148425292,1666.0263468605083,,4220.369124861366,,1971.7445658691342,1971.7446038620633,1421.1992960214795,3404.309938542164,8486.232804945994,2444.311095691157,,8676.580706834842,,4023.6742987300445,4023.6743075268037,13101.834328278954,11756.268898395174,13260.6490463936,5682.321664569034,,15713.170468820477,,4040.0519494920054,4040.0520203646156,13145.212553010224,11815.447606237554,13301.578156738138,15495.939661510445,,17257.235087263478,,4576.5437343803615,4576.543734386961,14561.9378965394,13233.215136043867,14701.07377080607,3429.1046295812785,,16177.690693720084
Visibilities kernel pred11,,,,,,,,,,,1833.2504506713162,1833.2504506216003,1914.9279758480807,1912.1379963063102,1914.9279758480807,1506.871180750053,,3436.54910548266,,3154.460937631614,3154.461002133309,2064.4847141120285,3639.033135270099,8141.021529944846,3331.805999684747,,8405.714426173348,,4327.567895330478,4327.56790553795,14154.565273296887,12592.694038534766,14341.614879464949,5114.336510134263,,16973.97639285326,,4349.574282593543,4349.574365077355,14216.553168230319,12668.346378537637,14401.30493964217,13980.51414657333,,19427.88268005811,,4972.905756550865,4972.905756559171,15873.509653704466,14291.304426674591,16041.80295860596,3086.955483461329,,17569.69095577736
Visibilities kernel bw0,(undefined),2.2818589176519057,2.281858917654026,2.1142659169993414,2.115821810487434,2.1171982604432595,124.4964028808924,(undefined),3.182389488871669,(undefined),5.16315652058151,5.163156520578005,4.481937037554625,4.479229619191908,4.4859834694662295,155.21735603623063,(undefined),20.102145582743407,(undefined),5.824343047356807,5.824343050121729,4.336751863242835,6.476663456718753,17.834458476624228,279.0470828378948,(undefined),18.91042689058334,(undefined),7.622998976635766,7.622998976961087,18.0719227537955,18.03362387940169,18.075708724612472,1165.406651498628,(undefined),19.01033979904867,(undefined),7.446930726740688,7.446930729228729,17.921325357078356,17.884860247682766,17.924926692849787,2608.458628433384,(undefined),18.84815524877729,(undefined),7.865975169407471,7.865975169407471,18.792730566967204,18.763661182349388,18.795336868355516,689.9885922419636,(undefined),19.815978410387455
Visibilities kernel bw1,,4.530906452840468,4.530906452852222,4.202014721645868,4.210697876820495,4.21840735368456,164.70901331439597,,8.826740120517124,,9.148585621534211,9.148585621523356,6.9303378695299465,6.922705858086177,6.941765107338603,210.90315307438374,,45.18654584000258,,11.687220945422531,11.687220955480282,6.483445372439309,14.359970684763255,40.63715143713908,375.9039183616242,,43.717732438752144,,17.06214420950691,17.062144210832088,41.447974537545186,41.288220069179644,41.46381100947165,1680.4444781737488,,43.95754077365101,,16.923974612883928,16.923974623181326,39.69197728279524,39.5450292821245,39.70652904232687,3837.112182473193,,43.58322646733357,,17.77182191179905,17.771821911799858,42.150133505831754,42.03119559339115,42.16081881474247,997.1573041250608,,44.58218565367039
Visibilities kernel bw2,,8.898923565546845,8.898923565609975,8.274870574052814,8.322163138350799,8.364579846280156,293.10700703005136,,34.96740395695141,,16.119179716750427,16.119179716722215,12.202457572330232,12.181962136026318,12.233210253358632,273.6689104240303,,80.18949344707258,,20.471276464892387,20.4712764915875,11.391249367168989,25.331165780834628,71.34006762035577,490.20764348297575,,77.68398377841368,,30.149361092199193,30.149361095765258,73.31086292389907,72.8810867405787,73.35360613702187,2148.7406255998826,,78.14062222516317,,29.912137204875812,29.912137232602277,72.72665604307818,72.3169279136427,72.76735767584054,5001.4693518415215,,77.47772812034691,,31.709642065510554,31.70964206551344,74.65883586208642,74.33727611443155,74.68779349104197,1277.6987430774554,,79.25146296773937
Visibilities kernel bw3,,31.43501989863739,31.435019899213387,29.428220755465176,29.87459205841132,30.28574777894157,464.5034467001826,,130.33178602175926,,35.52546767262598,35.52546767251406,27.681741247756964,27.598244174520396,27.80764914138133,386.86795933327187,,179.14504551729107,,46.31383985310187,46.3138399599478,25.4044413210123,55.97631662938708,155.9509823788177,699.8572767485135,,174.47056105381395,,66.88405637361863,66.8840563877701,162.99370064287857,161.28865411616266,163.16456194211264,2973.7558125949286,,175.77744796069925,,66.39319417065593,66.39319428087009,161.7689194420467,160.14078928939142,161.93183608051703,7154.532289841351,,174.30954109258028,,71.78049481808293,71.7804948180928,166.53961501525413,165.24913322224094,166.65647744487583,1774.3487855234828,,178.2801757916931
Visibilities kernel bw4,,109.56741640388661,109.56741640388661,105.2921397638322,105.2921397638322,105.2921397638322,647.0453972453556,,362.9429853414958,,93.98462011109162,93.98462011051154,76.32869126076274,75.86053001269295,77.0429829437384,556.4477685747842,,494.13205405523695,,119.6888992931486,119.68889983570172,71.03404513320507,153.21841132938846,425.6466926062057,1089.9763490890018,,493.93138665233937,,182.33771054760578,182.33771062537255,461.8400071450414,452.160266185698,462.8271438677254,4153.30513373566,,501.7181115595607,,181.22245572465542,181.2224563324417,458.8613490048877,449.5838117700865,459.80553597142404,10452.047535915117,,497.87154946303474,,188.74193502411552,188.74193502415983,475.5802551837257,468.0543621235177,476.2708779357157,2488.9556847793583,,508.91781799430356
Visibilities kernel bw5,,,,,,,,,,,186.97994529230357,186.979945290588,147.93087698820673,146.5239137896897,150.10545261560375,728.0501213520206,,902.4275431462361,,231.34107265584677,231.34107422451584,135.753902021395,286.2027381669821,739.988302185988,1336.2969901135093,,949.0836696117797,,354.67783085571926,354.67783108805185,833.7877912190845,807.1132794256865,836.5594648482885,4602.437369046586,,981.2267713849241,,352.9715022139734,352.97150403685833,829.3777108770155,803.7100263865568,832.0378792502482,11891.145281987805,,975.1952541029488,,371.302824614436,371.30282461457944,866.0132808329486,844.6613112439653,868.0017155022962,2764.7059342839025,,995.5503930509977
Visibilities kernel bw6,,,,,,,,,,,393.96476763329736,393.96476762757385,337.27604609876835,331.81715456110567,345.93630966218984,962.8184500714691,,1867.963482313955,,512.3640082124683,512.3640137381902,335.8450444061263,677.2194371380631,2019.9466535519691,1731.2689666876868,,2291.1981531861284,,768.5200884296012,768.5200892704083,2434.6406419770497,2306.0525053998485,2448.494181387295,5200.915090635986,,2544.97219869431,,766.7611420514949,766.7611486983566,2427.3950707509007,2302.7140796899553,2440.7825791980435,13805.15730790142,,2546.701998941037,,987.3397300702626,987.339730070922,2573.406633143963,2464.3928233754777,2583.8689079939195,3131.5367532640225,,2584.922357994917
