,max_LOW_continuum [],max_LOW_spectral [],max_MID_continuum [],max_MID_spectral [],max_Band5_MID_continuum [],max_Band5_MID_spectral [],01ICAL [],01DPrepA [],01DPrepB [],01DPrepC [],02AICAL [],02ADPrepA [],02ADPrepB [],02ADPrepC [],02BICAL [],02BDPrepA [],02BDPrepB [],02BDPrepC [],13ICAL [] [Bmax=40000],13DPrepA [] [Bmax=40000],13DPrepB [] [Bmax=40000],13DPrepC [] [Bmax=40000],14ICAL [] [Bmax=25000],14DPrepA [] [Bmax=25000],14DPrepB [] [Bmax=25000],14DPrepC [] [Bmax=25000],15ICAL [] [Bmax=15000],15DPrepA [] [Bmax=15000],15DPrepB [] [Bmax=15000],15DPrepC [] [Bmax=15000],22ICAL [],22DPrepA [],22DPrepB [],27ICAL [] [Bmax=50000],27DPrepA [] [Bmax=50000],27DPrepB [] [Bmax=50000],32ICAL [] [Bmax=20000],32DPrepB [] [Bmax=20000],37aICAL [],37aDPrepA [],37aDPrepB [],37bICAL [],37bDPrepA [],37bDPrepB [],37cICAL [] [Bmax=95000],37cDPrepA [] [Bmax=95000],37cDPrepB [] [Bmax=95000],38aICAL [],38aDPrepA [],38aDPrepB [],38bICAL [],38bDPrepA [],38bDPrepB []
Coalesce time bw0 [s],10.0,10.0,10.0,3.22,10.0,3.22,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.397192085027052,5.980031326835396,5.980031326835396,3.2814333154255713,10.0,5.809526670329971,5.809526670329971,3.4345001413553704,10.0,6.08135726042674,6.08135726042674,3.642688648104104,9.38,6.0200000000000005,6.0200000000000005,5.869119356117033,5.869119356117033,5.869119356117033,10.0,5.444051941858186,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.880000000000001,10.0,8.260000000000002,6.0200000000000005,6.0200000000000005,9.24,6.0200000000000005,6.0200000000000005
Coalesce time bw1 [s],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Coalesce time bw2 [s],2.7,0.9,0.7000000000000001,0.14,0.42000000000000004,0.14,2.7,2.7,2.7,0.9,2.7,2.7,2.7,0.9,2.7,2.7,2.7,0.9,1.139053586063885,0.5695267930319425,0.5695267930319425,0.3125174586119592,2.681320001690756,0.8937733338969186,0.8937733338969186,0.5283846371315954,3.800848287766713,1.520339315106685,1.520339315106685,0.910672162026026,0.28,0.14,0.14,0.45147071970131025,0.45147071970131025,0.45147071970131025,3.2664311651149114,1.0888103883716371,0.56,0.42000000000000004,0.56,0.42000000000000004,0.42000000000000004,0.56,0.56,0.28,0.7000000000000001,0.14,0.14,0.14,0.28,0.14,0.14
Combined samples full0,31.0,16.0,41.0,23.0,42.0,23.0,11.0,31.0,31.0,16.0,17.0,31.0,31.0,16.0,17.0,31.0,31.0,16.0,7.0,21.0,21.0,21.0,7.0,13.0,13.0,13.0,4.0,8.0,8.0,8.0,16.0,43.0,43.0,27.0,27.0,27.0,10.0,10.0,23.0,42.0,42.0,15.0,42.0,42.0,23.0,42.0,42.0,23.0,43.0,43.0,15.0,43.0,43.0
Combined samples full1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Combined samples full2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
Combined samples facet0,52.0,16.0,174.0,23.0,107.0,23.0,48.0,52.0,52.0,16.0,57.0,52.0,52.0,16.0,57.0,52.0,52.0,16.0,33.0,21.0,21.0,21.0,31.0,13.0,13.0,13.0,14.0,8.0,8.0,8.0,67.0,43.0,43.0,26.0,26.0,26.0,26.0,10.0,136.0,105.0,140.0,91.0,105.0,140.0,78.0,42.0,105.0,59.0,43.0,43.0,66.0,43.0,43.0
Combined samples facet1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Combined samples facet2,3.0,1.0,5.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,4.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,6.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0
Kernel time pred0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred1 [s],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kernel time pred2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward1 [s],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kernel time backward2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Visibilities kernel pred0,2.1090908786039333,124.49640248603976,2.6755236383677246,386.0971529945227,5.290309128116326,1118.7831840263193,2.2787395201583323,2.1136899788819825,2.6519810911049007,4.061174301969186,1.9030576914794044,2.1136899788819825,2.6519810911049007,4.061174301969186,1.9030576914794044,2.1136899788819825,2.6519810911049007,4.061174301969186,6.9491900867546,16.84999863873223,20.35878379472479,126.40555907080066,10.554062888289707,18.31195346935001,3.5421373015911612,363.9539812354492,12.443298184117234,16.362663504520185,16.362663504520185,171.57656346097306,6.875126632547234,16.529435631749745,20.7641196013289,18.03155013745418,18.13917902194913,17.678775963960387,4.328594585762162,19.211791332416237,4.562242086700139,4.460269199834148,6.439897677423353,5.143373047833446,4.460269199834148,6.439897677423353,6.004950111318351,18.80600343068099,6.431928722374439,9.526793515193836,18.145008749610156,17.913543537248398,7.667903495757219,18.145008749610156,17.913543537248398
Visibilities kernel pred1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Visibilities kernel pred2,96.0255482468391,647.0453677848498,546.6406430794448,1049.0103313496368,1835.7937474610517,5665.155142432872,106.90898460302047,103.09360378280584,103.09360378280584,348.71725610862956,97.16768140386232,103.09360378280584,103.09360378280584,348.71725610862956,97.16768140386232,103.09360378280584,103.09360378280584,348.71725610862956,323.2175735481857,866.7214764188958,635.912084527169,1009.5965426451878,61.80951878261013,468.888645064596,15.053648887595084,997.4449752525992,32.994883670357744,177.5979199192167,155.2404615047753,686.3062538438923,4163.397505486729,13622.228296057432,8477.98493745301,1466.8482709999992,1590.0886607955447,1194.1252043238474,42.72479917223095,274.05018949705203,715.076861826297,1953.6713415625634,916.9235715279483,1891.0705494212064,1953.6713415625634,916.9235715279483,1357.143798810478,4233.104018250342,747.7567892299564,10248.127228450392,13838.134700817425,8690.306230794517,4723.725001362259,13838.134700817425,8690.306230794517
Visibilities kernel bw0,2.1090908786039333,124.49640248603976,2.6755236383677246,386.0971529945227,5.290309128116326,1118.7831840263193,2.2787395201583323,2.1136899788819825,2.6519810911049007,4.061174301969186,1.9030576914794044,2.1136899788819825,2.6519810911049007,4.061174301969186,1.9030576914794044,2.1136899788819825,2.6519810911049007,4.061174301969186,6.9491900867546,16.84999863873223,20.35878379472479,126.40555907080066,10.554062888289707,18.31195346935001,3.5421373015911612,363.9539812354492,12.443298184117234,16.362663504520185,16.362663504520185,171.57656346097306,6.875126632547234,16.529435631749745,20.7641196013289,18.03155013745418,18.13917902194913,17.678775963960387,4.328594585762162,19.211791332416237,4.562242086700139,4.460269199834148,6.439897677423353,5.143373047833446,4.460269199834148,6.439897677423353,6.004950111318351,18.80600343068099,6.431928722374439,9.526793515193836,18.145008749610156,17.913543537248398,7.667903495757219,18.145008749610156,17.913543537248398
Visibilities kernel bw1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Visibilities kernel bw2,96.0255482468391,647.0453677848498,546.6406430794448,1049.0103313496368,1835.7937474610517,5665.155142432872,106.90898460302047,103.09360378280584,103.09360378280584,348.71725610862956,97.16768140386232,103.09360378280584,103.09360378280584,348.71725610862956,97.16768140386232,103.09360378280584,103.09360378280584,348.71725610862956,323.2175735481857,866.7214764188958,635.912084527169,1009.5965426451878,61.80951878261013,468.888645064596,15.053648887595084,997.4449752525992,32.994883670357744,177.5979199192167,155.2404615047753,686.3062538438923,4163.397505486729,13622.228296057432,8477.98493745301,1466.8482709999992,1590.0886607955447,1194.1252043238474,42.72479917223095,274.05018949705203,715.076861826297,1953.6713415625634,916.9235715279483,1891.0705494212064,1953.6713415625634,916.9235715279483,1357.143798810478,4233.104018250342,747.7567892299564,10248.127228450392,13838.134700817425,8690.306230794517,4723.725001362259,13838.134700817425,8690.306230794517
Oversampling used pred0,2.090826505734576,54.990592621007025,2.640624336850898,63.853614643502276,5.116000009272803,63.999998573253485,2.2560077079013254,2.0953103178687655,2.6178707355163056,3.9650879356167223,1.8896245481337388,2.0953103178687655,2.6178707355163056,3.9650879356167223,1.8896245481337388,2.0953103178687655,2.6178707355163056,3.9650879356167223,6.634403631341023,14.916482308305824,17.555145285134564,55.25743857148125,9.80037803906945,16.033641368752733,3.472352706924113,63.7925353122085,11.38919159102906,14.538330427379577,14.538330427379577,59.707651089820196,6.567454641805533,14.668065471154378,17.850675871033275,15.8213587570824,15.902951330198626,15.552951950027172,4.217389123405717,16.708577551985357,4.436958872894806,4.3412294164590435,6.172451724484148,4.979584552786278,4.3412294164590435,6.172451724484148,5.774990121524773,16.405394347405654,6.165194030389642,8.916416132942707,15.90736685175684,15.731739836737226,7.280038587319083,15.90736685175684,15.731739836737226
Oversampling used pred1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Oversampling used pred2,49.893460678925074,63.99759695439272,63.98831920100889,63.99999571892357,63.9999999999822,64.0,52.11541442370077,51.37942763540333,51.37942763540333,63.736272985495866,50.144922792377734,51.37942763540333,51.37942763540333,63.736272985495866,50.144922792377734,51.37942763540333,51.37942763540333,63.736272985495866,63.60594415582887,63.99992443792992,63.99713643356029,63.99999203619505,39.82099444599237,63.960257839498674,13.508104058139693,63.99999035659642,25.93604097069533,60.09597667305399,58.44831836209884,63.9987050883261,64.0,64.0,64.0,63.99999999406006,63.99999999914712,63.999999564437225,31.343703203425115,63.145259297546716,63.99917687509126,63.99999999999722,63.999965727135304,63.999999999992546,63.99999999999722,63.999965727135304,63.999999966573,64.0,63.99950801275115,64.0,64.0,64.0,64.0,64.0,64.0
Oversampling used bw0,2.090826505734576,54.990592621007025,2.640624336850898,63.853614643502276,5.116000009272803,63.999998573253485,2.2560077079013254,2.0953103178687655,2.6178707355163056,3.9650879356167223,1.8896245481337388,2.0953103178687655,2.6178707355163056,3.9650879356167223,1.8896245481337388,2.0953103178687655,2.6178707355163056,3.9650879356167223,6.634403631341023,14.916482308305824,17.555145285134564,55.25743857148125,9.80037803906945,16.033641368752733,3.472352706924113,63.7925353122085,11.38919159102906,14.538330427379577,14.538330427379577,59.707651089820196,6.567454641805533,14.668065471154378,17.850675871033275,15.8213587570824,15.902951330198626,15.552951950027172,4.217389123405717,16.708577551985357,4.436958872894806,4.3412294164590435,6.172451724484148,4.979584552786278,4.3412294164590435,6.172451724484148,5.774990121524773,16.405394347405654,6.165194030389642,8.916416132942707,15.90736685175684,15.731739836737226,7.280038587319083,15.90736685175684,15.731739836737226
Oversampling used bw1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Oversampling used bw2,49.893460678925074,63.99759695439272,63.98831920100889,63.99999571892357,63.9999999999822,64.0,52.11541442370077,51.37942763540333,51.37942763540333,63.736272985495866,50.144922792377734,51.37942763540333,51.37942763540333,63.736272985495866,50.144922792377734,51.37942763540333,51.37942763540333,63.736272985495866,63.60594415582887,63.99992443792992,63.99713643356029,63.99999203619505,39.82099444599237,63.960257839498674,13.508104058139693,63.99999035659642,25.93604097069533,60.09597667305399,58.44831836209884,63.9987050883261,64.0,64.0,64.0,63.99999999406006,63.99999999914712,63.999999564437225,31.343703203425115,63.145259297546716,63.99917687509126,63.99999999999722,63.999965727135304,63.999999999992546,63.99999999999722,63.999965727135304,63.999999966573,64.0,63.99950801275115,64.0,64.0,64.0,64.0,64.0,64.0
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",559.1337152950158,1809.0904657256951,603.2228470378325,4576.81127226378,414.1383024984219,1885.9751150023908,429.9899422466631,398.1901223156782,398.1901223156782,1288.353070402745,358.44033998018244,398.1901223156782,398.1901223156782,1288.353070402745,358.44033998018244,398.1901223156782,398.1901223156782,1288.353070402745,261.21149632239513,403.0540788670101,403.0540788670101,734.4434476774929,214.84984127568796,497.1909356825173,497.1909356825173,279.28085374879674,214.97748223738932,398.02881001253394,398.02881001253394,25.664246596024633,257.9547512531722,398.02881001253394,398.02881001253394,894.2545468709208,894.2545468709208,894.2545468709208,1005.0053854489457,2511.6897145573553,372.78105657217833,483.15612439994436,362.43339351431086,559.0389802377872,483.15612439994436,362.43339351431086,652.167937578682,1207.4924417886202,483.15612439994436,726.1926570419781,1008.5130422414231,1008.5130422414231,653.5959856457442,1008.5130422414231,1008.5130422414231
"Channels predict, no-smear1",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Channels predict, no-smear2",8931.554112875032,28930.855905350065,18080.76052947859,137288.40894903094,12417.442324443025,56572.54569243952,6869.447804173029,6360.65115931682,6360.65115931682,20603.253899857915,5724.655352792174,6360.65115931682,6360.65115931682,20603.253899857915,5724.655352792174,6360.65115931682,6360.65115931682,20603.253899857915,2089.046554398382,3223.787184677295,3223.787184677295,5874.902110160061,1073.8030119774014,2485.5084313703824,2485.5084313703824,1396.2560606678828,644.7501595153672,1193.9041270392163,1193.9041270392163,76.98569793480485,7735.999196790231,11938.220846287122,11938.220846287122,8940.721027388057,8940.721027388057,8940.721027388057,4018.373998645579,10045.11108995104,11175.739473704114,14486.991077609053,10865.309635809857,16763.476555282203,14486.991077609053,10865.309635809857,12386.41584142446,22937.581107860868,9175.19162948914,21779.22662946886,30248.837988860792,30248.837988860792,19601.326565676056,30248.837988860792,30248.837988860792
"Channels backward, no-smear0",559.1337152950158,1809.0904657256951,603.2228470378325,4576.81127226378,414.1383024984219,1885.9751150023908,429.9899422466631,398.1901223156782,398.1901223156782,1288.353070402745,358.44033998018244,398.1901223156782,398.1901223156782,1288.353070402745,358.44033998018244,398.1901223156782,398.1901223156782,1288.353070402745,261.21149632239513,403.0540788670101,403.0540788670101,734.4434476774929,214.84984127568796,497.1909356825173,497.1909356825173,279.28085374879674,214.97748223738932,398.02881001253394,398.02881001253394,25.664246596024633,257.9547512531722,398.02881001253394,398.02881001253394,894.2545468709208,894.2545468709208,894.2545468709208,1005.0053854489457,2511.6897145573553,372.78105657217833,483.15612439994436,362.43339351431086,559.0389802377872,483.15612439994436,362.43339351431086,652.167937578682,1207.4924417886202,483.15612439994436,726.1926570419781,1008.5130422414231,1008.5130422414231,653.5959856457442,1008.5130422414231,1008.5130422414231
"Channels backward, no-smear1",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Channels backward, no-smear2",8931.554112875032,28930.855905350065,18080.76052947859,137288.40894903094,12417.442324443025,56572.54569243952,6869.447804173029,6360.65115931682,6360.65115931682,20603.253899857915,5724.655352792174,6360.65115931682,6360.65115931682,20603.253899857915,5724.655352792174,6360.65115931682,6360.65115931682,20603.253899857915,2089.046554398382,3223.787184677295,3223.787184677295,5874.902110160061,1073.8030119774014,2485.5084313703824,2485.5084313703824,1396.2560606678828,644.7501595153672,1193.9041270392163,1193.9041270392163,76.98569793480485,7735.999196790231,11938.220846287122,11938.220846287122,8940.721027388057,8940.721027388057,8940.721027388057,4018.373998645579,10045.11108995104,11175.739473704114,14486.991077609053,10865.309635809857,16763.476555282203,14486.991077609053,10865.309635809857,12386.41584142446,22937.581107860868,9175.19162948914,21779.22662946886,30248.837988860792,30248.837988860792,19601.326565676056,30248.837988860792,30248.837988860792
Frequencies predict ifft,2500,200.0,2500,200.0,2500,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,2500.0,200.0,40.0,200.0,2500.0,200.0,200.0,200.0,200.0,200,200.0,200.0,200.0,200.0,2500.0,200.0,2500.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
Frequencies predict kernels0,265.1065067737253,526.4087852446081,225.45973370874225,527.1418054549766,94.51243545347049,181.91902883103307,188.69639923425137,188.3862469397226,188.5382975305016,369.3512980402438,188.34969721886733,188.3862469397226,188.5382975305016,369.3512980402438,188.34969721886733,188.3862469397226,188.5382975305016,369.3512980402438,40.0,40.0,41.069055484346634,77.14720944863693,47.37512039603029,46.73559503401756,48.59525425524843,40.0,40.18227262593495,40.0,40.0,40.0,40.0,40.0,40.0,84.4996970065635,83.99831774799988,86.18586073377712,232.17821986717388,240.14628137196664,109.59523639869998,108.32443127376935,108.69737922296846,108.69112060095901,108.32443127376935,108.69737922296846,108.6050550777186,109.19696904447923,108.83205181751222,92.28371164611795,92.32681325238111,93.51979025281155,92.24880871433254,92.32681325238111,93.51979025281155
Frequencies predict kernels1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Frequencies predict kernels2,344.489884740379,1125.3890593030342,472.51623578053693,4462.437325207453,161.049349408729,826.3044417054683,237.98186250845842,228.51046420261045,228.51046420261045,656.4775310701624,218.20451950931115,228.51046420261045,228.51046420261045,656.4775310701624,218.20451950931115,228.51046420261045,228.51046420261045,656.4775310701624,56.7425693417691,65.30894172935916,89.01334598966473,186.1994938031171,64.79188386568512,59.308662732588225,74.32429947119535,94.87043142129477,51.41197904023574,44.21718109980313,50.585261805439664,40.0,66.36063100762017,62.5984267710356,100.58169090180769,135.0074584136754,124.54365711099658,165.8414513228018,287.936561764316,336.64516507706713,279.0843711631977,176.55393292242033,211.6025723173739,211.06055207487964,176.55393292242033,211.6025723173739,162.97904272352054,193.52213452561054,175.28983758280543,151.79934931362973,156.13602061490255,248.62544857882304,148.1981650379074,156.13602061490255,248.62544857882304
Frequencies predict de-grid0,559.1337152950158,65536.0,603.2228470378325,65536.0,500.0,65536.0,429.9899422466631,398.1901223156782,500.0,1500.0,358.44033998018244,398.1901223156782,500.0,1500.0,358.44033998018244,398.1901223156782,500.0,1500.0,261.21149632239513,403.0540788670101,500.0,3200.0,500.0,497.1909356825173,100.0,5000.0,500.0,398.02881001253394,398.02881001253394,2500.0,257.9547512531722,398.02881001253394,500.0,894.2545468709208,894.2545468709208,894.2545468709208,1005.0053854489457,2511.6897145573553,500.0,483.15612439994436,700.0,559.0389802377872,483.15612439994436,700.0,652.167937578682,1207.4924417886202,700.0,726.1926570419781,1008.5130422414231,1008.5130422414231,653.5959856457442,1008.5130422414231,1008.5130422414231
Frequencies predict de-grid1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Frequencies predict de-grid2,8931.554112875032,65536.0,18080.76052947859,65536.0,12417.442324443025,65536.0,6869.447804173029,6360.65115931682,6360.65115931682,20603.253899857915,5724.655352792174,6360.65115931682,6360.65115931682,20603.253899857915,5724.655352792174,6360.65115931682,6360.65115931682,20603.253899857915,2089.046554398382,3223.787184677295,3223.787184677295,5874.902110160061,1073.8030119774014,2485.5084313703824,100.0,5000.0,644.7501595153672,1193.9041270392163,1193.9041270392163,2500.0,7735.999196790231,11938.220846287122,11938.220846287122,8940.721027388057,8940.721027388057,8940.721027388057,4018.373998645579,10045.11108995104,11175.739473704114,14486.991077609053,10865.309635809857,16763.476555282203,14486.991077609053,10865.309635809857,12386.41584142446,22937.581107860868,9175.19162948914,21779.22662946886,30248.837988860792,30248.837988860792,19601.326565676056,30248.837988860792,30248.837988860792
Frequencies total0,14885.274922420835,65536.0,65536.0,65536.0,31043.258846574816,65536.0,28620.50430957373,10600.623194271158,10600.623194271158,20603.25389985791,19080.56725075056,10600.623194271158,10600.623194271158,20603.25389985791,19080.56725075056,10600.623194271158,10600.623194271158,20603.25389985791,8704.068635983613,3223.7871846772946,3223.7871846772946,5874.90211016006,4473.825921121464,2485.5084313703824,100.0,5000.0,2148.954502933313,1193.9041270392163,1193.9041270392163,2500.0,32233.041312942332,11938.220846287122,11938.220846287122,8940.721027388057,8940.721027388057,8940.721027388057,10045.111089951039,10045.111089951039,65190.5312565323,36217.0797262356,36217.0797262356,65536.0,36217.0797262356,36217.0797262356,41287.433744201386,22937.581107860868,22937.581107860868,54447.72758676212,30248.837988860792,30248.837988860792,65536.0,30248.837988860792,30248.837988860792
Frequencies total1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Frequencies total2,14885.274922420835,65536.0,65536.0,65536.0,31043.258846574816,65536.0,28620.50430957373,10600.623194271158,10600.623194271158,20603.25389985791,19080.56725075056,10600.623194271158,10600.623194271158,20603.25389985791,19080.56725075056,10600.623194271158,10600.623194271158,20603.25389985791,8704.068635983613,3223.7871846772946,3223.7871846772946,5874.90211016006,4473.825921121464,2485.5084313703824,100.0,5000.0,2148.954502933313,1193.9041270392163,1193.9041270392163,2500.0,32233.041312942332,11938.220846287122,11938.220846287122,8940.721027388057,8940.721027388057,8940.721027388057,10045.111089951039,10045.111089951039,65190.5312565323,36217.0797262356,36217.0797262356,65536.0,36217.0797262356,36217.0797262356,41287.433744201386,22937.581107860868,22937.581107860868,54447.72758676212,30248.837988860792,30248.837988860792,65536.0,30248.837988860792,30248.837988860792
Frequencies backward kernels0,265.1065067737253,526.4087852446081,225.45973370874225,527.1418054549766,94.51243545347049,181.91902883103307,188.69639923425137,188.3862469397226,188.5382975305016,369.3512980402438,188.34969721886733,188.3862469397226,188.5382975305016,369.3512980402438,188.34969721886733,188.3862469397226,188.5382975305016,369.3512980402438,40.0,40.0,41.069055484346634,77.14720944863693,47.37512039603029,46.73559503401756,48.59525425524843,40.0,40.18227262593495,40.0,40.0,40.0,40.0,40.0,40.0,84.4996970065635,83.99831774799988,86.18586073377712,232.17821986717388,240.14628137196664,109.59523639869998,108.32443127376935,108.69737922296846,108.69112060095901,108.32443127376935,108.69737922296846,108.6050550777186,109.19696904447923,108.83205181751222,92.28371164611795,92.32681325238111,93.51979025281155,92.24880871433254,92.32681325238111,93.51979025281155
Frequencies backward kernels1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Frequencies backward kernels2,344.489884740379,1125.3890593030342,472.51623578053693,4462.437325207453,161.049349408729,826.3044417054683,237.98186250845842,228.51046420261045,228.51046420261045,656.4775310701624,218.20451950931115,228.51046420261045,228.51046420261045,656.4775310701624,218.20451950931115,228.51046420261045,228.51046420261045,656.4775310701624,56.7425693417691,65.30894172935916,89.01334598966473,186.1994938031171,64.79188386568512,59.308662732588225,74.32429947119535,94.87043142129477,51.41197904023574,44.21718109980313,50.585261805439664,40.0,66.36063100762017,62.5984267710356,100.58169090180769,135.0074584136754,124.54365711099658,165.8414513228018,287.936561764316,336.64516507706713,279.0843711631977,176.55393292242033,211.6025723173739,211.06055207487964,176.55393292242033,211.6025723173739,162.97904272352054,193.52213452561054,175.28983758280543,151.79934931362973,156.13602061490255,248.62544857882304,148.1981650379074,156.13602061490255,248.62544857882304
Frequencies backward grid0,559.1337152950158,65536.0,603.2228470378325,65536.0,500.0,65536.0,429.9899422466631,398.1901223156782,500.0,1500.0,358.44033998018244,398.1901223156782,500.0,1500.0,358.44033998018244,398.1901223156782,500.0,1500.0,261.21149632239513,403.0540788670101,500.0,3200.0,500.0,497.1909356825173,100.0,5000.0,500.0,398.02881001253394,398.02881001253394,2500.0,257.9547512531722,398.02881001253394,500.0,894.2545468709208,894.2545468709208,894.2545468709208,1005.0053854489457,2511.6897145573553,500.0,483.15612439994436,700.0,559.0389802377872,483.15612439994436,700.0,652.167937578682,1207.4924417886202,700.0,726.1926570419781,1008.5130422414231,1008.5130422414231,653.5959856457442,1008.5130422414231,1008.5130422414231
