,Ingest (Low) [],ICAL (Low) [],RCAL (Low) [],DPrepA (Low) [],DPrepA_Image (Low) [],DPrepB (Low) [],DPrepC (Low) [],DPrepD (Low) [],Fast_Img (Low) [],Ingest (Mid1) [],ICAL (Mid1) [],RCAL (Mid1) [],DPrepA (Mid1) [],DPrepA_Image (Mid1) [],DPrepB (Mid1) [],DPrepC (Mid1) [],DPrepD (Mid1) [],Fast_Img (Mid1) [],Ingest (Mid2) [],ICAL (Mid2) [],RCAL (Mid2) [],DPrepA (Mid2) [],DPrepA_Image (Mid2) [],DPrepB (Mid2) [],DPrepC (Mid2) [],DPrepD (Mid2) [],Fast_Img (Mid2) [],Ingest (Mid5A) [],ICAL (Mid5A) [],RCAL (Mid5A) [],DPrepA (Mid5A) [],DPrepA_Image (Mid5A) [],DPrepB (Mid5A) [],DPrepC (Mid5A) [],DPrepD (Mid5A) [],Fast_Img (Mid5A) [],Ingest (Mid5B) [],ICAL (Mid5B) [],RCAL (Mid5B) [],DPrepA (Mid5B) [],DPrepA_Image (Mid5B) [],DPrepB (Mid5B) [],DPrepC (Mid5B) [],DPrepD (Mid5B) [],Fast_Img (Mid5B) [],Ingest (Mid5C) [],ICAL (Mid5C) [],RCAL (Mid5C) [],DPrepA (Mid5C) [],DPrepA_Image (Mid5C) [],DPrepB (Mid5C) [],DPrepC (Mid5C) [],DPrepD (Mid5C) [],Fast_Img (Mid5C) []
Coalesce time bw1 [s],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Coalesce time bw2 [s],0.9,2.7,2.7,2.7,2.7,2.7,0.9,0.9,0.9,0.14,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.28,0.14,0.14,0.14,0.28,0.28,0.42000000000000004,0.28,0.14,0.28,0.14,0.14,0.14,0.28,0.28,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.28,0.28,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.28,0.28,0.14,0.14,0.14,0.14,0.14,0.14
Combined samples full0,31.0,11.0,11.0,31.0,31.0,31.0,16.0,16.0,17.0,41.0,15.0,15.0,41.0,41.0,41.0,23.0,23.0,36.0,43.0,16.0,16.0,43.0,43.0,43.0,23.0,23.0,37.0,43.0,16.0,16.0,43.0,43.0,43.0,23.0,23.0,37.0,43.0,16.0,16.0,43.0,43.0,43.0,23.0,23.0,37.0,42.0,15.0,15.0,42.0,42.0,42.0,23.0,23.0,36.0
Combined samples full1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Combined samples full2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Combined samples facet0,31.0,48.0,48.0,52.0,52.0,52.0,16.0,16.0,17.0,41.0,90.0,90.0,104.0,104.0,104.0,76.0,23.0,36.0,43.0,80.0,80.0,108.0,72.0,43.0,79.0,23.0,37.0,43.0,66.0,66.0,43.0,43.0,43.0,23.0,23.0,37.0,43.0,67.0,67.0,43.0,43.0,43.0,23.0,23.0,37.0,42.0,65.0,65.0,42.0,42.0,42.0,23.0,23.0,36.0
Combined samples facet1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Combined samples facet2,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
Kernel time pred0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred1 [s],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kernel time pred2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward1 [s],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kernel time backward2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Visibilities kernel pred0,42.64546091227627,2.2818589176519057,2.281858917654026,2.1142659169993414,2.11582181048737,2.1171982604430695,124.4964024855108,21.947652789187288,3.182389488871669,69.1893558985527,5.16315652058151,5.163156520582446,4.481937039480747,4.479229619202621,4.485983465978244,155.21735603813306,67.68940001845682,20.102145582743407,229.78839297538528,5.824343050138608,5.82434305292832,4.336751863242835,6.47666345672432,17.834458476624228,279.04708259624437,235.80718580389242,18.91042689058334,803.3444891618594,7.622998977666122,7.622998976656077,18.071922759178218,18.033623899059982,18.075708736214413,1165.4066490000198,824.7385141964622,19.01033979904867,2268.265591288553,7.446930725500701,7.4469307308641115,17.921325360555894,17.884860220830596,17.92492669905309,2608.458628433384,2329.1769012943396,18.84815524877729,501.91967303764085,7.865975170654648,7.865975169407826,18.792730557140107,18.76366117697949,18.79533686828102,689.9885936845376,503.3154917582791,19.815978410387455
Visibilities kernel pred1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Visibilities kernel pred2,56.00464489496109,109.56741640388661,109.56741640388661,105.2921397638322,105.2921397638322,105.2921397638322,647.0453677449518,28.81519891633345,362.9429853414958,198.59968037415103,1833.2504506713162,1833.2504506855448,1914.9279758480807,1912.1379965805954,1914.9279758480807,1506.8711809845258,108.97910488605794,3436.54910548266,739.0984760496063,3154.461002530829,3154.461067612665,2064.4847141120285,3639.033135413538,8141.021529944846,3331.80594478022,405.5757894438341,8405.714426173348,3406.3352480768444,4327.56792766336,4327.567895967891,14154.56553417458,12592.694715378271,14341.61546382479,5114.336440876827,1869.2976523280608,16973.97639285326,13799.603235485421,4349.574241487029,4349.574419291215,14216.553343315141,12668.345413877456,14401.30526397451,13980.51414657333,7573.28767893458,19427.88268005811,2136.855863064359,4972.905812130913,4972.905756565403,15873.50902889136,14291.304175801466,16041.802953712773,3086.9555257943543,1172.6496015172036,17569.69095577736
Visibilities kernel bw0,42.64546091227627,2.2818589176519057,2.281858917654026,2.1142659169993414,2.11582181048737,2.1171982604430695,124.4964024855108,21.947652789187288,3.182389488871669,69.1893558985527,5.16315652058151,5.163156520582446,4.481937039480747,4.479229619202621,4.485983465978244,155.21735603813306,67.68940001845682,20.102145582743407,229.78839297538528,5.824343050138608,5.82434305292832,4.336751863242835,6.47666345672432,17.834458476624228,279.04708259624437,235.80718580389242,18.91042689058334,803.3444891618594,7.622998977666122,7.622998976656077,18.071922759178218,18.033623899059982,18.075708736214413,1165.4066490000198,824.7385141964622,19.01033979904867,2268.265591288553,7.446930725500701,7.4469307308641115,17.921325360555894,17.884860220830596,17.92492669905309,2608.458628433384,2329.1769012943396,18.84815524877729,501.91967303764085,7.865975170654648,7.865975169407826,18.792730557140107,18.76366117697949,18.79533686828102,689.9885936845376,503.3154917582791,19.815978410387455
Visibilities kernel bw1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Visibilities kernel bw2,56.00464489496109,109.56741640388661,109.56741640388661,105.2921397638322,105.2921397638322,105.2921397638322,647.0453677449518,28.81519891633345,362.9429853414958,198.59968037415103,1833.2504506713162,1833.2504506855448,1914.9279758480807,1912.1379965805954,1914.9279758480807,1506.8711809845258,108.97910488605794,3436.54910548266,739.0984760496063,3154.461002530829,3154.461067612665,2064.4847141120285,3639.033135413538,8141.021529944846,3331.80594478022,405.5757894438341,8405.714426173348,3406.3352480768444,4327.56792766336,4327.567895967891,14154.56553417458,12592.694715378271,14341.61546382479,5114.336440876827,1869.2976523280608,16973.97639285326,13799.603235485421,4349.574241487029,4349.574419291215,14216.553343315141,12668.345413877456,14401.30526397451,13980.51414657333,7573.28767893458,19427.88268005811,2136.855863064359,4972.905812130913,4972.905756565403,15873.50902889136,14291.304175801466,16041.802953712773,3086.9555257943543,1172.6496015172036,17569.69095577736
Oversampling used pred0,31.302875382764277,2.2590408308075425,2.259040830809603,2.0958717957522737,2.097388599540409,2.0987304370868856,54.99059262093198,18.702872828841286,3.128463915733235,42.473937543694234,4.997969923433182,4.997969923434049,4.361583477238909,4.3590405947551005,4.365383788535482,58.4462978867118,41.959399079470145,17.367052514222813,62.283832780381424,5.609147055670981,5.609147058236289,4.225068526577068,6.205924219361947,15.671586209064678,63.20994284203491,62.439030120555664,16.483599255988892,63.999794994284834,7.239913611226527,7.2399136103236685,15.851981119720755,15.822932165741584,15.85485175951576,63.99999931534915,63.999853633007596,16.558305819550007,63.99999999999998,7.0823116589157635,7.08231166372331,15.737654794523728,15.709931409254985,15.74039192373845,64.0,63.99999999999999,16.436978203736665,63.97637682593797,7.456689700710555,7.456689699600304,16.39544479989916,16.37364668455917,16.397398694395832,63.998778045427855,63.976890441252316,17.156419275342806
Oversampling used pred1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Oversampling used pred2,37.506433135794055,52.602702136869866,52.602702136869866,51.80891581065491,51.80891581065491,51.80891581065491,63.997596954391206,23.346251542572297,63.78920572241831,61.195390192973164,63.999999999981476,63.999999999981476,63.999999999994884,63.99999999999465,63.999999999994884,63.999999996837374,52.496616177230095,64.0,63.999436139429285,64.0,64.0,63.99999999999952,64.0,64.0,64.0,63.89228530135221,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.9999999999895,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.999999999999844,64.0,64.0,64.0,64.0,64.0,64.0,63.9999993891543,64.0
Oversampling used bw0,31.302875382764277,2.2590408308075425,2.259040830809603,2.0958717957522737,2.097388599540409,2.0987304370868856,54.99059262093198,18.702872828841286,3.128463915733235,42.473937543694234,4.997969923433182,4.997969923434049,4.361583477238909,4.3590405947551005,4.365383788535482,58.4462978867118,41.959399079470145,17.367052514222813,62.283832780381424,5.609147055670981,5.609147058236289,4.225068526577068,6.205924219361947,15.671586209064678,63.20994284203491,62.439030120555664,16.483599255988892,63.999794994284834,7.239913611226527,7.2399136103236685,15.851981119720755,15.822932165741584,15.85485175951576,63.99999931534915,63.999853633007596,16.558305819550007,63.99999999999998,7.0823116589157635,7.08231166372331,15.737654794523728,15.709931409254985,15.74039192373845,64.0,63.99999999999999,16.436978203736665,63.97637682593797,7.456689700710555,7.456689699600304,16.39544479989916,16.37364668455917,16.397398694395832,63.998778045427855,63.976890441252316,17.156419275342806
Oversampling used bw1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Oversampling used bw2,37.506433135794055,52.602702136869866,52.602702136869866,51.80891581065491,51.80891581065491,51.80891581065491,63.997596954391206,23.346251542572297,63.78920572241831,61.195390192973164,63.999999999981476,63.999999999981476,63.999999999994884,63.99999999999465,63.999999999994884,63.999999996837374,52.496616177230095,64.0,63.999436139429285,64.0,64.0,63.99999999999952,64.0,64.0,64.0,63.89228530135221,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.9999999999895,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.999999999999844,64.0,64.0,64.0,64.0,64.0,64.0,63.9999993891543,64.0
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",931.2414905129898,603.7866629970722,603.7866629970722,559.1337152950158,559.1337152950158,559.1337152950158,1809.0904657256951,1809.0904657256951,1628.2786778496668,2511.6897145573553,1162.8485129365304,1162.8485129365304,1005.0053854489457,1005.0053854489457,1005.0053854489457,1373.4278293411337,4576.81127226378,2927.246459022404,1369.9587468457216,739.9202789596652,739.9202789596652,548.1694318247697,822.0992112836918,1369.9587468457216,749.1177145263865,2496.3359141432534,1596.6154427183094,964.1342651844309,624.8353800384707,624.8353800384707,964.1342651844309,964.1342651844309,964.1342651844309,1756.8443345598678,1756.8443345598678,1123.6483696216517,440.17355597011345,285.2676338925193,285.2676338925193,440.17355597011345,440.17355597011345,440.17355597011345,802.0830392517163,802.0830392517163,512.9992577598294,1657.447518022577,1074.1554517174807,1074.1554517174807,1657.447518022577,1657.447518022577,1657.447518022577,3020.203232244655,3020.203232244655,1931.6697913193286
"Channels predict, no-smear1",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Channels predict, no-smear2",14885.274922420835,9646.000610935875,9646.000610935875,8931.554112875032,8931.554112875032,8931.554112875032,28930.855905350065,28930.855905350065,26037.867607994198,75334.76275845508,34869.52810182881,34869.52810182881,30134.234684264968,30134.234684264968,30134.234684264968,41186.9071966738,137288.40894903094,87801.4649224931,41089.773967896894,22188.620528023996,22188.620528023996,16436.095567779656,24653.988368231738,41089.773967896894,22464.543579104262,74881.08867071281,47889.47474523953,28917.734885444417,18738.76859601465,18738.76859601465,28917.734885444417,28917.734885444417,28917.734885444417,52699.03674708295,52699.03674708295,33703.157949091255,13202.3088507373,8555.131311379297,8555.131311379297,13202.3088507373,13202.3088507373,13202.3088507373,24059.59324690075,24059.59324690075,15387.079872106855,49712.75860750632,32213.99706127872,32213.99706127872,49712.75860750632,49712.75860750632,49712.75860750632,90595.4296673419,90595.4296673419,57939.42669078791
"Channels backward, no-smear0",931.2414905129898,603.7866629970722,603.7866629970722,559.1337152950158,559.1337152950158,559.1337152950158,1809.0904657256951,1809.0904657256951,1628.2786778496668,2511.6897145573553,1162.8485129365304,1162.8485129365304,1005.0053854489457,1005.0053854489457,1005.0053854489457,1373.4278293411337,4576.81127226378,2927.246459022404,1369.9587468457216,739.9202789596652,739.9202789596652,548.1694318247697,822.0992112836918,1369.9587468457216,749.1177145263865,2496.3359141432534,1596.6154427183094,964.1342651844309,624.8353800384707,624.8353800384707,964.1342651844309,964.1342651844309,964.1342651844309,1756.8443345598678,1756.8443345598678,1123.6483696216517,440.17355597011345,285.2676338925193,285.2676338925193,440.17355597011345,440.17355597011345,440.17355597011345,802.0830392517163,802.0830392517163,512.9992577598294,1657.447518022577,1074.1554517174807,1074.1554517174807,1657.447518022577,1657.447518022577,1657.447518022577,3020.203232244655,3020.203232244655,1931.6697913193286
"Channels backward, no-smear1",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Channels backward, no-smear2",14885.274922420835,9646.000610935875,9646.000610935875,8931.554112875032,8931.554112875032,8931.554112875032,28930.855905350065,28930.855905350065,26037.867607994198,75334.76275845508,34869.52810182881,34869.52810182881,30134.234684264968,30134.234684264968,30134.234684264968,41186.9071966738,137288.40894903094,87801.4649224931,41089.773967896894,22188.620528023996,22188.620528023996,16436.095567779656,24653.988368231738,41089.773967896894,22464.543579104262,74881.08867071281,47889.47474523953,28917.734885444417,18738.76859601465,18738.76859601465,28917.734885444417,28917.734885444417,28917.734885444417,52699.03674708295,52699.03674708295,33703.157949091255,13202.3088507373,8555.131311379297,8555.131311379297,13202.3088507373,13202.3088507373,13202.3088507373,24059.59324690075,24059.59324690075,15387.079872106855,49712.75860750632,32213.99706127872,32213.99706127872,49712.75860750632,49712.75860750632,49712.75860750632,90595.4296673419,90595.4296673419,57939.42669078791
Frequencies predict ifft,65536.0,200.0,200.0,200,200.0,40.0,200.0,65536.0,40.0,65536.0,200.0,200.0,200,200.0,40.0,200.0,65536.0,40.0,65536.0,200.0,200.0,200,200.0,40.0,200.0,65536.0,40.0,65536.0,200.0,200.0,200,200.0,40.0,200.0,65536.0,40.0,65536.0,200.0,200.0,200,200.0,40.0,200.0,65536.0,40.0,65536.0,200.0,200.0,200,200.0,40.0,200.0,65536.0,40.0
Frequencies predict kernels0,1536.763786767615,264.60297712813247,264.60297712788656,264.4576118828813,264.2631399882497,264.09133511096167,526.4087852468448,2986.014068542533,511.6528581883233,1650.1702399900912,225.22046509749472,225.2204650974539,224.23460584028646,224.3701419414738,224.03234275625834,422.2208242221278,3006.792056881331,288.9258096669238,473.7566852955739,127.03926822134157,127.03926816049298,126.40092149862417,126.9325196185942,127.60011661997189,234.85642419284707,863.1117394353781,162.99310492941547,135.51320615766517,88.70901967278463,88.70901968453856,88.62100380043553,88.80921241824238,88.60244203391179,174.64114391761595,246.77876297417134,114.10660565196727,47.99428593966904,40.83874125879801,40.83874122938523,40.79973407155273,40.882919960919715,40.79153690257936,78.02613700367407,87.38192028156261,52.54339453277017,222.0590032631908,150.06284417049685,150.06284419428303,149.99354603558623,150.22592176280824,149.9727467355877,294.97292009382386,404.3744999772523,193.4135210487788
Frequencies predict kernels1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Frequencies predict kernels2,13002.096150122974,326.06343529137104,326.06343529137104,314.17188521272897,314.17188521272897,314.17188521272897,1125.3890593724275,25270.614299491142,797.1214537087989,23570.747185110456,452.87148805190947,452.87148804839455,374.6782057842293,375.22489458387975,374.6782057842293,1553.2657722222798,42954.49904857615,1362.1638200002951,6333.584777718674,251.2158915605327,251.21588637752646,189.556069890776,241.95976013822286,360.5178839110209,702.4933226493245,11541.968181981736,406.94658348919813,1374.246078622398,154.6461538579024,154.64615499054375,145.92835695524656,164.02783824299286,144.02509236338096,915.2981840866728,2504.225504864283,141.82701620515334,339.2230035357383,70.24604869679706,70.24604582524222,66.33267839214872,74.43924442839415,65.48170762868006,334.8333836699575,618.1123780843099,56.57215208788933,2190.6685135186717,231.3536468434889,231.35364942855364,223.70046362430534,248.46656998037454,221.35363084520117,1516.427048600992,3991.9365947733036,235.54941793398865
Frequencies predict de-grid0,65536.0,603.7866629970722,603.7866629970722,559.1337152950158,559.1337152950158,559.1337152950158,65536.0,65536.0,1628.2786778496668,65536.0,1162.8485129365304,1162.8485129365304,1005.0053854489457,1005.0053854489457,1005.0053854489457,65536.0,65536.0,2927.246459022404,65536.0,739.9202789596652,739.9202789596652,548.1694318247697,822.0992112836918,1369.9587468457216,65536.0,65536.0,1596.6154427183094,65536.0,624.8353800384707,624.8353800384707,964.1342651844309,964.1342651844309,964.1342651844309,65536.0,65536.0,1123.6483696216517,65536.0,285.2676338925193,285.2676338925193,440.17355597011345,440.17355597011345,440.17355597011345,65536.0,65536.0,512.9992577598294,65536.0,1074.1554517174807,1074.1554517174807,1657.447518022577,1657.447518022577,1657.447518022577,65536.0,65536.0,1931.6697913193286
Frequencies predict de-grid1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Frequencies predict de-grid2,65536.0,9646.000610935875,9646.000610935875,8931.554112875032,8931.554112875032,8931.554112875032,65536.0,65536.0,26037.867607994198,65536.0,34869.52810182881,34869.52810182881,30134.234684264968,30134.234684264968,30134.234684264968,65536.0,65536.0,65536.0,65536.0,22188.620528023996,22188.620528023996,16436.095567779656,24653.988368231738,41089.773967896894,65536.0,65536.0,47889.47474523953,65536.0,18738.76859601465,18738.76859601465,28917.734885444417,28917.734885444417,28917.734885444417,65536.0,65536.0,33703.157949091255,65536.0,8555.131311379297,8555.131311379297,13202.3088507373,13202.3088507373,13202.3088507373,65536.0,65536.0,15387.079872106855,65536.0,32213.99706127872,32213.99706127872,49712.75860750632,49712.75860750632,49712.75860750632,65536.0,65536.0,57939.42669078791
Frequencies total0,65536.0,40188.588316266854,40188.588316266854,14885.274922420835,14885.274922420835,14885.274922420835,65536.0,65536.0,26037.867607994198,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,41089.773967896894,41089.773967896894,41089.773967896894,65536.0,65536.0,47889.47474523953,65536.0,65536.0,65536.0,28917.73488544442,28917.73488544442,28917.73488544442,65536.0,65536.0,33703.15794909126,65536.0,35646.06401075511,35646.06401075511,13202.3088507373,13202.3088507373,13202.3088507373,65536.0,65536.0,15387.079872106855,65536.0,65536.0,65536.0,49712.75860750633,49712.75860750633,49712.75860750633,65536.0,65536.0,57939.42669078791
Frequencies total1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Frequencies total2,65536.0,40188.588316266854,40188.588316266854,14885.274922420835,14885.274922420835,14885.274922420835,65536.0,65536.0,26037.867607994198,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,41089.773967896894,41089.773967896894,41089.773967896894,65536.0,65536.0,47889.47474523953,65536.0,65536.0,65536.0,28917.73488544442,28917.73488544442,28917.73488544442,65536.0,65536.0,33703.15794909126,65536.0,35646.06401075511,35646.06401075511,13202.3088507373,13202.3088507373,13202.3088507373,65536.0,65536.0,15387.079872106855,65536.0,65536.0,65536.0,49712.75860750633,49712.75860750633,49712.75860750633,65536.0,65536.0,57939.42669078791
Frequencies backward kernels0,1536.763786767615,264.60297712813247,264.60297712788656,264.4576118828813,264.2631399882497,264.09133511096167,526.4087852468448,2986.014068542533,511.6528581883233,1650.1702399900912,225.22046509749472,225.2204650974539,224.23460584028646,224.3701419414738,224.03234275625834,422.2208242221278,3006.792056881331,288.9258096669238,473.7566852955739,127.03926822134157,127.03926816049298,126.40092149862417,126.9325196185942,127.60011661997189,234.85642419284707,863.1117394353781,162.99310492941547,135.51320615766517,88.70901967278463,88.70901968453856,88.62100380043553,88.80921241824238,88.60244203391179,174.64114391761595,246.77876297417134,114.10660565196727,47.99428593966904,40.83874125879801,40.83874122938523,40.79973407155273,40.882919960919715,40.79153690257936,78.02613700367407,87.38192028156261,52.54339453277017,222.0590032631908,150.06284417049685,150.06284419428303,149.99354603558623,150.22592176280824,149.9727467355877,294.97292009382386,404.3744999772523,193.4135210487788
Frequencies backward kernels1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Frequencies backward kernels2,13002.096150122974,326.06343529137104,326.06343529137104,314.17188521272897,314.17188521272897,314.17188521272897,1125.3890593724275,25270.614299491142,797.1214537087989,23570.747185110456,452.87148805190947,452.87148804839455,374.6782057842293,375.22489458387975,374.6782057842293,1553.2657722222798,42954.49904857615,1362.1638200002951,6333.584777718674,251.2158915605327,251.21588637752646,189.556069890776,241.95976013822286,360.5178839110209,702.4933226493245,11541.968181981736,406.94658348919813,1374.246078622398,154.6461538579024,154.64615499054375,145.92835695524656,164.02783824299286,144.02509236338096,915.2981840866728,2504.225504864283,141.82701620515334,339.2230035357383,70.24604869679706,70.24604582524222,66.33267839214872,74.43924442839415,65.48170762868006,334.8333836699575,618.1123780843099,56.57215208788933,2190.6685135186717,231.3536468434889,231.35364942855364,223.70046362430534,248.46656998037454,221.35363084520117,1516.427048600992,3991.9365947733036,235.54941793398865
Frequencies backward grid0,65536.0,603.7866629970722,603.7866629970722,559.1337152950158,559.1337152950158,559.1337152950158,65536.0,65536.0,1628.2786778496668,65536.0,1162.8485129365304,1162.8485129365304,1005.0053854489457,1005.0053854489457,1005.0053854489457,65536.0,65536.0,2927.246459022404,65536.0,739.9202789596652,739.9202789596652,548.1694318247697,822.0992112836918,1369.9587468457216,65536.0,65536.0,1596.6154427183094,65536.0,624.8353800384707,624.8353800384707,964.1342651844309,964.1342651844309,964.1342651844309,65536.0,65536.0,1123.6483696216517,65536.0,285.2676338925193,285.2676338925193,440.17355597011345,440.17355597011345,440.17355597011345,65536.0,65536.0,512.9992577598294,65536.0,1074.1554517174807,1074.1554517174807,1657.447518022577,1657.447518022577,1657.447518022577,65536.0,65536.0,1931.6697913193286
Frequencies backward grid1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
