,max_LOW_continuum [blcoal] [spbf],max_LOW_spectral [blcoal] [spbf],max_MID_continuum [blcoal] [spbf],max_MID_spectral [blcoal] [spbf],max_Band5_MID_continuum [blcoal] [spbf],max_Band5_MID_spectral [blcoal] [spbf],01ICAL [blcoal] [spbf],01DPrepA [blcoal] [spbf],01DPrepB [blcoal] [spbf],01DPrepC [blcoal] [spbf],02AICAL [blcoal] [spbf],02ADPrepA [blcoal] [spbf],02ADPrepB [blcoal] [spbf],02ADPrepC [blcoal] [spbf],02BICAL [blcoal] [spbf],02BDPrepA [blcoal] [spbf],02BDPrepB [blcoal] [spbf],02BDPrepC [blcoal] [spbf],13ICAL [Bmax=40000] [blcoal] [spbf],13DPrepA [Bmax=40000] [blcoal] [spbf],13DPrepB [Bmax=40000] [blcoal] [spbf],13DPrepC [Bmax=40000] [blcoal] [spbf],14ICAL [Bmax=25000] [blcoal] [spbf],14DPrepA [Bmax=25000] [blcoal] [spbf],14DPrepB [Bmax=25000] [blcoal] [spbf],14DPrepC [Bmax=25000] [blcoal] [spbf],15ICAL [Bmax=15000] [blcoal] [spbf],15DPrepA [Bmax=15000] [blcoal] [spbf],15DPrepB [Bmax=15000] [blcoal] [spbf],15DPrepC [Bmax=15000] [blcoal] [spbf],22ICAL [blcoal] [spbf],22DPrepA [blcoal] [spbf],22DPrepB [blcoal] [spbf],27ICAL [Bmax=50000] [blcoal] [spbf],27DPrepA [Bmax=50000] [blcoal] [spbf],27DPrepB [Bmax=50000] [blcoal] [spbf],32ICAL [Bmax=20000] [blcoal] [spbf],32DPrepB [Bmax=20000] [blcoal] [spbf],37aICAL [blcoal] [spbf],37aDPrepA [blcoal] [spbf],37aDPrepB [blcoal] [spbf],37bICAL [blcoal] [spbf],37bDPrepA [blcoal] [spbf],37bDPrepB [blcoal] [spbf],37cICAL [blcoal] [spbf],37cDPrepA [blcoal] [spbf],37cDPrepB [blcoal] [spbf],38aICAL [blcoal] [spbf],38aDPrepA [blcoal] [spbf],38aDPrepB [blcoal] [spbf],38bICAL [blcoal] [spbf],38bDPrepA [blcoal] [spbf],38bDPrepB [blcoal] [spbf]
"Channels backward, no-smear3",3458.7107104119405,6721.607257574179,3013.917810920462,2059.86715195982,3104.5340595364714,5657.462746707873,1995.2737529262452,1478.160213658619,1478.160213658619,957.9196491726934,1773.6536666737777,1478.160213658619,1478.160213658619,957.9196491726934,1773.6536666737777,1478.160213658619,1478.160213658619,957.9196491726934,652.8904418135188,483.6464543146965,1208.9778263156445,440.7029502981749,805.3801496725802,1491.3496857510963,596.6068115237296,251.35647342651336,859.6364949340269,1193.9041270392163,1193.9041270392163,76.98569793480485,967.0796624647984,1193.9041270392163,1193.9041270392163,2682.3582163564483,2682.3582163564483,2682.3582163564483,7533.970638170312,7533.970638170312,1955.9732804231985,3621.9467489340564,3621.9467489340564,1955.9732804231985,3621.9467489340564,3621.9467489340564,1955.9732804231985,3621.9467489340564,3621.9467489340564,2178.126048514747,3025.0871866158723,3025.0871866158723,2450.3635573561846,3025.0871866158723,3025.0871866158723
"Channels backward, no-smear4",5061.635568840222,9837.133129807215,5022.83018303477,3432.745767915875,5174.069230853,9428.950373368421,2919.913831461066,2163.078805830194,2163.078805830194,1401.6671646345294,2595.555964704438,2163.078805830194,2163.078805830194,1401.6671646345294,2595.555964704438,2163.078805830194,2163.078805830194,1401.6671646345294,1088.0892646396737,806.0159537629055,2014.9015700148148,734.4434476774929,1342.225873765601,2485.5084313703824,994.2703121075014,418.90275499589205,,,,,1611.7386666437208,1989.779440352671,1989.779440352671,4470.461877672626,4470.461877672626,4470.461877672626,10045.11108995104,10045.11108995104,3259.7786040836563,6036.401045713372,6036.401045713372,3259.7786040836563,6036.401045713372,6036.401045713372,3259.7786040836563,6036.401045713372,6036.401045713372,3630.0594274868595,5041.661321982965,5041.661321982965,4083.788607959765,5041.661321982965,5041.661321982965
"Channels backward, no-smear5",7374.427128148128,14332.391876912034,7031.742547520076,4805.624372714222,7243.604400849842,13200.437999296486,4254.037353875833,3151.3184625392573,3151.3184625392573,2041.931396401626,3781.443544242798,3151.3184625392573,3151.3184625392573,2041.931396401626,3781.443544242798,3151.3184625392573,3151.3184625392573,2041.931396401626,1523.288086473978,1128.3854518718204,2820.825313173438,1028.1839435870054,,,,,,,,,2256.3976701657107,2785.654753143743,2785.654753143743,6258.565537827592,6258.565537827592,6258.565537827592,,,4563.583925007532,8450.855341013887,8450.855341013887,4563.583925007532,8450.855341013887,8450.855341013887,4563.583925007532,8450.855341013887,8450.855341013887,5081.992804669026,7058.235456070325,7058.235456070325,5717.21365697514,7058.235456070325,7058.235456070325
"Channels backward, no-smear6",10763.468209784225,20919.503696560292,11049.567270263373,7551.381573183239,11382.674739763022,20743.413250674002,6208.990620889499,4599.432000882095,4599.432000882095,2980.140341877421,5519.17978438891,4599.432000882095,4599.432000882095,2980.140341877421,5519.17978438891,4599.432000882095,4599.432000882095,2980.140341877421,1740.887497252959,1289.570200737334,3223.787184677295,1175.0541913352508,,,,,,,,,3545.715676687566,4377.4053782844685,4377.4053782844685,8940.721027388057,8940.721027388057,8940.721027388057,,,7171.194564597031,13279.763930416846,13279.763930416846,7171.194564597031,13279.763930416846,13279.763930416846,7171.194564597031,13279.763930416846,13279.763930416846,7985.859557579737,11091.383723198613,11091.383723198613,8984.063753727927,11091.383723198613,11091.383723198613
"Channels backward, no-smear7",18320.113846845565,35606.98274460911,15067.391990198219,10297.138769598103,15521.745078190484,28286.38850162736,10568.008024797524,7828.333788036723,7828.333788036723,5072.092687410612,9393.861923713632,7828.333788036723,7828.333788036723,5072.092687410612,9393.861923713632,7828.333788036723,7828.333788036723,5072.092687410612,,,,,,,,,,,,,4835.0336829480575,5969.156003228102,5969.156003228102,,,,,,9778.805203194423,18108.672519208772,18108.672519208772,9778.805203194423,18108.672519208772,18108.672519208772,9778.805203194423,18108.672519208772,18108.672519208772,10889.726309842874,15124.531989867131,15124.531989867131,12250.91384989669,15124.531989867131,15124.531989867131
"Channels backward, no-smear8",,,18080.76052947859,12356.456665854836,18626.047831869946,33943.619939647484,,,,,,,,,,,,,,,,,,,,,,,,,5802.02218761939,7162.968971877786,7162.968971877786,,,,,,11734.513181907203,21730.353960832246,21730.353960832246,11734.513181907203,21730.353960832246,21730.353960832246,11734.513181907203,21730.353960832246,21730.353960832246,13067.626373872286,18149.39318963302,18149.39318963302,14701.051421855485,18149.39318963302,18149.39318963302
"Channels backward, no-smear9",,,22098.585247986757,15102.21386022389,22765.118170239723,41486.595190876724,,,,,,,,,,,,,,,,,,,,,,,,,7091.340193737987,8754.719596739762,8754.719596739762,,,,,,14342.123819976441,26559.262549210896,26559.262549210896,14342.123819976441,26559.262549210896,26559.262549210896,14342.123819976441,26559.262549210896,26559.262549210896,15971.493125857936,22182.5414561377,22182.5414561377,17967.901517736373,22182.5414561377,22182.5414561377
"Channels backward, no-smear10",,,26116.409966266117,17847.97105410027,26904.188508167405,49029.57044203559,,,,,,,,,,,,,,,,,,,,,,,,,8380.658199914396,10346.470221536132,10346.470221536132,,,,,,16949.734457906787,31388.171137799913,31388.171137799913,16949.734457906787,31388.171137799913,31388.171137799913,16949.734457906787,31388.171137799913,31388.171137799913,18875.359877643317,26215.689722525978,26215.689722525978,21234.75161354068,26215.689722525978,26215.689722525978
"Channels backward, no-smear11",,,30134.234684264968,20593.728247660394,31043.258846574812,56572.54569243952,,,,,,,,,,,,,,,,,,,,,,,,,9669.976205977098,11938.220846287122,11938.220846287122,,,,,,19557.345095862493,36217.0797262356,36217.0797262356,19557.345095862493,36217.0797262356,36217.0797262356,19557.345095862493,36217.0797262356,36217.0797262356,21779.22662946886,30248.837988860792,30248.837988860792,24501.601709168484,30248.837988860792,30248.837988860792
Frequencies predict ifft,100,100,100,100,100,100,100,100,20,100,100,100,20,100,100,100,20,100,100,100,20,100,100,100,20,100,100,100,20,100,100,100,20,100,100,20,100,20,100,100,20,100,100,20,100,100,20,100,100,20,100,100,20
Frequencies predict kernels0,294.50414792163826,595.6315697792594,248.57191567763044,456.3054012490108,104.5814283301111,199.9485387093033,210.20085460862413,209.14712823218338,209.03561324721676,410.94719631381014,209.69335132664736,209.14712823218338,209.03561324721676,410.94719631381014,209.69335132664736,209.14712823218338,209.03561324721676,410.94719631381014,42.76369088792289,41.94285752224033,42.25336865693933,80.40443669512507,51.19500786282611,51.12287224208538,50.62968225224992,32.386629687320934,42.21950006994545,41.73874353190838,41.56016818610822,20.0,41.38469864997212,41.26056566085735,41.25575789974026,92.75315887416019,92.46240221836588,92.15714194537297,251.84501713383415,249.96897962247644,120.5129667857654,121.09911214136432,120.78132304368692,120.67729841584305,121.09911214136432,120.78132304368692,120.5129667857654,121.09911214136432,120.78132304368692,102.29853147750995,102.298320353294,102.19386091269533,102.42347866790134,102.298320353294,102.19386091269533
Frequencies predict kernels1,295.72529820108934,615.2607406003507,249.14538278348053,460.4700934466945,104.74630219687253,207.91398133984265,211.35993634884204,209.52685587964962,209.3325112547507,415.42866637981143,210.47783718330282,209.52685587964962,209.3325112547507,415.42866637981143,210.47783718330282,209.52685587964962,209.3325112547507,415.42866637981143,43.70616329607896,42.216966507546296,42.782881156022505,84.11086166186472,51.89445984211235,51.7634288878987,50.86378409105507,33.93535684385842,43.10666891666612,42.236200113165644,41.91093553724639,20.0,41.59028979091472,41.36283522904686,41.354015627618054,93.80238723065939,93.27271945871618,92.71526334144724,255.12089919466737,251.70317968057518,121.16694956220047,122.23734108126607,121.6574999061144,121.46744311421949,122.23734108126607,121.6574999061144,121.16694956220047,122.23734108126607,121.6574999061144,102.56151567656174,102.56112842651287,102.36945580055807,102.79059501444556,102.56112842651287,102.36945580055807
Frequencies predict kernels2,297.9270851101971,649.3877440681596,249.82336498003454,465.36038045922504,104.94135923993647,216.9889494387364,213.44612127610273,210.21354312929853,209.86966969331186,423.4385923097213,211.89303580061068,210.21354312929853,209.86966969331186,423.4385923097213,211.89303580061068,210.21354312929853,209.86966969331186,423.4385923097213,44.79856862088918,42.53967371640426,43.40250461738654,88.308833735119,52.712008986786664,52.51299526531952,51.139920849379386,35.686674109638346,44.13602072845901,42.818673464923926,42.323098146122256,20.0,41.832713082244815,41.48372356930575,41.470172610176796,95.03168514250748,94.22455565405478,93.37265438124349,258.9524206872216,253.74401630821234,121.9377401266502,123.57349795403763,122.6882703441205,122.39766519214446,123.57349795403763,122.6882703441205,121.9377401266502,123.57349795403763,122.6882703441205,102.87234998667671,102.87175508094231,102.57716912431958,103.22407786320684,102.87175508094231,102.57716912431958
Frequencies predict kernels3,301.6806306793074,704.3642379325222,251.4370864731155,476.8575880172961,105.4062396599055,237.31975293030342,216.9917664303366,211.39030236892012,210.7909865994883,436.8942000678412,214.30781685940036,211.39030236892012,210.7909865994883,436.8942000678412,214.30781685940036,211.39030236892012,210.7909865994883,436.8942000678412,47.311412334526885,43.30189050115748,44.85055612022004,97.63459968251914,54.6188905278414,54.2647279266409,51.79440952865182,39.56846609655385,46.507728408647964,44.18135595425963,43.293275974323684,20.0,42.40693533193022,41.77137054811615,41.74661012798798,97.91064104671393,96.46376176668021,94.92672365608408,267.89927601421795,258.56085887536733,123.76196932657264,126.71327338891274,125.11973725361837,124.5947500662938,126.71327338891274,125.11973725361837,123.76196932657264,126.71327338891274,125.11973725361837,103.61183913904624,103.61075251187923,103.0720884030568,104.25345240804621,103.61075251187923,103.0720884030568
Frequencies predict kernels4,308.32894531899893,794.0265776691134,255.4772868966433,504.82576095331626,106.57396124967788,282.4416704920672,223.23969030717757,213.49352309588198,212.44021788222912,460.1636625586367,218.59152664077246,213.49352309588198,212.44021788222912,460.1636625586367,218.59152664077246,213.49352309588198,212.44021788222912,460.1636625586367,53.1556079197173,45.1755754642386,48.32755668544691,118.05366997802348,59.17881555299812,58.47094737888972,53.416375249730706,48.037986339970274,,,,,43.82787629347229,42.49098628362797,42.438482831495776,104.85496143970778,101.91851505089966,98.75460569070094,278.14352713515865,264.1609947138024,128.2672688844407,134.34266227785668,131.0790548679977,129.99535852720882,134.34266227785668,131.0790548679977,128.2672688844407,134.34266227785668,131.0790548679977,105.46108146231303,105.4587793555898,104.31447299492596,106.81606239253843,105.4587793555898,104.31447299492596
Frequencies predict kernels5,319.6115156994235,930.4248565833958,260.356231868127,537.2379746246627,107.99131980292684,329.66683891209703,233.7560928499589,217.11712951323514,215.28932045654278,498.2435369473089,225.8796049227589,217.11712951323514,215.28932045654278,498.2435369473089,225.8796049227589,217.11712951323514,215.28932045654278,498.2435369473089,59.56914329405733,47.37825928507501,52.28966855379311,139.16381926527993,,,,,,,,,45.51414088087275,43.3589688317817,43.27355850200855,112.81403070286612,108.2518851081942,103.26732203014404,,,133.5987492311188,143.1713282035098,138.05590020975498,136.34380120459116,143.1713282035098,138.05590020975498,133.5987492311188,143.1713282035098,138.05590020975498,107.69018506623834,107.68644393464731,105.8209487438911,109.88416043027726,107.68644393464731,105.8209487438911
Frequencies predict kernels6,370.06972155646537,1133.1783681014306,271.95320851696874,609.5754975728016,111.39069006260385,424.0895669358611,251.33667912742058,223.3977294743507,223.3977294743507,559.5175692002451,238.26052286718456,223.3977294743507,223.3977294743507,559.5175692002451,238.26052286718456,223.3977294743507,223.3977294743507,559.5175692002451,62.88107935106237,48.56917840486955,54.38510669874461,149.71645437188783,,,,,,,,,49.40955266273662,45.41792650171272,45.256725804205566,125.81551661325248,118.75028788451107,110.88660055839586,,,145.86154376817112,162.8358226856452,153.8500263109735,150.80037184075525,162.8358226856452,153.8500263109735,145.86154376817112,162.8358226856452,153.8500263109735,112.97218045838655,112.96513520340805,109.42761460364713,117.07216587246945,112.96513520340805,109.42761460364713
Frequencies predict kernels7,583.674984463602,1572.6878241737365,285.3142329003052,686.8669274401016,115.35649275300564,515.7981241371111,349.00714643219936,274.18655054747023,274.18655054747023,704.84264911904,313.66034998594944,274.18655054747023,274.18655054747023,704.84264911904,313.66034998594944,274.18655054747023,274.18655054747023,704.84264911904,,,,,,,,,,,,,53.73633613860863,47.783538770146684,47.53879833176812,,,,,,159.4118476349289,183.80313054638944,170.9872347664339,166.5905602608118,183.80313054638944,170.9872347664339,159.4118476349289,183.80313054638944,170.9872347664339,119.03203235155573,119.0213596175556,113.62461713265559,125.1968594218424,119.0213596175556,113.62461713265559
Frequencies predict kernels8,,,296.16061284852293,746.1625982616923,118.61140132066681,582.4837043048234,,,,,,,,,,,,,,,,,,,,,,,,,57.14735734414257,49.699418548719336,49.38945761486042,,,,,,170.0531256614007,199.8666325744165,184.27135700546674,178.88741296011403,199.8666325744165,184.27135700546674,170.0531256614007,199.8666325744165,184.27135700546674,123.93380108929527,123.92030533351246,117.06150865859888,131.68913549113324,123.92030533351246,117.06150865859888
Frequencies predict kernels9,,,311.4225264747106,825.7225483762219,123.24015035924279,668.78412477546,,,,,,,,,,,,,,,,,,,,,,,,,61.823769446123606,52.38930986848369,51.99098829811758,,,,,,184.5954759067338,221.39781882069389,221.39781419456438,195.57883710581973,221.39781882069389,221.39781419456438,184.5954759067338,221.39781882069389,221.39781419456438,130.80799868924586,130.7906888643194,121.93819581476501,140.69376687901587,130.7906888643194,121.93819581476501
Frequencies predict kernels10,,,346.7818190774072,905.1021825407877,128.12677292347033,752.4139584848382,,,,,,,,,,,,,,,,,,,,,,,,,66.58123088691096,55.19078891569722,54.70390570583354,,,,,,199.34574535054196,267.9907262821344,267.9907262821344,212.40406719957087,267.9907262821344,267.9907262821344,199.34574535054196,267.9907262821344,267.9907262821344,137.9589237162275,137.93780127356362,127.07418315036368,149.95732803913103,137.93780127356362,127.07418315036368
Frequencies predict kernels11,,,389.9023918392926,983.8697700123597,133.21099583088852,833.7022653997371,,,,,,,,,,,,,,,,,,,,,,,,,71.37420996163137,58.06981238711528,57.49508019006338,,,,,,214.1704565163682,320.9461603322812,320.9461603322812,229.23133187887905,320.9461603322812,320.9461603322812,214.1704565163682,320.9461603322812,320.9461603322812,145.30012932600957,145.275233058464,132.40590544388354,159.3766079328492,145.275233058464,132.40590544388354
Frequencies predict de-grid0,1123.0200547686838,65536.0,1005.0053854489457,65536.0,1034.9988790363216,65536.0,647.9409371938357,480.1358041325267,500.0,1500.0,576.024457759016,480.1358041325267,500.0,1500.0,576.024457759016,480.1358041325267,500.0,1500.0,217.69161204396846,161.27694549614694,500.0,3200.0,500.0,497.1909356825173,100.0,5000.0,500.0,398.02881001253394,398.02881001253394,2500.0,322.42065370364355,398.02881001253394,500.0,894.2545468709208,894.2545468709208,894.2545468709208,2511.6897145573553,2511.6897145573553,652.167937578682,1207.4924417886202,1207.4924417886202,652.167937578682,1207.4924417886202,1207.4924417886202,652.167937578682,1207.4924417886202,1207.4924417886202,726.1926570419781,1008.5130422414231,1008.5130422414231,816.9384956364858,1008.5130422414231,1008.5130422414231
Frequencies predict de-grid1,1626.7965167781667,65536.0,1507.2335084877068,65536.0,1552.3826770323226,65536.0,938.5421732762752,695.3960255703084,695.3960255703084,1500.0,834.3366856603985,695.3960255703084,695.3960255703084,1500.0,834.3366856603985,695.3960255703084,695.3960255703084,1500.0,326.49132165556017,241.8693256283889,604.5350169007022,3200.0,500.0,745.7306245903046,100.0,5000.0,500.0,596.9976404288616,596.9976404288616,2500.0,483.585407325264,596.9976404288616,596.9976404288616,1341.280466795748,1341.280466795748,1341.280466795748,3767.259952131288,3767.259952131288,978.1192792840136,1811.1060218133737,1811.1060218133737,978.1192792840136,1811.1060218133737,1811.1060218133737,978.1192792840136,1811.1060218133737,1811.1060218133737,1089.1760088165274,1512.656581147074,1512.656581147074,1225.2947645381312,1512.656581147074,1512.656581147074
Frequencies predict de-grid2,2382.4611407963093,65536.0,2009.4616148571042,65536.0,2069.7664721575957,65536.0,1374.4439667205775,1018.2862758762946,1018.2862758762946,1500.0,1221.8049592682044,1018.2862758762946,1018.2862758762946,1500.0,1221.8049592682044,1018.2862758762946,1018.2862758762946,1500.0,435.2910290982149,322.4617028333052,806.0159537629055,3200.0,536.9572860809892,994.2703121075014,100.0,5000.0,573.1213808637368,795.9664696855765,795.9664696855765,2500.0,644.7501595153672,795.9664696855765,795.9664696855765,1788.3063841681017,1788.3063841681017,1788.3063841681017,5022.83018303477,5022.83018303477,1304.070614995905,2414.7195985996987,2414.7195985996987,1304.070614995905,2414.7195985996987,2414.7195985996987,1304.070614995905,2414.7195985996987,2414.7195985996987,1452.1593566854401,2016.800117240791,2016.800117240791,1633.6510299688712,2016.800117240791,2016.800117240791
Frequencies predict de-grid3,3458.7107104119405,65536.0,3013.917810920462,65536.0,3104.5340595364714,65536.0,1995.2737529262452,1478.160213658619,1478.160213658619,1500.0,1773.6536666737777,1478.160213658619,1478.160213658619,1500.0,1773.6536666737777,1478.160213658619,1478.160213658619,1500.0,652.8904418135188,483.6464543146965,1208.9778263156445,3200.0,805.3801496725802,1491.3496857510963,100.0,5000.0,859.6364949340269,1193.9041270392163,1193.9041270392163,2500.0,967.0796624647984,1193.9041270392163,1193.9041270392163,2682.3582163564483,2682.3582163564483,2682.3582163564483,7533.970638170312,7533.970638170312,1955.9732804231985,3621.9467489340564,3621.9467489340564,1955.9732804231985,3621.9467489340564,3621.9467489340564,1955.9732804231985,3621.9467489340564,3621.9467489340564,2178.126048514747,3025.0871866158723,3025.0871866158723,2450.3635573561846,3025.0871866158723,3025.0871866158723
Frequencies predict de-grid4,5061.635568840222,65536.0,5022.83018303477,65536.0,5174.069230853,65536.0,2919.913831461066,2163.078805830194,2163.078805830194,1500.0,2595.555964704438,2163.078805830194,2163.078805830194,1500.0,2595.555964704438,2163.078805830194,2163.078805830194,1500.0,1088.0892646396737,806.0159537629055,2014.9015700148148,3200.0,1342.225873765601,2485.5084313703824,100.0,5000.0,,,,,1611.7386666437208,1989.779440352671,1989.779440352671,4470.461877672626,4470.461877672626,4470.461877672626,10045.11108995104,10045.11108995104,3259.7786040836563,6036.401045713372,6036.401045713372,3259.7786040836563,6036.401045713372,6036.401045713372,3259.7786040836563,6036.401045713372,6036.401045713372,3630.0594274868595,5041.661321982965,5041.661321982965,4083.788607959765,5041.661321982965,5041.661321982965
Frequencies predict de-grid5,7374.427128148128,65536.0,7031.742547520076,65536.0,7243.604400849842,65536.0,4254.037353875833,3151.3184625392573,3151.3184625392573,2041.931396401626,3781.443544242798,3151.3184625392573,3151.3184625392573,2041.931396401626,3781.443544242798,3151.3184625392573,3151.3184625392573,2041.931396401626,1523.288086473978,1128.3854518718204,2820.825313173438,3200.0,,,,,,,,,2256.3976701657107,2785.654753143743,2785.654753143743,6258.565537827592,6258.565537827592,6258.565537827592,,,4563.583925007532,8450.855341013887,8450.855341013887,4563.583925007532,8450.855341013887,8450.855341013887,4563.583925007532,8450.855341013887,8450.855341013887,5081.992804669026,7058.235456070325,7058.235456070325,5717.21365697514,7058.235456070325,7058.235456070325
Frequencies predict de-grid6,10763.468209784225,65536.0,11049.567270263373,65536.0,11382.674739763022,65536.0,6208.990620889499,4599.432000882095,4599.432000882095,2980.140341877421,5519.17978438891,4599.432000882095,4599.432000882095,2980.140341877421,5519.17978438891,4599.432000882095,4599.432000882095,2980.140341877421,1740.887497252959,1289.570200737334,3223.787184677295,3200.0,,,,,,,,,3545.715676687566,4377.4053782844685,4377.4053782844685,8940.721027388057,8940.721027388057,8940.721027388057,,,7171.194564597031,13279.763930416846,13279.763930416846,7171.194564597031,13279.763930416846,13279.763930416846,7171.194564597031,13279.763930416846,13279.763930416846,7985.859557579737,11091.383723198613,11091.383723198613,8984.063753727927,11091.383723198613,11091.383723198613
Frequencies predict de-grid7,18320.113846845565,65536.0,15067.391990198219,65536.0,15521.745078190484,65536.0,10568.008024797524,7828.333788036723,7828.333788036723,5072.092687410612,9393.861923713632,7828.333788036723,7828.333788036723,5072.092687410612,9393.861923713632,7828.333788036723,7828.333788036723,5072.092687410612,,,,,,,,,,,,,4835.0336829480575,5969.156003228102,5969.156003228102,,,,,,9778.805203194423,18108.672519208772,18108.672519208772,9778.805203194423,18108.672519208772,18108.672519208772,9778.805203194423,18108.672519208772,18108.672519208772,10889.726309842874,15124.531989867131,15124.531989867131,12250.91384989669,15124.531989867131,15124.531989867131
Frequencies predict de-grid8,,,18080.76052947859,65536.0,18626.047831869946,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,5802.02218761939,7162.968971877786,7162.968971877786,,,,,,11734.513181907203,21730.353960832246,21730.353960832246,11734.513181907203,21730.353960832246,21730.353960832246,11734.513181907203,21730.353960832246,21730.353960832246,13067.626373872286,18149.39318963302,18149.39318963302,14701.051421855485,18149.39318963302,18149.39318963302
Frequencies predict de-grid9,,,22098.585247986757,65536.0,22765.118170239723,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,7091.340193737987,8754.719596739762,8754.719596739762,,,,,,14342.123819976441,26559.262549210896,26559.262549210896,14342.123819976441,26559.262549210896,26559.262549210896,14342.123819976441,26559.262549210896,26559.262549210896,15971.493125857936,22182.5414561377,22182.5414561377,17967.901517736373,22182.5414561377,22182.5414561377
Frequencies predict de-grid10,,,26116.409966266117,65536.0,26904.188508167405,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,8380.658199914396,10346.470221536132,10346.470221536132,,,,,,16949.734457906787,31388.171137799913,31388.171137799913,16949.734457906787,31388.171137799913,31388.171137799913,16949.734457906787,31388.171137799913,31388.171137799913,18875.359877643317,26215.689722525978,26215.689722525978,21234.75161354068,26215.689722525978,26215.689722525978
Frequencies predict de-grid11,,,30134.234684264968,65536.0,31043.258846574812,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,9669.976205977098,11938.220846287122,11938.220846287122,,,,,,19557.345095862493,36217.0797262356,36217.0797262356,19557.345095862493,36217.0797262356,36217.0797262356,19557.345095862493,36217.0797262356,36217.0797262356,21779.22662946886,30248.837988860792,30248.837988860792,24501.601709168484,30248.837988860792,30248.837988860792
Frequencies total,18320.11384684556,65536.0,65536.0,65536.0,31043.258846574816,65536.0,35225.076118458855,13046.760903751216,13046.760903751216,25357.69099984863,23483.615124332395,13046.760903751216,13046.760903751216,25357.69099984863,23483.615124332395,13046.760903751216,13046.760903751216,25357.69099984863,8704.068635983613,3223.7871846772946,3223.7871846772946,5874.90211016006,4473.825921121464,2485.5084313703824,100.0,5000.0,2148.954502933313,1193.9041270392163,1193.9041270392163,2500.0,32233.041312942332,11938.220846287122,11938.220846287122,8940.721027388057,8940.721027388057,8940.721027388057,10045.111089951039,10045.111089951039,65190.5312565323,36217.0797262356,36217.0797262356,65536.0,36217.0797262356,36217.0797262356,65190.5312565323,36217.0797262356,36217.0797262356,54447.72758676212,30248.837988860792,30248.837988860792,65536.0,30248.837988860792,30248.837988860792
Frequencies backward kernels0,294.50414792163826,595.6315697792594,248.57191567763044,456.3054012490108,104.5814283301111,199.9485387093033,210.20085460862413,209.14712823218338,209.03561324721676,410.94719631381014,209.69335132664736,209.14712823218338,209.03561324721676,410.94719631381014,209.69335132664736,209.14712823218338,209.03561324721676,410.94719631381014,42.76369088792289,41.94285752224033,42.25336865693933,80.40443669512507,51.19500786282611,51.12287224208538,50.62968225224992,32.386629687320934,42.21950006994545,41.73874353190838,41.56016818610822,20.0,41.38469864997212,41.26056566085735,41.25575789974026,92.75315887416019,92.46240221836588,92.15714194537297,251.84501713383415,249.96897962247644,120.5129667857654,121.09911214136432,120.78132304368692,120.67729841584305,121.09911214136432,120.78132304368692,120.5129667857654,121.09911214136432,120.78132304368692,102.29853147750995,102.298320353294,102.19386091269533,102.42347866790134,102.298320353294,102.19386091269533
Frequencies backward kernels1,295.72529820108934,615.2607406003507,249.14538278348053,460.4700934466945,104.74630219687253,207.91398133984265,211.35993634884204,209.52685587964962,209.3325112547507,415.42866637981143,210.47783718330282,209.52685587964962,209.3325112547507,415.42866637981143,210.47783718330282,209.52685587964962,209.3325112547507,415.42866637981143,43.70616329607896,42.216966507546296,42.782881156022505,84.11086166186472,51.89445984211235,51.7634288878987,50.86378409105507,33.93535684385842,43.10666891666612,42.236200113165644,41.91093553724639,20.0,41.59028979091472,41.36283522904686,41.354015627618054,93.80238723065939,93.27271945871618,92.71526334144724,255.12089919466737,251.70317968057518,121.16694956220047,122.23734108126607,121.6574999061144,121.46744311421949,122.23734108126607,121.6574999061144,121.16694956220047,122.23734108126607,121.6574999061144,102.56151567656174,102.56112842651287,102.36945580055807,102.79059501444556,102.56112842651287,102.36945580055807
Frequencies backward kernels2,297.9270851101971,649.3877440681596,249.82336498003454,465.36038045922504,104.94135923993647,216.9889494387364,213.44612127610273,210.21354312929853,209.86966969331186,423.4385923097213,211.89303580061068,210.21354312929853,209.86966969331186,423.4385923097213,211.89303580061068,210.21354312929853,209.86966969331186,423.4385923097213,44.79856862088918,42.53967371640426,43.40250461738654,88.308833735119,52.712008986786664,52.51299526531952,51.139920849379386,35.686674109638346,44.13602072845901,42.818673464923926,42.323098146122256,20.0,41.832713082244815,41.48372356930575,41.470172610176796,95.03168514250748,94.22455565405478,93.37265438124349,258.9524206872216,253.74401630821234,121.9377401266502,123.57349795403763,122.6882703441205,122.39766519214446,123.57349795403763,122.6882703441205,121.9377401266502,123.57349795403763,122.6882703441205,102.87234998667671,102.87175508094231,102.57716912431958,103.22407786320684,102.87175508094231,102.57716912431958
