,max_LOW_continuum [blcoal] [spbf],max_LOW_spectral [blcoal] [spbf],max_MID_continuum [blcoal] [spbf],max_MID_spectral [blcoal] [spbf],max_Band5_MID_continuum [blcoal] [spbf],max_Band5_MID_spectral [blcoal] [spbf],01ICAL [blcoal] [spbf],01DPrepA [blcoal] [spbf],01DPrepB [blcoal] [spbf],01DPrepC [blcoal] [spbf],02AICAL [blcoal] [spbf],02ADPrepA [blcoal] [spbf],02ADPrepB [blcoal] [spbf],02ADPrepC [blcoal] [spbf],02BICAL [blcoal] [spbf],02BDPrepA [blcoal] [spbf],02BDPrepB [blcoal] [spbf],02BDPrepC [blcoal] [spbf],13ICAL [Bmax=40000] [blcoal] [spbf],13DPrepA [Bmax=40000] [blcoal] [spbf],13DPrepB [Bmax=40000] [blcoal] [spbf],13DPrepC [Bmax=40000] [blcoal] [spbf],14ICAL [Bmax=25000] [blcoal] [spbf],14DPrepA [Bmax=25000] [blcoal] [spbf],14DPrepB [Bmax=25000] [blcoal] [spbf],14DPrepC [Bmax=25000] [blcoal] [spbf],15ICAL [Bmax=15000] [blcoal] [spbf],15DPrepA [Bmax=15000] [blcoal] [spbf],15DPrepB [Bmax=15000] [blcoal] [spbf],15DPrepC [Bmax=15000] [blcoal] [spbf],22ICAL [blcoal] [spbf],22DPrepA [blcoal] [spbf],22DPrepB [blcoal] [spbf],27ICAL [Bmax=50000] [blcoal] [spbf],27DPrepA [Bmax=50000] [blcoal] [spbf],27DPrepB [Bmax=50000] [blcoal] [spbf],32ICAL [Bmax=20000] [blcoal] [spbf],32DPrepB [Bmax=20000] [blcoal] [spbf],37aICAL [blcoal] [spbf],37aDPrepA [blcoal] [spbf],37aDPrepB [blcoal] [spbf],37bICAL [blcoal] [spbf],37bDPrepA [blcoal] [spbf],37bDPrepB [blcoal] [spbf],37cICAL [Bmax=95000] [blcoal] [spbf],37cDPrepA [Bmax=95000] [blcoal] [spbf],37cDPrepB [Bmax=95000] [blcoal] [spbf],38aICAL [blcoal] [spbf],38aDPrepA [blcoal] [spbf],38aDPrepB [blcoal] [spbf],38bICAL [blcoal] [spbf],38bDPrepA [blcoal] [spbf],38bDPrepB [blcoal] [spbf]
Visibilities bw1 [1/s],1948188.6617438558,158712256.14297408,152479.1524060275,6404525.888544086,387007.8512690362,30497742.32640041,1498309.116922096,1387412.7335039307,1387412.7335039307,2615497.38516864,1248792.2477435197,1387412.7335039307,1387412.7335039307,2615497.38516864,1248792.2477435197,1387412.7335039307,1387412.7335039307,2615497.38516864,43094.43434024189,23636.75472460505,148189.11920900785,333550.42204736493,68337.5931796131,29656.943051050603,9940.013553398268,616503.6018024617,91826.59668477366,51170.78535152763,153496.73233838324,1073111.8579621383,60013.66413021813,143698.96361727323,143698.96361727323,52442.70470506825,322592.71539145755,322592.71539145755,368902.12569780863,966078.3365484156,131300.8370506066,72257.05382601058,72257.05382601058,97542.17331012468,72257.05382601058,72257.05382601058,131300.8370506066,72257.05382601058,451507.3894423598,107595.10430291544,377104.16499675135,377104.16499675135,155516.66327813786,377104.16499675135,377104.16499675135
Visibilities bw2 [1/s],3988616.360699523,325080391.118371,151300.85607865886,3592303.1625583977,385893.14797792333,23326643.91271687,3067655.618094299,2840513.5293869544,2840513.5293869544,2678579.88287232,2556585.9151756396,2840513.5293869544,2840513.5293869544,2678579.88287232,2556585.9151756396,2840513.5293869544,2840513.5293869544,2678579.88287232,41894.65389098235,22989.168557439327,155150.26571286368,249451.56115026076,54885.06037127498,30493.917348765823,7666.12100170804,471541.78942959063,82653.09594610172,57399.80902943874,143488.56800991428,752386.513112494,61199.49929229817,148402.25252641633,148402.25252641633,52644.77452144588,334035.04365990317,334035.04365990317,379325.64751635795,1011461.3236715904,130918.64937161913,72737.76128307858,72737.76128307858,97257.15106242638,72737.76128307858,72737.76128307858,130918.64937161913,72737.76128307858,450207.19000064774,109344.88543987187,376017.9501183044,376017.9501183044,155065.56652426175,376017.9501183044,376017.9501183044
Visibilities bw3 [1/s],18502694.34056612,814501371.0890816,621939.9163912926,9015829.653778043,1555837.8622782843,65686758.90609715,14230700.600918198,13176787.30799331,13176787.30799331,5122820.754304671,10165196.303974409,13176787.30799331,13176787.30799331,5122820.754304671,10165196.303974409,13176787.30799331,13176787.30799331,5122820.754304671,173235.45164836865,92681.98303786464,595744.5937325673,670514.8704711453,221277.63212960755,119212.58448970686,19981.767252244197,1239317.3726785807,370260.20568352944,231417.53623478668,771352.5256007435,2696509.323934977,246737.82558179213,598325.2910600234,598325.2910600234,212240.22617466602,1296876.5905214627,1296876.5905214627,1631278.0622183953,4531107.721096022,527819.5994952194,290454.2017476618,290454.2017476618,392103.4229052717,290454.2017476618,290454.2017476618,527819.5994952194,290454.2017476618,1815139.3346248912,440840.9056419007,1516023.046090397,1516023.046090397,625178.1438826927,1516023.046090397,1516023.046090397
Visibilities bw4 [1/s],28372268.931704037,624551447.5564055,2472590.3662639125,21507619.720158882,6367602.162721325,161307147.9011916,21821714.121548645,20205453.943647504,20205453.943647504,7854933.810632614,18185128.719827663,20205453.943647504,20205453.943647504,7854933.810632614,18185128.719827663,20205453.943647504,20205453.943647504,7854933.810632614,658342.7889311964,390140.63141154643,2438211.5735048177,1568176.327745885,827980.1275066456,511113.7128539955,51405.91111190027,2898471.3866721164,,,,,976519.8450413927,2448773.5479409676,2448773.5479409676,839964.032599482,5459394.861500343,5459394.861500343,1907529.6078873782,6358200.2433016645,2139589.800675709,1132090.3420038933,1132090.3420038933,1528299.1589906237,1132090.3420038933,1132090.3420038933,2139589.800675709,1132090.3420038933,7428853.120970112,1787007.7019548959,6204650.944006526,6204650.944006526,2474284.127693177,6204650.944006526,6204650.944006526
Visibilities bw5 [1/s],,,2601701.0260926704,16165275.040882738,6253540.054241978,113156925.2861792,,,,,,,,,,,,,775851.0904220454,410511.91968252044,2394535.4510295233,1237584.7294805974,,,,,,,,,1038938.8076563288,2404908.193775761,2404908.193775761,893643.4806943703,6702000.472524097,6702000.472524097,,,2148997.04772652,1167380.1733090275,1167380.1733090275,1558628.3450128695,1167380.1733090275,1167380.1733090275,2148997.04772652,1167380.1733090275,7295782.519740423,1794863.904137666,6093507.554281698,6093507.554281698,2632441.0465286477,6093507.554281698,6093507.554281698
Visibilities bw6 [1/s],,,9710348.953550885,39872058.20332324,30009250.41978592,259168378.32160106,,,,,,,,,,,,,338467.2542016183,208934.27712040383,1566939.8485684295,515362.8693698677,,,,,,,,,3739189.8124173456,11540578.747011721,11540578.747011721,2192895.001812384,16446153.148886474,16446153.148886474,,,8102621.311450598,4668237.333820918,4668237.333820918,6077003.45437521,4668237.333820918,4668237.333820918,8102621.311450598,4668237.333820918,35010730.818072766,6767387.806456237,29241291.634968936,29241291.634968936,9474283.349799573,29241291.634968936,29241291.634968936
Visibilities bw7 [1/s],,,18982655.23714316,49539321.513532124,58665216.05526454,495393215.1353213,,,,,,,,,,,,,,,,,,,,,,,,,7309735.630606024,22560725.281398572,22560725.281398572,,,,,,14783794.402442914,7822187.717989076,7822187.717989076,10559900.894514984,7822187.717989076,7822187.717989076,14783794.402442914,7822187.717989076,68442638.40578821,12347565.87150959,57163929.21354139,57163929.21354139,18521263.393653788,57163929.21354139,57163929.21354139
Visibilities bw8 [1/s],,,8655176.951414868,19607363.71415105,22290508.6912017,156858909.7132084,,,,,,,,,,,,,,,,,,,,,,,,,3703216.3463683575,8572200.799852682,8572200.799852682,,,,,,7021571.898381179,4160964.4218790983,4160964.4218790983,4814810.302112063,4160964.4218790983,4160964.4218790983,7021571.898381179,4160964.4218790983,26005551.376176804,5864483.189674089,21720077.7258466,21720077.7258466,9383137.04346221,21720077.7258466,21720077.7258466
Visibilities bw9 [1/s],,,11565290.761680273,22865502.83202795,47656482.60434576,137193016.99216768,,,,,,,,,,,,,,,,,,,,,,,,,3958681.1618062654,18327123.937945276,18327123.937945276,,,,,,10007930.689177455,5559997.492158848,5559997.492158848,6433689.564506442,5559997.492158848,5559997.492158848,1620607.1462675105,960366.989998549,6002189.549808466,8358717.584820589,46436916.91469366,46436916.91469366,10030429.562601425,46436916.91469366,46436916.91469366
Visibilities bw10 [1/s],,,979619.0849624582,1966589.3263285581,4036673.733039358,9832946.63164279,,,,,,,,,,,,,,,,,,,,,,,,,502971.1237207056,1552372.5816993127,1552372.5816993127,,,,,,847706.270065889,470950.50789571204,470950.50789571204,726607.2699162776,470950.50789571204,470950.50789571204,,,,708012.1881397917,3933372.1611527153,3933372.1611527153,1274418.5479127846,3933372.1611527153,3933372.1611527153
Visibilities bw11 [1/s],,,645900.8802550612,842823.9946740469,1996155.046750689,4214119.9733702345,,,,,,,,,,,,,,,,,,,,,,,,,248721.5326627335,767655.8672308879,767655.8672308879,,,,,,628791.79835944,310515.94265843043,310515.94265843043,359310.4114519165,310515.94265843043,310515.94265843043,,,,525172.7565450431,1945071.904603555,1945071.904603555,630205.8546826786,1945071.904603555,1945071.904603555
-- Geometry --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.09440398684029373,0.09440398684029373,0.8580149336490602,0.8580149336490602,17.04886816211769,17.04886816211769,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,1.4098307776762335,1.4098307776762335,1.4098307776762335,1.4098307776762335,2.179085545775391,2.179085545775391,2.179085545775391,2.203297607395118,2.3177546259610975,2.3177546259610975,2.3177546259610975,2.3206973331141834,17.82888173816229,17.82888173816229,17.82888173816229,1.961176991197852,1.961176991197852,1.961176991197852,0.8580149336490602,0.8580149336490602,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093
Delta W earth1 [lambda],0.37761594736117493,0.37761594736117493,1.9305336007103855,1.9305336007103855,38.3599533647648,38.3599533647648,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,3.172119249771525,3.172119249771525,3.172119249771525,3.172119249771525,4.902942477994629,4.902942477994629,4.902942477994629,4.957419616639014,5.214947908412469,5.214947908412469,5.214947908412469,5.221568999506912,40.11498391086515,40.11498391086515,40.11498391086515,4.412648230195167,4.412648230195167,4.412648230195167,1.9305336007103855,1.9305336007103855,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221
Delta W earth2 [lambda],1.5104637894446997,1.5104637894446997,3.432059734596241,3.432059734596241,68.19547264847075,68.19547264847075,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,5.639323110704934,5.639323110704934,5.639323110704934,5.639323110704934,8.716342183101563,8.716342183101563,8.716342183101563,8.813190429580471,9.27101850384439,9.27101850384439,9.27101850384439,9.282789332456733,71.31552695264917,71.31552695264917,71.31552695264917,7.844707964791408,7.844707964791408,7.844707964791408,3.432059734596241,3.432059734596241,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837
Delta W earth3 [lambda],6.041855157778799,6.041855157778799,7.722134402841542,7.722134402841542,153.4398134590592,153.4398134590592,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,12.6884769990861,12.6884769990861,12.6884769990861,12.6884769990861,19.611769911978516,19.611769911978516,19.611769911978516,19.829678466556057,20.859791633649877,20.859791633649877,20.859791633649877,20.88627599802765,160.4599356434606,160.4599356434606,160.4599356434606,17.650592920780667,17.650592920780667,17.650592920780667,7.722134402841542,7.722134402841542,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884
Delta W earth4 [lambda],24.167420631115196,24.167420631115196,21.450373341226506,21.450373341226506,426.22170405294224,426.22170405294224,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,35.245769441905836,35.245769441905836,35.245769441905836,35.245769441905836,54.47713864438477,54.47713864438477,54.47713864438477,55.08244018487794,,,,,445.72204345405726,445.72204345405726,445.72204345405726,49.0294247799463,49.0294247799463,49.0294247799463,13.728238938384964,13.728238938384964,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023
Delta W earth5 [lambda],,,42.04273174880395,42.04273174880395,835.3945399437669,835.3945399437669,,,,,,,,,,,,,69.08170810613544,69.08170810613544,69.08170810613544,69.08170810613544,,,,,,,,,873.6152051699522,873.6152051699522,873.6152051699522,96.09767256869475,96.09767256869475,96.09767256869475,,,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125
Delta W earth6 [lambda],,,103.81980697153628,103.81980697153628,2062.9130476162404,2062.9130476162404,,,,,,,,,,,,,90.22916977127895,90.22916977127895,90.22916977127895,90.22916977127895,,,,,,,,,2157.294690317637,2157.294690317637,2157.294690317637,196.1176991197852,196.1176991197852,196.1176991197852,,,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433
Delta W earth7 [lambda],,,193.05336007103855,193.05336007103855,3835.99533647648,3835.99533647648,,,,,,,,,,,,,,,,,,,,,,,,,4011.4983910865153,4011.4983910865153,4011.4983910865153,,,,,,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207
Delta W earth8 [lambda],,,277.99683850229553,277.99683850229553,5523.833284526131,5523.833284526131,,,,,,,,,,,,,,,,,,,,,,,,,5776.557683164582,5776.557683164582,5776.557683164582,,,,,,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038
Delta W earth9 [lambda],,,415.2792278861451,415.2792278861451,8251.652190464962,8251.652190464962,,,,,,,,,,,,,,,,,,,,,,,,,8629.178761270548,8629.178761270548,8629.178761270548,,,,,,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,742.9471108013097,742.9471108013097,742.9471108013097,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773
Delta W earth10 [lambda],,,580.0180951467647,580.0180951467647,11525.034877591559,11525.034877591559,,,,,,,,,,,,,,,,,,,,,,,,,12052.324054997707,12052.324054997707,12052.324054997707,,,,,,1391.2250606694886,1391.2250606694886,1391.2250606694886,1391.2250606694886,1391.2250606694886,1391.2250606694886,,,,9452.146735725055,9452.146735725055,9452.146735725055,9452.146735725055,9452.146735725055,9452.146735725055
Delta W earth11 [lambda],,,772.2134402841542,772.2134402841542,15343.98134590592,15343.98134590592,,,,,,,,,,,,,,,,,,,,,,,,,16045.993564346061,16045.993564346061,16045.993564346061,,,,,,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,,,,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883
Delta W snapshot0 [lambda],1.385462945111815,2.407051602316522,24.960697438604967,359.07864848784743,1271.8532364263788,8932.355203769263,1.3809954959856132,1.1112029746257428,0.8863354215375164,22.306060984427514,1.3809955794178974,1.1112029746257428,0.8863354215375164,22.306060984427514,1.3809955794178974,1.1112029746257428,0.8863354215375164,22.306060984427514,159.96619924569,156.39489906281247,38.48771404812539,1525.3731051662141,283.3986002459702,277.72064059063473,269.8988468325738,2204.487947382933,268.77336897048275,198.26278100556735,76.50799094690841,974.435063772639,5881.716649650895,1976.964538623886,1921.5439654419283,161.55918538350323,54.65634831829059,43.07635025136946,26.913186236048077,8.467254073066963,147.64437272798625,170.20590491457958,132.83119819814607,183.05901874498352,170.20590491457958,132.83119819814607,121.93423905903893,138.34236164959583,37.04445411802658,3394.6151455566846,1178.9533594988152,909.824762151855,2779.52342850344,1178.9533594988152,909.824762151855
Delta W snapshot1 [lambda],2.77092589022363,4.814103204633044,37.44104615790745,538.6179727317711,1907.7798546395682,13398.532805653895,2.7619909919712264,2.2224059492514856,1.7726708430750329,44.61212196885503,2.761991158835795,2.2224059492514856,1.7726708430750329,44.61212196885503,2.761991158835795,2.2224059492514856,1.7726708430750329,44.61212196885503,239.949298868535,234.59234859421872,57.73157107218809,2288.059657749321,425.0979003689554,416.58096088595215,404.8482702488607,3306.7319210743995,403.16005345572415,297.39417150835106,114.7619864203626,1461.6525956589585,8822.574974476343,2965.446807935829,2882.3159481628927,242.33877807525488,81.98452247743589,64.61452537705419,40.369779354072115,12.700881109600445,221.46655909197935,255.30885737186935,199.24679729721913,274.5885281174753,255.30885737186935,199.24679729721913,182.9013585885584,207.51354247439377,55.566681177039875,5091.922718335027,1768.4300392482228,1364.7371432277826,4169.2851427551595,1768.4300392482228,1364.7371432277826
Delta W snapshot2 [lambda],5.54185178044726,9.628206409266088,49.921394877209934,718.1572969756949,2543.7064728527575,17864.710407538525,5.523981983942453,4.444811898502971,3.5453416861500657,89.22424393771006,5.52398231767159,4.444811898502971,3.5453416861500657,89.22424393771006,5.52398231767159,4.444811898502971,3.5453416861500657,89.22424393771006,319.93239849138,312.78979812562494,76.97542809625078,3050.7462103324283,566.7972004919404,555.4412811812695,539.7976936651476,4408.975894765866,537.5467379409655,396.5255620111347,153.01598189381681,1948.870127545278,11763.43329930179,3953.929077247772,3843.0879308838566,323.11837076700647,109.31269663658118,86.15270050273892,53.82637247209615,16.934508146133926,295.2887454559725,340.41180982915915,265.66239639629214,366.11803748996704,340.41180982915915,265.66239639629214,243.86847811807786,276.68472329919166,74.08890823605316,6789.230291113369,2357.9067189976304,1819.64952430371,5559.04685700688,2357.9067189976304,1819.64952430371
Delta W snapshot3 [lambda],11.08370356089452,19.256412818532176,74.8820923158149,1077.2359454635423,3815.5597092791363,26797.06561130779,11.047963967884906,8.889623797005942,7.0906833723001315,178.4484878754201,11.04796463534318,8.889623797005942,7.0906833723001315,178.4484878754201,11.04796463534318,8.889623797005942,7.0906833723001315,178.4484878754201,479.89859773707,469.18469718843744,115.46314214437618,4576.119315498642,850.1958007379108,833.1619217719043,809.6965404977213,6613.463842148799,806.3201069114483,594.7883430167021,229.5239728407252,2923.305191317917,17645.149948952687,5930.893615871658,5764.631896325785,484.67755615050976,163.96904495487178,129.22905075410839,80.73955870814423,25.40176221920089,442.9331181839587,510.6177147437387,398.49359459443826,549.1770562349506,510.6177147437387,398.49359459443826,365.8027171771168,415.02708494878755,111.13336235407975,10183.845436670053,3536.8600784964456,2729.474286455565,8338.570285510319,3536.8600784964456,2729.474286455565
Delta W snapshot4 [lambda],22.16740712178904,38.51282563706435,124.80348719302484,1795.3932424392372,6359.266182131893,44661.776018846314,22.09592793576981,17.779247594011885,14.181366744600263,356.8969757508402,22.09592927068636,17.779247594011885,14.181366744600263,356.8969757508402,22.09592927068636,17.779247594011885,14.181366744600263,356.8969757508402,799.8309962284501,781.9744953140623,192.43857024062697,7626.865525831071,1416.9930012298512,1388.6032029531739,1349.494234162869,11022.439736914665,,,,,29408.583248254476,9884.82269311943,9607.719827209641,807.7959269175162,273.28174159145294,215.3817512568473,107.6527449441923,33.86901629226785,738.2218636399313,851.0295245728978,664.1559909907304,915.2950937249176,851.0295245728978,664.1559909907304,609.6711952951947,691.7118082479792,185.22227059013292,16973.075727783424,5894.766797494076,4549.123810759275,13897.6171425172,5894.766797494076,4549.123810759275
Delta W snapshot5 [lambda],,,174.72488207023477,2513.550539414932,8902.972654984651,62526.48642638484,,,,,,,,,,,,,1119.76339471983,1094.7642934396872,269.41399833687774,10677.611736163499,,,,,,,,,41172.01654755627,13838.751770367202,13450.807758093499,1130.9142976845228,382.59443822803416,301.5344517595862,,,1033.5106090959036,1191.441334402057,929.8183873870225,1281.4131312148845,1191.441334402057,929.8183873870225,853.5396734132726,968.3965315471709,259.31117882618605,23762.306018896794,8252.673516491706,6368.773335062985,19456.66399952408,8252.673516491706,6368.773335062985
Delta W snapshot6 [lambda],,,274.5676718246546,3949.8651333663215,13990.385600690166,98255.9072414619,,,,,,,,,,,,,1279.72959396552,1251.1591925024998,307.9017123850031,12202.984841329713,,,,,,,,,64698.88314615985,21746.609924862747,21136.98361986121,1615.5918538350325,546.5634831829059,430.7635025136946,,,1624.0881000078487,1872.2649540603752,1461.1431801796068,2013.6492061948186,1872.2649540603752,1461.1431801796068,1341.2766296494283,1521.7659781455543,407.4889952982924,37340.766601123534,12968.486954486967,10008.072383670406,30574.757713537838,12968.486954486967,10008.072383670406
Delta W snapshot7 [lambda],,,374.4104615790745,5386.179727317711,19077.798546395683,133985.32805653894,,,,,,,,,,,,,,,,,,,,,,,,,88225.74974476344,29654.46807935829,28823.159481628925,,,,,,2214.6655909197934,2553.0885737186936,1992.4679729721913,2745.885281174753,2553.0885737186936,1992.4679729721913,1829.013585885584,2075.1354247439376,555.6668117703987,50919.227183350275,17684.30039248223,13647.371432277825,41692.8514275516,17684.30039248223,13647.371432277825
Delta W snapshot8 [lambda],,,449.2925538948894,6463.415672781253,22893.35825567482,160782.39366784674,,,,,,,,,,,,,,,,,,,,,,,,,105870.89969371611,35585.36169522995,34587.79137795471,,,,,,2657.5987091037523,3063.706288462432,2390.9615675666296,3295.062337409703,3063.706288462432,2390.9615675666296,2194.816303062701,2490.162509692725,666.8001741244784,61103.07262002033,21221.160470978673,16376.84571873339,50031.421713061914,21221.160470978673,16376.84571873339
Delta W snapshot9 [lambda],,,549.1353436493092,7899.730266732643,27980.771201380332,196511.8144829238,,,,,,,,,,,,,,,,,,,,,,,,,129397.7662923197,43493.219849725494,42273.96723972242,,,,,,3248.1762000156973,3744.5299081207504,2922.2863603592136,4027.298412389637,3744.5299081207504,2922.2863603592136,2316.7505421217397,2628.504871342321,703.844628242505,74681.53320224707,25936.973908973934,20016.14476734081,61149.515427075676,25936.973908973934,20016.14476734081
Delta W snapshot10 [lambda],,,648.9781334037291,9336.044860684033,33068.18414708585,232241.23529800086,,,,,,,,,,,,,,,,,,,,,,,,,152924.63289092327,51401.07800422104,49960.14310149014,,,,,,3838.7536909276423,4425.353527779069,3453.611153151798,4759.534487369571,4425.353527779069,3453.611153151798,,,,88259.9937844738,30652.787346969195,23655.44381594823,72267.60914108943,30652.787346969195,23655.44381594823
Delta W snapshot11 [lambda],,,748.820923158149,10772.359454635422,38155.597092791366,267970.6561130779,,,,,,,,,,,,,,,,,,,,,,,,,176451.49948952688,59308.93615871658,57646.31896325785,,,,,,4429.331181839587,5106.177147437387,3984.9359459443826,5491.770562349506,5106.177147437387,3984.9359459443826,,,,101838.45436670055,35368.60078496446,27294.74286455565,83385.7028551032,35368.60078496446,27294.74286455565
Delta W max0 [lambda],1.385462945111815,2.407051602316522,24.960697438604967,359.07864848784743,1271.8532364263788,8932.355203769263,1.3809954959856132,1.1112029746257428,0.8863354215375164,22.306060984427514,1.3809955794178974,1.1112029746257428,0.8863354215375164,22.306060984427514,1.3809955794178974,1.1112029746257428,0.8863354215375164,22.306060984427514,159.96619924569,156.39489906281247,38.48771404812539,1525.3731051662141,283.3986002459702,277.72064059063473,269.8988468325738,2204.487947382933,268.77336897048275,198.26278100556735,76.50799094690841,974.435063772639,5881.716649650895,1976.964538623886,1921.5439654419283,161.55918538350323,54.65634831829059,43.07635025136946,26.913186236048077,8.467254073066963,147.64437272798625,170.20590491457958,132.83119819814607,183.05901874498352,170.20590491457958,132.83119819814607,121.93423905903893,138.34236164959583,37.04445411802658,3394.6151455566846,1178.9533594988152,909.824762151855,2779.52342850344,1178.9533594988152,909.824762151855
Delta W max1 [lambda],2.77092589022363,4.814103204633044,37.44104615790745,538.6179727317711,1907.7798546395682,13398.532805653895,2.7619909919712264,2.2224059492514856,1.7726708430750329,44.61212196885503,2.761991158835795,2.2224059492514856,1.7726708430750329,44.61212196885503,2.761991158835795,2.2224059492514856,1.7726708430750329,44.61212196885503,239.949298868535,234.59234859421872,57.73157107218809,2288.059657749321,425.0979003689554,416.58096088595215,404.8482702488607,3306.7319210743995,403.16005345572415,297.39417150835106,114.7619864203626,1461.6525956589585,8822.574974476343,2965.446807935829,2882.3159481628927,242.33877807525488,81.98452247743589,64.61452537705419,40.369779354072115,12.700881109600445,221.46655909197935,255.30885737186935,199.24679729721913,274.5885281174753,255.30885737186935,199.24679729721913,182.9013585885584,207.51354247439377,55.566681177039875,5091.922718335027,1768.4300392482228,1364.7371432277826,4169.2851427551595,1768.4300392482228,1364.7371432277826
Delta W max2 [lambda],5.54185178044726,9.628206409266088,49.921394877209934,718.1572969756949,2543.7064728527575,17864.710407538525,5.523981983942453,4.444811898502971,3.5453416861500657,89.22424393771006,5.52398231767159,4.444811898502971,3.5453416861500657,89.22424393771006,5.52398231767159,4.444811898502971,3.5453416861500657,89.22424393771006,319.93239849138,312.78979812562494,76.97542809625078,3050.7462103324283,566.7972004919404,555.4412811812695,539.7976936651476,4408.975894765866,537.5467379409655,396.5255620111347,153.01598189381681,1948.870127545278,11763.43329930179,3953.929077247772,3843.0879308838566,323.11837076700647,109.31269663658118,86.15270050273892,53.82637247209615,16.934508146133926,295.2887454559725,340.41180982915915,265.66239639629214,366.11803748996704,340.41180982915915,265.66239639629214,243.86847811807786,276.68472329919166,74.08890823605316,6789.230291113369,2357.9067189976304,1819.64952430371,5559.04685700688,2357.9067189976304,1819.64952430371
