,max_LOW_continuum [],max_LOW_spectral [],max_MID_continuum [],max_MID_spectral [],max_Band5_MID_continuum [],max_Band5_MID_spectral [],01ICAL [],01DPrepA [],01DPrepB [],01DPrepC [],02AICAL [],02ADPrepA [],02ADPrepB [],02ADPrepC [],02BICAL [],02BDPrepA [],02BDPrepB [],02BDPrepC [],13ICAL [] [Bmax=40000],13DPrepA [] [Bmax=40000],13DPrepB [] [Bmax=40000],13DPrepC [] [Bmax=40000],14ICAL [] [Bmax=25000],14DPrepA [] [Bmax=25000],14DPrepB [] [Bmax=25000],14DPrepC [] [Bmax=25000],15ICAL [] [Bmax=15000],15DPrepA [] [Bmax=15000],15DPrepB [] [Bmax=15000],15DPrepC [] [Bmax=15000],22ICAL [],22DPrepA [],22DPrepB [],27ICAL [] [Bmax=50000],27DPrepA [] [Bmax=50000],27DPrepB [] [Bmax=50000],32ICAL [] [Bmax=20000],32DPrepB [] [Bmax=20000],37aICAL [],37aDPrepA [],37aDPrepB [],37bICAL [],37bDPrepA [],37bDPrepB [],37cICAL [] [Bmax=95000],37cDPrepA [] [Bmax=95000],37cDPrepB [] [Bmax=95000],38aICAL [],38aDPrepA [],38aDPrepB [],38bICAL [],38bDPrepA [],38bDPrepB []
Visibilities kernel pred3,26.736607179672884,463.8253663807271,6.536292883072965,377.6635604293891,154.4548257549778,3581.9281493762223,553.8765240270538,93.82399602850562,86.90897490806712,130.1078959637853,216.5290752022031,93.82399602850562,86.90897490806712,130.1078959637853,216.5290752022031,93.82399602850562,86.90897490806712,130.1078959637853,51.16335617830558,108.04429702035192,86.20390888853572,201.19214780419287,27.546755825018874,151.08272336516626,8.546191020263558,832.74708372276,66.79107917694246,188.37324514905754,178.66451504066742,686.3062538438923,95.94044270484109,53.30200431995579,152.2836896733694,117.79306708858445,117.79307047722409,96.90220479544634,25.798366476895822,163.91730386113633,15.413492315633015,23.99592235929864,14.733678787498192,30.47711271144006,23.99592235929864,14.733678787498192,38.7352513348336,107.83239757498409,23.99592235929864,47.93544926255876,150.04422961998824,150.04422961998824,67.04463441095993,150.04422961998824,150.04422961998824
Visibilities kernel pred4,106.93478109226655,927.6507327614542,17.12411427687758,535.5798896114953,413.7165335239147,5756.339872998239,1107.7262211809243,562.9071715416029,521.419757395718,520.4140763577154,866.0848393512216,562.9071715416029,521.419757395718,520.4140763577154,866.0848393512216,562.9071715416029,521.419757395718,520.4140763577154,156.3251173454612,315.11958546961705,251.42039685536687,404.00230159380783,67.37261704570506,503.5940079598381,17.092382040527117,1209.7823375789205,,,,,284.99964204626207,152.2836896733694,411.69023986806064,353.36851834058467,353.36852850619624,290.6978261016963,45.86167310542441,327.82863232333847,40.04932911193533,59.09090114290877,37.90689269691682,72.21058789433428,59.09090114290877,37.90689269691682,111.89576614741614,314.501944549907,59.09090114290877,135.49407765779887,393.6973083028786,393.6973083028786,182.38996481179083,393.6973083028786,393.6973083028786
Visibilities kernel pred5,,,31.51369590059114,694.005863106662,707.149811507894,7027.458713530765,,,,,,,,,,,,,328.2761223971931,588.215534758773,469.31193745112864,754.1322184765651,,,,,,,,,542.1956628371738,298.4695205595589,709.273070297521,824.5158597165487,824.5158834360016,678.2861391601332,,,74.180613964092,108.55533715819826,69.46732439626513,135.93964694579776,108.55533715819826,69.46732439626513,213.61422257343318,587.0629243553934,107.5789948721766,252.1548409655099,661.3835742696931,661.3835742696931,353.98702997071916,661.3835742696931,661.3835742696931
Visibilities kernel pred6,,,65.47435658034459,907.5681789560384,1880.4640843315556,8917.978722066742,,,,,,,,,,,,,375.17034556639226,1008.3653677140205,804.5314623908422,1292.7951899652207,,,,,,,,,1342.4669275934086,754.6004554172879,1908.7234498274643,1766.8025300270717,1766.8025808539771,1453.4561738598964,,,160.21827582229312,284.3034835514764,159.03176198984912,347.123037099932,284.3034835514764,159.03176198984912,527.4851941911501,1845.0338416997347,281.7464695867917,587.8519194273567,1968.527409494884,1716.1233683548612,763.7569265875279,1968.527409494884,1716.1233683548612
Visibilities kernel pred7,,,114.38313992951774,899.744917496644,3318.7879556745916,15387.933550743894,,,,,,,,,,,,,,,,,,,,,,,,,2202.1342788414854,1458.6278699445743,3395.2147289712343,,,,,,255.7261554957789,498.44752084409794,255.08509085569892,631.1255304622644,498.44752084409794,255.08509085569892,1007.0072539715018,3773.912751905682,493.96450412006936,1055.2252714419453,4026.5114598229966,2982.9116360107614,1428.6953598185733,4026.5114598229966,2982.9116360107614
Visibilities kernel pred8,,,148.30440570661338,998.1453197567375,3610.4713267581983,13949.51774968936,,,,,,,,,,,,,,,,,,,,,,,,,2456.021322569625,1676.08324698269,3708.9249761036967,,,,,,361.00476685398854,837.3867232397121,361.0807208287255,908.8159694264115,837.3867232397121,361.0807208287255,1510.5040506564917,4528.684243928897,829.855301118471,1510.4311643898063,4831.801718945804,3219.972942038693,2142.2013908363206,4831.801718945804,3219.972942038693
Visibilities kernel pred9,,,198.82206376700276,1161.4693150913417,7855.589652507721,12415.604471999826,,,,,,,,,,,,,,,,,,,,,,,,,4109.779044489157,2578.486331112948,8102.2341551990685,,,,,,462.3492119798552,1279.3337274527241,463.70862795141556,1388.4621832095288,1279.3337274527241,463.70862795141556,1594.4190450469546,4780.274741232621,875.9569662317851,2314.0558501521514,11811.044128965714,6954.543815323873,2411.1888264472086,11811.044128965714,6954.543815323873
Visibilities kernel pred10,,,239.93931238813894,1550.7107940607202,8376.87744624745,11202.110964181922,,,,,,,,,,,,,,,,,,,,,,,,,4465.028257214537,4320.238622407801,8664.765317454354,,,,,,595.5140963111554,1511.9340508394573,598.465823315916,2187.872539501603,1511.9340508394573,598.465823315916,,,,2575.529813625719,13958.484819977843,7377.685004335769,3957.1123564756626,13958.484819977843,7377.685004335769
Visibilities kernel pred11,,,338.28622178656343,1400.9289322884977,8818.672111595122,10220.124554870517,,,,,,,,,,,,,,,,,,,,,,,,,9535.459606038641,4719.926007280974,9141.209049251976,,,,,,787.479480022945,2326.04583227651,792.5856421143795,2524.462168041048,2326.04583227651,792.5856421143795,,,,4207.674820187847,16105.925510961504,7737.346486801854,4249.037754850471,16105.925510961504,7737.346486801854
Visibilities kernel bw0,1.8074712403355278,83.48856594853088,2.2225282748097714,154.26468154070787,18.397984389018927,1168.5986345839503,6.296185107123214,3.169457283998423,2.9358617755261776,3.4099419756592955,4.874381332087927,3.169457283998423,2.9358617755261776,3.4099419756592955,4.874381332087927,3.169457283998423,2.9358617755261776,3.4099419756592955,6.286820454803685,12.006753050517899,14.249100858212675,91.2589117716911,10.695056193705078,15.497982246053308,2.831357554553744,363.9539812354492,14.415473151463788,15.700167397615482,14.890983015834623,171.57656346097306,10.662058654221017,5.971343572426879,20.7641196013289,13.59356202549453,13.593562416550506,13.392514005451618,4.073325943470025,16.394120414808622,4.577652893221341,4.356364525077889,6.4155562960416805,4.965121441289639,4.356364525077889,6.4155562960416805,5.654445307553178,13.72115770576452,6.3115316427827395,5.910375009138782,17.816873868286816,17.816873868286816,7.654036990115109,17.816873868286816,17.816873868286816
Visibilities kernel bw1,3.611800014671302,115.95634159518177,3.295555737021653,208.67500305927905,40.7921724681514,1765.8406574815979,27.697850005362746,6.335603665599242,5.868656668958472,8.133384696822674,13.536016461851231,6.335603665599242,5.868656668958472,8.133384696822674,13.536016461851231,6.335603665599242,5.868656668958472,8.133384696822674,12.79234438905234,27.01313436172561,21.552620892830006,111.74418512384771,11.675438222547502,37.773506353463496,4.273095510131779,522.3578389459991,20.936304450381613,37.677525465232236,35.7356311924841,274.52250153755693,23.987371395102375,13.327196563241275,36.76093845005305,29.450492303091455,29.45049315031539,24.509594213962668,6.1469791213707845,35.12769734890309,5.062683073982802,6.516363569490043,6.351431770990453,8.568951046583132,6.516363569490043,6.351431770990453,11.074158491057394,26.960073978462457,6.516363569490043,11.9085442303048,40.25863145953609,40.25863145953609,17.12570087432201,40.25863145953609,40.25863145953609
Visibilities kernel bw2,7.220456196878512,231.91268319036354,4.336826859557034,269.5290584758852,71.30952341883086,2367.8365792914265,138.4758375632867,20.107770736369666,18.625786753458872,32.529162354539025,54.13620133987013,20.107770736369666,18.625786753458872,32.529162354539025,54.13620133987013,20.107770736369666,18.625786753458872,32.529162354539025,23.4512515078789,50.42259473345833,40.23002492679317,140.83450346293503,15.142073184272553,67.15038864887035,5.697460680175705,689.3961817090816,31.01913236899883,62.79347877636825,59.55711186277456,343.1531269219461,42.642206317153914,23.69128682594096,67.68422361271908,54.36808532612545,54.36808689017208,44.725784537442266,10.584909571292384,65.56931166023364,7.000802063100511,11.397435427804293,6.631088478978482,14.671754300291154,11.397435427804293,6.631088478978482,18.649421306574943,47.927265241165365,11.397435427804293,21.495619933781008,70.02034741407961,70.02034741407961,30.24955106134445,70.02034741407961,70.02034741407961
Visibilities kernel bw3,26.736607179672884,463.8253663807271,6.536292883072965,377.6635604293891,154.4548257549778,3581.9281493762223,553.8765240270538,93.82399602850562,86.90897490806712,130.1078959637853,216.5290752022031,93.82399602850562,86.90897490806712,130.1078959637853,216.5290752022031,93.82399602850562,86.90897490806712,130.1078959637853,51.16335617830558,108.04429702035192,86.20390888853572,201.19214780419287,27.546755825018874,151.08272336516626,8.546191020263558,832.74708372276,66.79107917694246,188.37324514905754,178.66451504066742,686.3062538438923,95.94044270484109,53.30200431995579,152.2836896733694,117.79306708858445,117.79307047722409,96.90220479544634,25.798366476895822,163.91730386113633,15.413492315633015,23.99592235929864,14.733678787498192,30.47711271144006,23.99592235929864,14.733678787498192,38.7352513348336,107.83239757498409,23.99592235929864,47.93544926255876,150.04422961998824,150.04422961998824,67.04463441095993,150.04422961998824,150.04422961998824
Visibilities kernel bw4,106.93478109226655,927.6507327614542,17.12411427687758,535.5798896114953,413.7165335239147,5756.339872998239,1107.7262211809243,562.9071715416029,521.419757395718,520.4140763577154,866.0848393512216,562.9071715416029,521.419757395718,520.4140763577154,866.0848393512216,562.9071715416029,521.419757395718,520.4140763577154,156.3251173454612,315.11958546961705,251.42039685536687,404.00230159380783,67.37261704570506,503.5940079598381,17.092382040527117,1209.7823375789205,,,,,284.99964204626207,152.2836896733694,411.69023986806064,353.36851834058467,353.36852850619624,290.6978261016963,45.86167310542441,327.82863232333847,40.04932911193533,59.09090114290877,37.90689269691682,72.21058789433428,59.09090114290877,37.90689269691682,111.89576614741614,314.501944549907,59.09090114290877,135.49407765779887,393.6973083028786,393.6973083028786,182.38996481179083,393.6973083028786,393.6973083028786
Visibilities kernel bw5,,,31.51369590059114,694.005863106662,707.149811507894,7027.458713530765,,,,,,,,,,,,,328.2761223971931,588.215534758773,469.31193745112864,754.1322184765651,,,,,,,,,542.1956628371738,298.4695205595589,709.273070297521,824.5158597165487,824.5158834360016,678.2861391601332,,,74.180613964092,108.55533715819826,69.46732439626513,135.93964694579776,108.55533715819826,69.46732439626513,213.61422257343318,587.0629243553934,107.5789948721766,252.1548409655099,661.3835742696931,661.3835742696931,353.98702997071916,661.3835742696931,661.3835742696931
Visibilities kernel bw6,,,65.47435658034459,907.5681789560384,1880.4640843315556,8917.978722066742,,,,,,,,,,,,,375.17034556639226,1008.3653677140205,804.5314623908422,1292.7951899652207,,,,,,,,,1342.4669275934086,754.6004554172879,1908.7234498274643,1766.8025300270717,1766.8025808539771,1453.4561738598964,,,160.21827582229312,284.3034835514764,159.03176198984912,347.123037099932,284.3034835514764,159.03176198984912,527.4851941911501,1845.0338416997347,281.7464695867917,587.8519194273567,1968.527409494884,1716.1233683548612,763.7569265875279,1968.527409494884,1716.1233683548612
Visibilities kernel bw7,,,114.38313992951774,899.744917496644,3318.7879556745916,15387.933550743894,,,,,,,,,,,,,,,,,,,,,,,,,2202.1342788414854,1458.6278699445743,3395.2147289712343,,,,,,255.7261554957789,498.44752084409794,255.08509085569892,631.1255304622644,498.44752084409794,255.08509085569892,1007.0072539715018,3773.912751905682,493.96450412006936,1055.2252714419453,4026.5114598229966,2982.9116360107614,1428.6953598185733,4026.5114598229966,2982.9116360107614
Visibilities kernel bw8,,,148.30440570661338,998.1453197567375,3610.4713267581983,13949.51774968936,,,,,,,,,,,,,,,,,,,,,,,,,2456.021322569625,1676.08324698269,3708.9249761036967,,,,,,361.00476685398854,837.3867232397121,361.0807208287255,908.8159694264115,837.3867232397121,361.0807208287255,1510.5040506564917,4528.684243928897,829.855301118471,1510.4311643898063,4831.801718945804,3219.972942038693,2142.2013908363206,4831.801718945804,3219.972942038693
Visibilities kernel bw9,,,198.82206376700276,1161.4693150913417,7855.589652507721,12415.604471999826,,,,,,,,,,,,,,,,,,,,,,,,,4109.779044489157,2578.486331112948,8102.2341551990685,,,,,,462.3492119798552,1279.3337274527241,463.70862795141556,1388.4621832095288,1279.3337274527241,463.70862795141556,1594.4190450469546,4780.274741232621,875.9569662317851,2314.0558501521514,11811.044128965714,6954.543815323873,2411.1888264472086,11811.044128965714,6954.543815323873
Visibilities kernel bw10,,,239.93931238813894,1550.7107940607202,8376.87744624745,11202.110964181922,,,,,,,,,,,,,,,,,,,,,,,,,4465.028257214537,4320.238622407801,8664.765317454354,,,,,,595.5140963111554,1511.9340508394573,598.465823315916,2187.872539501603,1511.9340508394573,598.465823315916,,,,2575.529813625719,13958.484819977843,7377.685004335769,3957.1123564756626,13958.484819977843,7377.685004335769
Visibilities kernel bw11,,,338.28622178656343,1400.9289322884977,8818.672111595122,10220.124554870517,,,,,,,,,,,,,,,,,,,,,,,,,9535.459606038641,4719.926007280974,9141.209049251976,,,,,,787.479480022945,2326.04583227651,792.5856421143795,2524.462168041048,2326.04583227651,792.5856421143795,,,,4207.674820187847,16105.925510961504,7737.346486801854,4249.037754850471,16105.925510961504,7737.346486801854
Oversampling used pred0,1.7960575574507942,46.81433950344457,2.201325580176295,58.362347187563614,16.098584376477504,63.99999934891483,6.041426070709548,3.1160654966233423,2.8916765174625922,3.3462114099751545,4.729033278064655,3.1160654966233423,2.8916765174625922,3.3462114099751545,4.729033278064655,3.1160654966233423,2.8916765174625922,3.3462114099751545,6.032877832334961,11.026253048548313,12.86428603221487,48.79377073058336,9.920590069491318,13.860188830254145,2.7910234824365503,63.7925353122085,12.998090851612211,14.019584298833742,13.378592131776813,59.707651089820196,9.89248002073623,5.744166508889755,17.850675871033275,12.33364395950342,12.333644277690105,12.169799941027925,3.9765756207435032,14.562827405644505,4.451412764134702,4.243528191332729,6.150280049972956,4.813671453107169,4.243528191332729,6.150280049972956,5.452706694813642,12.43735924974142,6.055431964048488,5.688205035111729,15.658200831468392,15.658200831468392,7.267651031338218,15.658200831468392,15.658200831468392
Oversampling used pred1,3.538719559737558,53.69363955893707,3.236851488519136,61.60688791899871,30.334506203946212,63.99999999994644,22.624560573319833,6.077394285793652,5.649881871420007,7.694307633094638,12.286800200807633,6.077394285793652,5.649881871420007,7.694307633094638,12.286800200807633,6.077394285793652,5.649881871420007,7.694307633094638,11.677594777962874,22.175988993548735,18.420196352616543,52.986786635015115,10.749131491700723,28.695429856985392,4.1651151295086635,63.982878060557084,17.97564617899493,28.64202518997749,27.544016299580335,63.151593391234094,20.134795574502547,12.116457769538997,28.127940621937014,23.750957382415862,23.75095791943408,20.49407026576867,5.905077832968047,27.19331206449911,4.904537601691111,6.242046449723247,6.091830660572988,8.07921233273256,6.242046449723247,6.091830660572988,10.24249515304382,22.1410256645309,6.242046449723247,10.94425900087316,30.050443720835588,30.050443720835588,15.129133948524107,30.050443720835588,30.050443720835588
Oversampling used pred2,6.878946488020674,62.34029585092021,4.225139124837618,63.08218253022994,43.18080800549711,63.99999999999999,56.77088832603109,17.371183400777866,16.27012344222308,25.655840455326057,36.71527942092143,17.371183400777866,16.27012344222308,25.655840455326057,36.71527942092143,17.371183400777866,16.27012344222308,25.655840455326057,19.762873469429657,35.071997742817786,30.035145800151234,57.03448845655072,13.57836697784115,41.771510157271294,5.4923544561005215,63.99876659183889,24.733069011965704,40.192778373944535,38.94793082907442,63.712120950519974,31.301199464199023,19.929781300483256,41.957602258972315,36.814735831966416,36.81473650157112,32.35673078997017,9.82670098524197,41.211086739816494,6.681011663466926,10.515483450698298,6.3463051974318105,13.203520079000818,10.515483450698298,6.3463051974318105,16.287885453265943,33.912572248247116,10.515483450698298,18.37926229423796,42.75380846874542,42.75380846874542,24.25427233811947,42.75380846874542,42.75380846874542
Oversampling used pred3,21.993454584079686,63.95695909589887,6.260171166861667,63.832822219705946,58.37920365695244,64.0,63.989577226771424,49.39579790944131,47.71556859641386,55.75260417163527,61.885314898794576,49.39579790944131,47.71556859641386,55.75260417163527,61.885314898794576,49.39579790944131,47.71556859641386,55.75260417163527,35.40750454899684,52.326014257098265,47.53374468844521,61.307588338118215,22.525991106419873,58.07264293917443,8.059164883360111,63.99987097640396,41.645372956352745,60.70530376011687,60.16100534794935,63.9987050883261,49.874541397168706,36.35446886749675,58.18369501418402,53.987484960390674,53.987485494713596,50.08687594583091,21.368168230137485,59.15738497666581,13.793429517048594,20.140702224735584,13.253033113111755,24.39645505679382,20.140702224735584,13.253033113111755,29.226120422761163,52.286992298339435,20.140702224735584,33.91644981318832,57.974906521894276,57.974906521894276,41.7344587516701,57.974906521894276,57.974906521894276
Oversampling used pred4,52.12024158358846,63.99997105438397,15.127912831005453,63.98609657690308,63.905246127978856,64.0,63.999998301873326,63.990958950299465,63.98262323632745,63.98234583528709,63.99992367653504,63.990958950299465,63.98262323632745,63.98234583528709,63.99992367653504,63.990958950299465,63.98262323632745,63.98234583528709,58.5423443341889,63.552345091206995,62.77929943857977,63.88958280197831,41.84916794719875,63.97699158179277,15.103483850826706,63.99999965961926,,,,,63.280639758453134,58.18369501418402,63.90217369534777,63.7549003667483,63.75490040598671,63.34238133488474,32.91774479565581,63.6335448880729,29.938355647871965,38.763320332786925,28.769513355399937,43.474152033528256,38.763320332786925,28.769513355399937,53.01304549566651,63.54796958273778,38.763320332786925,56.42332854382121,63.870127576126485,63.870127576126485,60.379758232907335,63.870127576126485,63.870127576126485
Oversampling used pred5,,,25.03771406568628,63.99885295818649,63.99906742835493,64.0,,,,,,,,,,,,,63.63611830440243,63.99393090107509,63.9605218860177,63.99955501068814,,,,,,,,,63.98747223329228,63.418137707761495,63.99909809594756,63.99985311887934,63.999853118934205,63.99853075874231,,,44.10118276499073,52.41958993508724,42.56796294610905,56.47630783292846,52.41958993508724,42.56796294610905,61.78597959011312,63.99381973057478,52.24015608511013,62.79333707469299,63.998082669714975,63.998082669714975,63.75727618036508,63.998082669714975,63.998082669714975
Oversampling used pred6,,,41.176983013943214,63.999960286706276,63.99999999999119,64.0,,,,,,,,,,,,,63.82612757572022,63.99999188027833,63.99979879083689,63.99999990791162,,,,,,,,,63.99999995788093,63.9995582799541,63.99999999999436,63.99999999994724,63.99999999994724,63.9999999926654,,,58.86690658208014,63.272709768353664,58.77008970317321,63.729567950817774,63.272709768353664,58.77008970317321,63.98420626679417,63.99999999998461,63.24282501335501,63.99389604763047,63.9999999999978,63.99999999988281,63.99961759627412,63.9999999999978,63.99999999988281
Oversampling used pred7,,,53.43510656285972,63.999955079713835,64.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,63.99999999999994,63.99999999323909,64.0,,,,,,62.85932943940963,63.97504912543709,62.84775522809733,63.9969122328735,63.97504912543709,62.84775522809733,63.99999170474275,64.0,63.973223918119935,63.99999611808191,64.0,64.0,63.99999998916757,64.0,64.0
Oversampling used pred8,,,57.80754037519867,63.999990462371784,64.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,64.0,63.99999999977984,64.0,,,,,,63.78267228390729,63.999880067557704,63.78293208511006,63.999961059480675,63.999880067557704,63.78293208511006,63.999999997013234,64.0,63.999864964713275,63.9999999970098,64.0,64.0,63.99999999999986,64.0,64.0
Oversampling used pred9,,,61.205195242355856,63.99999927155251,64.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,64.0,64.0,64.0,,,,,,63.95594680292162,63.999999886165604,63.95687989506493,63.99999997958743,63.999999886165604,63.95687989506493,63.99999999920335,64.0,63.999934666125846,63.99999999999999,64.0,64.0,64.0,64.0,64.0
Oversampling used pred10,,,62.53737445206486,63.99999999841434,64.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,64.0,64.0,64.0,,,,,,63.99458988800526,63.99999999707974,63.994835620584155,63.99999999999993,63.99999999707974,63.994835620584155,,,,64.0,64.0,64.0,64.0,64.0,64.0
Oversampling used pred11,,,63.68918863515699,63.99999998322617,64.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,64.0,64.0,64.0,,,,,,63.99973680750494,63.99999999999999,63.99975714318731,64.0,63.99999999999999,63.99975714318731,,,,64.0,64.0,64.0,64.0,64.0,64.0
Oversampling used bw0,1.7960575574507942,46.81433950344457,2.201325580176295,58.362347187563614,16.098584376477504,63.99999934891483,6.041426070709548,3.1160654966233423,2.8916765174625922,3.3462114099751545,4.729033278064655,3.1160654966233423,2.8916765174625922,3.3462114099751545,4.729033278064655,3.1160654966233423,2.8916765174625922,3.3462114099751545,6.032877832334961,11.026253048548313,12.86428603221487,48.79377073058336,9.920590069491318,13.860188830254145,2.7910234824365503,63.7925353122085,12.998090851612211,14.019584298833742,13.378592131776813,59.707651089820196,9.89248002073623,5.744166508889755,17.850675871033275,12.33364395950342,12.333644277690105,12.169799941027925,3.9765756207435032,14.562827405644505,4.451412764134702,4.243528191332729,6.150280049972956,4.813671453107169,4.243528191332729,6.150280049972956,5.452706694813642,12.43735924974142,6.055431964048488,5.688205035111729,15.658200831468392,15.658200831468392,7.267651031338218,15.658200831468392,15.658200831468392
Oversampling used bw1,3.538719559737558,53.69363955893707,3.236851488519136,61.60688791899871,30.334506203946212,63.99999999994644,22.624560573319833,6.077394285793652,5.649881871420007,7.694307633094638,12.286800200807633,6.077394285793652,5.649881871420007,7.694307633094638,12.286800200807633,6.077394285793652,5.649881871420007,7.694307633094638,11.677594777962874,22.175988993548735,18.420196352616543,52.986786635015115,10.749131491700723,28.695429856985392,4.1651151295086635,63.982878060557084,17.97564617899493,28.64202518997749,27.544016299580335,63.151593391234094,20.134795574502547,12.116457769538997,28.127940621937014,23.750957382415862,23.75095791943408,20.49407026576867,5.905077832968047,27.19331206449911,4.904537601691111,6.242046449723247,6.091830660572988,8.07921233273256,6.242046449723247,6.091830660572988,10.24249515304382,22.1410256645309,6.242046449723247,10.94425900087316,30.050443720835588,30.050443720835588,15.129133948524107,30.050443720835588,30.050443720835588
Oversampling used bw2,6.878946488020674,62.34029585092021,4.225139124837618,63.08218253022994,43.18080800549711,63.99999999999999,56.77088832603109,17.371183400777866,16.27012344222308,25.655840455326057,36.71527942092143,17.371183400777866,16.27012344222308,25.655840455326057,36.71527942092143,17.371183400777866,16.27012344222308,25.655840455326057,19.762873469429657,35.071997742817786,30.035145800151234,57.03448845655072,13.57836697784115,41.771510157271294,5.4923544561005215,63.99876659183889,24.733069011965704,40.192778373944535,38.94793082907442,63.712120950519974,31.301199464199023,19.929781300483256,41.957602258972315,36.814735831966416,36.81473650157112,32.35673078997017,9.82670098524197,41.211086739816494,6.681011663466926,10.515483450698298,6.3463051974318105,13.203520079000818,10.515483450698298,6.3463051974318105,16.287885453265943,33.912572248247116,10.515483450698298,18.37926229423796,42.75380846874542,42.75380846874542,24.25427233811947,42.75380846874542,42.75380846874542
Oversampling used bw3,21.993454584079686,63.95695909589887,6.260171166861667,63.832822219705946,58.37920365695244,64.0,63.989577226771424,49.39579790944131,47.71556859641386,55.75260417163527,61.885314898794576,49.39579790944131,47.71556859641386,55.75260417163527,61.885314898794576,49.39579790944131,47.71556859641386,55.75260417163527,35.40750454899684,52.326014257098265,47.53374468844521,61.307588338118215,22.525991106419873,58.07264293917443,8.059164883360111,63.99987097640396,41.645372956352745,60.70530376011687,60.16100534794935,63.9987050883261,49.874541397168706,36.35446886749675,58.18369501418402,53.987484960390674,53.987485494713596,50.08687594583091,21.368168230137485,59.15738497666581,13.793429517048594,20.140702224735584,13.253033113111755,24.39645505679382,20.140702224735584,13.253033113111755,29.226120422761163,52.286992298339435,20.140702224735584,33.91644981318832,57.974906521894276,57.974906521894276,41.7344587516701,57.974906521894276,57.974906521894276
Oversampling used bw4,52.12024158358846,63.99997105438397,15.127912831005453,63.98609657690308,63.905246127978856,64.0,63.999998301873326,63.990958950299465,63.98262323632745,63.98234583528709,63.99992367653504,63.990958950299465,63.98262323632745,63.98234583528709,63.99992367653504,63.990958950299465,63.98262323632745,63.98234583528709,58.5423443341889,63.552345091206995,62.77929943857977,63.88958280197831,41.84916794719875,63.97699158179277,15.103483850826706,63.99999965961926,,,,,63.280639758453134,58.18369501418402,63.90217369534777,63.7549003667483,63.75490040598671,63.34238133488474,32.91774479565581,63.6335448880729,29.938355647871965,38.763320332786925,28.769513355399937,43.474152033528256,38.763320332786925,28.769513355399937,53.01304549566651,63.54796958273778,38.763320332786925,56.42332854382121,63.870127576126485,63.870127576126485,60.379758232907335,63.870127576126485,63.870127576126485
Oversampling used bw5,,,25.03771406568628,63.99885295818649,63.99906742835493,64.0,,,,,,,,,,,,,63.63611830440243,63.99393090107509,63.9605218860177,63.99955501068814,,,,,,,,,63.98747223329228,63.418137707761495,63.99909809594756,63.99985311887934,63.999853118934205,63.99853075874231,,,44.10118276499073,52.41958993508724,42.56796294610905,56.47630783292846,52.41958993508724,42.56796294610905,61.78597959011312,63.99381973057478,52.24015608511013,62.79333707469299,63.998082669714975,63.998082669714975,63.75727618036508,63.998082669714975,63.998082669714975
Oversampling used bw6,,,41.176983013943214,63.999960286706276,63.99999999999119,64.0,,,,,,,,,,,,,63.82612757572022,63.99999188027833,63.99979879083689,63.99999990791162,,,,,,,,,63.99999995788093,63.9995582799541,63.99999999999436,63.99999999994724,63.99999999994724,63.9999999926654,,,58.86690658208014,63.272709768353664,58.77008970317321,63.729567950817774,63.272709768353664,58.77008970317321,63.98420626679417,63.99999999998461,63.24282501335501,63.99389604763047,63.9999999999978,63.99999999988281,63.99961759627412,63.9999999999978,63.99999999988281
Oversampling used bw7,,,53.43510656285972,63.999955079713835,64.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,63.99999999999994,63.99999999323909,64.0,,,,,,62.85932943940963,63.97504912543709,62.84775522809733,63.9969122328735,63.97504912543709,62.84775522809733,63.99999170474275,64.0,63.973223918119935,63.99999611808191,64.0,64.0,63.99999998916757,64.0,64.0
Oversampling used bw8,,,57.80754037519867,63.999990462371784,64.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,64.0,63.99999999977984,64.0,,,,,,63.78267228390729,63.999880067557704,63.78293208511006,63.999961059480675,63.999880067557704,63.78293208511006,63.999999997013234,64.0,63.999864964713275,63.9999999970098,64.0,64.0,63.99999999999986,64.0,64.0
Oversampling used bw9,,,61.205195242355856,63.99999927155251,64.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,64.0,64.0,64.0,,,,,,63.95594680292162,63.999999886165604,63.95687989506493,63.99999997958743,63.999999886165604,63.95687989506493,63.99999999920335,64.0,63.999934666125846,63.99999999999999,64.0,64.0,64.0,64.0,64.0
Oversampling used bw10,,,62.53737445206486,63.99999999841434,64.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,64.0,64.0,64.0,,,,,,63.99458988800526,63.99999999707974,63.994835620584155,63.99999999999993,63.99999999707974,63.994835620584155,,,,64.0,64.0,64.0,64.0,64.0,64.0
Oversampling used bw11,,,63.68918863515699,63.99999998322617,64.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,64.0,64.0,64.0,,,,,,63.99973680750494,63.99999999999999,63.99975714318731,64.0,63.99999999999999,63.99975714318731,,,,64.0,64.0,64.0,64.0,64.0,64.0
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
