,hpso01 (Ingest) [],hpso01 (RCAL) [],hpso01 (FastImg) [],hpso01 (ICAL) [],hpso01 (DPrepA) [],hpso01 (DPrepB) [],hpso01 (DPrepC) [],hpso01 (DPrepD) [],hpso02a (Ingest) [],hpso02a (RCAL) [],hpso02a (FastImg) [],hpso02a (ICAL) [],hpso02a (DPrepA) [],hpso02a (DPrepB) [],hpso02a (DPrepC) [],hpso02a (DPrepD) [],hpso02b (Ingest) [],hpso02b (RCAL) [],hpso02b (FastImg) [],hpso02b (ICAL) [],hpso02b (DPrepA) [],hpso02b (DPrepB) [],hpso02b (DPrepC) [],hpso02b (DPrepD) [],hpso04a (Ingest) [],hpso04a (RCAL) [],hpso04a (FastImg) [],hpso04b (Ingest) [],hpso04b (RCAL) [],hpso04b (FastImg) [],hpso04c (Ingest) [],hpso04c (RCAL) [],hpso04c (FastImg) [],hpso05a (Ingest) [],hpso05a (RCAL) [],hpso05a (FastImg) [],hpso05b (Ingest) [],hpso05b (RCAL) [],hpso05b (FastImg) [],hpso13 (Ingest) [] [Bmax=40000],hpso13 (RCAL) [] [Bmax=40000],hpso13 (FastImg) [] [Bmax=40000],hpso13 (ICAL) [] [Bmax=40000],hpso13 (DPrepA) [] [Bmax=40000],hpso13 (DPrepB) [] [Bmax=40000],hpso13 (DPrepC) [] [Bmax=40000],hpso14 (Ingest) [] [Bmax=25000],hpso14 (RCAL) [] [Bmax=25000],hpso14 (FastImg) [] [Bmax=25000],hpso14 (ICAL) [] [Bmax=25000],hpso14 (DPrepA) [] [Bmax=25000],hpso14 (DPrepB) [] [Bmax=25000],hpso14 (DPrepC) [] [Bmax=25000],hpso15 (Ingest) [] [Bmax=15000],hpso15 (RCAL) [] [Bmax=15000],hpso15 (FastImg) [] [Bmax=15000],hpso15 (ICAL) [] [Bmax=15000],hpso15 (DPrepA) [] [Bmax=15000],hpso15 (DPrepB) [] [Bmax=15000],hpso15 (DPrepC) [] [Bmax=15000],hpso18 (Ingest) [],hpso18 (RCAL) [],hpso22 (Ingest) [],hpso22 (RCAL) [],hpso22 (FastImg) [],hpso22 (ICAL) [],hpso22 (DPrepA) [],hpso22 (DPrepB) [],hpso27and33 (Ingest) [] [Bmax=50000],hpso27and33 (RCAL) [] [Bmax=50000],hpso27and33 (FastImg) [] [Bmax=50000],hpso27and33 (ICAL) [] [Bmax=50000],hpso27and33 (DPrepA) [] [Bmax=50000],hpso27and33 (DPrepB) [] [Bmax=50000],hpso32 (Ingest) [] [Bmax=20000],hpso32 (RCAL) [] [Bmax=20000],hpso32 (FastImg) [] [Bmax=20000],hpso32 (ICAL) [] [Bmax=20000],hpso32 (DPrepB) [] [Bmax=20000],hpso37a (Ingest) [],hpso37a (RCAL) [],hpso37a (FastImg) [],hpso37a (ICAL) [],hpso37a (DPrepA) [],hpso37a (DPrepB) [],hpso37b (Ingest) [],hpso37b (RCAL) [],hpso37b (FastImg) [],hpso37b (ICAL) [],hpso37b (DPrepA) [],hpso37b (DPrepB) [],hpso37c (Ingest) [] [Bmax=95000],hpso37c (RCAL) [] [Bmax=95000],hpso37c (FastImg) [] [Bmax=95000],hpso37c (ICAL) [] [Bmax=95000],hpso37c (DPrepA) [] [Bmax=95000],hpso37c (DPrepB) [] [Bmax=95000],hpso38a (Ingest) [],hpso38a (RCAL) [],hpso38a (FastImg) [],hpso38a (ICAL) [],hpso38a (DPrepA) [],hpso38a (DPrepB) [],hpso38b (Ingest) [],hpso38b (RCAL) [],hpso38b (FastImg) [],hpso38b (ICAL) [],hpso38b (DPrepA) [],hpso38b (DPrepB) [],max_low (Ingest) [],max_low (RCAL) [],max_low (FastImg) [],max_low (ICAL) [],max_low (DPrepA) [],max_low (DPrepA_Image) [],max_low (DPrepB) [],max_low (DPrepC) [],max_low (DPrepD) [],max_mid_band1 (Ingest) [],max_mid_band1 (RCAL) [],max_mid_band1 (FastImg) [],max_mid_band1 (ICAL) [],max_mid_band1 (DPrepA) [],max_mid_band1 (DPrepA_Image) [],max_mid_band1 (DPrepB) [],max_mid_band1 (DPrepC) [],max_mid_band1 (DPrepD) [],max_mid_band2 (Ingest) [],max_mid_band2 (RCAL) [],max_mid_band2 (FastImg) [],max_mid_band2 (ICAL) [],max_mid_band2 (DPrepA) [],max_mid_band2 (DPrepA_Image) [],max_mid_band2 (DPrepB) [],max_mid_band2 (DPrepC) [],max_mid_band2 (DPrepD) [],max_mid_band5a_1 (Ingest) [],max_mid_band5a_1 (RCAL) [],max_mid_band5a_1 (FastImg) [],max_mid_band5a_1 (ICAL) [],max_mid_band5a_1 (DPrepA) [],max_mid_band5a_1 (DPrepA_Image) [],max_mid_band5a_1 (DPrepB) [],max_mid_band5a_1 (DPrepC) [],max_mid_band5a_1 (DPrepD) [],max_mid_band5a_2 (Ingest) [],max_mid_band5a_2 (RCAL) [],max_mid_band5a_2 (FastImg) [],max_mid_band5a_2 (ICAL) [],max_mid_band5a_2 (DPrepA) [],max_mid_band5a_2 (DPrepA_Image) [],max_mid_band5a_2 (DPrepB) [],max_mid_band5a_2 (DPrepC) [],max_mid_band5a_2 (DPrepD) [],max_mid_band5b_1 (Ingest) [],max_mid_band5b_1 (RCAL) [],max_mid_band5b_1 (FastImg) [],max_mid_band5b_1 (ICAL) [],max_mid_band5b_1 (DPrepA) [],max_mid_band5b_1 (DPrepA_Image) [],max_mid_band5b_1 (DPrepB) [],max_mid_band5b_1 (DPrepC) [],max_mid_band5b_1 (DPrepD) [],max_mid_band5b_2 (Ingest) [],max_mid_band5b_2 (RCAL) [],max_mid_band5b_2 (FastImg) [],max_mid_band5b_2 (ICAL) [],max_mid_band5b_2 (DPrepA) [],max_mid_band5b_2 (DPrepA_Image) [],max_mid_band5b_2 (DPrepB) [],max_mid_band5b_2 (DPrepC) [],max_mid_band5b_2 (DPrepD) []
Frequencies backward grid8,,,,,,,,,,,,,,,,,,,,,,,,,,,,65536.0,6926.601966421829,19378.934472076984,65536.0,3976.416293492524,11125.040568682096,,,,65536.0,11343.777690213876,31737.113814226475,,,,,,,,,,,,,,,,,,,,,,65536.0,6926.601966421829,65536.0,10428.4232721203,20840.28737677641,10428.4232721203,16093.135665209433,16093.135665209433,,,,,,,,,,,,65536.0,10058.192057312433,28140.374305718356,11734.513181907203,8692.300770509128,6519.291904838624,65536.0,10058.192057312433,28140.374305718356,10058.192057312433,8692.300770509128,6519.291904838624,65536.0,14081.36275621053,28140.374305718356,14081.36275621053,21730.353960832246,8692.300770509128,65536.0,11760.88633545867,23503.100340898683,9800.776277769013,18149.39318963302,18149.39318963302,65536.0,11760.88633545867,23503.100340898683,11760.88633545867,18149.39318963302,18149.39318963302,,,,,,,,,,65536.0,16272.739405947037,58534.493049076,16272.739405947037,18080.76052947859,18080.76052947859,13560.707720387763,65536.0,,65536.0,11343.777690213876,31737.113814226475,11343.777690213876,9803.306538131448,9803.306538131448,7352.556977594775,65536.0,,65536.0,9369.492806415708,22468.844305677696,9369.492806415708,17350.727738383684,10410.523449761204,10410.523449761204,65536.0,,65536.0,8831.230287258184,17648.435103629192,8831.230287258184,13628.347200527185,13628.347200527185,13628.347200527185,65536.0,,65536.0,6979.91789160953,13948.756496420494,6979.91789160953,10771.406717543246,6462.896688077755,10771.406717543246,65536.0,,65536.0,5622.550833767074,8988.973224644848,5622.550833767074,6941.400006915847,6941.400006915847,6941.400006915847,65536.0,
Frequencies backward grid9,,,,,,,,,,,,,,,,,,,,,,,,,,,,65536.0,8465.804683062097,23685.322189586972,65536.0,4860.040457849356,13597.247905129394,,,,65536.0,13864.548666143593,38789.737261594215,,,,,,,,,,,,,,,,,,,,,,65536.0,8465.804683062097,65536.0,12745.80561478502,25471.417297786524,12745.80561478502,19669.342983940514,19669.342983940514,,,,,,,,,,,,65536.0,12293.286890062791,34393.73186010254,14342.123819976441,10623.864206351685,7967.9644820068215,65536.0,12293.286890062791,34393.73186010254,12293.286890062791,10623.864206351685,7967.9644820068215,65536.0,14863.645947578823,29703.713694444137,14863.645947578823,22937.581107860868,9175.19162948914,65536.0,14374.366412224357,28725.96130741471,11978.676341888648,22182.5414561377,22182.5414561377,65536.0,14374.366412224357,28725.96130741471,14374.366412224357,22182.5414561377,22182.5414561377,,,,,,,,,,65536.0,19888.781652859445,65536.0,19888.781652859445,22098.585247986757,22098.585247986757,16574.07625990824,65536.0,,65536.0,13864.548666143593,38789.737261594215,13864.548666143593,11981.750591556696,11981.750591556696,8986.39001802265,65536.0,,65536.0,11451.55409312558,27461.872591764837,11451.55409312558,21206.396787594203,12723.924879435377,12723.924879435377,65536.0,,65536.0,10793.687206394625,21570.270870563025,10793.687206394625,16656.83010023241,16656.83010023241,16656.83010023241,65536.0,,65536.0,8530.981502249522,17048.45090799035,8530.981502249522,13165.023400438648,7899.0666979190055,13165.023400438648,65536.0,,65536.0,6871.986892542499,10986.503148049804,6871.986892542499,8483.913659718617,8483.913659718617,8483.913659718617,65536.0,
Frequencies backward grid10,,,,,,,,,,,,,,,,,,,,,,,,,,,,65536.0,10005.007399588114,27991.709906601147,65536.0,5743.6646221473065,16069.455241568343,,,,65536.0,16385.319641927366,45842.360708727,,,,,,,,,,,,,,,,,,,,,,65536.0,10005.007399588114,65536.0,15063.187957426973,30102.547218842086,15063.187957426973,23245.550302517167,23245.550302517167,,,,,,,,,,,,65536.0,14528.381722726019,40647.08941377327,16949.734457906787,12555.427642058461,9416.637058985098,65536.0,14528.381722726019,40647.08941377327,14528.381722726019,12555.427642058461,9416.637058985098,,,,,,,65536.0,16987.846488913263,33948.822273950515,14156.576405879654,26215.689722525978,26215.689722525978,65536.0,16987.846488913263,33948.822273950515,16987.846488913263,26215.689722525978,26215.689722525978,,,,,,,,,,65536.0,23504.823899465737,65536.0,23504.823899465737,26116.409966266117,26116.409966266117,19587.444798963337,65536.0,,65536.0,16385.319641927366,45842.360708727,16385.319641927366,14160.194644853267,14160.194644853267,10620.22305818207,65536.0,,65536.0,13533.615379753917,32454.900877828833,13533.615379753917,25062.065836560167,15037.326308886926,15037.326308886926,65536.0,,65536.0,12756.144125484823,25492.106637455006,12756.144125484823,19685.312999888833,19685.312999888833,19685.312999888833,65536.0,,65536.0,10082.04511280974,20148.145319474246,10082.04511280974,15558.640083399476,9335.236707718514,15558.640083399476,65536.0,,65536.0,8121.422951328106,12984.033071312198,8121.422951328106,10026.427312422024,10026.427312422024,10026.427312422024,65536.0,
Frequencies backward grid11,,,,,,,,,,,,,,,,,,,,,,,,,,,,65536.0,11544.210115994983,32298.097624004156,65536.0,6627.288786413514,18541.66257792626,,,,65536.0,18906.090617660288,52894.984155741186,,,,,,,,,,,,,,,,,,,,,,65536.0,11544.210115994983,65536.0,17380.570299965282,34733.67714029252,17380.570299965282,26821.757621142282,26821.757621142282,,,,,,,,,,,,65536.0,16763.476555282203,46900.44696803782,19557.345095862493,14486.991077609053,10865.309635809857,65536.0,16763.476555282203,46900.44696803782,16763.476555282203,14486.991077609053,10865.309635809857,,,,,,,65536.0,19601.326565676056,39171.683240260994,16334.476469786141,30248.837988860792,30248.837988860792,65536.0,19601.326565676056,39171.683240260994,19601.326565676056,30248.837988860792,30248.837988860792,,,,,,,,,,65536.0,27120.86614583087,65536.0,27120.86614583087,30134.234684264968,30134.234684264968,22600.813337856664,65536.0,,65536.0,18906.090617660288,52894.984155741186,18906.090617660288,16338.63869792686,16338.63869792686,12254.056098219922,65536.0,,65536.0,15615.676666319912,37447.92916390444,15615.676666319912,28917.734885444417,17350.727738383684,17350.727738383684,65536.0,,65536.0,14718.601044502839,29413.942404538575,14718.601044502839,22713.79589957005,22713.79589957005,22713.79589957005,65536.0,,65536.0,11633.108723404564,23247.839731027292,11633.108723404564,17952.256766271028,10771.406717543246,17952.256766271028,65536.0,,65536.0,9370.859010063861,14981.56299476489,9370.859010063861,11568.940965195548,11568.940965195548,11568.940965195548,65536.0,
Frequencies backward fft,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,65536,40,40,65536,40,40,65536,40,40,65536,40,40,65536,40,40,40,200,500,3200,65536,40,40,40,200,100,5000,65536,40,40,40,200,300,2500,65536,40,65536,40,40,40,200,500,65536,40,40,40,200,500,65536,40,40,40,700,65536,40,40,40,200,700,65536,40,40,40,200,700,65536,40,40,40,200,700,65536,40,40,40,200,1000,65536,40,40,40,200,1000,65536,40,40,40,200,40,500,65536,16384,65536,40,40,40,200,40,500,65536,16384,65536,40,40,40,200,40,500,65536,16384,65536,40,40,40,200,40,500,65536,16384,65536,40,40,40,200,40,500,65536,16384,65536,40,40,40,200,40,500,65536,16384,65536,40,40,40,200,40,500,65536,16384
Channels out,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,65536,40,40,65536,40,40,65536,40,40,65536,40,40,65536,40,40,40,40,500,3200,65536,40,40,40,40,100,5000,65536,40,40,40,40,300,2500,65536,40,65536,40,40,40,40,500,65536,40,40,40,40,500,65536,40,40,40,700,65536,40,40,40,40,700,65536,40,40,40,40,700,65536,40,40,40,40,700,65536,40,40,40,40,1000,65536,40,40,40,40,1000,65536,40,40,40,40,40,500,65536,16384,65536,40,40,40,40,40,500,65536,16384,65536,40,40,40,40,40,500,65536,16384,65536,40,40,40,40,40,500,65536,16384,65536,40,40,40,40,40,500,65536,16384,65536,40,40,40,40,40,500,65536,16384,65536,40,40,40,40,40,500,65536,16384
-- Visibility --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingest rate [M/s],4781.50656,4781.50656,4781.50656,4781.50656,4781.50656,4781.50656,4781.50656,4781.50656,4781.50656,4781.50656,4781.50656,4781.50656,4781.50656,4781.50656,4781.50656,4781.50656,4781.50656,4781.50656,4781.50656,4781.50656,4781.50656,4781.50656,4781.50656,4781.50656,9563.01312,9563.01312,9563.01312,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9563.01312,9563.01312,9563.01312,9129.632914285712,9129.632914285712,9129.632914285712,2441.3239699285355,2441.3239699285355,3161.474567071484,2441.3239699285355,2441.3239699285355,2441.3239699285355,4449.029559887131,2314.1447320721436,2314.1447320721436,2996.779536467132,2314.1447320721436,2314.1447320721436,2314.1447320721436,3914.422765075569,1255.1411798048382,1255.1411798048382,1625.3872762955134,1255.1411798048382,1255.1411798048382,1255.1411798048382,2095.419802249483,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,5244.446672263617,5244.446672263617,6791.472568554453,5244.446672263617,5244.446672263617,5244.446672263617,1826.1036891455058,1826.1036891455058,2364.7743770106536,1826.1036891455058,1826.1036891455058,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9020.41697147045,9020.41697147045,9020.41697147045,9020.41697147045,9020.41697147045,9020.41697147045,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712
Averaged rate0 [M/s],2217.700691190626,1937.002935472594,1394.4046147000383,1937.002935472594,717.4380305476845,717.4380305476845,1394.4046147000383,1394.4046147000383,2217.700691190626,1937.002935472594,1394.4046147000383,1291.3509271331402,717.4380305476845,717.4380305476845,1394.4046147000383,1394.4046147000383,2217.700691190626,1937.002935472594,1394.4046147000383,1291.3509271331402,717.4380305476845,717.4380305476845,1394.4046147000383,1394.4046147000383,4435.401382381252,1186.9553158475626,854.4622722346373,5546.25011981764,5546.25011981764,2733.357663223494,5546.25011981764,3271.646483398732,1569.1634871588403,4435.401382381252,1186.9553158475626,854.4622722346373,5546.25011981764,5546.25011981764,4476.452823051936,1705.8751727472425,362.1476728783512,224.93419402982747,362.1476728783512,134.1311834283348,134.1311834283348,445.4550661044368,1737.521108151617,177.91677139935055,110.5069297877273,118.61216693335561,65.89696295158163,65.89696295158163,224.23188829981046,1021.4496317487954,50.239969200445316,31.205236618535693,33.49378640237653,18.608290571709816,18.608290571709816,65.05122802317622,5546.25011981764,5546.25011981764,5546.25011981764,5546.25011981764,2939.4784698647254,5546.25011981764,2269.9001528927624,2269.9001528927624,3549.092420582854,1765.1989898441175,1096.3830071295547,653.786450108778,653.786450108778,653.786450108778,1426.2814261640567,590.2402899975607,366.6090526681193,218.61504167712022,218.61504167712022,5546.25011981764,5546.25011981764,3969.140771728219,5517.0134245684485,3065.0174373028444,3065.0174373028444,5546.25011981764,5546.25011981764,3969.140771728219,5546.25011981764,3065.0174373028444,3065.0174373028444,5546.25011981764,5241.163876029756,2513.797388257441,5241.163876029756,1941.185943112185,1941.185943112185,5546.25011981764,5546.25011981764,3315.0627573357574,4607.860041074792,2559.9307452402277,2559.9307452402277,5546.25011981764,5546.25011981764,3315.0627573357574,5546.25011981764,2559.9307452402277,2559.9307452402277,4435.401382381252,2719.917605192887,1958.007175843239,2719.917605192887,1007.4183497319086,1007.4183497319086,1007.4183497319086,4435.401382381252,1958.007175843239,5546.25011981764,5546.25011981764,5546.25011981764,5546.25011981764,5546.25011981764,5546.25011981764,5546.25011981764,5546.25011981764,5546.25011981764,5546.25011981764,5546.25011981764,4476.452823051936,5546.25011981764,3456.769977138583,3456.769977138583,3456.769977138583,5546.25011981764,5546.25011981764,5546.25011981764,5546.25011981764,3169.1830690342326,5546.25011981764,2447.280739948286,2447.280739948286,2447.280739948286,5546.25011981764,4459.86997791722,5546.25011981764,5190.042414829721,2489.27431618471,5190.042414829721,1922.2472111435516,1922.2472111435516,1922.2472111435516,5546.25011981764,3503.0602978910547,5546.25011981764,4102.044153142974,1967.442838954337,4102.044153142974,1519.2826269672812,1519.2826269672812,1519.2826269672812,5546.25011981764,2768.7070756349267,5546.25011981764,2643.47249583011,1267.875603557896,2643.47249583011,979.068606786789,979.068606786789,979.068606786789,5546.25011981764,1784.2327268061103
Averaged rate1 [M/s],623.8637460220513,544.9003610721109,392.26144891994613,544.9003610721109,201.82325732868185,201.82325732868185,392.26144891994613,392.26144891994613,623.8637460220513,544.9003610721109,392.26144891994613,363.2713061913731,201.82325732868185,201.82325732868185,392.26144891994613,392.26144891994613,623.8637460220513,544.9003610721109,392.26144891994613,363.2713061913731,201.82325732868185,201.82325732868185,392.26144891994613,392.26144891994613,1247.7274920441025,333.9036654706966,240.36969285725573,466.83084553976045,466.83084553976045,230.0681796743712,466.83084553976045,275.37623820730823,132.0773318323708,1247.7274920441025,333.9036654706966,240.36969285725573,466.83084553976045,466.83084553976045,376.78543362788224,143.58442768986848,30.482163748074175,18.93283168289596,30.482163748074175,11.289893607459065,11.289893607459065,37.494191691149624,146.2480830360155,14.975350017354428,9.301427515227873,9.98364967042313,5.5465826943629795,5.5465826943629795,18.873718233143705,85.97596303162139,4.228725137716394,2.626561493115333,2.819189955151838,1.566269792016966,1.566269792016966,5.4753967321000685,466.83084553976045,466.83084553976045,466.83084553976045,466.83084553976045,247.4174784562349,466.83084553976045,191.05871260284985,191.05871260284985,298.72901145935435,148.57774517423948,92.28314540393357,55.029555954601356,55.029555954601356,55.029555954601356,120.05087216941355,49.68084159541195,30.857680476410962,18.400945242115338,18.400945242115338,466.83084553976045,466.83084553976045,334.08470633364544,464.36997722889953,257.9841606381147,257.9841606381147,466.83084553976045,466.83084553976045,334.08470633364544,466.83084553976045,257.9841606381147,257.9841606381147,466.83084553976045,441.15157286485083,211.5876736396533,441.15157286485083,163.39066136504402,163.39066136504402,466.83084553976045,466.83084553976045,279.0306092569993,387.84604960703587,215.4707430257433,215.4707430257433,466.83084553976045,466.83084553976045,279.0306092569993,466.83084553976045,215.4707430257433,215.4707430257433,1247.7274920441025,765.1429215797205,550.8090863261681,765.1429215797205,283.3979301046619,283.3979301046619,283.3979301046619,1247.7274920441025,550.8090863261681,466.83084553976045,466.83084553976045,466.83084553976045,466.83084553976045,466.83084553976045,466.83084553976045,466.83084553976045,466.83084553976045,466.83084553976045,466.83084553976045,466.83084553976045,376.78543362788224,466.83084553976045,290.9581819070797,290.9581819070797,290.9581819070797,466.83084553976045,466.83084553976045,466.83084553976045,466.83084553976045,266.7518376968165,466.83084553976045,205.98893169657362,205.98893169657362,205.98893169657362,466.83084553976045,375.38964666399596,466.83084553976045,436.8486520730231,209.52355351819696,436.8486520730231,161.7965781435216,161.7965781435216,161.7965781435216,466.83084553976045,294.8544630178013,466.83084553976045,345.2712551874832,165.60071836255358,345.2712551874832,127.87883309242542,127.87883309242542,127.87883309242542,466.83084553976045,233.04355866537594,466.83084553976045,222.50249695375203,106.71776917042968,222.50249695375203,82.40872944308182,82.40872944308182,82.40872944308182,466.83084553976045,150.17982501697847
Averaged rate2 [M/s],705.6568679616129,616.3408029350477,443.68980764134585,616.3408029350477,228.28376958345376,228.28376958345376,443.68980764134585,443.68980764134585,705.6568679616129,616.3408029350477,443.68980764134585,410.8988441496448,228.28376958345376,228.28376958345376,443.68980764134585,443.68980764134585,705.6568679616129,616.3408029350477,443.68980764134585,410.8988441496448,228.28376958345376,228.28376958345376,443.68980764134585,443.68980764134585,1411.3137359232257,377.6808899048055,271.8839260913722,259.4024961307024,259.4024961307024,127.84129553130781,259.4024961307024,153.01748855833605,73.39101494029703,1411.3137359232257,377.6808899048055,271.8839260913722,259.4024961307024,259.4024961307024,209.36723209828517,79.78512839096004,16.93793252794344,10.5203498104055,16.93793252794344,6.273421327673404,6.273421327673404,20.834285069234724,81.2652337700798,8.321307839976134,5.168496336695912,5.547584676003697,3.0820529741335823,3.0820529741335823,10.487502417035635,47.77400557552503,2.3497630172787134,1.4594935490330019,1.5665308289289201,0.8703244388094157,0.8703244388094157,3.0424972839368163,259.4024961307024,259.4024961307024,259.4024961307024,259.4024961307024,137.48172836288146,259.4024961307024,106.16502193507384,106.16502193507384,165.99385404710523,82.55975014484456,51.278698692017045,30.57810834903785,30.57810834903785,30.57810834903785,66.70830816118682,27.6060042793943,17.146594782376884,10.224798066739032,10.224798066739032,259.4024961307024,259.4024961307024,185.63984700248173,258.0350728154153,143.35328496628068,143.35328496628068,259.4024961307024,259.4024961307024,185.63984700248173,259.4024961307024,143.35328496628068,143.35328496628068,259.4024961307024,245.13337168372934,117.57228815750942,245.13337168372934,90.79079886748582,90.79079886748582,259.4024961307024,259.4024961307024,155.04810196174475,215.51325141373596,119.72998167974406,119.72998167974406,259.4024961307024,259.4024961307024,155.04810196174475,259.4024961307024,119.72998167974406,119.72998167974406,1411.3137359232257,865.4587817094585,623.0242054937153,865.4587817094585,320.55348146066365,320.55348146066365,320.55348146066365,1411.3137359232257,623.0242054937153,259.4024961307024,259.4024961307024,259.4024961307024,259.4024961307024,259.4024961307024,259.4024961307024,259.4024961307024,259.4024961307024,259.4024961307024,259.4024961307024,259.4024961307024,209.36723209828517,259.4024961307024,161.67586049092623,161.67586049092623,161.67586049092623,259.4024961307024,259.4024961307024,259.4024961307024,259.4024961307024,148.2251937872702,259.4024961307024,114.46125201004294,114.46125201004294,114.46125201004294,259.4024961307024,208.59163934138377,259.4024961307024,242.74238058980913,116.42532471896392,242.74238058980913,89.90501942370275,89.90501942370275,89.90501942370275,259.4024961307024,163.84089533257105,259.4024961307024,191.8558430607936,92.01885461235044,191.8558430607936,71.05804773483273,71.05804773483273,71.05804773483273,259.4024961307024,129.49461545345022,259.4024961307024,123.63729529993408,59.29954279756734,123.63729529993408,45.79181158386937,45.79181158386937,45.79181158386937,259.4024961307024,83.44997304716084
Averaged rate3 [M/s],886.5777188481852,774.3622260457315,557.4458570369264,774.3622260457315,286.81263213946795,286.81263213946795,557.4458570369264,557.4458570369264,886.5777188481852,774.3622260457315,557.4458570369264,516.2477352142279,286.81263213946795,286.81263213946795,557.4458570369264,557.4458570369264,886.5777188481852,774.3622260457315,557.4458570369264,516.2477352142279,286.81263213946795,286.81263213946795,557.4458570369264,557.4458570369264,1773.1554376963704,474.5131480000989,341.5912774743801,450.4426016071987,450.4426016071987,221.99156373168515,450.4426016071987,265.70906859310963,127.44071548040685,1773.1554376963704,474.5131480000989,341.5912774743801,450.4426016071987,450.4426016071987,363.55826225408344,138.54385111190447,29.412077784671002,18.26818866087224,29.412077784671002,10.893558334887727,10.893558334887727,36.17794627729241,141.11399799779872,14.449635636214643,8.97489797139632,9.633170502863068,5.351868161131468,5.351868161131468,18.21115040740038,82.95774975809614,4.0802744092720795,2.5343552242616147,2.720221403440485,1.5112853974316027,1.5112853974316027,5.283181204504721,450.4426016071987,450.4426016071987,450.4426016071987,450.4426016071987,238.7318099129921,450.4426016071987,184.35153629371703,184.35153629371703,288.24203538160936,143.36187661257637,89.04351650581502,53.09772605282646,53.09772605282646,53.09772605282646,115.83644847349353,47.93677999661336,29.77441187993301,17.754974261194338,17.754974261194338,450.4426016071987,450.4426016071987,322.3565574466462,448.06812285381795,248.92754538728175,248.92754538728175,450.4426016071987,450.4426016071987,322.3565574466462,450.4426016071987,248.92754538728175,248.92754538728175,450.4426016071987,425.66480789116247,204.1598216845824,425.66480789116247,157.65478071290556,157.65478071290556,450.4426016071987,450.4426016071987,269.23515179559735,374.23059182405353,207.90657469630617,207.90657469630617,450.4426016071987,450.4426016071987,269.23515179559735,450.4426016071987,207.90657469630617,207.90657469630617,1773.1554376963704,1087.3506760609343,782.759162380701,1087.3506760609343,402.73904678796265,402.73904678796265,402.73904678796265,1773.1554376963704,782.759162380701,450.4426016071987,450.4426016071987,450.4426016071987,450.4426016071987,450.4426016071987,450.4426016071987,450.4426016071987,450.4426016071987,450.4426016071987,450.4426016071987,450.4426016071987,363.55826225408344,450.4426016071987,280.74400324938046,280.74400324938046,280.74400324938046,450.4426016071987,450.4426016071987,450.4426016071987,450.4426016071987,257.38743038011484,450.4426016071987,198.75762534159597,198.75762534159597,198.75762534159597,450.4426016071987,362.21147483138134,450.4426016071987,421.5129424895959,202.1681631504006,421.5129424895959,156.11665828517542,156.11665828517542,156.11665828517542,450.4426016071987,284.5035041839796,450.4426016071987,333.15039897805275,159.78725296312155,333.15039897805275,123.38960636168763,123.38960636168763,123.38960636168763,450.4426016071987,224.86249110565925,450.4426016071987,214.69147668694404,102.97140825659227,214.69147668694404,79.51574502872893,79.51574502872893,79.51574502872893,450.4426016071987,144.90771493761554
