,Ingest (Mid5a) [],RCAL (Mid5a) [],FastImg (Mid5a) [],ICAL (Mid5a) [],DPrepA (Mid5a) [],DPrepA_Image (Mid5a) [],DPrepB (Mid5a) [],DPrepC (Mid5a) [],DPrepD (Mid5a) [],PSS (Mid5a) [],PST (Mid5a) [],Pulse (Mid5a) [],Ingest (Mid2) [],RCAL (Mid2) [],FastImg (Mid2) [],ICAL (Mid2) [],DPrepA (Mid2) [],DPrepA_Image (Mid2) [],DPrepB (Mid2) [],DPrepC (Mid2) [],DPrepD (Mid2) [],PSS (Mid2) [],PST (Mid2) [],Pulse (Mid2) [],Ingest (Mid5b) [],RCAL (Mid5b) [],FastImg (Mid5b) [],ICAL (Mid5b) [],DPrepA (Mid5b) [],DPrepA_Image (Mid5b) [],DPrepB (Mid5b) [],DPrepC (Mid5b) [],DPrepD (Mid5b) [],PSS (Mid5b) [],PST (Mid5b) [],Pulse (Mid5b) [],Ingest (Mid1) [],RCAL (Mid1) [],FastImg (Mid1) [],ICAL (Mid1) [],DPrepA (Mid1) [],DPrepA_Image (Mid1) [],DPrepB (Mid1) [],DPrepC (Mid1) [],DPrepD (Mid1) [],PSS (Mid1) [],PST (Mid1) [],Pulse (Mid1) [],Ingest (Low) [],RCAL (Low) [],FastImg (Low) [],ICAL (Low) [],DPrepA (Low) [],DPrepA_Image (Low) [],DPrepB (Low) [],DPrepC (Low) [],DPrepD (Low) [],PSS (Low) [],PST (Low) [],Pulse (Low) []
Visibilities kernel bw0,(undefined),7.427657770298827,23.536651598753153,7.427657770298827,17.361310855338523,17.361310855338523,17.361310855338523,862.0315558195357,(undefined),(undefined),(undefined),(undefined),(undefined),4.830637901336409,23.544081575264908,4.830637901336409,4.2349380228828695,4.2349380228828695,13.192236178285835,338.7225928338752,(undefined),(undefined),(undefined),(undefined),(undefined),7.480417441416208,23.552913890876493,7.480417441416208,17.77102960108353,17.77102960108353,17.77102960108353,875.9416334983714,(undefined),(undefined),(undefined),(undefined),(undefined),3.7603639784512515,25.123690333033164,3.7603639784512515,4.073325943470025,4.073325943470025,4.073325943470025,154.26468154070787,(undefined),(undefined),(undefined),(undefined),(undefined),6.387217536153967,3.256746802059161,6.387217536141359,3.0296232614987155,3.002377053415733,3.114342196091174,88.20843090135372,(undefined),(undefined),(undefined),(undefined)
Visibilities kernel bw1,,16.811713935803706,52.95285285197703,16.811713935803706,38.78267448479159,38.78267448479159,38.78267448479159,1281.834915277811,,,,,,8.081993233303752,52.954826837625184,8.081993233303752,6.215577687752758,6.215577687752758,27.20460843102007,501.4719242088947,,,,,,17.019714862150252,52.990339147654,17.019714862150252,40.38776152637757,40.38776152637757,40.38776152637757,1325.1764115718897,,,,,,5.335347753182275,57.35192568054093,5.335347753182275,5.889193080522007,5.889193080522007,5.889193080522007,208.67500305927905,,,,,,23.651389828428407,9.032263318530303,23.651389828381717,6.055812134152754,6.001350604359457,6.225153965732074,122.51170958521351,,,,
Visibilities kernel bw2,,29.575075375902877,97.07195112079185,29.575075375902877,66.63366024288744,66.63366024288744,66.63366024288744,1689.3142562426058,,,,,,14.013629488675157,97.02297355083472,14.013629488675157,10.696398237467545,10.696398237467545,48.361923514494784,658.085349829932,,,,,,30.12178220264661,97.14387592508056,30.12178220264661,70.69554687832931,70.69554687832931,70.69554687832931,1779.2881124455635,,,,,,8.26062368975612,100.12409794544777,8.26062368975612,9.68319745066633,9.68319745066633,10.182027451486437,269.5290584758852,,,,,,94.59561543568134,35.757542963917274,94.5956154354946,16.81692903594039,16.665689918637295,17.28718958917402,245.02341917042702,,,,
Visibilities kernel bw3,,64.9525367096882,211.73832899405855,64.9525367096882,139.3296283964131,139.3296283964131,139.3296283964131,2466.9372293422184,,,,,,28.896117185504245,211.16183743942264,28.896117185504245,22.797583923678285,22.797583923678285,108.8102219880034,951.508646586353,,,,,,67.06645230780389,211.92393683200993,67.06645230780389,153.55990744394302,153.55990744394302,153.55990744394302,2699.259594722925,,,,,,17.23210866904513,237.97340091936158,17.2321087861555,22.119114703081376,20.659486855770815,23.3566407325815,377.6635604293891,,,,,,567.5438594115259,132.6637537152039,567.5438594104055,67.25817211680706,66.65330147956846,69.13894744514057,490.04683834085404,,,,
Visibilities kernel bw4,,173.14062614155054,646.1941853852023,173.14062614155054,384.7974879428462,350.29102905209277,389.6330048045439,3720.93685922784,,,,,,72.27954673211444,637.1934529355107,72.2795463775634,60.008436304197055,58.0228704547078,317.353566768302,1463.991475674563,,,,,,184.39173499733866,647.2125294326522,184.39173499733866,413.6602909025949,413.6602909025949,413.6602909025949,4362.55635115482,,,,,,47.44689086238167,630.4394104608878,47.44689118483338,62.66625656982168,58.53094580337055,66.17232472478649,535.5798896114953,,,,,,1135.0578848394082,427.89880881598475,1135.0578848371674,269.01359905889433,266.5942881860682,276.5361665651519,980.0936766817081,,,,
Visibilities kernel bw5,,329.1860472152093,1353.4181765915757,329.1860472152093,718.2793465759854,626.4984660984691,727.305527880717,4323.624198681196,,,,,,140.10720508481958,1302.7286174190374,140.10720439755525,117.61273111525273,109.4723099347547,592.3856599678603,1797.4164657467334,,,,,,361.9799824109419,1357.6505583248352,361.9799824109419,759.7130920634048,710.5961815720902,765.418793079849,5352.6017645084285,,,,,,95.48355301245518,1207.5831286371324,95.48355366136671,125.32859721317632,117.058234090043,132.34051443382515,694.005863106662,,,,,,,,,,,,,,,,
Visibilities kernel bw6,,684.5311920976096,2802.410168148784,684.5311920976096,2257.42281021311,1968.9720088375054,2285.790474776419,5140.60808032068,,,,,,357.764664333128,2453.6984671808673,357.76466257819413,308.024285970374,286.70476215824624,1861.7616035221909,2349.4358537325234,,,,,,798.6768216379428,2830.6058040128064,798.6768216379428,2387.641639989043,2121.97686880685,2405.5736323089186,6843.558067909071,,,,,,240.06535632552269,2855.3335139747255,240.0653579570202,306.3500909562959,286.13422202173865,323.48984617648716,907.5681789560384,,,,,,,,,,,,,,,,
Visibilities kernel bw7,,1391.2596580343622,5598.242462820242,1391.2596580615698,4617.43039075795,4027.420628083289,4675.454840531753,8538.817347143437,,,,,,650.4734937748378,4243.124257177047,650.4734905840868,540.0351685710602,502.65729559112094,3808.127830550873,3306.867954547757,,,,,,1523.8338997764972,5731.9408172859585,1523.8338997764972,4883.78564362634,4340.383411990429,4920.464517535504,11866.42515835947,,,,,,467.652896795267,2820.745344723284,467.6528999734622,626.6168792546797,585.266786412693,661.6750047272049,899.744917496644,,,,,,,,,,,,,,,,
Visibilities kernel bw8,,2226.0068064724187,13076.898798118815,2226.0068065159503,5540.902522308824,4832.892589179281,5610.531686778907,7596.730038616788,,,,,,936.6767396968777,8782.577931359487,936.6767351022211,756.0444807499368,703.7157877067968,4569.741899488995,2965.600417801387,,,,,,2314.0995994005375,13594.699977467879,2314.0995994005375,5860.528031291914,5208.446993516437,5904.54256927259,10784.81359634665,,,,,,654.7096355181496,5393.690824261097,654.7096399675927,902.3228236103531,842.7790517060424,952.8062175535251,998.1453197567375,,,,,,,,,,,,,,,,
Visibilities kernel bw9,,2720.665378586855,15214.59693161114,2720.66537864006,13544.397395338958,11813.710407877203,13714.601630134854,6644.41319263157,,,,,,1431.0268365422305,8751.056662846335,1431.026829522651,1386.073622593571,1290.1382338979924,11170.454649393932,3919.1899969773735,,,,,,2642.2659106045126,16246.629914545885,2642.2659106045126,14325.702429753279,12731.730204489999,14433.293276572458,9622.721330386279,,,,,,960.2349054088489,4602.769679923362,960.2349119346587,1378.541143654297,1287.5719946195552,1455.6681250416402,1161.4693150913417,,,,,,,,,,,,,,,,
Visibilities kernel bw10,,4822.985925993106,16875.410956167067,4822.985926087425,16006.989746054085,13961.635637390453,16208.139886705636,5922.877600183004,,,,,,2254.943664597734,8486.727093152927,2254.9436535366162,1638.080524047351,1524.7027862219343,13201.425499666402,3511.0172604510944,,,,,,4387.610945670529,18620.097040003657,4387.610945670529,16930.34879689199,15046.566421919806,17057.501414568767,8697.603239455446,,,,,,1418.5228102264239,3629.730180116793,1418.5228198667837,1629.178757781379,1521.670174593226,1720.328478126302,1550.7107940607202,,,,,,,,,,,,,,,,
Visibilities kernel bw11,,5564.97378410032,18059.356057952995,5564.973784209149,18469.582096573373,16109.560866732887,18701.678143078112,5356.456487625852,,,,,,2601.851547132162,8141.38428803762,2601.851534369366,2520.116567300449,2345.6897846958227,15232.396350200508,6373.22683571756,,,,,,4757.025520666681,20662.655621491038,4757.025520666681,19534.995163776195,17361.402639123426,19681.709552308657,7945.577843192448,,,,,,2182.3359849029766,2945.3123644837424,2182.335999734253,2506.42182918795,2341.0244727340705,2646.6517749233144,1400.9289322884977,,,,,,,,,,,,,,,,
Oversampling used pred0,(undefined),7.065033529395087,19.822328482833335,7.065033529395087,15.310131833821714,15.310131833821714,15.310131833821714,63.99991864575758,(undefined),(undefined),(undefined),(undefined),(undefined),4.688188202773077,19.827497406334565,4.688188202773077,4.1291484808892065,4.1291484808892065,12.006066993846254,63.69131724791079,(undefined),(undefined),(undefined),(undefined),(undefined),7.112319900784975,19.833641129401386,7.112319900784975,15.623286809650644,15.623286809650644,15.623286809650644,63.999934650348074,(undefined),(undefined),(undefined),(undefined),(undefined),3.6800117384404203,20.912788349414015,3.6800117384404203,3.9765756207435032,3.9765756207435032,3.9765756207435032,58.362347187563614,(undefined),(undefined),(undefined),(undefined),(undefined),6.124456599769829,3.1997031010873584,6.124456599758332,2.98184183221764,2.955654359292197,3.063197000563335,48.04543131852054,(undefined),(undefined),(undefined),(undefined)
Oversampling used pred1,,14.88687989341831,36.20203951475038,14.88687989341831,29.252081136611864,29.252081136611864,29.252081136611864,63.999999890562336,,,,,,7.648719238880517,36.202903657367756,7.648719238880517,5.967804743510143,5.967804743510143,22.301915245157232,63.976209662986435,,,,,,15.04749520171287,36.21844513007123,15.04749520171287,30.119412925175546,30.119412925175546,30.119412925175546,63.99999994469863,,,,,,5.157750700324776,38.062637807091136,5.157750700324776,5.668750108414677,5.668750108414677,5.668750108414677,61.60688791899871,,,,,,19.902082745475838,8.485748232622953,19.90208274544341,5.821609290534283,5.771689466403693,5.976555956347475,54.70455079096964,,,,
Oversampling used pred2,,23.829847730942255,50.12401919870679,23.829847730942255,41.5898850823875,41.5898850823875,41.5898850823875,63.99999999982125,,,,,,12.674308090824113,50.113312300487564,12.674308090824113,9.921733024889598,9.921733024889598,34.11782202948941,63.99798044870062,,,,,,24.174217474083505,50.1397275892638,24.174217474083505,42.97852834641787,42.97852834641787,42.97852834641787,63.999999999956664,,,,,,7.807020300725647,50.77521067181199,7.807020300725647,9.051925828356723,9.051925828356723,9.481893252311849,63.08218253022994,,,,,,49.572190436563396,27.55659415594851,49.57219043652096,14.890913351924326,14.773807516061439,15.253263542888853,62.64991600003651,,,,
Oversampling used pred3,,40.98865513614025,61.719596742791396,40.98865513614025,56.86743898099279,56.86743898099279,56.86743898099279,64.0,,,,,,23.39802483010382,61.6987991639544,23.39802483010382,19.305136088082634,19.305136088082634,52.46598073224189,63.999980120365485,,,,,,41.742107789034996,61.72625267123266,41.742107789034996,58.29942615155981,58.29942615155981,58.29942615155981,64.0,,,,,,15.210960621827816,62.4913834832709,15.210960711809243,18.82502110945768,17.774568612270485,19.69691260436403,63.832822219705946,,,,,,63.99159560259678,56.07797438084737,63.99159560259663,41.80920907006125,41.59681584457498,42.45684228751676,63.97151989364129,,,,
Oversampling used pred4,,59.81208625437612,63.99756452536342,59.81208625437612,63.85058761585881,63.74272895110379,63.86154315119449,64.0,,,,,,43.496430766773535,63.9971936396133,43.49643065228989,39.125360080513914,38.335256363566785,63.56782045826913,63.99999999378672,,,,,,60.49210473280351,63.99760327214201,60.49210473280351,63.905162164559236,63.905162164559236,63.905162164559236,64.0,,,,,,33.68409449237635,63.996878687833416,33.68409464632309,40.14503182080609,38.53978964769129,41.426476517467236,63.98609657690308,,,,,,63.99999889582672,63.924212363319526,63.99999889582672,63.07470169716197,63.03876747007861,63.17807586576977,63.99998732630534,,,,
Oversampling used pred5,,63.64129548131008,63.99999996455308,63.64129548131008,63.999217359007254,63.99667883083778,63.99932106420606,64.0,,,,,,56.954248550617805,63.999999921247216,56.95424847435963,53.95900904832656,52.58561880865621,63.994316668875776,63.99999999996742,,,,,,63.78598451247537,63.99999996683871,63.78598451247537,63.99959245120243,63.99911669432922,63.9996274745872,64.0,,,,,,49.77253849332921,63.999999647624016,49.77253863872377,55.10789685194842,53.870942972100586,56.03754459138533,63.99885295818649,,,,,,,,,,,,,,,,
Oversampling used pred6,,63.998668379271294,64.0,63.998668379271294,63.99999999999998,63.99999999999781,63.999999999999986,64.0,,,,,,63.77129505618247,64.0,63.77129504986167,63.49942274022642,63.29969957369446,63.99999999998818,63.99999999999999,,,,,,63.99977935701297,64.0,63.99977935701297,64.0,63.9999999999998,64.0,64.0,,,,,,62.54027486213305,64.0,62.54027489963836,63.48604908091204,63.29337897253055,63.607630189508036,63.999960286706276,,,,,,,,,,,,,,,,
Oversampling used pred7,,63.9999999804672,64.0,63.9999999804672,64.0,64.0,64.0,64.0,,,,,,63.9977232486417,64.0,63.99772324852729,63.987038651293936,63.97664965314208,64.0,64.0,,,,,,63.99999999757879,64.0,63.99999999757879,64.0,64.0,64.0,64.0,,,,,,63.9594768422731,64.0,63.959476844301335,63.99668501842492,63.99364241817842,63.99809144923742,63.999955079713835,,,,,,,,,,,,,,,,
Oversampling used pred8,,63.999999999999964,64.0,63.999999999999964,64.0,64.0,64.0,64.0,,,,,,63.99997488980395,64.0,63.99997488980213,63.99956821176354,63.99901560601084,64.0,64.0,,,,,,63.99999999999999,64.0,63.99999999999999,64.0,64.0,64.0,64.0,,,,,,63.997870180335205,64.0,63.99787018048445,63.99995686685554,63.9998898317999,63.9999805224756,63.999990462371784,,,,,,,,,,,,,,,,
Oversampling used pred9,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,,,,63.99999998955809,64.0,63.99999998955809,63.99999997880497,63.999999903976644,64.0,64.0,,,,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,,,,63.99998267290298,64.0,63.999982672904764,63.99999997613553,63.99999990001646,63.9999999929165,63.99999927155251,,,,,,,,,,,,,,,,
Oversampling used pred10,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,,,,63.99999999999998,64.0,63.99999999999998,63.99999999959945,63.999999997611695,64.0,64.0,,,,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,,,,63.99999998728547,64.0,63.99999998728547,63.99999999953918,63.99999999749486,63.99999999989032,63.99999999841434,,,,,,,,,,,,,,,,
Oversampling used pred11,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,,,,64.0,64.0,64.0,64.0,63.99999999999999,64.0,64.0,,,,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,,,,63.99999999999992,64.0,63.99999999999992,64.0,63.99999999999999,64.0,63.99999998322617,,,,,,,,,,,,,,,,
Oversampling used bw0,(undefined),7.065033529395087,19.822328482833335,7.065033529395087,15.310131833821714,15.310131833821714,15.310131833821714,63.99991864575758,(undefined),(undefined),(undefined),(undefined),(undefined),4.688188202773077,19.827497406334565,4.688188202773077,4.1291484808892065,4.1291484808892065,12.006066993846254,63.69131724791079,(undefined),(undefined),(undefined),(undefined),(undefined),7.112319900784975,19.833641129401386,7.112319900784975,15.623286809650644,15.623286809650644,15.623286809650644,63.999934650348074,(undefined),(undefined),(undefined),(undefined),(undefined),3.6800117384404203,20.912788349414015,3.6800117384404203,3.9765756207435032,3.9765756207435032,3.9765756207435032,58.362347187563614,(undefined),(undefined),(undefined),(undefined),(undefined),6.124456599769829,3.1997031010873584,6.124456599758332,2.98184183221764,2.955654359292197,3.063197000563335,48.04543131852054,(undefined),(undefined),(undefined),(undefined)
Oversampling used bw1,,14.88687989341831,36.20203951475038,14.88687989341831,29.252081136611864,29.252081136611864,29.252081136611864,63.999999890562336,,,,,,7.648719238880517,36.202903657367756,7.648719238880517,5.967804743510143,5.967804743510143,22.301915245157232,63.976209662986435,,,,,,15.04749520171287,36.21844513007123,15.04749520171287,30.119412925175546,30.119412925175546,30.119412925175546,63.99999994469863,,,,,,5.157750700324776,38.062637807091136,5.157750700324776,5.668750108414677,5.668750108414677,5.668750108414677,61.60688791899871,,,,,,19.902082745475838,8.485748232622953,19.90208274544341,5.821609290534283,5.771689466403693,5.976555956347475,54.70455079096964,,,,
Oversampling used bw2,,23.829847730942255,50.12401919870679,23.829847730942255,41.5898850823875,41.5898850823875,41.5898850823875,63.99999999982125,,,,,,12.674308090824113,50.113312300487564,12.674308090824113,9.921733024889598,9.921733024889598,34.11782202948941,63.99798044870062,,,,,,24.174217474083505,50.1397275892638,24.174217474083505,42.97852834641787,42.97852834641787,42.97852834641787,63.999999999956664,,,,,,7.807020300725647,50.77521067181199,7.807020300725647,9.051925828356723,9.051925828356723,9.481893252311849,63.08218253022994,,,,,,49.572190436563396,27.55659415594851,49.57219043652096,14.890913351924326,14.773807516061439,15.253263542888853,62.64991600003651,,,,
Oversampling used bw3,,40.98865513614025,61.719596742791396,40.98865513614025,56.86743898099279,56.86743898099279,56.86743898099279,64.0,,,,,,23.39802483010382,61.6987991639544,23.39802483010382,19.305136088082634,19.305136088082634,52.46598073224189,63.999980120365485,,,,,,41.742107789034996,61.72625267123266,41.742107789034996,58.29942615155981,58.29942615155981,58.29942615155981,64.0,,,,,,15.210960621827816,62.4913834832709,15.210960711809243,18.82502110945768,17.774568612270485,19.69691260436403,63.832822219705946,,,,,,63.99159560259678,56.07797438084737,63.99159560259663,41.80920907006125,41.59681584457498,42.45684228751676,63.97151989364129,,,,
Oversampling used bw4,,59.81208625437612,63.99756452536342,59.81208625437612,63.85058761585881,63.74272895110379,63.86154315119449,64.0,,,,,,43.496430766773535,63.9971936396133,43.49643065228989,39.125360080513914,38.335256363566785,63.56782045826913,63.99999999378672,,,,,,60.49210473280351,63.99760327214201,60.49210473280351,63.905162164559236,63.905162164559236,63.905162164559236,64.0,,,,,,33.68409449237635,63.996878687833416,33.68409464632309,40.14503182080609,38.53978964769129,41.426476517467236,63.98609657690308,,,,,,63.99999889582672,63.924212363319526,63.99999889582672,63.07470169716197,63.03876747007861,63.17807586576977,63.99998732630534,,,,
Oversampling used bw5,,63.64129548131008,63.99999996455308,63.64129548131008,63.999217359007254,63.99667883083778,63.99932106420606,64.0,,,,,,56.954248550617805,63.999999921247216,56.95424847435963,53.95900904832656,52.58561880865621,63.994316668875776,63.99999999996742,,,,,,63.78598451247537,63.99999996683871,63.78598451247537,63.99959245120243,63.99911669432922,63.9996274745872,64.0,,,,,,49.77253849332921,63.999999647624016,49.77253863872377,55.10789685194842,53.870942972100586,56.03754459138533,63.99885295818649,,,,,,,,,,,,,,,,
Oversampling used bw6,,63.998668379271294,64.0,63.998668379271294,63.99999999999998,63.99999999999781,63.999999999999986,64.0,,,,,,63.77129505618247,64.0,63.77129504986167,63.49942274022642,63.29969957369446,63.99999999998818,63.99999999999999,,,,,,63.99977935701297,64.0,63.99977935701297,64.0,63.9999999999998,64.0,64.0,,,,,,62.54027486213305,64.0,62.54027489963836,63.48604908091204,63.29337897253055,63.607630189508036,63.999960286706276,,,,,,,,,,,,,,,,
Oversampling used bw7,,63.9999999804672,64.0,63.9999999804672,64.0,64.0,64.0,64.0,,,,,,63.9977232486417,64.0,63.99772324852729,63.987038651293936,63.97664965314208,64.0,64.0,,,,,,63.99999999757879,64.0,63.99999999757879,64.0,64.0,64.0,64.0,,,,,,63.9594768422731,64.0,63.959476844301335,63.99668501842492,63.99364241817842,63.99809144923742,63.999955079713835,,,,,,,,,,,,,,,,
Oversampling used bw8,,63.999999999999964,64.0,63.999999999999964,64.0,64.0,64.0,64.0,,,,,,63.99997488980395,64.0,63.99997488980213,63.99956821176354,63.99901560601084,64.0,64.0,,,,,,63.99999999999999,64.0,63.99999999999999,64.0,64.0,64.0,64.0,,,,,,63.997870180335205,64.0,63.99787018048445,63.99995686685554,63.9998898317999,63.9999805224756,63.999990462371784,,,,,,,,,,,,,,,,
Oversampling used bw9,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,,,,63.99999998955809,64.0,63.99999998955809,63.99999997880497,63.999999903976644,64.0,64.0,,,,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,,,,63.99998267290298,64.0,63.999982672904764,63.99999997613553,63.99999990001646,63.9999999929165,63.99999927155251,,,,,,,,,,,,,,,,
Oversampling used bw10,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,,,,63.99999999999998,64.0,63.99999999999998,63.99999999959945,63.999999997611695,64.0,64.0,,,,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,,,,63.99999998728547,64.0,63.99999998728547,63.99999999953918,63.99999999749486,63.99999999989032,63.99999999841434,,,,,,,,,,,,,,,,
Oversampling used bw11,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,,,,64.0,64.0,64.0,64.0,63.99999999999999,64.0,64.0,,,,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,,,,63.99999999999992,64.0,63.99999999999992,64.0,63.99999999999999,64.0,63.99999998322617,,,,,,,,,,,,,,,,
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",(undefined),878.4803344221916,1755.2763217318097,878.4803344221916,1355.512792331873,1355.512792331873,1355.512792331873,2470.012277238968,(undefined),(undefined),(undefined),(undefined),(undefined),630.500997159299,1763.4641473468378,630.500997159299,544.9192586195416,544.9192586195416,1361.8358133158226,992.7986277992072,(undefined),(undefined),(undefined),(undefined),(undefined),884.9539836067656,1768.2114187945754,884.9539836067656,1365.5018777230769,1365.5018777230769,1365.5018777230769,2488.214539298124,(undefined),(undefined),(undefined),(undefined),(undefined),904.5597563976627,3252.4350388181706,904.5597563976627,1005.0053854489457,1005.0053854489457,1005.0053854489457,1373.4278293411337,(undefined),(undefined),(undefined),(undefined),(undefined),2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined),(undefined),(undefined),(undefined)
"Channels predict, no-smear1",,1317.5670289686655,2632.760995049357,1317.5670289686655,2033.115705347188,2033.115705347188,2033.115705347188,3704.864923992691,,,,,,945.5973858340815,2645.042084215139,945.5973858340815,817.2247845994948,817.2247845994948,2042.59958758406,1489.0438165150779,,,,,,1327.2764773900503,2652.1626151975665,1327.2764773900503,2048.098308014086,2048.098308014086,2048.098308014086,3732.1672916129596,,,,,,1356.5650741686497,4878.377930924128,1356.5650741686497,1507.2335084877068,1507.2335084877068,1507.2335084877068,2059.86715195982,,,,,,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,3331.7159644487933,,,,
"Channels predict, no-smear2",,1756.6537175567425,3510.2456653832655,1756.6537175567425,2710.7186144999496,2710.7186144999496,2710.7186144999496,4939.717568631215,,,,,,1260.6937661381571,3526.6200180912742,1260.6937661381571,1089.530300895098,1089.530300895098,2723.3633579754173,1985.2889999151987,,,,,,1769.5989651795082,3536.1138086001583,1769.5989651795082,2730.6947344207297,2730.6947344207297,2730.6947344207297,4976.1200417921455,,,,,,1808.570373420898,6504.3208178727855,1808.570373420898,2009.4616148571042,2009.4616148571042,2009.4616148571042,2746.3064623796045,,,,,,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,6662.459115881312,,,,
"Channels predict, no-smear3",,2634.8270887733916,5265.21500306821,2634.8270887733916,4065.9244289430007,4065.9244289430007,4065.9244289430007,7409.422855775241,,,,,,1890.8865183728738,5289.77588285103,1890.8865183728738,1634.1413237984086,1634.1413237984086,4084.8908948860035,2977.7793613957497,,,,,,2654.2439347632017,5304.016192404592,2654.2439347632017,4095.8875833483976,4095.8875833483976,4095.8875833483976,7464.025540014693,,,,,,2712.580953399158,9756.206586629321,2712.580953399158,3013.917810920462,3013.917810920462,3013.917810920462,4119.185071013969,,,,,,18508.427384292598,13323.945347729323,18508.427384292598,6855.585666930379,6855.585666930379,6855.585666930379,13323.945347729323,,,,
"Channels predict, no-smear4",,4391.173824052722,8775.15367486393,4391.173824052722,6776.336053187005,6776.336053187005,6776.336053187005,12348.833427517198,,,,,,3151.2720127948655,8816.087608755946,3151.2720127948655,2723.3633579754173,2723.3633579754173,6807.945964038775,4962.7600779759905,,,,,,4423.533866735149,8839.820956417883,4423.533866735149,6826.273276550539,6826.273276550539,6826.273276550539,12439.836533920661,,,,,,4520.602091119545,16259.978117949031,4520.602091119545,5022.83018303477,5022.83018303477,5022.83018303477,6864.942273636082,,,,,,37015.88183916187,26646.917775907757,37015.88183916187,13710.1984478155,13710.1984478155,13710.1984478155,26646.917775907757,,,,
"Channels predict, no-smear5",,6147.520556611662,12285.09234525353,6147.520556611662,9486.74767567361,9486.74767567361,9486.74767567361,17288.243998358386,,,,,,4411.657503381265,12342.399333294128,4411.657503381265,3812.5853877207524,3812.5853877207524,9531.001031438836,6947.740792113483,,,,,,6192.823795965634,12375.625719055834,6192.823795965634,9556.65896797004,9556.65896797004,9556.65896797004,17415.647526891702,,,,,,6328.623220362096,22763.7496469424,6328.623220362096,7031.742547520076,7031.742547520076,7031.742547520076,9610.699470687023,,,,,,,,,,,,,,,,
"Channels predict, no-smear6",,9660.21401948799,19304.969684960284,9660.21401948799,14907.570919231697,14907.570919231697,14907.570919231697,27167.065139038263,,,,,,6932.428481437218,19395.02278134777,6932.428481437218,5991.0294435878495,5991.0294435878495,14977.111164731723,10917.702218412896,,,,,,9731.403652177218,19447.235243184474,9731.403652177218,15017.430349348004,15017.430349348004,15017.430349348004,27367.269511822615,,,,,,9944.665471916558,35771.292703005485,9944.665471916558,11049.567270263373,11049.567270263373,11049.567270263373,15102.21386022389,,,,,,,,,,,,,,,,
"Channels predict, no-smear7",,13172.90748135622,26324.847024362658,13172.90748135622,20328.394162114328,20328.394162114328,20328.394162114328,37045.88627931056,,,,,,9453.19945809229,26447.64622874797,9453.19945809229,8169.473497854613,8169.473497854613,20423.221297423315,14887.663643875816,,,,,,13269.983507404142,26518.844766947794,13269.983507404142,20478.201730094595,20478.201730094595,20478.201730094595,37318.8914967592,,,,,,13560.707720387763,48778.83575805354,13560.707720387763,15067.391990198219,15067.391990198219,15067.391990198219,20593.728247660394,,,,,,,,,,,,,,,,
"Channels predict, no-smear8",,15807.427577515955,31589.7550285665,15807.427577515955,24394.011594153737,24394.011594153737,24394.011594153737,44455.00213509318,,,,,,11343.777690213876,31737.113814226475,11343.777690213876,9803.306538131448,9803.306538131448,24507.803896874604,17865.134712644343,,,,,,15923.918398595604,31822.551909456844,15923.918398595604,24573.780265375666,24573.780265375666,24573.780265375666,44782.60798534446,,,,,,16272.739405947037,58534.493049076,16272.739405947037,18080.76052947859,18080.76052947859,18080.76052947859,24712.36403777495,,,,,,,,,,,,,,,,
"Channels predict, no-smear9",,19320.121038991805,38609.63236770124,19320.121038991805,29814.8348366946,29814.8348366946,29814.8348366946,54333.82327541498,,,,,,13864.548666143593,38789.737261594215,13864.548666143593,11981.750591556696,11981.750591556696,29953.914029246473,21835.096137712964,,,,,,19462.498253264697,38894.16143309911,19462.498253264697,30034.551645878844,30034.551645878844,30034.551645878844,54734.22996993109,,,,,,19888.781652859445,71542.03610356698,19888.781652859445,22098.585247986757,22098.585247986757,22098.585247986757,30203.878424293223,,,,,,,,,,,,,,,,
