,01c [bldta] [otf],01s [bldta] [otf],02A [bldta] [otf],02B [bldta] [otf],13c [bldta] [otf],13s [Bmax=40000] [bldta] [otf],14c [bldta] [otf],14s [bldta] [otf],15c [bldta] [otf],15s [Bmax=13000] [bldta] [otf],22 [bldta] [otf],27 [bldta] [otf],33 [bldta] [otf],37a [bldta] [otf],37b [bldta] [otf],37c [bldta] [otf],38a [bldta] [otf],38b [bldta] [otf],max_Band5_MID_continuum [bldta] [otf],max_Band5_MID_spectral [bldta] [otf],max_LOW_continuum [bldta] [otf],max_LOW_spectral [bldta] [otf],max_MID_continuum [bldta] [otf],max_MID_spectral [bldta] [otf]
Number of freqs for predict (de-gridding) convoution kernels gcf7,23483.615124332395,25357.69099984863,23483.615124332395,23483.615124332395,21760.03326863552,5874.90211016006,26842.397673499825,5000.0,21488.724594920375,2500.0,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,65536.0,32975.4265816828,65536.0,65536.0,65536.0
Number of freqs for predict (de-gridding) convoution kernels gcf8,,,,,21760.03326863552,5874.90211016006,26842.397673499825,5000.0,21488.724594920375,2500.0,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,65536.0,,,65536.0,65536.0
Number of freqs for predict (de-gridding) convoution kernels gcf9,,,,,21760.03326863552,5874.90211016006,26842.397673499825,5000.0,21488.724594920375,2500.0,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,65536.0,,,65536.0,65536.0
Number of freqs for predict (de-gridding) convoution kernels gcf10,,,,,21760.03326863552,5874.90211016006,26842.397673499825,5000.0,21488.724594920375,2500.0,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,65536.0,,,65536.0,65536.0
Number of freqs for predict (de-gridding) convoution kernels gcf11,,,,,21760.03326863552,5874.90211016006,26842.397673499825,5000.0,21488.724594920375,2500.0,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,65536.0,,,65536.0,65536.0
Channels to de-grid (predict),23483.615124332395,25357.69099984863,23483.615124332395,23483.615124332395,21760.03326863552,5874.90211016006,26842.397673499825,5000.0,21488.724594920375,2500.0,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,65536.0,32975.4265816828,65536.0,65536.0,65536.0
Number of freqs for backward (gridding) convolution kernels gcf0,500.0,1553.8091629762937,1500.0,1500.0,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,500.0,500.0,700.0,700.0,700.0,1815.142702990266,1815.142702990266,1862.8129543000314,65536.0,606.8780206875874,65536.0,500.0,65536.0
Number of freqs for backward (gridding) convolution kernels gcf1,625.9256891403746,2251.1266360271425,1500.0,1500.0,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,500.0,500.0,700.0,700.0,700.0,2722.601066020032,2722.601066020032,2794.103783547841,65536.0,878.9174241194681,65536.0,500.0,65536.0
Number of freqs for backward (gridding) convolution kernels gcf2,916.5269298174715,3297.102820280685,1500.0,1500.0,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,500.0,500.0,700.0,700.0,700.0,3630.0594274868595,3630.0594274868595,3725.394611200172,65536.0,1286.9764017000732,65536.0,542.9554577673553,65536.0
Number of freqs for backward (gridding) convolution kernels gcf3,1330.413484144414,4786.8264596173585,1773.6536666737777,1773.6536666737777,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,500.0,500.0,700.0,700.0,700.0,5444.976148857445,5444.976148857445,5587.976264909225,65536.0,1868.1512233137412,65536.0,814.1586879068773,65536.0
Number of freqs for backward (gridding) convolution kernels gcf4,1946.840224337752,7005.563782880562,2595.555964704438,2595.555964704438,500.0,3671.8483988277135,500.0,5000.0,500.0,2500.0,5000.0,568.1885766821713,568.1885766821713,815.1436096298963,815.1436096298963,700.0,9074.809589730918,9074.809589730918,9313.139570420815,65536.0,2733.7306847441096,65536.0,1356.5650741686497,65536.0
Number of freqs for backward (gridding) convolution kernels gcf5,2836.2559202763196,10206.884769757768,3781.443544242798,3781.443544242798,500.0,5140.550873089399,501.1675707267235,5000.0,500.0,2500.0,5014.1056282530935,795.3829308656051,795.3829308656051,1141.0949475677432,1141.0949475677432,901.4069616296249,12704.643029896244,12704.643029896244,13038.302875221221,65536.0,3982.638152411384,65536.0,1898.9714322126933,65536.0
Number of freqs for backward (gridding) convolution kernels gcf6,4139.5581081635855,14897.929378619174,5519.17978438891,5519.17978438891,598.4905887824974,5874.902110160061,787.4852921546093,5000.0,675.4482074742001,2500.0,7879.256753068427,1249.771631719945,1249.771631719945,1792.9976144750083,1792.9976144750083,1416.3808210264929,19964.30990966161,19964.30990966161,20488.629484136913,65536.0,5812.720354161615,65536.0,2983.784125202197,65536.0
Number of freqs for backward (gridding) convolution kernels gcf7,7045.56971963068,25357.69099984863,9393.861923713632,9393.861923713632,816.0900005904109,11015.360769551247,1073.8030119774014,5000.0,921.0325906756974,2500.0,10744.407877796613,1704.160329235159,1704.160329235159,2444.9002773955567,2444.9002773955567,1931.3546774765398,27223.97678919299,27223.97678919299,27938.956092972145,65536.0,9893.309014025303,65536.0,4068.596807922735,65536.0
Number of freqs for backward (gridding) convolution kernels gcf8,,,,,979.2895590782524,13218.414480651934,1288.5413014334772,5000.0,1105.2208777579021,2500.0,12893.271221261048,2044.9518515182074,2044.9518515182074,2933.827273569541,2933.827273569541,2317.585069063373,32668.72694857374,32668.72694857374,33526.70104926861,65536.0,,,4882.206317341453,65536.0
Number of freqs for backward (gridding) convolution kernels gcf9,,,,,1196.8889701502444,16155.819428625153,1574.8590204371803,5000.0,1350.8052603215483,2500.0,15758.422345734596,2499.3405473303005,2499.3405473303005,3585.729934453583,3585.729934453583,2832.558924009764,39928.39382804045,39928.39382804045,40977.02765781857,65536.0,,,5967.0189948249545,65536.0
Number of freqs for backward (gridding) convolution kernels gcf10,,,,,1414.4883810603746,19093.224376601953,1861.1767392616102,5000.0,1596.389642746428,2500.0,18623.573470428568,2953.7292427621965,2953.7292427621965,4237.632594894931,4237.632594894931,3347.5327786199728,47188.060706940756,47188.060706940756,48427.354265992435,65536.0,,,7051.831671144901,65536.0
Number of freqs for backward (gridding) convolution kernels gcf11,,,,,1632.0877918726746,22030.62932496891,2147.4944579753883,5000.0,1841.9740250843204,2500.0,21488.72459492037,3408.1179379748933,3408.1179379748933,4889.535255060916,4889.535255060916,3862.50663304325,54447.72758676212,54447.72758676212,55877.680875140846,65536.0,,,8136.644346788232,65536.0
Channels to grid (backward)0,500.0,1553.8091629762937,1500.0,1500.0,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,500.0,500.0,700.0,700.0,700.0,1815.142702990266,1815.142702990266,1862.8129543000314,65536.0,606.8780206875874,65536.0,500.0,65536.0
Channels to grid (backward)1,625.9256891403746,2251.1266360271425,1500.0,1500.0,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,500.0,500.0,700.0,700.0,700.0,2722.601066020032,2722.601066020032,2794.103783547841,65536.0,878.9174241194681,65536.0,500.0,65536.0
Channels to grid (backward)2,916.5269298174715,3297.102820280685,1500.0,1500.0,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,500.0,500.0,700.0,700.0,700.0,3630.0594274868595,3630.0594274868595,3725.394611200172,65536.0,1286.9764017000732,65536.0,542.9554577673553,65536.0
Channels to grid (backward)3,1330.413484144414,4786.8264596173585,1773.6536666737777,1773.6536666737777,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,500.0,500.0,700.0,700.0,700.0,5444.976148857445,5444.976148857445,5587.976264909225,65536.0,1868.1512233137412,65536.0,814.1586879068773,65536.0
Channels to grid (backward)4,1946.840224337752,7005.563782880562,2595.555964704438,2595.555964704438,500.0,3671.8483988277135,500.0,5000.0,500.0,2500.0,5000.0,568.1885766821713,568.1885766821713,815.1436096298963,815.1436096298963,700.0,9074.809589730918,9074.809589730918,9313.139570420815,65536.0,2733.7306847441096,65536.0,1356.5650741686497,65536.0
Channels to grid (backward)5,2836.2559202763196,10206.884769757768,3781.443544242798,3781.443544242798,500.0,5140.550873089399,501.1675707267235,5000.0,500.0,2500.0,5014.1056282530935,795.3829308656051,795.3829308656051,1141.0949475677432,1141.0949475677432,901.4069616296249,12704.643029896244,12704.643029896244,13038.302875221221,65536.0,3982.638152411384,65536.0,1898.9714322126933,65536.0
Channels to grid (backward)6,4139.5581081635855,14897.929378619174,5519.17978438891,5519.17978438891,598.4905887824974,5874.902110160061,787.4852921546093,5000.0,675.4482074742001,2500.0,7879.256753068427,1249.771631719945,1249.771631719945,1792.9976144750083,1792.9976144750083,1416.3808210264929,19964.30990966161,19964.30990966161,20488.629484136913,65536.0,5812.720354161615,65536.0,2983.784125202197,65536.0
Channels to grid (backward)7,7045.56971963068,25357.69099984863,9393.861923713632,9393.861923713632,816.0900005904109,11015.360769551247,1073.8030119774014,5000.0,921.0325906756974,2500.0,10744.407877796613,1704.160329235159,1704.160329235159,2444.9002773955567,2444.9002773955567,1931.3546774765398,27223.97678919299,27223.97678919299,27938.956092972145,65536.0,9893.309014025303,65536.0,4068.596807922735,65536.0
Channels to grid (backward)8,,,,,979.2895590782524,13218.414480651934,1288.5413014334772,5000.0,1105.2208777579021,2500.0,12893.271221261048,2044.9518515182074,2044.9518515182074,2933.827273569541,2933.827273569541,2317.585069063373,32668.72694857374,32668.72694857374,33526.70104926861,65536.0,,,4882.206317341453,65536.0
Channels to grid (backward)9,,,,,1196.8889701502444,16155.819428625153,1574.8590204371803,5000.0,1350.8052603215483,2500.0,15758.422345734596,2499.3405473303005,2499.3405473303005,3585.729934453583,3585.729934453583,2832.558924009764,39928.39382804045,39928.39382804045,40977.02765781857,65536.0,,,5967.0189948249545,65536.0
Channels to grid (backward)10,,,,,1414.4883810603746,19093.224376601953,1861.1767392616102,5000.0,1596.389642746428,2500.0,18623.573470428568,2953.7292427621965,2953.7292427621965,4237.632594894931,4237.632594894931,3347.5327786199728,47188.060706940756,47188.060706940756,48427.354265992435,65536.0,,,7051.831671144901,65536.0
Channels to grid (backward)11,,,,,1632.0877918726746,22030.62932496891,2147.4944579753883,5000.0,1841.9740250843204,2500.0,21488.72459492037,3408.1179379748933,3408.1179379748933,4889.535255060916,4889.535255060916,3862.50663304325,54447.72758676212,54447.72758676212,55877.680875140846,65536.0,,,8136.644346788232,65536.0
Number of frequencies backward fft,500,65536,500,500,500,65536,500,5000,500,2500,500,500,500,500,500,500,500,500,500,65536,500,65536,500,65536
Channels out,500,65536,1500,1500,500,65536,500,5000,500,2500,5000,500,500,700,700,700,1000,1000,500,65536,500,65536,500,65536
Visibilities pred0,1342068434.7032068,1449170261.379078,1342068434.7032068,1342068434.7032068,215262479.15212432,60730198.10454093,265540084.34873638,49462810.211416215,212578541.26478764,25245176.692619033,212578541.26478764,477603017.998407,477603017.998407,644901375.0246507,644901375.0246507,477603017.998407,538627523.213381,538627523.213381,552773424.8362346,648318946.0030745,1884517307.1455562,3745326112.3146496,648318946.0030745,648318946.0030745
Visibilities pred1,202539517.36525932,218702890.0539745,202539517.36525932,202539517.36525932,17720883.230152998,4999444.1827184,21859846.853958793,4071887.899108942,17499935.529068198,2078238.7625403649,17499935.529068198,39317336.4241397,39317336.4241397,53089707.07199143,53089707.07199143,39317336.4241397,44341008.61890336,44341008.61890336,45505530.51715144,53371049.07120073,284403698.0425281,565229405.2586584,53371049.07120073,53371049.07120073
Visibilities pred2,151434456.9710891,163519464.37002924,151434456.9710891,151434456.9710891,9939656.108639443,2804191.8263985896,12261203.772629244,2283924.8419179274,9815726.384694278,1165685.611885682,9815726.384694278,22053122.18855235,22053122.18855235,29778054.758924242,29778054.758924242,22053122.18855235,24870903.524277207,24870903.524277207,25524084.691899285,29935859.687986653,212642550.61875242,422609914.16837627,29935859.687986653,29935859.687986653
Visibilities pred3,234249610.49715713,252943561.21801224,234249610.49715713,234249610.49715713,19083828.761555877,5742891.281241906,26904145.880749,4385064.242770006,18845887.568783544,1253324.7472326572,18845887.568783544,42341304.65924229,42341304.65924229,65340495.44690289,65340495.44690289,42341304.65924229,54572979.04932402,54572979.04932402,56006221.79988423,65686758.906097166,328930651.93923765,653723133.8643019,65686758.906097166,65686758.906097166
Visibilities pred4,189338280.84555808,204448147.98337874,189338280.84555808,189338280.84555808,53559095.8373816,16117523.813424826,66068582.32943479,9845406.97639109,52891309.76014397,2931231.3360139374,52891309.76014397,118831604.62498526,118831604.62498526,160456827.80692613,160456827.80692613,118831604.62498526,134015009.25783736,134015009.25783736,137534627.27816668,161307147.90119162,265866671.12660885,528388559.75958896,161307147.90119162,161307147.90119162
Visibilities pred5,270562052.6222723,292153865.16752964,270562052.6222723,270562052.6222723,37571692.79180548,8479829.296240013,46347094.5440999,8633188.269514406,37103241.01993846,1542193.5555934503,37103241.01993846,83360341.93861605,83360341.93861605,112560425.94546138,112560425.94546138,83360341.93861605,94011496.62075014,94011496.62075014,96480507.81178708,113156925.28617923,379920172.2051206,755060691.7535795,113156925.28617923,113156925.28617923
Visibilities pred6,207928515.08921194,224521948.93223414,207928515.08921194,207928515.08921194,86052132.1785943,3236955.5252472498,106150828.17542218,19772978.082397547,84979216.08680753,2354770.020190098,84979216.08680753,190923927.82789752,190923927.82789752,257802189.14305305,257802189.14305305,190923927.82789752,215318744.84187993,215318744.84187993,220973631.84787288,259168378.32160112,291970867.6564998,580268544.376171,259168378.32160112,259168378.32160112
Visibilities pred7,18517898.798805382,19995692.878650185,18517898.798805382,18517898.798805382,164486279.9438615,12374702.618329613,202904383.6275627,37795502.863717765,162435430.39299104,2250539.010123154,162435430.39299104,364945828.13478595,364945828.13478595,492781782.1587097,492781782.1587097,364945828.13478595,411575848.78567845,411575848.78567845,422385009.5068586,495393215.13532144,26002623.916891437,51678117.2427348,495393215.13532144,495393215.13532144
Visibilities pred8,,,,,52082139.49342821,3918265.937909834,64246661.88283607,11967385.079437898,51432768.418680064,712599.7785386126,51432768.418680064,115554680.5177165,115554680.5177165,156032038.21601093,156032038.21601093,115554680.5177165,130319384.54622325,130319384.54622325,133741944.8757506,156858909.71320844,,,156858909.71320844,156858909.71320844
Visibilities pred9,,,,,45552438.567719236,3427020.667058929,56191856.691451795,10466996.535657328,44984481.17814519,623258.912766946,44984481.17814519,101067228.35685153,101067228.35685153,136469812.96395686,136469812.96395686,101067228.35685153,113980835.2050106,113980835.2050106,116974298.428133,137193016.9921677,,,137193016.9921677,137193016.9921677
Visibilities pred10,,,,,3264850.552875744,245622.64219797074,4027402.7067391425,750194.2925752864,3224143.70916629,44670.43411752481,3224143.70916629,7243726.280162723,7243726.280162723,9781112.895720268,9781112.895720268,7243726.280162723,8169274.895856583,8169274.895856583,8383823.454974779,9832946.631642792,,,9832946.631642792,9832946.631642792
Visibilities pred11,,,,,1399221.661660122,105266.84636602242,1726029.7267004752,321511.8387886227,1381775.8715470303,19144.471711866714,1381775.8715470303,3104454.1115098707,3104454.1115098707,4191905.515178976,4191905.515178976,3104454.1115098707,3501117.8028563815,3501117.8028563815,3593067.185082078,4214119.973370235,,,4214119.973370235,4214119.973370235
Visibilities bw0,3428948.467084945,10655863.095060209,10286845.401254835,10286845.401254835,593553.7225369945,12601572.250131302,593553.7225369945,16958677.78677127,593553.7225369945,9376779.914401352,17665289.361220077,593553.7225369945,593553.7225369945,830975.2115517923,830975.2115517923,830975.2115517923,6691830.48630891,6691830.48630891,6867574.92804298,241609545.09431347,4161906.917488497,449439133.47775793,593553.7225369945,77798273.52036895
Visibilities bw1,647811.7767497494,2876344.9653762165,1552448.9280175555,1552448.9280175555,48862.65478930731,1556083.9346491566,48862.65478930731,2181368.51737979,48862.65478930731,1543834.5093156993,2181368.51737979,48862.65478930731,48862.65478930731,68407.71670503022,68407.71670503022,68407.71670503022,1266985.866837494,1266985.866837494,1300260.2725809102,30497742.326400414,909649.6085934796,83737689.6679494,48862.65478930731,7319458.158336099
Visibilities bw2,709228.5775326544,4724759.724538613,1160732.796482967,1160732.796482967,27407.098103015127,1163744.7927556564,27407.098103015127,1631374.8870842336,27407.098103015127,865937.8831150777,1631374.8870842336,27407.098103015127,27407.098103015127,38369.93734422118,38369.93734422118,38369.93734422118,1292070.0629728218,1292070.0629728218,1326003.3192416495,23326643.912716873,995890.4785019414,93913314.25963916,29761.666993194784,5598394.53905205
Visibilities bw3,1592508.6771060992,15916235.323311467,2358964.9116371493,2358964.9116371493,49112.719519024075,3128095.0312674087,49112.719519024075,4385064.242770006,49112.719519024075,931041.2408014024,4385064.242770006,49112.719519024075,49112.719519024075,68757.8073266337,68757.8073266337,68757.8073266337,5457501.762992072,5457501.762992072,5600830.8362745,65686758.906097166,2236182.2611763086,217907711.28810063,79971.09456629424,15764822.13746332
Visibilities bw4,2092871.301716837,37655230.28096718,3720328.98753686,3720328.98753686,92300.69040366646,10073547.251969296,98454.06976391091,9845406.97639109,105486.50331847597,2177486.1353246393,12306758.720488863,98718.49017833598,98718.49017833598,150476.63589395242,150476.63589395242,137835.69766947528,22336298.411039386,22336298.411039386,22922912.324681252,161307147.90119162,2938785.8465220844,352259039.839726,200339.02867722782,38713715.49628599
Visibilities bw5,6535477.774517892,78397801.46181615,11617917.392346492,11617917.392346492,64748.91202135804,7419867.271839196,69226.78388254368,8633188.269514406,73998.75659583777,1145629.4984408487,8657543.578388155,96941.5141908837,96941.5141908837,147769.31273615995,147769.31273615995,124512.25611519198,21936315.034813646,21936315.034813646,22512424.687347163,113156925.28617923,9177043.207897756,503373794.50238633,196730.13471265914,27157662.068683013
Visibilities bw6,10995736.806265227,131909176.55563876,19547158.32298426,19547158.32298426,177509.11941776282,3236955.52524725,249134.87075173628,19772978.082397547,228953.53032312117,1749257.7292840728,31159274.216800973,348871.15880471555,348871.15880471555,531793.5379920813,531793.5379920813,448097.07088776137,78950772.45478623,78950772.45478623,81024244.34564066,259168378.32160112,15440088.403816687,580268544.376171,707979.5773227453,62200410.797184266
Visibilities bw7,1666725.668394179,19995692.878650185,2962994.9820296336,2962994.9820296336,462667.9793154945,23202397.4528994,649358.7970281701,37795502.863717765,596758.1128878979,1671828.9789486285,81218059.74284272,909311.9520542349,909311.9520542349,1386093.5315371214,1386093.5315371214,1167944.339894708,205788778.53954592,205788778.53954592,211193379.0042427,495393215.13532144,2340397.2617129725,51678117.2427348,1845295.94766188,118894371.63247713
Visibilities bw8,,,,,175793.02886643593,8816021.482833097,246727.5191202318,11967385.0794379,226741.78014794015,529359.8354858264,30859748.327693105,345497.3121321585,345497.3121321585,526653.6110904614,526653.6110904614,443766.92761339294,78191847.08971845,78191847.08971845,80245388.37995842,156858909.71320844,,,701126.9164426746,37646138.33117002
Visibilities bw9,,,,,187917.4905619361,9424212.699547794,263744.70257703454,10466996.535657326,242380.69680228582,462992.3351983027,32988670.420045804,369325.9602400114,369325.9602400114,562977.3420259263,562977.3420259263,474374.15111448715,83586071.97449215,83586071.97449215,85781281.3071843,137193016.9921677,,,749481.2057644113,32926324.078120254
Visibilities bw10,,,,,15917.116655783244,798264.9125930549,22339.90667628707,750194.2925752862,20530.326835108637,33183.75105873271,2794259.704974406,31282.88216093536,31282.88216093536,47685.71680081765,47685.71680081765,40180.79975567029,7080042.764008617,7080042.764008617,7265984.954973794,9832946.631642792,,,63482.926462734584,2359907.1915942705
Visibilities bw11,,,,,7871.033205441698,394746.13006532413,11047.1182715527,321511.8387886227,10152.282099526978,14221.6075573867,1381775.87154703,15469.415506543015,15469.415506543015,23580.652060146484,23580.652060146484,19869.465758767798,3501117.8028563815,3501117.8028563815,3593067.185082078,4214119.973370235,,,31392.329826059235,1011388.7936088565
-- Geometry --,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.12556762548976114,0.12556762548976114,0.12556762548976114,0.12556762548976114,1.4098307776762335,1.4098307776762335,2.179085545775391,2.203297607395118,2.3177546259610975,2.3206973331141834,17.82888173816229,1.961176991197852,1.961176991197852,2.058025237676758,2.058025237676758,1.961176991197852,13.982465585392093,13.982465585392093,17.04886816211769,17.04886816211769,0.13733959037942622,0.13733959037942622,0.8580149336490602,0.8580149336490602
Delta W earth1 [lambda],0.2636344856700899,0.2636344856700899,0.2636344856700899,0.2636344856700899,3.172119249771525,3.172119249771525,4.902942477994629,4.957419616639014,5.214947908412469,5.221568999506912,40.11498391086515,4.412648230195167,4.412648230195167,4.630556784772706,4.630556784772706,4.412648230195167,31.46054756713221,31.46054756713221,38.3599533647648,38.3599533647648,0.28835021870166083,0.28835021870166083,1.9305336007103855,1.9305336007103855
Delta W earth2 [lambda],0.5656557423145592,0.5656557423145592,0.5656557423145592,0.5656557423145592,5.639323110704934,5.639323110704934,8.716342183101563,8.813190429580471,9.27101850384439,9.282789332456733,71.31552695264917,7.844707964791408,7.844707964791408,8.232100950707032,8.232100950707032,7.844707964791408,55.92986234156837,55.92986234156837,68.19547264847075,68.19547264847075,0.618685968156549,0.618685968156549,3.432059734596241,3.432059734596241
Delta W earth3 [lambda],1.1924479087013926,1.1924479087013926,1.1924479087013926,1.1924479087013926,12.6884769990861,12.6884769990861,19.611769911978516,19.829678466556057,20.859791633649877,15.687913971851879,160.4599356434606,17.650592920780667,17.650592920780667,18.522227139090823,18.522227139090823,17.650592920780667,125.84219026852884,125.84219026852884,153.4398134590592,153.4398134590592,1.304239900142148,1.304239900142148,7.722134402841542,7.722134402841542
Delta W earth4 [lambda],2.554289211389181,2.554289211389181,2.554289211389181,2.554289211389181,35.245769441905836,35.245769441905836,54.47713864438477,55.08244018487794,57.94386564902744,58.017433327854576,445.72204345405726,49.0294247799463,49.0294247799463,51.45063094191895,51.45063094191895,49.0294247799463,349.5616396348023,349.5616396348023,426.22170405294224,426.22170405294224,2.7937538249569163,2.7937538249569163,21.450373341226506,21.450373341226506
Delta W earth5 [lambda],5.422471337476216,5.422471337476216,5.422471337476216,5.422471337476216,69.08170810613544,69.08170810613544,106.77519174299415,107.96158276236076,113.56997667209377,113.71416932259497,873.6152051699522,96.09767256869475,96.09767256869475,100.84323664616115,100.84323664616115,96.09767256869475,685.1408136842125,685.1408136842125,835.3945399437669,835.3945399437669,5.93082802536461,5.93082802536461,42.04273174880395,42.04273174880395
Delta W earth6 [lambda],11.552639929482813,11.552639929482813,11.552639929482813,11.552639929482813,170.58952409882426,90.22916977127895,263.6693510388223,266.59901049480925,280.4483097412928,280.80437730681615,2157.294690317637,237.3024159349401,237.3024159349401,249.02105375888772,249.02105375888772,237.3024159349401,1691.8783358324433,1691.8783358324433,2062.9130476162404,2062.9130476162404,12.635699922871826,12.635699922871826,103.81980697153628,103.81980697153628
Delta W earth7 [lambda],33.47075398311001,33.47075398311001,33.47075398311001,33.47075398311001,317.21192497715253,317.21192497715253,490.29424779946294,495.74196166390146,521.4947908412469,522.1568999506912,4011.4983910865153,441.2648230195167,441.2648230195167,463.0556784772706,463.0556784772706,441.2648230195167,3146.0547567132207,3146.0547567132207,3835.99533647648,3835.99533647648,36.608637169026565,36.608637169026565,193.05336007103855,193.05336007103855
Delta W earth8 [lambda],,,,,456.78517196709964,456.78517196709964,706.0237168312267,713.8684247960181,750.9524988113956,751.9059359289954,5776.557683164582,635.421345148104,635.421345148104,666.8001770072697,666.8001770072697,635.421345148104,4530.318849667038,4530.318849667038,5523.833284526131,5523.833284526131,,,277.99683850229553,277.99683850229553
Delta W earth9 [lambda],,,,,682.358096395297,682.358096395297,1054.6774041552892,1066.396041979237,1121.7932389651712,1123.2175092272646,8629.178761270548,949.2096637397603,949.2096637397603,996.0842150355509,996.0842150355509,949.2096637397603,6767.513343329773,6767.513343329773,8251.652190464962,8251.652190464962,,,415.2792278861451,415.2792278861451
Delta W earth10 [lambda],,,,,953.0456057091338,953.0456057091338,1473.0618289441643,1489.4291825990995,1566.8021271497018,1568.7913971851879,12052.324054997707,1325.7556460497478,1325.7556460497478,1391.2250606694886,1391.2250606694886,1325.7556460497478,9452.146735725055,9452.146735725055,11525.034877591559,11525.034877591559,,,580.0180951467647,580.0180951467647
Delta W earth11 [lambda],,,,,1268.8476999086101,1268.8476999086101,1961.1769911978517,1982.9678466556059,2085.9791633649875,2088.627599802765,16045.993564346061,1765.0592920780668,1765.0592920780668,1852.2227139090824,1852.2227139090824,1765.0592920780668,12584.219026852883,12584.219026852883,15343.98134590592,15343.98134590592,,,772.2134402841542,772.2134402841542
Delta W snapshot0 [lambda],0.8251585996462718,3.6727612521836384,0.8251588043375216,0.8251588043375216,25.89334809712547,239.40191722265135,47.93988115041708,184.0800687475073,53.31971474016521,182.39324239116678,1429.0735063760583,35.30118271414375,35.30118271414375,35.85846399582795,35.85846399582795,35.3011851086113,554.6554674309228,554.6554674309228,730.2803668578264,5201.036583812993,0.902517260175953,2.716677186392663,12.870222906366658,57.81358904316208
Delta W snapshot1 [lambda],1.1956379709160265,5.321756100102823,1.19563826750947,1.19563826750947,38.8400221456882,359.10287583397707,71.90982172562562,276.12010312126097,79.97957211024782,273.5898635867502,2143.6102595640873,52.951774071215624,52.951774071215624,53.78769599374193,53.78769599374193,52.951777662916946,831.9832011463842,831.9832011463842,1095.4205502867396,7801.554875719488,1.3077290912753605,3.93640980069141,19.305334359549988,86.72038356474312
Delta W snapshot2 [lambda],1.7513570278206587,7.795248371981599,1.7513574622673929,1.7513574622673929,51.78669619425094,478.8038344453027,95.87976230083416,368.1601374950146,106.63942948033042,364.78648478233356,2858.1470127521166,70.6023654282875,70.6023654282875,71.7169279916559,71.7169279916559,70.6023702172226,1109.3109348618457,1109.3109348618457,1460.5607337156528,10402.073167625986,1.9155468379244718,5.76600872213953,25.740445812733316,115.62717808632416
Delta W snapshot3 [lambda],2.5428356846242255,11.31810100162713,2.542836315407465,2.542836315407465,77.6800442913764,718.2057516679541,143.81964345125124,552.2402062425219,159.95914422049563,474.22243021703366,4287.220519128175,105.90354814243125,105.90354814243125,107.57539198748385,107.57539198748385,105.90355532583389,1663.9664022927684,1663.9664022927684,2190.8411005734793,15603.109751438977,2.7812266589095693,8.371801125414125,38.610668719099976,173.44076712948623
Delta W snapshot4 [lambda],3.7216336841188995,16.5649027904609,3.72163460731821,3.72163460731821,129.46674048562735,1197.0095861132568,239.6994057520854,920.4003437375366,266.598573700826,911.966211955834,7145.367531880291,176.50591357071875,176.50591357071875,179.29231997913976,179.29231997913976,176.5059255430565,2773.277337154614,2773.277337154614,3651.4018342891322,26005.182919064962,4.070537030589502,12.252768534546501,64.35111453183329,289.0679452158104
Delta W snapshot5 [lambda],5.4224707976755,24.135288228635336,5.422472142789428,5.422472142789428,181.2534366798783,1675.8134205585595,335.57916805291956,1288.5604812325512,373.23800318115644,1276.7526967381675,10003.514544632408,247.10827899900625,247.10827899900625,251.00924797079566,251.00924797079566,247.1082957602791,3882.5882720164595,3882.5882720164595,5111.962568004785,36407.25608669095,5.930827709727692,17.85245008200893,90.09156034456662,404.69512330213456
Delta W snapshot6 [lambda],7.914786568035669,35.22852629645531,7.914788531400718,7.914788531400718,284.82682906838016,1915.2153377812108,527.3386926545878,2024.8807562225804,586.5168621418173,2006.3256663028346,15719.80857013664,388.31300985558124,388.31300985558124,394.44310395410747,394.44310395410747,388.3130361947243,6101.210141740151,6101.210141740151,8033.084035436091,57211.40242194292,8.656798209850978,26.05792403274595,141.57245197003326,635.949479474783
