Frequency Max [GHz],0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6
Pipeline,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Visibilities kernel bw11 [1],,,,,,,,,,198.59968037415103,1833.2505068648659,1833.2504506855448,1914.9279758480807,1912.1379965840656,1914.9279758480807,1049.0103313496368,108.97910488605794,3436.54910548266,739.0984760496063,3154.460937103004,3154.461067612665,2064.4846830799565,3639.0333089015435,8141.021529944846,2388.4738726304618,405.5757894438341,8405.714426173348,3406.3352480768444,4327.5678946906755,4327.567895967891,14154.565532245526,12592.694498138051,14341.61546382479,5114.336510273095,1869.2976523280608,16973.97639285326,13799.603235485421,4349.574490418642,4349.574419291215,14216.55375826354,12668.345052582185,14401.305270081551,13980.51356397549,7573.28767893458,19427.88268005811,2136.855863064359,4972.905756541867,4972.905756565403,15873.509636827122,14291.303670447835,16041.802953712773,3086.9555676444284,1172.6496015172036,17569.69095577736
Oversampling used pred0 [1],31.302875382764277,2.2590408308112657,2.259040830809603,2.095871796817967,2.0973885995384336,3.444765250641879,54.990592621007025,18.702872828841286,3.128463915733235,42.473937543694234,4.997969926961829,4.997969923434049,4.36158347542969,4.359040594755292,4.365383790173155,63.853614643502276,41.959399079470145,17.367052514222813,62.283832780381424,5.609147053092094,5.609147058236289,4.225068525752924,6.2059242254289515,15.671586209064678,63.999495544777446,62.439030120555664,16.483599255988892,63.999794994284834,7.239913610287047,7.2399136103236685,15.851981119690457,15.82293216095428,15.85485175951576,63.99999931534918,63.999853633007596,16.558305819550007,63.99999999999998,7.082311665646387,7.08231166372331,15.737654800789286,15.709931401606262,15.74039192382753,64.0,63.99999999999999,16.436978203736665,63.97637682593797,7.456689699599671,7.456689699600304,16.39544480706718,16.37364667644615,16.397398694395832,63.998778045455296,63.976890441252316,17.156419275342806
Oversampling used pred1 [1],21.061648555198566,4.407558166779573,4.407558166770976,4.0980981256085585,4.10628887098531,6.640488148804884,59.21738835281166,15.88324305306731,8.30577678502209,45.066451609287206,8.587350886146858,8.587350875511213,6.617369747973797,6.6104724210373575,6.627695405160331,63.97951336453555,44.78363708107473,32.58551069507762,62.99228750109101,10.759011727585431,10.759011744648099,6.212096527746304,12.953492010412305,30.252217334533817,63.99999369302795,63.08983219530068,31.85038012671854,63.9999922994126,15.080193972853678,15.080193972981967,30.680407598216085,30.596474301181367,30.688716429281065,63.999999999794454,63.99999482178066,31.971566991186563,64.0,14.9736313330448,14.97363132618878,29.74612641815785,29.66676456169653,29.753975340601166,64.0,64.0,31.78220707881944,63.99647454008047,15.623890430772569,15.62389043077441,31.046821037462664,30.985039329036475,31.05236580241889,63.999990312810375,63.99723923996683,32.28509025505423
Oversampling used pred2 [1],19.90881382819972,8.369052372246742,8.369052372203406,7.819626654640238,7.861453076556124,18.38723028503604,63.366864366189176,18.242797652468973,27.100281451831712,46.90746978179896,14.34830709762442,14.348307072199162,11.189268106249436,11.172219664372669,11.214838361995959,63.99571743979448,46.85736142691134,45.89785724605254,63.272168980261995,17.637352975710336,17.637353015148328,10.510272714300172,21.05334169517841,43.190820065620265,63.99999983739642,63.41228491832096,45.16931017967043,63.99999904592669,24.191510939586003,24.191510939865672,43.82675052320055,43.68974947044642,43.84032530424648,63.99999999999987,63.999999599060146,45.3042416702491,64.0,24.042512841679205,24.042512826634564,43.64029421765158,43.50849737258969,43.653340258956945,64.0,64.0,45.10804511770445,63.99907779940347,25.15775974684926,25.157759746852783,44.250482011095556,44.15021599172297,44.25948643140326,63.99999988319652,63.99946073045411,45.62845951778711
Oversampling used pred3 [1],25.473496577995526,24.989409182808743,24.98940918253261,23.736838140567095,24.01887997325104,49.38984414055838,63.95741625910916,20.742513490390955,55.78163246365173,49.53632028948566,27.423157009135934,27.423156936228054,22.614062852840007,22.559606962569788,22.696043306459963,63.99964401266313,49.94222726684876,60.189947542258814,63.54882913772357,33.138291732398415,33.13829183747086,21.102872173205554,37.49461121022034,58.510092847167456,63.99999999958508,63.72183384950648,59.89888697060601,63.99999994607772,41.678081499900486,41.67808150052342,59.08643327684744,58.95270844241114,59.09963687708026,64.0,63.99999999302613,59.98243062803721,64.0,41.504858401653195,41.50485836798383,58.99073906978439,58.86063878700594,59.00357468497668,64.0,64.0,59.88847417208281,63.99985436176836,43.33465324559673,43.33465324560423,59.353297738401935,59.257896773739304,59.361841624787395,63.999999999953154,63.99995919050984,60.13769855665233
Oversampling used pred4 [1],37.506433135794055,52.602702136869866,52.602702136869866,51.80891581065491,51.80891581065491,63.79495190736184,63.99759695439272,23.346251542572297,63.78920572241831,51.411415818640606,49.43269365942699,49.43269350905052,44.76307505203694,44.620721495526354,44.97825704404883,63.99998563501601,53.25728878143783,63.973294477327606,63.82105662534466,54.28200256308439,54.28200273109154,43.09029121933223,58.26868600133092,63.92147615749341,63.99999999999984,63.89916861651722,63.97320994952716,63.9999999995498,60.37677784145674,60.37677784201173,63.95559211491046,63.94827935462961,63.956277132963294,64.0,63.999999999963435,63.976301720652806,64.0,60.312579596842454,60.31257956640755,63.95345935619864,63.94613762665942,63.95414626669208,64.0,64.0,63.97482177642407,63.999993044192834,60.72437819317886,60.72437819318572,63.96423281911775,63.9597322358544,63.964619721393376,64.0,63.9999985498265,63.97884198280792
Oversampling used pred5 [1],,,,,,,,,,55.3356744715321,60.632212069479124,60.63221196640716,57.77100610648249,57.6314476411909,57.98071279532794,63.99999402620804,53.72186999607193,63.9999569379304,63.84972160237521,62.32528786637355,62.325287950084025,56.45426742494584,63.294141065095694,63.99944398587075,63.999999999999986,63.916739640762586,63.99997934649126,63.999999999858105,63.75990245612813,63.759902456238066,63.999873073800885,63.999806807816434,63.99987849487664,64.0,63.99999999998969,63.99998755045372,64.0,63.75336313477757,63.75336312867212,63.999863945267,63.99979617095279,63.999869527296795,64.0,64.0,63.99998630993118,63.999996708413505,63.81520835686801,63.815208356869206,63.999923590475184,63.99989304951445,63.99992594613176,64.0,63.999999361440445,63.999990064535076
Oversampling used pred6 [1],,,,,,,,,,57.79351946689511,63.870673467362224,63.87067345418619,63.684204519142114,63.65585490238851,63.72446630376015,63.99999844497704,54.622501722547995,63.99999999998928,63.987407368682945,63.979959663568025,63.97995966709663,63.67700696870729,63.998505869157434,63.99999999999902,64.0,63.943038751132114,63.999999999999986,64.0,63.999645231681534,63.99964523168212,64.0,63.999999999999986,64.0,64.0,63.99999999999878,64.0,64.0,63.999635267137066,63.99963526710414,64.0,63.999999999999986,64.0,64.0,64.0,64.0,63.999999997659266,63.99998869307779,63.99998869307779,64.0,64.0,64.0,64.0,63.99999983622155,64.0
Oversampling used pred7 [1],,,,,,,,,,59.84455146080821,63.99742186192207,63.99742186137135,63.99737375858518,63.996715813205775,63.998173679585165,63.99999999994994,60.81690292992434,64.0,63.997236113263334,63.999938493757035,63.999938493781066,63.98958605428406,63.9999998282393,64.0,64.0,63.998962609746656,64.0,64.0,63.99999999133225,63.99999999133225,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.999999991311824,63.999999991311824,64.0,64.0,64.0,64.0,64.0,64.0,63.99999999997444,63.99999999893721,63.99999999893721,64.0,64.0,64.0,64.0,63.99999999999842,64.0
Oversampling used pred8 [1],,,,,,,,,,57.97559676669631,63.999912085434566,63.99991208540626,63.99993340785833,63.99990474460861,63.99996311952407,63.999999998247624,59.21510320990911,64.0,63.98946254075763,63.99999972919254,63.99999972919271,63.99944659412927,63.99999998298451,64.0,64.0,63.9954933834476,64.0,64.0,63.99999999999991,63.99999999999991,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.99999999999991,63.99999999999991,64.0,64.0,64.0,64.0,64.0,64.0,63.999999998982126,64.0,64.0,64.0,64.0,64.0,64.0,63.99999999991007,64.0
Oversampling used pred9 [1],,,,,,,,,,62.85260838251933,63.99999954225413,63.9999995422539,63.999999805726176,63.999999647696434,63.99999992857246,63.99999994677292,56.95591914966829,64.0,63.999977883908095,63.99999999997628,63.99999999997628,63.99999988089039,63.99999999999965,64.0,64.0,63.98178349793448,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.99999999999999,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.99999999569336,64.0
Oversampling used pred10 [1],,,,,,,,,,62.09266318848336,63.999999999890655,63.999999999890655,63.999999975090674,63.99999994802902,63.99999998657632,63.99999936026028,54.69018325775657,64.0,63.999860769172805,63.99999999999791,63.99999999999791,63.99999998781025,64.0,64.0,64.0,63.95000348417057,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.99999999999966,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.999999928445945,64.0
Oversampling used pred11 [1],,,,,,,,,,61.195390192973164,63.999999999981476,63.999999999981476,63.999999999994884,63.99999999999465,63.999999999994884,63.99999571892357,52.496616177230095,64.0,63.999436139429285,64.0,64.0,63.99999999999952,64.0,64.0,64.0,63.89228530135221,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.9999999999895,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.999999999999844,64.0,64.0,64.0,64.0,64.0,64.0,63.9999993891543,64.0
Oversampling used bw0 [1],31.302875382764277,2.2590408308112657,2.259040830809603,2.095871796817967,2.0973885995384336,3.444765250641879,54.990592621007025,18.702872828841286,3.128463915733235,42.473937543694234,4.997969926961829,4.997969923434049,4.36158347542969,4.359040594755292,4.365383790173155,63.853614643502276,41.959399079470145,17.367052514222813,62.283832780381424,5.609147053092094,5.609147058236289,4.225068525752924,6.2059242254289515,15.671586209064678,63.999495544777446,62.439030120555664,16.483599255988892,63.999794994284834,7.239913610287047,7.2399136103236685,15.851981119690457,15.82293216095428,15.85485175951576,63.99999931534918,63.999853633007596,16.558305819550007,63.99999999999998,7.082311665646387,7.08231166372331,15.737654800789286,15.709931401606262,15.74039192382753,64.0,63.99999999999999,16.436978203736665,63.97637682593797,7.456689699599671,7.456689699600304,16.39544480706718,16.37364667644615,16.397398694395832,63.998778045455296,63.976890441252316,17.156419275342806
Oversampling used bw1 [1],21.061648555198566,4.407558166779573,4.407558166770976,4.0980981256085585,4.10628887098531,6.640488148804884,59.21738835281166,15.88324305306731,8.30577678502209,45.066451609287206,8.587350886146858,8.587350875511213,6.617369747973797,6.6104724210373575,6.627695405160331,63.97951336453555,44.78363708107473,32.58551069507762,62.99228750109101,10.759011727585431,10.759011744648099,6.212096527746304,12.953492010412305,30.252217334533817,63.99999369302795,63.08983219530068,31.85038012671854,63.9999922994126,15.080193972853678,15.080193972981967,30.680407598216085,30.596474301181367,30.688716429281065,63.999999999794454,63.99999482178066,31.971566991186563,64.0,14.9736313330448,14.97363132618878,29.74612641815785,29.66676456169653,29.753975340601166,64.0,64.0,31.78220707881944,63.99647454008047,15.623890430772569,15.62389043077441,31.046821037462664,30.985039329036475,31.05236580241889,63.999990312810375,63.99723923996683,32.28509025505423
Oversampling used bw2 [1],19.90881382819972,8.369052372246742,8.369052372203406,7.819626654640238,7.861453076556124,18.38723028503604,63.366864366189176,18.242797652468973,27.100281451831712,46.90746978179896,14.34830709762442,14.348307072199162,11.189268106249436,11.172219664372669,11.214838361995959,63.99571743979448,46.85736142691134,45.89785724605254,63.272168980261995,17.637352975710336,17.637353015148328,10.510272714300172,21.05334169517841,43.190820065620265,63.99999983739642,63.41228491832096,45.16931017967043,63.99999904592669,24.191510939586003,24.191510939865672,43.82675052320055,43.68974947044642,43.84032530424648,63.99999999999987,63.999999599060146,45.3042416702491,64.0,24.042512841679205,24.042512826634564,43.64029421765158,43.50849737258969,43.653340258956945,64.0,64.0,45.10804511770445,63.99907779940347,25.15775974684926,25.157759746852783,44.250482011095556,44.15021599172297,44.25948643140326,63.99999988319652,63.99946073045411,45.62845951778711
Oversampling used bw3 [1],25.473496577995526,24.989409182808743,24.98940918253261,23.736838140567095,24.01887997325104,49.38984414055838,63.95741625910916,20.742513490390955,55.78163246365173,49.53632028948566,27.423157009135934,27.423156936228054,22.614062852840007,22.559606962569788,22.696043306459963,63.99964401266313,49.94222726684876,60.189947542258814,63.54882913772357,33.138291732398415,33.13829183747086,21.102872173205554,37.49461121022034,58.510092847167456,63.99999999958508,63.72183384950648,59.89888697060601,63.99999994607772,41.678081499900486,41.67808150052342,59.08643327684744,58.95270844241114,59.09963687708026,64.0,63.99999999302613,59.98243062803721,64.0,41.504858401653195,41.50485836798383,58.99073906978439,58.86063878700594,59.00357468497668,64.0,64.0,59.88847417208281,63.99985436176836,43.33465324559673,43.33465324560423,59.353297738401935,59.257896773739304,59.361841624787395,63.999999999953154,63.99995919050984,60.13769855665233
Oversampling used bw4 [1],37.506433135794055,52.602702136869866,52.602702136869866,51.80891581065491,51.80891581065491,63.79495190736184,63.99759695439272,23.346251542572297,63.78920572241831,51.411415818640606,49.43269365942699,49.43269350905052,44.76307505203694,44.620721495526354,44.97825704404883,63.99998563501601,53.25728878143783,63.973294477327606,63.82105662534466,54.28200256308439,54.28200273109154,43.09029121933223,58.26868600133092,63.92147615749341,63.99999999999984,63.89916861651722,63.97320994952716,63.9999999995498,60.37677784145674,60.37677784201173,63.95559211491046,63.94827935462961,63.956277132963294,64.0,63.999999999963435,63.976301720652806,64.0,60.312579596842454,60.31257956640755,63.95345935619864,63.94613762665942,63.95414626669208,64.0,64.0,63.97482177642407,63.999993044192834,60.72437819317886,60.72437819318572,63.96423281911775,63.9597322358544,63.964619721393376,64.0,63.9999985498265,63.97884198280792
Oversampling used bw5 [1],,,,,,,,,,55.3356744715321,60.632212069479124,60.63221196640716,57.77100610648249,57.6314476411909,57.98071279532794,63.99999402620804,53.72186999607193,63.9999569379304,63.84972160237521,62.32528786637355,62.325287950084025,56.45426742494584,63.294141065095694,63.99944398587075,63.999999999999986,63.916739640762586,63.99997934649126,63.999999999858105,63.75990245612813,63.759902456238066,63.999873073800885,63.999806807816434,63.99987849487664,64.0,63.99999999998969,63.99998755045372,64.0,63.75336313477757,63.75336312867212,63.999863945267,63.99979617095279,63.999869527296795,64.0,64.0,63.99998630993118,63.999996708413505,63.81520835686801,63.815208356869206,63.999923590475184,63.99989304951445,63.99992594613176,64.0,63.999999361440445,63.999990064535076
Oversampling used bw6 [1],,,,,,,,,,57.79351946689511,63.870673467362224,63.87067345418619,63.684204519142114,63.65585490238851,63.72446630376015,63.99999844497704,54.622501722547995,63.99999999998928,63.987407368682945,63.979959663568025,63.97995966709663,63.67700696870729,63.998505869157434,63.99999999999902,64.0,63.943038751132114,63.999999999999986,64.0,63.999645231681534,63.99964523168212,64.0,63.999999999999986,64.0,64.0,63.99999999999878,64.0,64.0,63.999635267137066,63.99963526710414,64.0,63.999999999999986,64.0,64.0,64.0,64.0,63.999999997659266,63.99998869307779,63.99998869307779,64.0,64.0,64.0,64.0,63.99999983622155,64.0
Oversampling used bw7 [1],,,,,,,,,,59.84455146080821,63.99742186192207,63.99742186137135,63.99737375858518,63.996715813205775,63.998173679585165,63.99999999994994,60.81690292992434,64.0,63.997236113263334,63.999938493757035,63.999938493781066,63.98958605428406,63.9999998282393,64.0,64.0,63.998962609746656,64.0,64.0,63.99999999133225,63.99999999133225,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.999999991311824,63.999999991311824,64.0,64.0,64.0,64.0,64.0,64.0,63.99999999997444,63.99999999893721,63.99999999893721,64.0,64.0,64.0,64.0,63.99999999999842,64.0
Oversampling used bw8 [1],,,,,,,,,,57.97559676669631,63.999912085434566,63.99991208540626,63.99993340785833,63.99990474460861,63.99996311952407,63.999999998247624,59.21510320990911,64.0,63.98946254075763,63.99999972919254,63.99999972919271,63.99944659412927,63.99999998298451,64.0,64.0,63.9954933834476,64.0,64.0,63.99999999999991,63.99999999999991,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.99999999999991,63.99999999999991,64.0,64.0,64.0,64.0,64.0,64.0,63.999999998982126,64.0,64.0,64.0,64.0,64.0,64.0,63.99999999991007,64.0
Oversampling used bw9 [1],,,,,,,,,,62.85260838251933,63.99999954225413,63.9999995422539,63.999999805726176,63.999999647696434,63.99999992857246,63.99999994677292,56.95591914966829,64.0,63.999977883908095,63.99999999997628,63.99999999997628,63.99999988089039,63.99999999999965,64.0,64.0,63.98178349793448,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.99999999999999,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.99999999569336,64.0
Oversampling used bw10 [1],,,,,,,,,,62.09266318848336,63.999999999890655,63.999999999890655,63.999999975090674,63.99999994802902,63.99999998657632,63.99999936026028,54.69018325775657,64.0,63.999860769172805,63.99999999999791,63.99999999999791,63.99999998781025,64.0,64.0,64.0,63.95000348417057,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.99999999999966,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.999999928445945,64.0
Oversampling used bw11 [1],,,,,,,,,,61.195390192973164,63.999999999981476,63.999999999981476,63.999999999994884,63.99999999999465,63.999999999994884,63.99999571892357,52.496616177230095,64.0,63.999436139429285,64.0,64.0,63.99999999999952,64.0,64.0,64.0,63.89228530135221,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.9999999999895,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.999999999999844,64.0,64.0,64.0,64.0,64.0,64.0,63.9999993891543,64.0
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",931.2414905129898,603.7866629970722,603.7866629970722,559.1337152950158,559.1337152950158,931.2414905129898,1809.0904657256951,1809.0904657256951,1628.2786778496668,2511.6897145573553,1162.8485129365304,1162.8485129365304,1005.0053854489457,1005.0053854489457,1005.0053854489457,4576.81127226378,4576.81127226378,2927.246459022404,1369.9587468457216,739.9202789596652,739.9202789596652,548.1694318247697,822.0992112836918,1369.9587468457216,2496.3359141432534,2496.3359141432534,1596.6154427183094,964.1342651844309,624.8353800384707,624.8353800384707,964.1342651844309,964.1342651844309,964.1342651844309,1756.8443345598678,1756.8443345598678,1123.6483696216517,440.17355597011345,285.2676338925193,285.2676338925193,440.17355597011345,440.17355597011345,440.17355597011345,802.0830392517163,802.0830392517163,512.9992577598294,1657.447518022577,1074.1554517174807,1074.1554517174807,1657.447518022577,1657.447518022577,1657.447518022577,3020.203232244655,3020.203232244655,1931.6697913193286
"Channels predict, no-smear1",1861.5105341316757,1206.6011546294023,1206.6011546294023,1117.2953217949262,1117.2953217949262,1861.5105341316757,3617.208237988821,3617.208237988821,3255.584691283069,3767.259952131288,1743.998188401229,1743.998188401229,1507.2335084877068,1507.2335084877068,1507.2335084877068,6864.942273636082,6864.942273636082,4390.595064095621,2054.7831546141115,1109.7254693717287,1109.7254693717287,822.0992112836918,1232.9938642529864,2054.7831546141115,3744.3488967734665,3744.3488967734665,2394.7681956579695,1446.0929017246065,937.1445813732993,937.1445813732993,1446.0929017246065,1446.0929017246065,1446.0929017246065,2635.15799966488,2635.15799966488,1685.3640564542193,660.2103737905189,427.85149409557937,427.85149409557937,660.2103737905189,660.2103737905189,660.2103737905189,1203.0745958683376,1203.0745958683376,769.4489255803708,2485.9873730119093,1611.049285867178,1611.049285867178,2485.9873730119093,2485.9873730119093,2485.9873730119093,4530.120934113291,4530.120934113291,2897.3207797379746
"Channels predict, no-smear2",3722.048367432926,2412.2297464079625,2412.2297464079625,2233.6181120846836,2233.6181120846836,3722.048367432926,7233.443651746777,7233.443651746777,6510.1965728741225,5022.83018303477,2325.1478494585263,2325.1478494585263,2009.4616148571042,2009.4616148571042,2009.4616148571042,9153.073271346264,9153.073271346264,5853.943663441757,2739.607558487833,1479.5306525735034,1479.5306525735034,1096.0289810115794,1643.8885107326514,2739.607558487833,4992.361877262363,4992.361877262363,3192.9209452546934,1928.0515355533043,1249.4537785218913,1249.4537785218913,1928.0515355533043,1928.0515355533043,1928.0515355533043,3513.4716632831455,3513.4716632831455,2247.0797409596876,880.2471903509299,570.4353523546921,570.4353523546921,880.2471903509299,880.2471903509299,880.2471903509299,1604.0661517954907,1604.0661517954907,1025.8985923202388,3314.5272234667896,2147.943113021092,2147.943113021092,3314.5272234667896,3314.5272234667896,3314.5272234667896,6040.038633493189,6040.038633493189,3862.9717642657424
"Channels predict, no-smear3",7443.123906952532,4823.48673394533,4823.48673394533,4466.26348098825,4466.26348098825,7443.123906952532,14465.914413852615,14465.914413852615,13019.420263376436,7533.970638170312,3487.4471571609083,3487.4471571609083,3013.917810920462,3013.917810920462,3013.917810920462,13729.335263104213,13729.335263104213,8780.640856407961,4109.256362339347,2219.14101176475,2219.14101176475,1643.8885107326514,2465.6777971987854,4109.256362339347,7488.387836098659,7488.387836098659,4789.226441112072,2891.968800495013,1874.0721686334662,1874.0721686334662,2891.968800495013,2891.968800495013,2891.968800495013,5270.098989032808,5270.098989032808,3370.5111076432245,1320.3208222098451,855.6030669285161,855.6030669285161,1320.3208222098451,1320.3208222098451,1320.3208222098451,2406.0492629538408,2406.0492629538408,1538.7979247168228,4971.606919841428,3221.730760331539,3221.730760331539,4971.606919841428,4971.606919841428,4971.606919841428,9059.874029764045,9059.874029764045,5794.273729429907
"Channels predict, no-smear4",14885.274922420835,9646.000610935875,9646.000610935875,8931.554112875032,8931.554112875032,14885.274922420835,28930.855905350065,28930.855905350065,26037.867607994198,12556.251540408359,5812.045755267206,5812.045755267206,5022.83018303477,5022.83018303477,5022.83018303477,22881.859242246133,22881.859242246133,14634.035235477146,6848.5539653768465,3698.3617214896512,3698.3617214896512,2739.607558487833,4109.256362339347,6848.5539653768465,12480.43975123657,12480.43975123657,7981.837428793979,4819.803327119454,3123.308943830835,3123.308943830835,4819.803327119454,4819.803327119454,4819.803327119454,8783.353638730738,8783.353638730738,5617.3738382134225,2200.4680844190366,1425.9384937424293,1425.9384937424293,2200.4680844190366,2200.4680844190366,2200.4680844190366,4010.0154844540652,4010.0154844540652,2564.5965882148244,8285.76630714385,5369.306046552494,5369.306046552494,8285.76630714385,8285.76630714385,8285.76630714385,15099.544819346385,15099.544819346385,9656.87765508817
"Channels predict, no-smear5",,,,,,,,,,17578.532439633425,8136.644346788232,8136.644346788232,7031.742547520076,7031.742547520076,7031.742547520076,32034.383219760202,32034.383219760202,20487.429611910986,9587.851566631676,5177.5824279175995,5177.5824279175995,3835.3266017939427,5752.834924515444,9587.851566631676,17472.491665383553,17472.491665383553,11174.448414962055,6747.637852514593,4372.54571711229,4372.54571711229,6747.637852514593,6747.637852514593,6747.637852514593,12296.60828776359,12296.60828776359,7864.236567728094,3080.6153460537075,1996.2739196668836,1996.2739196668836,3080.6153460537075,3080.6153460537075,3080.6153460537075,5613.981705611628,5613.981705611628,3590.395251217516,11599.925692369377,7516.881329584529,7516.881329584529,11599.925692369377,11599.925692369377,11599.925692369377,21139.215607677965,21139.215607677965,13519.481578975125
"Channels predict, no-smear6",,,,,,,,,,27623.094235464625,12785.841524431838,12785.841524431838,11049.567270263373,11049.567270263373,11049.567270263373,50339.43117338024,50339.43117338024,32194.218362539585,15066.446767662303,8136.023838057545,8136.023838057545,6026.764684762012,9039.99204641778,15066.446767662303,27456.595492975874,27456.595492975874,17559.670386028447,10603.30690224929,6871.019262117228,6871.019262117228,10603.30690224929,10603.30690224929,10603.30690224929,19323.11758529115,19323.11758529115,12357.962025880577,4840.909868830683,3136.944770783244,3136.944770783244,4840.909868830683,4840.909868830683,4840.909868830683,8821.91414772804,8821.91414772804,5641.992576805486,18228.244461150298,11812.031892985902,11812.031892985902,18228.244461150298,18228.244461150298,18228.244461150298,33218.55718360824,33218.55718360824,21244.689425282002
"Channels predict, no-smear7",,,,,,,,,,37667.65603029708,17435.03869966,17435.03869966,15067.391990198219,15067.391990198219,15067.391990198219,68644.47912648872,68644.47912648872,43901.00711260044,20545.041968064605,11094.465247025146,11094.465247025146,8218.202766101153,12327.14916724701,20545.041968064605,37440.69931984898,37440.69931984898,23944.89235654539,14458.975951528024,9369.492806415708,9369.492806415708,14458.975951528024,14458.975951528024,14458.975951528024,26349.62688235958,26349.62688235958,16851.68748361234,6601.204391408641,4277.615621592935,4277.615621592935,6601.204391408641,6601.204391408641,6601.204391408641,12029.846589709447,12029.846589709447,7693.589902261288,24856.56322909094,16107.182455237864,16107.182455237864,24856.56322909094,24856.56322909094,24856.56322909094,45297.898759003605,45297.898759003605,28969.89727092497
"Channels predict, no-smear8",,,,,,,,,,45201.07737624433,20921.93658050782,20921.93658050782,18080.76052947859,18080.76052947859,18080.76052947859,82373.26509018058,82373.26509018058,52681.09867435777,24653.988368231738,13313.296303445573,13313.296303445573,9861.781326708258,14792.517007608449,24653.988368231738,44928.77719007878,44928.77719007878,28733.8088344391,17350.727738383684,11243.34796445438,11243.34796445438,17350.727738383684,17350.727738383684,17350.727738383684,31619.508855287142,31619.508855287142,20221.98157672374,7921.425283300245,5133.118759595582,5133.118759595582,7921.425283300245,7921.425283300245,7921.425283300245,14435.795921088982,14435.795921088982,9232.287896301332,29827.802305074,19328.54537663272,19328.54537663272,29827.802305074,29827.802305074,29827.802305074,54357.40494034131,54357.40494034131,34763.803155122936
