,max_LOW_continuum [],max_LOW_spectral [],max_MID_continuum [],max_MID_spectral [],max_Band5_MID_continuum [],max_Band5_MID_spectral [],01ICAL [],01DPrepA [],01DPrepB [],01DPrepC [],02AICAL [],02ADPrepA [],02ADPrepB [],02ADPrepC [],02BICAL [],02BDPrepA [],02BDPrepB [],02BDPrepC [],13ICAL [] [Bmax=40000],13DPrepA [] [Bmax=40000],13DPrepB [] [Bmax=40000],13DPrepC [] [Bmax=40000],14ICAL [] [Bmax=25000],14DPrepA [] [Bmax=25000],14DPrepB [] [Bmax=25000],14DPrepC [] [Bmax=25000],15ICAL [] [Bmax=15000],15DPrepA [] [Bmax=15000],15DPrepB [] [Bmax=15000],15DPrepC [] [Bmax=15000],22ICAL [],22DPrepA [],22DPrepB [],27ICAL [] [Bmax=50000],27DPrepA [] [Bmax=50000],27DPrepB [] [Bmax=50000],32ICAL [] [Bmax=20000],32DPrepB [] [Bmax=20000],37aICAL [],37aDPrepA [],37aDPrepB [],37bICAL [],37bDPrepA [],37bDPrepB [],37cICAL [] [Bmax=95000],37cDPrepA [] [Bmax=95000],37cDPrepB [] [Bmax=95000],38aICAL [],38aDPrepA [],38aDPrepB [],38bICAL [],38bDPrepA [],38bDPrepB []
Combined samples full3,3.0,2.0,13.0,7.0,14.0,7.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,7.0,7.0,7.0,2.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,5.0,14.0,14.0,9.0,9.0,9.0,3.0,3.0,7.0,14.0,14.0,5.0,14.0,14.0,7.0,14.0,14.0,7.0,14.0,14.0,5.0,14.0,14.0
Combined samples full4,1.0,1.0,8.0,4.0,8.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,,,,,3.0,8.0,8.0,5.0,5.0,5.0,2.0,2.0,4.0,8.0,8.0,3.0,8.0,8.0,4.0,8.0,8.0,4.0,8.0,8.0,3.0,8.0,8.0
Combined samples full5,,,5.0,3.0,6.0,3.0,,,,,,,,,,,,,1.0,3.0,3.0,3.0,,,,,,,,,2.0,6.0,6.0,3.0,3.0,3.0,,,3.0,6.0,6.0,2.0,6.0,6.0,3.0,6.0,6.0,3.0,6.0,6.0,2.0,6.0,6.0
Combined samples full6,,,3.0,2.0,3.0,2.0,,,,,,,,,,,,,1.0,2.0,2.0,2.0,,,,,,,,,1.0,3.0,3.0,2.0,2.0,2.0,,,2.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0
Combined samples full7,,,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,,,,,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0
Combined samples full8,,,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,,,,,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0
Combined samples full9,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
Combined samples full10,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0
Combined samples full11,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0
Combined samples facet0,52.0,16.0,174.0,23.0,107.0,23.0,48.0,31.0,31.0,16.0,57.0,31.0,31.0,16.0,57.0,31.0,31.0,16.0,33.0,21.0,21.0,21.0,31.0,13.0,13.0,13.0,14.0,8.0,8.0,8.0,67.0,43.0,43.0,26.0,26.0,26.0,10.0,10.0,136.0,105.0,105.0,78.0,105.0,105.0,78.0,42.0,42.0,59.0,43.0,43.0,66.0,43.0,43.0
Combined samples facet1,26.0,8.0,116.0,15.0,71.0,15.0,24.0,15.0,15.0,8.0,28.0,15.0,15.0,8.0,28.0,15.0,15.0,8.0,22.0,14.0,14.0,14.0,20.0,8.0,8.0,9.0,10.0,5.0,5.0,5.0,45.0,29.0,29.0,18.0,18.0,18.0,7.0,7.0,91.0,70.0,70.0,52.0,70.0,70.0,52.0,28.0,28.0,39.0,28.0,28.0,44.0,28.0,28.0
Combined samples facet2,13.0,4.0,87.0,11.0,53.0,11.0,12.0,7.0,7.0,4.0,14.0,7.0,7.0,4.0,14.0,7.0,7.0,4.0,16.0,10.0,10.0,10.0,15.0,6.0,6.0,6.0,7.0,4.0,4.0,4.0,33.0,21.0,21.0,13.0,13.0,13.0,5.0,5.0,68.0,52.0,52.0,39.0,52.0,52.0,39.0,21.0,21.0,29.0,21.0,21.0,33.0,21.0,21.0
Combined samples facet3,6.0,2.0,58.0,7.0,35.0,7.0,6.0,3.0,3.0,2.0,7.0,3.0,3.0,2.0,7.0,3.0,3.0,2.0,11.0,7.0,7.0,7.0,10.0,4.0,4.0,4.0,5.0,2.0,2.0,2.0,22.0,14.0,14.0,9.0,9.0,9.0,3.0,3.0,45.0,35.0,35.0,26.0,35.0,35.0,26.0,14.0,14.0,19.0,14.0,14.0,22.0,14.0,14.0
Combined samples facet4,3.0,1.0,34.0,4.0,21.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,6.0,4.0,4.0,4.0,6.0,2.0,2.0,2.0,,,,,13.0,8.0,8.0,5.0,5.0,5.0,2.0,2.0,27.0,21.0,21.0,15.0,21.0,21.0,15.0,8.0,8.0,11.0,8.0,8.0,13.0,8.0,8.0
Combined samples facet5,,,24.0,3.0,15.0,3.0,,,,,,,,,,,,,4.0,3.0,3.0,3.0,,,,,,,,,9.0,6.0,6.0,3.0,3.0,3.0,,,19.0,15.0,15.0,11.0,15.0,15.0,11.0,6.0,6.0,8.0,6.0,6.0,9.0,6.0,6.0
Combined samples facet6,,,15.0,2.0,9.0,2.0,,,,,,,,,,,,,4.0,2.0,2.0,2.0,,,,,,,,,6.0,3.0,3.0,2.0,2.0,2.0,,,12.0,9.0,9.0,7.0,9.0,9.0,7.0,3.0,3.0,5.0,3.0,3.0,6.0,3.0,3.0
Combined samples facet7,,,11.0,1.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,2.0,,,,,,9.0,7.0,7.0,5.0,7.0,7.0,5.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0
Combined samples facet8,,,9.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,2.0,,,,,,7.0,5.0,5.0,4.0,5.0,5.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0
Combined samples facet9,,,7.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,,,,,,6.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0
Combined samples facet10,,,6.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,5.0,4.0,4.0,3.0,4.0,4.0,,,,2.0,1.0,1.0,2.0,1.0,1.0
Combined samples facet11,,,5.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,4.0,3.0,3.0,2.0,3.0,3.0,,,,1.0,1.0,1.0,2.0,1.0,1.0
Kernel time pred0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred5 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,10.0,10.0,10.0,10.0,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred6 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,10.0,10.0,10.0,10.0,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred7 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred8 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred9 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred10 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,,,,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred11 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,,,,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward5 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,10.0,10.0,10.0,10.0,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward6 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,10.0,10.0,10.0,10.0,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward7 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward8 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward9 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward10 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,,,,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward11 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,,,,10.0,10.0,10.0,10.0,10.0,10.0
Visibilities kernel pred0 [1],1.9009290153299452,112.69683142934099,2.413398319031504,361.81943714412523,4.767783250593256,1018.3507326121172,2.0535388502146423,3.1631285686924917,3.144023075719295,3.6659096238088096,1.7142582487181852,3.1631285686924917,3.144023075719295,3.6659096238088096,1.7142582487181852,3.1631285686924917,3.144023075719295,3.6659096238088096,6.535079033631482,15.651786984955619,18.640621919800655,116.31722740247324,9.583459354581287,16.58890658242663,3.2303873024060294,359.5283192009857,11.376166528352881,15.426585584546226,14.962754176434094,171.57656346097306,6.64985923805222,16.000250203910017,19.88778486056379,16.314402374329596,16.39321739215308,16.053555782640256,16.709187765831047,17.54470117603243,4.120613061497261,4.019376760081931,5.784512195513928,5.4018937124050455,4.019376760081931,5.784512195513928,5.414117114367465,16.972109464404692,16.668487826602927,8.584944725636715,16.352269227191808,16.18280615209685,6.909401469035329,16.352269227191808,16.18280615209685
Visibilities kernel pred1 [1],3.7687092082340237,150.43576529313427,3.5943164988568674,486.50498850424503,5.935234825504321,1502.11548489154,4.077031319444432,6.267141937080423,6.163369856169524,8.580491455485735,3.411586895271359,6.267141937080423,6.163369856169524,8.580491455485735,3.411586895271359,6.267141937080423,6.163369856169524,8.580491455485735,14.444716416209317,34.27445723803677,31.985179373253303,162.3924547165911,10.42579373033281,39.64897932137663,5.027791921864932,444.1973033986287,14.24166380820828,36.124210708036394,34.281537820653575,274.52250153755693,14.784916743230255,35.4517109538056,34.77897336512262,34.76047488794423,35.06108819218351,33.78897605842837,33.195175636109035,35.94738637885795,4.556953784073699,6.130611221611208,6.056598727347934,11.05247687132898,6.130611221611208,6.056598727347934,11.097979878804718,37.85488631552382,36.6557712776735,19.412038816989273,37.523615319659434,36.82254399334477,15.494818205250754,37.523615319659434,36.82254399334477
Visibilities kernel pred2 [1],7.372323357052124,272.76962639994053,4.753538847264438,587.6175471571477,10.552277077063192,1963.2881899811161,8.004723979748617,19.412610722274692,18.578584058810748,32.644838940142165,6.744452516543306,19.412610722274692,18.578584058810748,32.644838940142165,6.744452516543306,19.412610722274692,18.578584058810748,32.644838940142165,25.951412358905152,62.067531832393165,56.301651820030784,211.19782819308165,13.471732797582076,68.93273074815359,6.397299385759184,580.1152217585658,19.29324165407437,58.56492520089039,54.34927632426026,343.1531269219461,26.7426382837703,64.98833475028023,63.131639041792916,62.95724936614259,63.77042333522392,60.3966684248589,57.36503560041313,63.92886110745956,6.301047156715433,10.959785900118138,10.759350076249056,19.490276284321123,10.959785900118138,10.759350076249056,19.612370474038002,66.6196700899486,63.50540506475565,34.664845373620395,66.41019241816663,64.54195529834313,27.441442861624505,66.41019241816663,64.54195529834313
Visibilities kernel pred3 [1],25.78811152725135,444.43768053871514,8.617847817801607,749.6814765923818,23.711488003006103,2822.494702052165,28.251674995287356,85.03200242375699,76.67421025735855,115.85191090428997,20.767764236311727,85.03200242375699,76.67421025735855,115.85191090428997,20.767764236311727,85.03200242375699,76.67421025735855,115.85191090428997,54.11407138326153,124.52124309705805,107.25197912836036,261.76324826266097,24.329340273071058,147.59118610510086,8.7092563426019,692.0373611868714,31.261232243699027,165.37253978410968,147.14028140221686,686.3062538438923,59.44661463300233,144.71632466928992,137.5060304509783,130.66941816204093,133.56078886181905,122.0410060370324,123.76931963912355,144.6295450413719,13.87077142450582,24.19843725793901,23.415980804794238,43.03716991400327,24.19843725793901,23.415980804794238,43.518643871371076,146.43086207121837,134.99385635283215,78.60304899069362,147.86007699482866,140.60451298614956,61.19426249763649,147.86007699482866,140.60451298614956
Visibilities kernel pred4 [1],90.25759571762504,635.0350441663563,23.437246083806578,959.8064283365118,64.16279256424208,4153.875138893187,99.88993628062082,336.47566016065014,336.47566016065014,336.7884281076634,89.7135580417565,336.47566016065014,336.47566016065014,336.7884281076634,89.7135580417565,336.47566016065014,336.47566016065014,336.7884281076634,149.73224372008562,316.9327345269937,252.67289855177472,411.8747953378822,58.761259054324,441.8906717755232,14.47729099229364,994.4465223578582,,,,,162.8229573177752,411.5596187199132,372.4773079210638,356.554204552383,371.03545091783457,317.419628167055,216.82329787226064,262.4090732958627,36.02899173965817,65.71087943165179,61.54010954839849,118.91171021297777,65.71087943165179,61.54010954839849,121.58175677197806,404.3484770636991,349.04422454889675,221.02014854183693,420.349046350154,381.0185919473608,168.87095101991778,420.349046350154,381.0185919473608
Visibilities kernel pred5 [1],,,44.232697482766596,1019.7626167569908,121.99736861348984,4747.749147204881,,,,,,,,,,,,,284.5043862100916,520.1310031588328,394.6050575014466,632.7388404143305,,,,,,,,,318.3141863514303,746.0016989089236,643.044225173727,755.5309637474404,798.5693821379522,648.1195097378312,,,66.7125322913886,125.42750123352977,113.52471299919493,215.98026539559424,125.42750123352977,113.52471299919493,223.39571269799947,710.8366109537086,579.6111613375858,413.9435835476396,761.6315175010776,658.0223679445787,332.8751594074169,761.6315175010776,658.0223679445787
Visibilities kernel pred6 [1],,,100.19930644964666,1108.9560737347906,298.6630796660636,5539.402786838007,,,,,,,,,,,,,309.77775310312535,839.7705589008226,625.7986251413421,997.996759719297,,,,,,,,,696.5077527617524,2195.8990658821413,1735.965965098938,1412.339297598814,1520.1556915647445,1165.4714115947468,,,144.00887720273522,309.5094913898179,262.77002814425396,480.3495250851319,309.5094913898179,262.77002814425396,507.66462516026996,1976.4787752673253,1480.9337280444377,978.6312567315396,2240.102284714694,1777.3771419631837,740.6700636451573,2240.102284714694,1777.3771419631837
Visibilities kernel pred7 [1],,,168.18683893473585,1766.0359938906392,487.7916568757954,9111.796350075523,,,,,,,,,,,,,,,,,,,,,,,,,1318.8872517162376,4191.791235791588,3094.3858522955184,,,,,,229.75692721276363,509.2556338065228,409.7098527118564,827.5386192394589,509.2556338065228,409.7098527118564,890.3980743852595,3598.1460758507505,2550.91515116601,2083.339322628838,4272.999816417197,3169.384861536887,1424.3219979707067,4272.999816417197,3169.384861536887
Visibilities kernel pred8 [1],,,229.3302823110333,1541.8020582491304,777.1215450744953,8069.761738830457,,,,,,,,,,,,,,,,,,,,,,,,,1992.9284678223976,4775.825431789845,3384.0179703441236,,,,,,324.26317526733675,815.3440106539903,634.3679326668687,1153.8292237217886,815.3440106539903,634.3679326668687,1255.2166402369428,3981.154896986016,2741.3382562760517,2379.4601156213034,4865.946497767355,3466.7315687345813,2174.4557326135387,4865.946497767355,3466.7315687345813
Visibilities kernel pred9 [1],,,329.0288188370125,1326.1316610243002,1108.0302708463657,7029.30689195185,,,,,,,,,,,,,,,,,,,,,,,,,2262.6001089926967,10910.245277366808,7400.27452714755,,,,,,415.1814554190155,1169.2568445714949,876.862661302461,1716.434794059009,1169.2568445714949,876.862661302461,1298.4290602932006,4095.2389232097535,2797.3083595419866,4088.577581004122,11109.773547907624,7582.64751090614,2498.2236126471084,11109.773547907624,7582.64751090614
Visibilities kernel pred10 [1],,,417.1418030289922,1168.8252953078747,1225.5664839850722,6248.529767516394,,,,,,,,,,,,,,,,,,,,,,,,,3739.3029694631778,12081.667281184124,7919.956739793052,,,,,,534.6459537291292,1299.6288691771877,946.2788711165698,1864.9503358047752,1299.6288691771877,946.2788711165698,,,,4538.588422288904,12296.700127022497,8116.294178804241,4170.285073125798,12296.700127022497,8116.294178804241
Visibilities kernel pred11 [1],,,534.5936115546182,1048.4612499503448,1770.3745187936959,5639.615516686437,,,,,,,,,,,,,,,,,,,,,,,,,4038.0586055025396,13102.120795836428,8359.948878206009,,,,,,706.8649666451713,1885.1296030961878,1340.213930111628,2987.2235274137593,1885.1296030961878,1340.213930111628,,,,9864.092926683637,13329.928646374472,8568.106634560947,4541.554386183828,13329.928646374472,8568.106634560947
Visibilities kernel bw0 [1],1.9009290153299452,112.69683142934099,2.413398319031504,361.81943714412523,4.767783250593256,1018.3507326121172,2.0535388502146423,3.1631285686924917,3.144023075719295,3.6659096238088096,1.7142582487181852,3.1631285686924917,3.144023075719295,3.6659096238088096,1.7142582487181852,3.1631285686924917,3.144023075719295,3.6659096238088096,6.535079033631482,15.651786984955619,18.640621919800655,116.31722740247324,9.583459354581287,16.58890658242663,3.2303873024060294,359.5283192009857,11.376166528352881,15.426585584546226,14.962754176434094,171.57656346097306,6.64985923805222,16.000250203910017,19.88778486056379,16.314402374329596,16.39321739215308,16.053555782640256,16.709187765831047,17.54470117603243,4.120613061497261,4.019376760081931,5.784512195513928,5.4018937124050455,4.019376760081931,5.784512195513928,5.414117114367465,16.972109464404692,16.668487826602927,8.584944725636715,16.352269227191808,16.18280615209685,6.909401469035329,16.352269227191808,16.18280615209685
Visibilities kernel bw1 [1],3.7687092082340237,150.43576529313427,3.5943164988568674,486.50498850424503,5.935234825504321,1502.11548489154,4.077031319444432,6.267141937080423,6.163369856169524,8.580491455485735,3.411586895271359,6.267141937080423,6.163369856169524,8.580491455485735,3.411586895271359,6.267141937080423,6.163369856169524,8.580491455485735,14.444716416209317,34.27445723803677,31.985179373253303,162.3924547165911,10.42579373033281,39.64897932137663,5.027791921864932,444.1973033986287,14.24166380820828,36.124210708036394,34.281537820653575,274.52250153755693,14.784916743230255,35.4517109538056,34.77897336512262,34.76047488794423,35.06108819218351,33.78897605842837,33.195175636109035,35.94738637885795,4.556953784073699,6.130611221611208,6.056598727347934,11.05247687132898,6.130611221611208,6.056598727347934,11.097979878804718,37.85488631552382,36.6557712776735,19.412038816989273,37.523615319659434,36.82254399334477,15.494818205250754,37.523615319659434,36.82254399334477
Visibilities kernel bw2 [1],7.372323357052124,272.76962639994053,4.753538847264438,587.6175471571477,10.552277077063192,1963.2881899811161,8.004723979748617,19.412610722274692,18.578584058810748,32.644838940142165,6.744452516543306,19.412610722274692,18.578584058810748,32.644838940142165,6.744452516543306,19.412610722274692,18.578584058810748,32.644838940142165,25.951412358905152,62.067531832393165,56.301651820030784,211.19782819308165,13.471732797582076,68.93273074815359,6.397299385759184,580.1152217585658,19.29324165407437,58.56492520089039,54.34927632426026,343.1531269219461,26.7426382837703,64.98833475028023,63.131639041792916,62.95724936614259,63.77042333522392,60.3966684248589,57.36503560041313,63.92886110745956,6.301047156715433,10.959785900118138,10.759350076249056,19.490276284321123,10.959785900118138,10.759350076249056,19.612370474038002,66.6196700899486,63.50540506475565,34.664845373620395,66.41019241816663,64.54195529834313,27.441442861624505,66.41019241816663,64.54195529834313
Visibilities kernel bw3 [1],25.78811152725135,444.43768053871514,8.617847817801607,749.6814765923818,23.711488003006103,2822.494702052165,28.251674995287356,85.03200242375699,76.67421025735855,115.85191090428997,20.767764236311727,85.03200242375699,76.67421025735855,115.85191090428997,20.767764236311727,85.03200242375699,76.67421025735855,115.85191090428997,54.11407138326153,124.52124309705805,107.25197912836036,261.76324826266097,24.329340273071058,147.59118610510086,8.7092563426019,692.0373611868714,31.261232243699027,165.37253978410968,147.14028140221686,686.3062538438923,59.44661463300233,144.71632466928992,137.5060304509783,130.66941816204093,133.56078886181905,122.0410060370324,123.76931963912355,144.6295450413719,13.87077142450582,24.19843725793901,23.415980804794238,43.03716991400327,24.19843725793901,23.415980804794238,43.518643871371076,146.43086207121837,134.99385635283215,78.60304899069362,147.86007699482866,140.60451298614956,61.19426249763649,147.86007699482866,140.60451298614956
