,max_LOW_continuum [!otf] [blcoal] [spbf],max_LOW_spectral [!otf] [blcoal] [spbf],max_MID_continuum [!otf] [blcoal] [spbf],max_MID_spectral [!otf] [blcoal] [spbf],max_Band5_MID_continuum [!otf] [blcoal] [spbf],max_Band5_MID_spectral [!otf] [blcoal] [spbf],01ICAL [!otf] [blcoal] [spbf],01DPrepA [!otf] [blcoal] [spbf],01DPrepB [!otf] [blcoal] [spbf],01DPrepC [!otf] [blcoal] [spbf],02AICAL [!otf] [blcoal] [spbf],02ADPrepA [!otf] [blcoal] [spbf],02ADPrepB [!otf] [blcoal] [spbf],02ADPrepC [!otf] [blcoal] [spbf],02BICAL [!otf] [blcoal] [spbf],02BDPrepA [!otf] [blcoal] [spbf],02BDPrepB [!otf] [blcoal] [spbf],02BDPrepC [!otf] [blcoal] [spbf],13ICAL [!otf] [blcoal] [spbf] [Bmax=40000],13DPrepA [!otf] [blcoal] [spbf] [Bmax=40000],13DPrepB [!otf] [blcoal] [spbf] [Bmax=40000],13DPrepC [!otf] [blcoal] [spbf] [Bmax=40000],14ICAL [!otf] [blcoal] [spbf] [Bmax=25000],14DPrepA [!otf] [blcoal] [spbf] [Bmax=25000],14DPrepB [!otf] [blcoal] [spbf] [Bmax=25000],14DPrepC [!otf] [blcoal] [spbf] [Bmax=25000],15ICAL [!otf] [blcoal] [spbf] [Bmax=15000],15DPrepA [!otf] [blcoal] [spbf] [Bmax=15000],15DPrepB [!otf] [blcoal] [spbf] [Bmax=15000],15DPrepC [!otf] [blcoal] [spbf] [Bmax=15000],22ICAL [!otf] [blcoal] [spbf],22DPrepA [!otf] [blcoal] [spbf],22DPrepB [!otf] [blcoal] [spbf],27ICAL [!otf] [blcoal] [spbf] [Bmax=50000],27DPrepA [!otf] [blcoal] [spbf] [Bmax=50000],27DPrepB [!otf] [blcoal] [spbf] [Bmax=50000],32ICAL [!otf] [blcoal] [spbf] [Bmax=20000],32DPrepB [!otf] [blcoal] [spbf] [Bmax=20000],37aICAL [!otf] [blcoal] [spbf],37aDPrepA [!otf] [blcoal] [spbf],37aDPrepB [!otf] [blcoal] [spbf],37bICAL [!otf] [blcoal] [spbf],37bDPrepA [!otf] [blcoal] [spbf],37bDPrepB [!otf] [blcoal] [spbf],37cICAL [!otf] [blcoal] [spbf] [Bmax=95000],37cDPrepA [!otf] [blcoal] [spbf] [Bmax=95000],37cDPrepB [!otf] [blcoal] [spbf] [Bmax=95000],38aICAL [!otf] [blcoal] [spbf],38aDPrepA [!otf] [blcoal] [spbf],38aDPrepB [!otf] [blcoal] [spbf],38bICAL [!otf] [blcoal] [spbf],38bDPrepA [!otf] [blcoal] [spbf],38bDPrepB [!otf] [blcoal] [spbf]
Frequencies predict de-grid8,,,10848.676034195598,65536.0,7450.557917820432,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,4641.6359820297885,7162.968971877786,7162.968971877786,,,,,,6705.549807639503,8692.300770509128,21730.353960832246,10058.192057312433,8692.300770509128,21730.353960832246,11734.513181907203,21730.353960832246,21730.353960832246,13067.626373872286,18149.39318963302,18149.39318963302,11760.88633545867,18149.39318963302,18149.39318963302
Frequencies predict de-grid9,,,13259.37086640695,65536.0,9106.186053467487,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,5673.090386989883,8754.719596739762,8754.719596739762,,,,,,8195.613029826505,10623.864206351685,26559.262549210896,12293.286890062791,10623.864206351685,26559.262549210896,12386.41584142446,22937.581107860868,22937.581107860868,15971.493125857936,22182.5414561377,22182.5414561377,14374.366412224357,22182.5414561377,22182.5414561377
Frequencies predict de-grid10,,,15670.065698076485,65536.0,10761.814188959252,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,6704.544791911086,10346.470221536132,10346.470221536132,,,,,,9685.676251827055,12555.427642058461,31388.171137799913,14528.381722726019,12555.427642058461,31388.171137799913,,,,18875.359877643317,26215.689722525978,26215.689722525978,16987.846488913263,26215.689722525978,26215.689722525978
Frequencies predict de-grid11,,,18080.76052947859,65536.0,12417.442324443025,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,7735.999196790231,11938.220846287122,11938.220846287122,,,,,,11175.739473704114,14486.991077609053,36217.0797262356,16763.476555282203,14486.991077609053,36217.0797262356,,,,21779.22662946886,30248.837988860792,30248.837988860792,19601.326565676056,30248.837988860792,30248.837988860792
Frequencies total,14885.274922420835,65536.0,65536.0,65536.0,31043.258846574816,65536.0,28620.50430957373,10600.623194271158,10600.623194271158,20603.25389985791,19080.56725075056,10600.623194271158,10600.623194271158,20603.25389985791,19080.56725075056,10600.623194271158,10600.623194271158,20603.25389985791,8704.068635983613,3223.7871846772946,3223.7871846772946,5874.90211016006,4473.825921121464,2485.5084313703824,100.0,5000.0,2148.954502933313,1193.9041270392163,1193.9041270392163,2500.0,32233.041312942332,11938.220846287122,11938.220846287122,8940.721027388057,8940.721027388057,8940.721027388057,10045.111089951039,10045.111089951039,65190.5312565323,36217.0797262356,36217.0797262356,65536.0,36217.0797262356,36217.0797262356,41287.433744201386,22937.581107860868,22937.581107860868,54447.72758676212,30248.837988860792,30248.837988860792,65536.0,30248.837988860792,30248.837988860792
Frequencies backward kernels0,294.1370828610171,581.5247790746704,249.94748777738448,562.5124790788361,104.87053917795039,199.8603656207948,209.3897284687937,209.11564579603774,210.93628087621244,409.1753899916414,209.09354833100656,209.11564579603774,210.93628087621244,409.1753899916414,209.09354833100656,209.11564579603774,210.93628087621244,409.1753899916414,42.534696525862806,43.06217214666886,44.85451332977799,83.83827843131485,52.173226859702375,51.58990060099671,53.28496141867039,40.49238560110101,43.95153687031498,42.42718086997732,43.74238408672357,40.0,41.355020522402995,41.322942850026784,41.76255872765196,93.39358489540152,92.94456875734453,94.91109228824571,276.1139746366645,262.96488173323473,121.34116776269265,120.20672678907115,124.11863918708109,120.53410812142224,120.20672678907115,124.11863918708109,120.45693213499784,120.99607160743348,123.20005221645448,102.4080985396411,102.44882912702595,103.52165208330406,102.37572180902976,102.44882912702595,103.52165208330406
Frequencies backward kernels1,296.4663124854236,605.0570623450412,251.6639133390245,641.4655431230295,105.27652195563536,207.75778703457354,210.76298623048035,209.9905216002872,215.09082126890308,416.9686668839825,209.9281726505881,209.9905216002872,215.09082126890308,416.9686668839825,209.9281726505881,209.9905216002872,215.09082126890308,416.9686668839825,43.29289041156937,44.24239977301644,47.40896496961857,90.076562561632,53.657876471022874,52.60930713542317,55.63336378196439,47.34034235773557,46.18476604898211,43.480417843589535,45.817541741763826,40.0,41.535955463998214,41.47719521511601,42.279498013355735,94.96461245535046,94.15038689676867,97.69502893326326,297.8038567330659,275.0033425949504,122.67822064864038,120.60614014980568,127.69045801032955,121.2056255837161,120.60614014980568,127.69045801032955,121.06441479807381,122.04945947470486,126.04204594976574,102.76240804763688,102.83704762814384,104.79498061299334,102.70306139273308,102.83704762814384,104.79498061299334
Frequencies backward kernels2,302.97343237779467,667.3926523132541,253.6839764436337,724.2098833618494,105.75576124810642,216.75800878294575,214.6084897334479,212.45048661019476,226.46621387514477,438.33143762426926,212.2757318260155,212.45048661019476,226.46621387514477,438.33143762426926,212.2757318260155,212.45048661019476,226.46621387514477,438.33143762426926,44.17539944691537,45.60316636136973,50.27340961021699,96.96527599737229,55.367878765884406,53.79356675660803,58.298136998211405,54.37312707224223,48.70305846302718,44.697851955684996,48.164880345064596,40.0,41.749431739382864,41.65930622956408,42.884502574903436,96.79506946984371,95.56077856635902,100.89879785224967,321.6688181334474,288.6418293625027,124.24520431009233,121.07788027796663,131.80314821723746,121.9969677978971,121.07788027796663,131.80314821723746,121.78067538280307,123.28689005614459,129.33280119764322,103.18082029757856,103.29535441661749,106.28534951643216,103.08972406956268,103.29535441661749,106.28534951643216
Frequencies backward kernels3,320.72369042570443,819.2124673281857,258.4523954486903,892.0250836581347,106.89319608930337,236.93036041015392,225.1633419221695,219.27788885652097,256.0452484487181,494.0202170847524,218.7971349552301,219.27788885652097,256.0452484487181,494.0202170847524,218.7971349552301,219.27788885652097,256.0452484487181,494.0202170847524,46.21939692205442,48.70714609592072,56.549767225533465,111.76323731267621,59.262260604331594,56.527746875188065,64.23349273471509,68.3691672338499,54.26312964777098,47.48599271047127,53.37001746347091,40.0,42.25563443666459,42.091640852162,44.29876666485047,101.04171641569319,98.85432934592136,108.18545682632472,372.7068757868045,318.9505798464541,127.91688699168142,122.19863738835814,141.16488834729293,123.86934462492651,122.19863738835814,141.16488834729293,123.47703190839478,126.19826027916831,136.89008151616628,104.17463298076062,104.38327023194444,109.769720125232,104.00856452399947,104.38327023194444,109.769720125232
Frequencies backward kernels4,366.504666833869,1146.673375504272,270.158023904868,1219.2934484643092,109.72125367163108,281.7334794073829,254.70432980595342,245.87976264831133,350.05415280954406,679.7295400499112,236.33470453479393,245.87976264831133,350.05415280954406,679.7295400499112,236.33470453479393,245.87976264831133,350.05415280954406,679.7295400499112,51.03744092067142,55.813927229234,70.0085406477868,142.63143071071408,68.15298335142226,62.932214449609404,77.28323680098231,95.15648570102123,,,,,43.511466970200516,43.1672275694203,47.696563857864945,111.08546459328879,106.74987767094426,124.78115550008332,425.4970392387875,351.57958598824604,136.783169038096,124.99196448479069,162.5186778105512,128.490715665684,124.99196448479069,162.5186778105512,127.67339217936129,133.29204976346463,154.41148538714026,106.65007037047371,107.08917759559307,118.14339974080298,106.2999132679324,107.08917759559307,118.14339974080298
Frequencies backward kernels5,,,283.89263301615733,1530.141321350035,113.1008218916699,328.6569854543892,,,,,,,,,,,,,56.40606297065503,63.48308623148448,83.67739177744812,173.30840107593258,,,,,,,,,45.00735339336948,44.453727414710784,51.571190392820604,122.3211874634369,115.7287584187697,142.59320827776673,,,146.95957051255186,128.34207000765682,185.4727472378908,133.95475339919844,128.34207000765682,185.4727472378908,132.65098805684949,141.5310038577562,173.57398484529037,109.61623117491774,110.32449674122664,127.69567253305762,109.05027545053922,110.32449674122664,127.69567253305762
Frequencies backward kernels6,,,315.08439867908015,2110.6078317542806,120.9944570668204,422.5313566596183,,,,,,,,,,,,,59.20436633732056,67.40491411488682,90.45188232472971,188.36369905407986,,,,,,,,,48.48321860883648,47.46298997033008,60.038006364709624,140.2180462347027,130.27313817304835,169.91875007948454,,,169.3818898094613,136.21308692361126,232.48957090169014,146.5056503834601,136.21308692361126,232.48957090169014,144.14133229284553,159.97381386552397,213.5037119635503,116.57476323695319,117.88772936945573,148.57879138119796,115.52113910040731,117.88772936945573,148.57879138119796
Frequencies backward kernels7,,,349.04961156596664,2650.649682459019,129.8822512934196,513.7453209369853,,,,,,,,,,,,,,,,,,,,,,,,,52.37159951040873,50.85752715580636,68.89384465567224,,,,,,193.02672386058043,145.14237330905712,278.98205417372003,160.35244090686803,145.14237330905712,278.98205417372003,156.8929931197421,179.74208675100803,253.53186947024668,124.45365578336967,126.412801321353,170.4311207045745,122.87520711084319,126.412801321353,170.4311207045745
Frequencies backward kernels8,,,375.4436685987709,3036.1502764918787,136.96254342208456,580.0843801297976,,,,,,,,,,,,,,,,,,,,,,,,,55.45364196440633,53.56567466899883,75.59661810726539,,,,,,211.01372466921197,152.29856290035033,313.0876098087496,171.21395541688722,152.29856290035033,313.0876098087496,166.93921560595533,194.93942411870722,283.1040811986053,130.75821488557727,133.20998139959644,186.9751218721517,128.77755841959117,133.20998139959644,186.9751218721517
Frequencies backward kernels9,,,411.2092719980263,3529.9230703529515,146.7563409981765,665.9465583678136,,,,,,,,,,,,,,,,,,,,,,,,,59.69838818892317,57.31650131940826,84.50187829915974,,,,,,234.99803473064972,162.24994025212055,357.4637010546713,186.04317160487778,162.24994025212055,357.4637010546713,170.3489295869543,200.03699690703033,292.85269863577116,139.51317992160796,142.61922823695843,208.95961405152883,136.9960691633787,142.61922823695843,208.95961405152883
Frequencies backward kernels10,,,447.20619540826385,4004.9978065597234,156.80524876893617,749.1590668710923,,,,,,,,,,,,,,,,,,,,,,,,,64.03547083920864,61.16983153359543,93.31282869708832,,,,,,258.80081782132004,172.51390766383406,400.6420525654686,201.07114867901066,172.51390766383406,400.6420525654686,,,,148.53075905900417,152.28064086587452,230.71478656385185,145.48376991073874,152.28064086587452,230.71478656385185
Frequencies backward kernels11,,,483.1643509052765,4464.774204786868,167.0004805906711,830.0464303548653,,,,,,,,,,,,,,,,,,,,,,,,,68.42042428132655,65.08335783349096,102.00182417698093,,,,,,282.3266047697588,182.97327723863228,442.72555453221264,216.16433015334934,182.97327723863228,442.72555453221264,,,,157.70928208924576,162.08874640775352,252.17135511085644,154.14268027231253,162.08874640775352,252.17135511085644
Frequencies backward grid0,559.1337152950158,65536.0,603.2228470378325,65536.0,500.0,65536.0,429.9899422466631,398.1901223156782,663.1885345814411,1500.0,358.44033998018244,398.1901223156782,663.1885345814411,1500.0,358.44033998018244,398.1901223156782,663.1885345814411,1500.0,261.21149632239513,403.0540788670101,500.0,3200.0,500.0,497.1909356825173,100.0,5000.0,500.0,398.02881001253394,398.02881001253394,2500.0,257.9547512531722,398.02881001253394,500.0,894.2545468709208,894.2545468709208,894.2545468709208,2511.6897145573553,2511.6897145573553,500.0,483.15612439994436,1207.4924417886202,559.0389802377872,483.15612439994436,1207.4924417886202,652.167937578682,1207.4924417886202,1207.4924417886202,726.1926570419781,1008.5130422414231,1008.5130422414231,653.5959856457442,1008.5130422414231,1008.5130422414231
Frequencies backward grid1,1117.2953217949262,65536.0,904.5597563976627,65536.0,621.0918337495959,65536.0,859.2872958419088,795.6877005716108,1325.6842841487744,2576.0131800688873,716.1882027630096,795.6877005716108,1325.6842841487744,2576.0131800688873,716.1882027630096,795.6877005716108,1325.6842841487744,2576.0131800688873,391.7711462657152,604.5350169007022,604.5350169007022,3200.0,500.0,745.7306245903046,100.0,5000.0,500.0,596.9976404288616,596.9976404288616,2500.0,386.88655543856316,596.9976404288616,596.9976404288616,1341.280466795748,1341.280466795748,1341.280466795748,3767.259952131288,3767.259952131288,559.0389802377872,724.6015700009231,1811.1060218133737,838.4258482659727,724.6015700009231,1811.1060218133737,978.1192792840136,1811.1060218133737,1811.1060218133737,1089.1760088165274,1512.656581147074,1512.656581147074,980.28100389151,1512.656581147074,1512.656581147074
Frequencies backward grid2,2233.6181120846836,65536.0,1205.8966379974954,65536.0,828.0453578278335,65536.0,1717.881724030251,1590.6825558293533,2650.675602311196,5151.333306208186,1431.683593715042,1590.6825558293533,2650.675602311196,5151.333306208186,1431.683593715042,1590.6825558293533,2650.675602311196,5151.333306208186,522.3307944011752,806.0159537629055,806.0159537629055,3200.0,500.0,994.2703121075014,100.0,5000.0,500.0,795.9664696855765,795.9664696855765,2500.0,515.818357835032,795.9664696855765,795.9664696855765,1788.3063841681017,1788.3063841681017,1788.3063841681017,5022.83018303477,5022.83018303477,745.2968934217347,966.0470075132783,2414.7195985996987,1117.8127093029952,966.0470075132783,2414.7195985996987,1304.070614995905,2414.7195985996987,2414.7195985996987,1452.1593566854401,2016.800117240791,2016.800117240791,1306.96601779828,2016.800117240791,2016.800117240791
Frequencies backward grid3,4466.26348098825,65536.0,1808.570373420898,65536.0,1241.9523988093595,65536.0,3435.07044070933,3180.6721154882,5300.658148066288,10301.97351186012,2862.67420802834,3180.6721154882,5300.658148066288,10301.97351186012,2862.67420802834,3180.6721154882,5300.658148066288,10301.97351186012,783.4500888644667,1208.9778263156445,1208.9778263156445,3200.0,644.3264317751682,1491.3496857510963,100.0,5000.0,644.7501595153672,1193.9041270392163,1193.9041270392163,2500.0,773.6819608386259,1193.9041270392163,1193.9041270392163,2682.3582163564483,2682.3582163564483,2682.3582163564483,7533.970638170312,7533.970638170312,1117.8127093029952,1448.937874446404,3621.9467489340564,1676.58642438262,1448.937874446404,3621.9467489340564,1955.9732804231985,3621.9467489340564,3621.9467489340564,2178.126048514747,3025.0871866158723,3025.0871866158723,1960.336041270146,3025.0871866158723,3025.0871866158723
Frequencies backward grid4,8931.554112875032,65536.0,3013.917810920462,65536.0,2069.7664721575957,65536.0,6869.447804173029,6360.65115931682,10600.623194271158,20603.253899857915,5724.655352792174,6360.65115931682,10600.623194271158,20603.253899857915,5724.655352792174,6360.65115931682,10600.623194271158,20603.253899857915,1305.6886756205524,2014.9015700148148,2014.9015700148148,3671.8483988277135,1073.8030119774014,2485.5084313703824,100.0,5000.0,,,,,1289.4091646977774,1989.779440352671,1989.779440352671,4470.461877672626,4470.461877672626,4470.461877672626,10045.11108995104,10045.11108995104,1862.8443284761663,2414.7195985996987,6036.401045713372,2794.133846147517,2414.7195985996987,6036.401045713372,3259.7786040836563,6036.401045713372,6036.401045713372,3630.0594274868595,5041.661321982965,5041.661321982965,3267.07608300433,5041.661321982965,5041.661321982965
Frequencies backward grid5,,,4219.26523571507,65536.0,2897.5805422242274,65536.0,,,,,,,,,,,,,1827.9272615478014,2820.825313173438,2820.825313173438,5140.550873089399,,,,,,,,,1805.136367739783,2785.654753143743,2785.654753143743,6258.565537827592,6258.565537827592,6258.565537827592,,,2607.875942853118,3380.5013190529257,8450.855341013887,3911.681264714464,3380.5013190529257,8450.855341013887,4563.583925007532,8450.855341013887,8450.855341013887,5081.992804669026,7058.235456070325,7058.235456070325,4573.8161227602595,7058.235456070325,7058.235456070325
Frequencies backward grid6,,,6629.960074898007,65536.0,4553.208679676484,65536.0,,,,,,,,,,,,,2089.046554398382,3223.787184677295,3223.787184677295,5874.902110160061,,,,,,,,,2836.590773151726,4377.4053782844685,4377.4053782844685,8940.721027388057,8940.721027388057,8940.721027388057,,,4097.939167681737,5312.06475692582,13279.763930416846,6146.776099231232,5312.06475692582,13279.763930416846,7171.194564597031,13279.763930416846,13279.763930416846,7985.859557579737,11091.383723198613,11091.383723198613,7187.29620064201,11091.383723198613,11091.383723198613
Frequencies backward grid7,,,9040.654909467647,65536.0,6208.8368159291185,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,3868.045178265424,5969.156003228102,5969.156003228102,,,,,,5588.002390765619,7243.628193459831,18108.672519208772,8381.87093257496,7243.628193459831,18108.672519208772,9778.805203194423,18108.672519208772,18108.672519208772,10889.726309842874,15124.531989867131,15124.531989867131,9800.776277769013,15124.531989867131,15124.531989867131
Frequencies backward grid8,,,10848.676034195598,65536.0,7450.557917820432,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,4641.6359820297885,7162.968971877786,7162.968971877786,,,,,,6705.549807639503,8692.300770509128,21730.353960832246,10058.192057312433,8692.300770509128,21730.353960832246,11734.513181907203,21730.353960832246,21730.353960832246,13067.626373872286,18149.39318963302,18149.39318963302,11760.88633545867,18149.39318963302,18149.39318963302
Frequencies backward grid9,,,13259.37086640695,65536.0,9106.186053467487,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,5673.090386989883,8754.719596739762,8754.719596739762,,,,,,8195.613029826505,10623.864206351685,26559.262549210896,12293.286890062791,10623.864206351685,26559.262549210896,12386.41584142446,22937.581107860868,22937.581107860868,15971.493125857936,22182.5414561377,22182.5414561377,14374.366412224357,22182.5414561377,22182.5414561377
Frequencies backward grid10,,,15670.065698076485,65536.0,10761.814188959252,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,6704.544791911086,10346.470221536132,10346.470221536132,,,,,,9685.676251827055,12555.427642058461,31388.171137799913,14528.381722726019,12555.427642058461,31388.171137799913,,,,18875.359877643317,26215.689722525978,26215.689722525978,16987.846488913263,26215.689722525978,26215.689722525978
Frequencies backward grid11,,,18080.76052947859,65536.0,12417.442324443025,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,7735.999196790231,11938.220846287122,11938.220846287122,,,,,,11175.739473704114,14486.991077609053,36217.0797262356,16763.476555282203,14486.991077609053,36217.0797262356,,,,21779.22662946886,30248.837988860792,30248.837988860792,19601.326565676056,30248.837988860792,30248.837988860792
Frequencies backward fft,2500,65536,2500,65536,2500,65536,40,40,500,1500,40,40,500,1500,40,40,500,1500,40,40,500,3200,500,40,40,65536,500,40,300,65536,40,200,500,40,40,500,500,700,500,40,700,40,40,700,40,40,700,40,40,1000,40,40,1000
Channels out,500,65536,500,65536,500,65536,40,40,500,1500,40,40,500,1500,40,40,500,1500,40,40,500,3200,500,40,40,65536,500,40,300,65536,40,40,500,40,40,500,500,700,500,40,700,40,40,700,40,40,700,40,40,1000,40,40,1000
-- Visibilities --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visibilities ingest [1/s],9563013120.0,9563013120.0,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,2441323970.1003394,2441323970.1003394,3902307504.987704,7111502469.689801,2339668469.8761554,2339668469.8761554,3570050.7658022386,301940665.08576727,1256607169.137975,1256607169.137975,1256607169.137975,80027283.72930248,9129632914.285711,9129632914.285711,9129632914.285711,5083465492.930651,5083465492.930651,5083465492.930651,1837603045.5608811,1837603045.5608811,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9012691084.936573,9012691084.936573,9012691084.936573,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711
Visibilities averaged [1/s],2172059316.6796484,9563013120.0,9129632914.285711,9129632914.285711,4324547694.891061,9129632914.285711,4176303988.8529987,1546842936.5080473,1546842936.5080473,3006426809.067266,2784236373.2295218,1546842936.5080473,1546842936.5080473,3006426809.067266,2784236373.2295218,1546842936.5080473,1546842936.5080473,3006426809.067266,518279302.4006185,191958754.35256025,191958754.35256025,637502759.7898726,159717856.55765587,88733912.78821754,3570050.7658022386,301940665.08576727,41204706.33754478,22892280.35432273,22892280.35432273,80027283.72930248,4490292890.902244,1663079436.8938406,1663079436.8938406,693509625.6202189,693509625.6202189,693509625.6202189,281660869.3220735,281660869.3220735,9081506650.686779,5045297899.291234,5045297899.291234,9129632914.285711,5045297899.291234,5045297899.291234,5677961517.734883,3154439281.6288333,3154439281.6288333,7584957365.175866,4213879194.9767995,4213879194.9767995,9129632914.285711,4213879194.9767995,4213879194.9767995
Visibilities pred0 [1/s],3610566.5099345464,423194095.29833394,716090.332757339,241609545.09431344,593553.7225369944,241609545.09431344,2776629.70880828,2571284.6156328795,4282493.162604078,9686144.1489792,2314603.2012381065,2571284.6156328795,4282493.162604078,9686144.1489792,2314603.2012381065,2571284.6156328795,4282493.162604078,9686144.1489792,329977.41156882973,800110.3533410244,992559.5537826391,11576477.286249842,593553.7225369944,1015950.3430569423,204338.06615205077,17282099.23155682,593553.7225369944,776969.5866982543,776969.5866982543,8147192.635389234,326460.5604529313,784888.6440528558,985969.6387657713,1741758.0563496475,1741758.0563496475,1741758.0563496475,5476886.68607576,5476886.68607576,593553.7225369944,573558.2324082683,2437794.6726493896,663639.3355268477,573558.2324082683,2437794.6726493896,774193.4141382019,2437794.6726493896,2437794.6726493896,1043666.7188045931,1988726.47989869,1988726.47989869,839706.3426737391,1988726.47989869,1988726.47989869
Visibilities pred1 [1/s],1948188.6617438558,158712256.14297408,88398.3822263178,30497742.32640041,61062.7683399685,30497742.32640041,1498309.116922096,1387412.7335039307,2311549.18583352,6238477.533916785,1248792.2477435197,1387412.7335039307,2311549.18583352,6238477.533916785,1248792.2477435197,1387412.7335039307,2311549.18583352,6238477.533916785,61112.86681122817,148189.11920900785,148189.11920900785,1429501.8087744215,54670.074543690476,203845.74417932407,27335.03727184524,2055012.0060082057,64278.61767934155,153496.73233838324,153496.73233838324,1073111.8579621383,60013.66413021813,143698.96361727323,143698.96361727323,322592.71539145755,322592.71539145755,322592.71539145755,966078.3365484156,966078.3365484156,54632.257410250764,72257.05382601058,451507.3894423598,97542.17331012468,72257.05382601058,451507.3894423598,131300.8370506066,451507.3894423598,451507.3894423598,194945.1696835073,377104.16499675135,377104.16499675135,155516.66327813786,377104.16499675135,377104.16499675135
Visibilities pred2 [1/s],3988616.360699523,325080391.118371,66100.25491938693,23326643.91271687,61170.674813298356,23326643.91271687,3067655.618094299,2840513.5293869544,7513276.5548902005,25552329.192554448,2556585.9151756396,2840513.5293869544,7513276.5548902005,25552329.192554448,2556585.9151756396,2840513.5293869544,7513276.5548902005,25552329.192554448,62839.76232342034,155150.26571286368,155150.26571286368,1122532.0251761735,40885.978675776205,203258.57389392328,20442.989337888106,1728986.5612418326,51505.60391483945,143488.56800991428,143488.56800991428,752386.513112494,61199.49929229817,148402.25252641633,148402.25252641633,334035.04365990317,334035.04365990317,334035.04365990317,1011461.3236715904,1011461.3236715904,42912.65771823925,72737.76128307858,450207.19000064774,97257.15106242638,72737.76128307858,450207.19000064774,130918.64937161913,450207.19000064774,450207.19000064774,196056.52192063633,376017.9501183044,376017.9501183044,155065.56652426175,376017.9501183044,376017.9501183044
Visibilities pred3 [1/s],18502694.34056612,814501371.0890816,218777.85586265312,65686758.90609715,248961.8768110334,65686758.90609715,14230700.600918198,13176787.30799331,43918796.07416283,128036064.91597702,10165196.303974409,13176787.30799331,43918796.07416283,128036064.91597702,10165196.303974409,13176787.30799331,43918796.07416283,128036064.91597702,245673.5849820245,595744.5937325673,595744.5937325673,2873635.1591620515,141622.58873620452,819494.5635906133,54949.85994367155,4647440.147544678,166622.98174879325,771352.5256007435,771352.5256007435,2696509.323934977,246737.82558179213,598325.2910600234,598325.2910600234,1296876.5905214627,1296876.5905214627,1296876.5905214627,4531107.721096022,4531107.721096022,174281.97481523294,290454.2017476618,1815139.3346248912,392103.4229052717,290454.2017476618,1815139.3346248912,527819.5994952194,1815139.3346248912,1815139.3346248912,804313.4864495109,1516023.046090397,1516023.046090397,625178.1438826927,1516023.046090397,1516023.046090397
Visibilities pred4 [1/s],28372268.931704037,624551447.5564055,872742.5718207551,161307147.9011916,970366.3459276555,161307147.9011916,21821714.121548645,20205453.943647504,101022866.22592254,196346924.55335107,18185128.719827663,20205453.943647504,101022866.22592254,196346924.55335107,18185128.719827663,20205453.943647504,101022866.22592254,196346924.55335107,1053333.584683511,2438211.5735048177,2438211.5735048177,8097336.194221758,551998.2218540107,3833094.764727136,154217.73333570082,13043121.240024522,,,,,976519.8450413927,2448773.5479409676,2448773.5479409676,5459394.861500343,5459394.861500343,5459394.861500343,6358200.2433016645,6358200.2433016645,679276.3165744379,1132090.3420038933,7428853.120970112,1528299.1589906237,1132090.3420038933,7428853.120970112,2139589.800675709,7428853.120970112,7428853.120970112,3249037.4920084886,6204650.944006526,6204650.944006526,2474284.127693177,6204650.944006526,6204650.944006526
Visibilities pred5 [1/s],,,910642.7784736318,113156925.2861792,1000614.3338841355,113156925.2861792,,,,,,,,,,,,,1163764.894241717,2394535.4510295233,2394535.4510295233,7952334.0770669915,,,,,,,,,1038938.8076563288,2404908.193775761,2404908.193775761,6702000.472524097,6702000.472524097,6702000.472524097,,,710977.3894164743,1167380.1733090275,7295782.519740423,1558628.3450128695,1167380.1733090275,7295782.519740423,2148997.04772652,7295782.519740423,7295782.519740423,3290535.0500268927,6093507.554281698,6093507.554281698,2632441.0465286477,6093507.554281698,6093507.554281698
Visibilities pred6 [1/s],,,3495841.4732834417,259168378.32160106,4001355.352347794,259168378.32160106,,,,,,,,,,,,,507696.39930947736,1566939.8485684295,1566939.8485684295,5203870.390054841,,,,,,,,,3739189.8124173456,11540578.747011721,11540578.747011721,16446153.148886474,16446153.148886474,16446153.148886474,,,2700948.71151898,4668237.333820918,35010730.818072766,6077003.45437521,4668237.333820918,35010730.818072766,8102621.311450598,35010730.818072766,35010730.818072766,12632338.080090325,29241291.634968936,29241291.634968936,9474283.349799573,29241291.634968936,29241291.634968936
