Frequency Max [GHz],0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Pipeline,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Frequencies backward kernels4,,378.07685560567126,729.1667131489754,378.07685560672604,282.79907643973695,287.3652905316958,276.3407046729852,784.969765097889,,,131.81247595646414,162.59877394390003,131.81247595646414,147.34038988282177,147.34038988282177,147.34038988282177,268.2568705332427,,,139.35105377210064,161.66365705485006,139.35105377210064,157.20799816250036,172.7220952206755,155.26733306148932,314.51372559129345,,,173.20093938177862,164.7120249435197,173.20093834310913,154.43247651347858,159.64637048793557,191.5093288990565,290.683688142622,,,296.208445743322,307.04166785720145,296.2084437316606,286.42715828034056,306.8071382314174,271.2818034920473,582.6884028497925,
Frequencies backward kernels5,,,,,,,,,,,135.77931817864737,162.77628662001834,135.77931817864737,149.8011002942384,160.1046453233002,148.7273875083381,291.51822254504197,,,148.21358954955093,162.09081037677407,148.21358954955093,157.20799816250036,180.49798401224982,155.26733306148932,360.89652584905605,,,173.20093938177862,169.18334728164174,173.20093834310913,154.43247651347858,166.3043447430811,191.5093288990565,325.54662110528767,,,296.208445743322,336.6190863137124,296.2084437316606,286.42715828034056,306.8071382314174,271.2818034920473,674.5105633817117,
Frequencies backward kernels6,,,,,,,,,,,145.05246720533665,163.57961602975516,145.05246720533665,149.8011002942384,168.38040976840122,148.7273875083381,342.01089628315947,,,168.0019101812513,164.01672409711088,168.0019101812513,157.20799816250036,180.49798401224982,155.26733306148932,455.3102263391026,,,173.20093938177862,188.20008361879826,173.20093834310913,154.43247651347858,166.3043447430811,191.5093288990565,398.4907993726217,,,296.208445743322,447.42449934897166,296.2084437316606,286.42715828034056,306.8071382314174,271.2818034920473,859.6494393268804,
Frequencies backward kernels7,,,,,,,,,,,155.50513165404786,165.23227105963232,155.50513165404786,149.8011002942384,168.38040976840122,148.7273875083381,394.48635917491623,,,169.0834409348305,167.94076252626587,169.08344180174248,157.20799816250036,180.49798401224982,155.26733306148932,548.2191112459947,,,173.20093938177862,222.60927011180002,173.20093834310913,154.43247651347858,166.3043447430811,191.5093288990565,471.86067718096956,,,296.208445743322,617.6031736903359,296.2084437316606,286.42715828034056,306.8071382314174,271.2818034920473,1040.5488858258134,
Frequencies backward kernels8,,,,,,,,,,,163.839496947535,167.20041088596585,163.839496947535,149.8011002942384,168.38040976840122,148.7273875083381,434.04949147462236,,,169.0834409348305,172.5494024465214,169.08344180174248,157.20799816250036,180.49798401224982,155.26733306148932,616.2049767922514,,,173.20093938177862,258.11745921681444,173.20093834310913,154.43247651347858,166.3043447430811,191.5093288990565,526.1602146447549,,,296.208445743322,775.1714649613641,296.2084437316606,286.42715828034056,306.8071382314174,271.2818034920473,1172.460253153248,
Frequencies backward kernels9,,,,,,,,,,,175.37705561508142,170.9988103804333,175.37705561508142,149.8011002942384,168.38040976840122,148.7273875083381,486.4676733764402,,,169.0834409348305,181.2621718342947,169.08344180174248,157.20799816250036,180.49798401224982,155.26733306148932,704.5231416875287,,,173.20093938177862,316.6126818088863,173.20093834310913,154.43247651347858,166.3043447430811,191.5093288990565,597.2079512288419,,,296.208445743322,1017.0273949533794,296.2084437316606,286.42715828034056,306.8071382314174,271.2818034920473,1343.4543057715123,
Frequencies backward kernels10,,,,,,,,,,,187.22422873306832,176.32933635996588,187.22422873306832,149.8011002942384,168.38040976840122,148.7273875083381,538.2106688780094,,,169.0834409348305,193.1360783901114,169.08344180174248,157.20799816250036,180.49798401224982,155.26733306148932,790.3494168102039,,,173.20093938177862,385.8324063441919,173.20093834310913,154.43247651347858,166.3043447430811,191.5093288990565,666.6362637792081,,,296.208445743322,1289.666896670604,296.2084437316606,286.42715828034056,306.8071382314174,271.2818034920473,1509.3539282346544,
Frequencies backward kernels11,,,,,,,,,,,199.2515960049101,183.34450272881412,199.2515960049101,149.8011002942384,168.38040976840122,148.7273875083381,589.1507136675925,,,169.0834409348305,208.23945722043175,169.08344180174248,157.20799816250036,180.49798401224982,155.26733306148932,873.9253024718512,,,173.20093938177862,464.0750295496151,173.20093834310913,154.43247651347858,166.3043447430811,191.5093288990565,734.5012150972115,,,296.208445743322,1589.3536163417953,296.2084437316606,286.42715828034056,306.8071382314174,271.2818034920473,1670.7281680220358,
Frequencies backward grid0,65536.0,2512.698790060951,1809.0904657256951,2512.698790060951,931.2414905129898,931.2414905129898,931.2414905129898,65536.0,65536.0,65536.0,884.9539836067656,1768.2114187945754,884.9539836067656,1365.5018777230769,1365.5018777230769,1365.5018777230769,65536.0,65536.0,65536.0,878.4803344221916,1755.2763217318097,878.4803344221916,1355.512792331873,1355.512792331873,1355.512792331873,65536.0,65536.0,65536.0,630.500997159299,1763.4641473468378,630.500997159299,544.9192586195416,544.9192586195416,1361.8358133158226,65536.0,65536.0,65536.0,904.5597563976627,3252.4350388181706,904.5597563976627,1005.0053854489457,1005.0053854489457,1005.0053854489457,65536.0,65536.0
Frequencies backward grid1,65536.0,5024.424813405256,3617.208237988821,5024.424813405256,1861.5105341316757,1861.5105341316757,1861.5105341316757,65536.0,65536.0,65536.0,1327.2764773900503,2652.1626151975665,1327.2764773900503,2048.098308014086,2048.098308014086,2048.098308014086,65536.0,65536.0,65536.0,1317.5670289686655,2632.760995049357,1317.5670289686655,2033.115705347188,2033.115705347188,2033.115705347188,65536.0,65536.0,65536.0,945.5973858340815,2645.042084215139,945.5973858340815,817.2247845994948,817.2247845994948,2042.59958758406,65536.0,65536.0,65536.0,1356.5650741686497,4878.377930924128,1356.5650741686497,1507.2335084877068,1507.2335084877068,1507.2335084877068,65536.0,65536.0
Frequencies backward grid2,65536.0,10047.876765942678,7233.443651746777,10047.876765942678,3722.048367432926,3722.048367432926,3722.048367432926,65536.0,65536.0,65536.0,1769.5989651795082,3536.1138086001583,1769.5989651795082,2730.6947344207297,2730.6947344207297,2730.6947344207297,65536.0,65536.0,65536.0,1756.6537175567425,3510.2456653832655,1756.6537175567425,2710.7186144999496,2710.7186144999496,2710.7186144999496,65536.0,65536.0,65536.0,1260.6937661381571,3526.6200180912742,1260.6937661381571,1089.530300895098,1089.530300895098,2723.3633579754173,65536.0,65536.0,65536.0,1808.570373420898,6504.3208178727855,1808.570373420898,2009.4616148571042,2009.4616148571042,2009.4616148571042,65536.0,65536.0
Frequencies backward grid3,65536.0,20094.780623893577,14465.914413852615,20094.780623893577,7443.123906952532,7443.123906952532,7443.123906952532,65536.0,65536.0,65536.0,2654.2439347632017,5304.016192404592,2654.2439347632017,4095.8875833483976,4095.8875833483976,4095.8875833483976,65536.0,65536.0,65536.0,2634.8270887733916,5265.21500306821,2634.8270887733916,4065.9244289430007,4065.9244289430007,4065.9244289430007,65536.0,65536.0,65536.0,1890.8865183728738,5289.77588285103,1890.8865183728738,1634.1413237984086,1634.1413237984086,4084.8908948860035,65536.0,65536.0,65536.0,2712.580953399158,9756.206586629321,2712.580953399158,3013.917810920462,3013.917810920462,3013.917810920462,65536.0,65536.0
Frequencies backward grid4,65536.0,40188.588316266854,28930.855905350065,40188.588316266854,14885.274922420835,14885.274922420835,14885.274922420835,65536.0,65536.0,65536.0,4423.533866735149,8839.820956417883,4423.533866735149,6826.273276550539,6826.273276550539,6826.273276550539,65536.0,65536.0,65536.0,4391.173824052722,8775.15367486393,4391.173824052722,6776.336053187005,6776.336053187005,6776.336053187005,65536.0,65536.0,65536.0,3151.2720127948655,8816.087608755946,3151.2720127948655,2723.3633579754173,2723.3633579754173,6807.945964038775,65536.0,65536.0,65536.0,4520.602091119545,16259.978117949031,4520.602091119545,5022.83018303477,5022.83018303477,5022.83018303477,65536.0,65536.0
Frequencies backward grid5,,,,,,,,,,65536.0,6192.823795965634,12375.625719055834,6192.823795965634,9556.65896797004,9556.65896797004,9556.65896797004,65536.0,65536.0,65536.0,6147.520556611662,12285.09234525353,6147.520556611662,9486.74767567361,9486.74767567361,9486.74767567361,65536.0,65536.0,65536.0,4411.657503381265,12342.399333294128,4411.657503381265,3812.5853877207524,3812.5853877207524,9531.001031438836,65536.0,65536.0,65536.0,6328.623220362096,22763.7496469424,6328.623220362096,7031.742547520076,7031.742547520076,7031.742547520076,65536.0,65536.0
Frequencies backward grid6,,,,,,,,,,65536.0,9731.403652177218,19447.235243184474,9731.403652177218,15017.430349348004,15017.430349348004,15017.430349348004,65536.0,65536.0,65536.0,9660.21401948799,19304.969684960284,9660.21401948799,14907.570919231697,14907.570919231697,14907.570919231697,65536.0,65536.0,65536.0,6932.428481437218,19395.02278134777,6932.428481437218,5991.0294435878495,5991.0294435878495,14977.111164731723,65536.0,65536.0,65536.0,9944.665471916558,35771.292703005485,9944.665471916558,11049.567270263373,11049.567270263373,11049.567270263373,65536.0,65536.0
Frequencies backward grid7,,,,,,,,,,65536.0,13269.983507404142,26518.844766947794,13269.983507404142,20478.201730094595,20478.201730094595,20478.201730094595,65536.0,65536.0,65536.0,13172.90748135622,26324.847024362658,13172.90748135622,20328.394162114328,20328.394162114328,20328.394162114328,65536.0,65536.0,65536.0,9453.19945809229,26447.64622874797,9453.19945809229,8169.473497854613,8169.473497854613,20423.221297423315,65536.0,65536.0,65536.0,13560.707720387763,48778.83575805354,13560.707720387763,15067.391990198219,15067.391990198219,15067.391990198219,65536.0,65536.0
Frequencies backward grid8,,,,,,,,,,65536.0,15923.918398595604,31822.551909456844,15923.918398595604,24573.780265375666,24573.780265375666,24573.780265375666,65536.0,65536.0,65536.0,15807.427577515955,31589.7550285665,15807.427577515955,24394.011594153737,24394.011594153737,24394.011594153737,65536.0,65536.0,65536.0,11343.777690213876,31737.113814226475,11343.777690213876,9803.306538131448,9803.306538131448,24507.803896874604,65536.0,65536.0,65536.0,16272.739405947037,58534.493049076,16272.739405947037,18080.76052947859,18080.76052947859,18080.76052947859,65536.0,65536.0
Frequencies backward grid9,,,,,,,,,,65536.0,19462.498253264697,38894.16143309911,19462.498253264697,30034.551645878844,30034.551645878844,30034.551645878844,65536.0,65536.0,65536.0,19320.121038991805,38609.63236770124,19320.121038991805,29814.8348366946,29814.8348366946,29814.8348366946,65536.0,65536.0,65536.0,13864.548666143593,38789.737261594215,13864.548666143593,11981.750591556696,11981.750591556696,29953.914029246473,65536.0,65536.0,65536.0,19888.781652859445,65536.0,19888.781652859445,22098.585247986757,22098.585247986757,22098.585247986757,65536.0,65536.0
Frequencies backward grid10,,,,,,,,,,65536.0,23001.078107950136,45965.770956308144,23001.078107950136,35495.32302631758,35495.32302631758,35495.32302631758,65536.0,65536.0,65536.0,22832.814500189143,45629.5097061388,22832.814500189143,35235.65807922186,35235.65807922186,35235.65807922186,65536.0,65536.0,65536.0,16385.319641927366,45842.360708727,16385.319641927366,14160.194644853267,14160.194644853267,35400.02416123361,65536.0,65536.0,65536.0,23504.823899465737,65536.0,23504.823899465737,26116.409966266117,26116.409966266117,26116.409966266117,65536.0,65536.0
Frequencies backward grid11,,,,,,,,,,65536.0,26539.657962409896,53037.380479699175,26539.657962409896,40956.09440622273,40956.09440622273,40956.09440622273,65536.0,65536.0,65536.0,26345.507961359923,52649.387045585485,26345.507961359923,40656.48132131802,40656.48132131802,40656.48132131802,65536.0,65536.0,65536.0,18906.090617660288,52894.984155741186,18906.090617660288,16338.63869792686,16338.63869792686,40846.13429392234,65536.0,65536.0,65536.0,27120.86614583087,65536.0,27120.86614583087,30134.234684264968,30134.234684264968,30134.234684264968,65536.0,65536.0
Frequencies backward fft,65536,40,40,40,200,40,40,65536,65536,65536,40,40,40,200,40,40,65536,65536,65536,40,40,40,200,40,40,65536,65536,65536,40,40,40,200,40,40,65536,65536,65536,40,40,40,200,40,40,65536,65536
Channels out,65536,40,40,40,40,40,40,65536,65536,65536,40,40,40,40,40,40,65536,65536,65536,40,40,40,40,40,40,65536,65536,65536,40,40,40,40,40,40,65536,65536,65536,40,40,40,40,40,40,65536,65536
-- Visibility --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingest rate [M/s],9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712
Averaged rate0 [M/s],4702.156614425932,2883.499700558089,2075.7662270560513,2883.499700558089,1068.006804412988,1068.006804412988,1068.006804412988,4702.156614425932,4702.156614425932,5557.019537169209,5557.019537169209,4497.219231048051,5557.019537169209,3472.8060421985815,3472.8060421985815,3472.8060421985815,5557.019537169209,5557.019537169209,5557.019537169209,5557.019537169209,4464.3199528854675,5557.019537169209,3447.4008333605825,3447.4008333605825,3447.4008333605825,5557.019537169209,5557.019537169209,5557.019537169209,5557.019537169209,4485.144964167931,5557.019537169209,3463.4821516290845,3463.4821516290845,3463.4821516290845,5557.019537169209,5557.019537169209,5557.019537169209,5557.019537169209,5557.019537169209,5557.019537169209,5557.019537169209,5557.019537169209,5557.019537169209,5557.019537169209,5557.019537169209
Averaged rate1 [M/s],1269.6980491437923,778.6159085541844,560.5079849713616,778.6159085541844,288.3881306452446,288.3881306452446,288.3881306452446,1269.6980491437923,1269.6980491437923,457.4661348960061,457.4661348960061,370.2210304726694,457.4661348960061,285.88907178422005,285.88907178422005,285.88907178422005,457.4661348960061,457.4661348960061,457.4661348960061,457.4661348960061,367.51268915386726,457.4661348960061,283.7976588216402,283.7976588216402,283.7976588216402,457.4661348960061,457.4661348960061,457.4661348960061,457.4661348960061,369.2270501268372,457.4661348960061,285.1215084973733,285.1215084973733,285.1215084973733,457.4661348960061,457.4661348960061,457.4661348960061,457.4661348960061,457.4661348960061,457.4661348960061,457.4661348960061,457.4661348960061,457.4661348960061,457.4661348960061,457.4661348960061
Averaged rate2 [M/s],1300.321564473484,797.3951421110365,574.0267305359151,797.3951421110365,295.34368857940945,295.34368857940945,295.34368857940945,1300.321564473484,1300.321564473484,256.5930830398855,256.5930830398855,207.65724141915058,256.5930830398855,160.3553853296707,160.3553853296707,160.3553853296707,256.5930830398855,256.5930830398855,256.5930830398855,256.5930830398855,206.13813083171064,256.5930830398855,159.18231029953773,159.18231029953773,159.18231029953773,256.5930830398855,256.5930830398855,256.5930830398855,256.5930830398855,207.09971713054696,256.5930830398855,159.92485853177993,159.92485853177993,159.92485853177993,256.5930830398855,256.5930830398855,256.5930830398855,256.5930830398855,256.5930830398855,256.5930830398855,256.5930830398855,256.5930830398855,256.5930830398855,256.5930830398855,256.5930830398855
Averaged rate3 [M/s],1629.002742178163,998.952035087097,719.1229797878505,998.952035087097,369.9974619552518,369.9974619552518,369.9974619552518,1629.002742178163,1629.002742178163,459.80731234268006,459.80731234268006,372.1157130747467,459.80731234268006,287.3521681667838,287.3521681667838,287.3521681667838,459.80731234268006,459.80731234268006,459.80731234268006,459.80731234268006,369.39351125976833,459.80731234268006,285.2500519663331,285.2500519663331,285.2500519663331,459.80731234268006,459.80731234268006,459.80731234268006,459.80731234268006,371.1166458291626,459.80731234268006,286.5806767162568,286.5806767162568,286.5806767162568,459.80731234268006,459.80731234268006,459.80731234268006,459.80731234268006,459.80731234268006,459.80731234268006,459.80731234268006,459.80731234268006,459.80731234268006,459.80731234268006,459.80731234268006
Averaged rate4 [M/s],624.5514475564054,382.99317944599767,275.7081288869044,382.99317944599767,141.85516357533254,141.85516357533254,141.85516357533254,624.5514475564054,624.5514475564054,645.2285916047664,645.2285916047664,522.1745957843387,645.2285916047664,403.2294175927573,403.2294175927573,403.2294175927573,645.2285916047664,645.2285916047664,645.2285916047664,645.2285916047664,518.3546425213219,645.2285916047664,400.27960483641823,400.27960483641823,400.27960483641823,645.2285916047664,645.2285916047664,645.2285916047664,645.2285916047664,520.7726460230303,645.2285916047664,402.1468155359903,402.1468155359903,402.1468155359903,645.2285916047664,645.2285916047664,645.2285916047664,645.2285916047664,645.2285916047664,645.2285916047664,645.2285916047664,645.2285916047664,645.2285916047664,645.2285916047664,645.2285916047664
Averaged rate5 [M/s],,,,,,,,,,339.47077585853754,339.47077585853754,274.72901460186665,339.47077585853754,212.14900427575589,212.14900427575589,212.14900427575589,339.47077585853754,339.47077585853754,339.47077585853754,339.47077585853754,272.7192423834433,339.47077585853754,210.5970345737604,210.5970345737604,210.5970345737604,339.47077585853754,339.47077585853754,339.47077585853754,339.47077585853754,273.991414037697,339.47077585853754,211.57942046478018,211.57942046478018,211.57942046478018,339.47077585853754,339.47077585853754,339.47077585853754,339.47077585853754,339.47077585853754,339.47077585853754,339.47077585853754,339.47077585853754,339.47077585853754,339.47077585853754,339.47077585853754
Averaged rate6 [M/s],,,,,,,,,,518.3367566432021,518.3367566432021,419.48278470914835,518.3367566432021,323.92958281393857,323.92958281393857,323.92958281393857,518.3367566432021,518.3367566432021,518.3367566432021,518.3367566432021,416.4140704416107,518.3367566432021,321.55988562953036,321.55988562953036,321.55988562953036,518.3367566432021,518.3367566432021,518.3367566432021,518.3367566432021,418.3565449520943,518.3367566432021,323.05988725775717,323.05988725775717,323.05988725775717,518.3367566432021,518.3367566432021,518.3367566432021,518.3367566432021,518.3367566432021,518.3367566432021,518.3367566432021,518.3367566432021,518.3367566432021,518.3367566432021,518.3367566432021
Averaged rate7 [M/s],,,,,,,,,,495.39321513532127,495.39321513532127,400.91489316091156,495.39321513532127,309.5912366834171,309.5912366834171,309.5912366834171,495.39321513532127,495.39321513532127,495.39321513532127,495.39321513532127,397.9820117708821,495.39321513532127,307.3264312417123,307.3264312417123,307.3264312417123,495.39321513532127,495.39321513532127,495.39321513532127,495.39321513532127,399.83850502692417,495.39321513532127,308.7600371355483,308.7600371355483,308.7600371355483,495.39321513532127,495.39321513532127,495.39321513532127,495.39321513532127,495.39321513532127,495.39321513532127,495.39321513532127,495.39321513532127,495.39321513532127,495.39321513532127,495.39321513532127
Averaged rate8 [M/s],,,,,,,,,,156.8589097132084,156.8589097132084,126.94375116104452,156.8589097132084,98.02747062181594,98.02747062181594,98.02747062181594,156.8589097132084,156.8589097132084,156.8589097132084,156.8589097132084,126.01509779417812,156.8589097132084,97.31035358943731,97.31035358943731,97.31035358943731,156.8589097132084,156.8589097132084,156.8589097132084,156.8589097132084,126.60292883250419,156.8589097132084,97.76428362036056,97.76428362036056,97.76428362036056,156.8589097132084,156.8589097132084,156.8589097132084,156.8589097132084,156.8589097132084,156.8589097132084,156.8589097132084,156.8589097132084,156.8589097132084,156.8589097132084,156.8589097132084
Averaged rate9 [M/s],,,,,,,,,,137.19301699216768,137.19301699216768,111.02841554827013,137.19301699216768,85.73745965279751,85.73745965279751,85.73745965279751,137.19301699216768,137.19301699216768,137.19301699216768,137.19301699216768,110.21619036212498,137.19301699216768,85.11024982845045,85.11024982845045,85.11024982845045,137.19301699216768,137.19301699216768,137.19301699216768,137.19301699216768,110.73032318235842,137.19301699216768,85.5072692298958,85.5072692298958,85.5072692298958,137.19301699216768,137.19301699216768,137.19301699216768,137.19301699216768,137.19301699216768,137.19301699216768,137.19301699216768,137.19301699216768,137.19301699216768,137.19301699216768,137.19301699216768
Averaged rate10 [M/s],,,,,,,,,,9.832946631642791,9.832946631642791,7.957668025802842,9.832946631642791,6.145005653944578,6.145005653944578,6.145005653944578,9.832946631642791,9.832946631642791,9.832946631642791,9.832946631642791,7.899453933837087,9.832946631642791,6.100052048689299,6.100052048689299,6.100052048689299,9.832946631642791,9.832946631642791,9.832946631642791,9.832946631642791,7.9363030438994455,9.832946631642791,6.128507364212841,6.128507364212841,6.128507364212841,9.832946631642791,9.832946631642791,9.832946631642791,9.832946631642791,9.832946631642791,9.832946631642791,9.832946631642791,9.832946631642791,9.832946631642791,9.832946631642791,9.832946631642791
Averaged rate11 [M/s],,,,,,,,,,4.214119973370234,4.214119973370234,3.410429144511976,4.214119973370234,2.633573844429018,2.633573844429018,2.633573844429018,4.214119973370234,4.214119973370234,4.214119973370234,4.214119973370234,3.3854802480240154,4.214119973370234,2.614308013658448,2.614308013658448,2.614308013658448,4.214119973370234,4.214119973370234,4.214119973370234,4.214119973370234,3.4012727237214815,4.214119973370234,2.626503148849198,2.626503148849198,2.626503148849198,4.214119973370234,4.214119973370234,4.214119973370234,4.214119973370234,4.214119973370234,4.214119973370234,4.214119973370234,4.214119973370234,4.214119973370234,4.214119973370234,4.214119973370234
Predict rate0 [M/s],(undefined),16.389469820536025,11.682074019708667,16.389469820536025,6.0134262097460445,6.0134262097460445,6.0134262097460445,423.19409529833393,(undefined),(undefined),1.119973840604985,4.543413289428314,1.119973840604985,2.692686786225209,2.692686786225209,2.692686786225209,241.60954509431343,(undefined),(undefined),1.1117809651851505,4.510176601060428,1.1117809651851505,2.6729889163956777,2.6729889163956777,2.6729889163956777,241.60954509431343,(undefined),(undefined),0.7484724278543777,4.531215191420962,0.7484724278543777,0.6468777088714562,0.6468777088714562,2.685457529826584,94.18677181642725,(undefined),(undefined),1.0738096213339792,8.618280913394102,1.0738096213339792,1.1930493754058975,1.1930493754058975,1.1930493754058975,77.79827352036894,(undefined)
Predict rate1 [M/s],,19.468696239167222,8.759998785250207,19.468696239167222,3.245850622990184,3.245850622990184,3.245850622990184,158.71225614297404,,,0.21056575430090216,0.8415045864383451,0.21056575430090216,0.5105893908115133,0.5105893908115133,0.5105893908115133,30.497742326400406,,,0.20902539902035439,0.8353486470379865,0.20902539902035439,0.5068542390668297,0.5068542390668297,0.5068542390668297,30.497742326400406,,,0.10646174800387588,0.8392453134038586,0.10646174800387588,0.07986354507030226,0.07986354507030226,0.5092185638821497,11.729900894769386,,,0.13257074183666756,1.6215680052416381,0.13257074183666756,0.1524791524060275,0.1524791524060275,0.1524791524060275,8.969924213647179,
Predict rate2 [M/s],,99.68163174383051,35.88029009159149,99.68163174383051,10.550057015961476,10.550057015961476,10.550057015961476,325.080391118371,,,0.20995485905484335,0.8653090897833121,0.20995485905484335,0.5091184930316717,0.5091184930316717,0.5091184930316717,23.326643912716865,,,0.20841896437274396,0.8589789939003816,0.20841896437274396,0.5053940884167981,0.5053940884167981,0.5053940884167981,23.326643912716865,,,0.10730421654163996,0.8629859000703973,0.10730421654163996,0.07899699429322626,0.07899699429322626,0.5077516103550267,8.848037346202949,,,0.12208784642993407,1.5916478459725263,0.12208784642993407,0.15130085607865887,0.15130085607865887,0.15130085607865887,6.752449553681198,
Predict rate3 [M/s],,499.48810943284997,179.78679083465977,499.48810943284997,61.670274123115625,61.670274123115625,61.670274123115625,814.5013710890815,,,0.8464749214486749,3.3830475270380354,0.8464749214486749,2.052654878188195,2.052654878188195,2.052654878188195,65.68675890609715,,,0.8402826220263266,3.3582990604291743,0.8402826220263266,2.0376388373900576,2.0376388373900576,2.0376388373900576,65.68675890609715,,,0.42795658626336813,3.373964665622864,0.42795658626336813,0.3184806527387219,0.3184806527387219,2.047143885575015,24.20038486014106,,,0.5008354418681944,6.845054823696872,0.5008354418681944,0.6219399163912926,0.6219399163912926,0.6219399163912926,18.392292493707206,
Predict rate4 [M/s],,382.9931794459977,275.7081288869044,382.9931794459977,141.85516357533254,141.85516357533254,141.85516357533254,624.5514475564055,,,3.3501147070658828,14.505272485727463,3.3501147070658828,8.400929817462842,8.400929817462842,8.400929817462842,161.3071479011916,,,3.3256071847595847,14.399159868234873,3.3256071847595847,8.339473281552225,8.339473281552225,8.339473281552225,161.3071479011916,,,1.7236419699598085,14.46632840795347,1.7236419699598085,1.2767914573266206,1.2767914573266206,8.378374836155114,58.6571446913424,,,1.9350942332781091,26.681016999736972,1.9350942332781091,2.4725903662639124,2.4725903662639124,2.4725903662639124,43.01523944031776,
Predict rate5 [M/s],,,,,,,,,,,3.5642542500333443,16.026166017848034,3.5642542500333443,8.250443609802856,8.250443609802856,8.250443609802856,113.15692528617919,,,3.538180157062563,15.908927268741593,3.538180157062563,8.190087874946844,8.190087874946844,8.190087874946844,113.15692528617919,,,1.757846298798754,15.983138571278587,1.757846298798754,1.3165906978317128,1.3165906978317128,8.228292630134744,42.43384698231719,,,2.048857340557744,29.478560463321863,2.048857340557744,2.60170102609267,2.60170102609267,2.60170102609267,33.947077585853755,
Predict rate6 [M/s],,,,,,,,,,,12.827922075030902,51.270634163562086,12.827922075030902,39.59190948687863,39.59190948687863,39.59190948687863,259.16837832160104,,,12.734080005240365,50.895565661609155,12.734080005240365,39.302276406367376,39.302276406367376,39.302276406367376,259.16837832160104,,,6.853737821062328,51.132981381758725,6.853737821062328,5.264910839069372,5.264910839069372,39.485612106382916,103.66735132864041,,,7.8654260965192675,141.4609973191109,7.8654260965192675,9.710348953550882,9.710348953550882,9.710348953550882,86.38945944053368,
Predict rate7 [M/s],,,,,,,,,,,25.07728498277903,100.22930733316619,25.07728498277903,77.398393213358,77.398393213358,77.398393213358,495.3932151353213,,,24.8938331217544,99.49608310962306,24.8938331217544,76.83218797689753,76.83218797689753,76.83218797689753,495.3932151353213,,,11.909614239654076,99.96020887772379,11.909614239654076,8.82198168523515,8.82198168523515,77.19059190331043,165.13107171177379,,,14.643821927998715,184.36206265823304,14.643821927998715,18.98265523714316,18.98265523714316,18.98265523714316,99.07864302706426,
Predict rate8 [M/s],,,,,,,,,,,12.704510896635977,76.16654658217435,12.704510896635977,29.408389129324217,29.408389129324217,29.408389129324217,156.8589097132084,,,12.61157152903064,75.60935259839299,12.61157152903064,29.19325303795105,29.19325303795105,29.19325303795105,156.8589097132084,,,5.4302142349730405,75.96205246495926,5.4302142349730405,3.9106648131196757,3.9106648131196757,29.329432668524706,52.286303237736135,,,6.4914046256103894,140.10096374959468,6.4914046256103894,8.655176951414868,8.655176951414868,8.655176951414868,39.2147274283021,
