Pipeline,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Visibilities AW pred1 [1],3.789532384540646,150.4357652969856,6.2495528387622015,486.50499441765965,37.740531531390225,1502.115491941859,4.077031319447302,3.789160085152946,6.2671419456867445,3.654366956804129,3.411586895271359,3.789160085152946,6.2671419456867445,3.654366956804129,3.411586895271359,3.789160085152946,6.2671419456867445,3.654366956804129,14.444716416287285,34.27445723804949,34.85564459101806,114.21297952172334,130.68440230573896,39.64897931799321,5.0277919219517,444.19729984743475,97.05994988393022,36.124211034950385,36.6705993323842,274.52250153755693,14.78491673919661,35.451711003501835,35.46488348779042,34.76047488830244,35.061088279445784,35.35664569805175,37.84911668946898,38.75997834162622,11.052476880090598,6.13061122283476,37.796702648335526,8.234980896076443,6.13061122283476,37.796702648335526,11.097979871442112,37.85488639505891,37.998194956100626,19.41203881699025,37.5236152539311,37.62377199871066,15.494818198112512,37.5236152539311,37.62377199871066
Visibilities AW pred2 [1],7.484530379454056,272.7696264162619,11.013744634569738,587.6175558153941,66.90407551146629,1963.288203042046,8.004723979763927,7.487309598770417,19.41261079430883,3.566703459973469,6.744452516543306,7.487309598770417,19.41261079430883,3.566703459973469,6.744452516543306,7.487309598770417,19.41261079430883,3.566703459973469,25.951412359112705,62.0675318324237,63.61317615623741,137.41102219358444,218.94927407329203,68.93273073947417,6.397299385914454,580.1152163242352,180.78259098767484,58.56492597438804,59.87130202259342,343.1531269219461,26.74263827264056,64.98833488944285,65.02523289655711,62.957249367106336,63.770423572758865,64.57999996190328,68.82354833896528,71.28895647839245,19.49027630775632,10.959785903462373,66.46515743134192,14.543852387721524,10.959785903462373,66.46515743134192,19.61237045422062,66.61967030140714,67.00177649716836,34.664845373620395,66.41019224048338,66.68150059310037,27.44144284229041,66.41019224048338,66.68150059310037
Visibilities AW pred3 [1],26.818773824607938,444.4376805889489,25.037716420364536,749.6814900485927,149.53294126336266,2822.494731025157,28.25167499542608,26.861502975068845,85.03200299732681,7.6674898906990325,20.767764236311727,26.861502975068845,85.03200299732681,7.6674898906990325,20.767764236311727,26.861502975068845,85.03200299732681,7.6674898906990325,54.114071383990364,124.52124309715988,129.64848536213665,153.8352265287036,437.4903642208425,147.59118607409962,8.709256342923092,692.0373536037894,472.40853283138745,165.3725433497082,171.525154903185,686.3062538438923,59.44661458856015,144.71632522783676,144.86451884502043,130.66941816542558,133.56078971789924,136.5190038297781,162.4202061030212,172.31734111912786,43.03717000575771,24.198437271276863,145.8357105221317,32.22647593423224,24.198437271276863,145.8357105221317,43.51864379265397,146.43086288783914,147.91608729387045,78.60304899070162,147.8600762820062,148.9537987150535,61.19426241970658,147.8600762820062,148.9537987150535
Visibilities AW pred4 [1],97.57259148060747,635.0350442710396,69.3821271692709,959.8064483653875,429.0225944004759,4153.875204137512,99.88993628062082,95.81092401827544,336.47566016065014,26.519156574960544,89.7135580417565,95.81092401827544,336.47566016065014,26.519156574960544,89.7135580417565,95.81092401827544,336.47566016065014,26.519156574960544,149.73224372365172,316.9327345274183,339.32259990047464,219.27095021490064,1176.3104373694916,441.8906716137175,14.47729099309182,994.4465101258066,,,,,162.82295707012372,411.55962197760124,412.4253245357477,356.55420456889425,371.0354553221831,386.6999220688998,305.684554525404,332.0410595069659,118.91171071350942,65.71087950632081,401.18632166752406,86.29287140583514,65.71087950632081,401.18632166752406,121.58175632816398,404.3484814270455,412.39855738150175,221.02014854186,420.34904219717544,426.7956766205293,168.87095057588408,420.34904219717544,426.7956766205293
Visibilities AW pred5 [1],,,135.20826564568853,1019.7626393124507,785.3945117117124,4747.749238384897,,,,,,,,,,,,,284.50438621931596,520.1310031597046,568.8644703279491,322.0976252965112,,,,,,,,,318.31418560029636,746.0017081508062,748.4620315681269,755.5309637954116,798.5693955380827,847.5246851450588,,,215.98026676207948,125.42750145788402,702.6925269545649,160.44786688120308,125.42750145788402,702.6925269545649,223.3957114439157,710.8366222532267,731.9828479090854,413.94358354770634,761.6315057330896,780.1383840331407,332.87515802711613,761.6315057330896,780.1383840331407
Visibilities AW pred6 [1],,,311.7379483719438,1108.9560994502745,2360.298173387775,5539.402914555617,,,,,,,,,,,,,309.7777531142854,839.7705589023858,926.2514355608508,501.0531597005775,,,,,,,,,696.5077499622222,2195.899113042684,2208.4993942238543,1412.3392977158176,1520.1557260649054,1650.497431953772,,,480.3495299606054,309.5094923610183,1941.7402039022288,374.60623754609577,309.5094923610183,1941.7402039022288,507.66462038881883,1976.4788239149216,2069.8187064093854,978.6312567318186,2240.102224807839,2336.9042962202693,740.6700582374351,2240.102224807839,2336.9042962202693
Visibilities AW pred7 [1],,,599.0204360741768,1766.0360356635813,4596.309040547583,9111.796577738629,,,,,,,,,,,,,,,,,,,,,,,,,1318.8872444617675,4191.7913609783745,4225.351034770984,,,,,,827.538630166707,509.2556360533075,3518.6469512694716,622.2803947198289,509.2556360533075,3518.6469512694716,890.3980631045363,3598.14618795077,3817.4058369406744,2083.3393226297267,4272.999657746905,4536.091472322102,1424.3219832973107,4272.999657746905,4536.091472322102
Visibilities AW pred8 [1],,,822.6235293537211,1541.8020950371686,5309.058689487899,8069.761947555665,,,,,,,,,,,,,,,,,,,,,,,,,1992.928454946117,4775.8256010964205,4821.314590419983,,,,,,1153.829241063429,815.3440149559852,3883.009823492605,839.2333539216286,815.3440149559852,3883.009823492605,1255.2166217370657,3981.1550359209596,4255.960868536969,2379.4601156225212,4865.946283492453,5227.5456267208365,2174.455705759317,4865.946283492453,5227.5456267208365
Visibilities AW pred9 [1],,,1180.6618474396248,1326.1316929138618,12328.787425554014,7029.307079258727,,,,,,,,,,,,,,,,,,,,,,,,,2262.600091911018,10910.245734784428,11033.464604042476,,,,,,1716.4348231809086,1169.2568519313227,8568.694270934986,1179.9572402387166,1169.2568519313227,8568.694270934986,1298.4290403503235,4095.239070507933,4281.634432135744,4088.577581006636,11109.772969984271,12105.58920539709,2498.2235757364,11109.772969984271,12105.58920539709
Visibilities AW pred10 [1],,,1313.2269386783971,1168.825323568389,13848.276580014648,6248.529937298805,,,,,,,,,,,,,,,,,,,,,,,,,3739.3029378768792,12081.66785364926,12236.21798401639,,,,,,1864.9503702472327,1299.628878490859,8366.006746697,1720.3555320459443,1299.628878490859,8366.006746697,,,,4538.588422291876,12296.699404778663,13563.730628450221,4170.285002803642,12296.699404778663,13563.730628450221
Visibilities AW pred11 [1],,,1840.157416865788,1048.4612754042548,15203.537040158431,5639.615672031206,,,,,,,,,,,,,,,,,,,,,,,,,4038.058568401538,13102.121476748354,13286.290381999324,,,,,,2987.2235861076683,1885.12961800638,8060.337171447655,1846.4212356137627,1885.12961800638,8060.337171447655,,,,9864.092926691255,13329.927788344436,14858.471849502886,4541.554301487026,13329.927788344436,14858.471849502886
Visibilities AW bw0 [1],1.904674501631286,112.69683143043659,4.038530030969396,361.8194402439818,16.814724339483682,1018.35073541656,2.0535388502151215,1.9041622695445404,3.163128570252449,3.6868571649832873,1.7142582487181852,1.9041622695445404,3.163128570252449,3.6868571649832873,1.7142582487181852,1.9041622695445404,3.163128570252449,3.6868571649832873,6.535079033651474,15.651786984958852,19.60323358910227,90.85171267657324,52.65667837852442,16.588906581626187,3.230387302438948,359.5283170725837,51.99586334709143,15.426585664190451,15.558422510452436,171.57656346097306,6.6498592370572105,16.000250216195848,20.103451879142057,15.710165249445623,15.786061214350898,15.859855715229903,18.078508973497854,18.32228590426573,5.401893714765091,4.019376760521144,16.95766831574866,4.63801482719492,4.019376760521144,16.95766831574866,5.414117112394893,16.972109484125436,17.007554355374822,8.584944725636715,16.352269211499877,16.376139282628717,6.909401467293379,16.352269211499877,16.376139282628717
Visibilities AW bw1 [1],3.789532384540646,150.4357652969856,6.2495528387622015,486.50499441765965,37.740531531390225,1502.115491941859,4.077031319447302,3.789160085152946,6.2671419456867445,3.654366956804129,3.411586895271359,3.789160085152946,6.2671419456867445,3.654366956804129,3.411586895271359,3.789160085152946,6.2671419456867445,3.654366956804129,14.444716416287285,34.27445723804949,34.85564459101806,114.21297952172334,130.68440230573896,39.64897931799321,5.0277919219517,444.19729984743475,97.05994988393022,36.124211034950385,36.6705993323842,274.52250153755693,14.78491673919661,35.451711003501835,35.46488348779042,34.76047488830244,35.061088279445784,35.35664569805175,37.84911668946898,38.75997834162622,11.052476880090598,6.13061122283476,37.796702648335526,8.234980896076443,6.13061122283476,37.796702648335526,11.097979871442112,37.85488639505891,37.998194956100626,19.41203881699025,37.5236152539311,37.62377199871066,15.494818198112512,37.5236152539311,37.62377199871066
Visibilities AW bw2 [1],7.484530379454056,272.7696264162619,11.013744634569738,587.6175558153941,66.90407551146629,1963.288203042046,8.004723979763927,7.487309598770417,19.41261079430883,3.566703459973469,6.744452516543306,7.487309598770417,19.41261079430883,3.566703459973469,6.744452516543306,7.487309598770417,19.41261079430883,3.566703459973469,25.951412359112705,62.0675318324237,63.61317615623741,137.41102219358444,218.94927407329203,68.93273073947417,6.397299385914454,580.1152163242352,180.78259098767484,58.56492597438804,59.87130202259342,343.1531269219461,26.74263827264056,64.98833488944285,65.02523289655711,62.957249367106336,63.770423572758865,64.57999996190328,68.82354833896528,71.28895647839245,19.49027630775632,10.959785903462373,66.46515743134192,14.543852387721524,10.959785903462373,66.46515743134192,19.61237045422062,66.61967030140714,67.00177649716836,34.664845373620395,66.41019224048338,66.68150059310037,27.44144284229041,66.41019224048338,66.68150059310037
Visibilities AW bw3 [1],26.818773824607938,444.4376805889489,25.037716420364536,749.6814900485927,149.53294126336266,2822.494731025157,28.25167499542608,26.861502975068845,85.03200299732681,7.6674898906990325,20.767764236311727,26.861502975068845,85.03200299732681,7.6674898906990325,20.767764236311727,26.861502975068845,85.03200299732681,7.6674898906990325,54.114071383990364,124.52124309715988,129.64848536213665,153.8352265287036,437.4903642208425,147.59118607409962,8.709256342923092,692.0373536037894,472.40853283138745,165.3725433497082,171.525154903185,686.3062538438923,59.44661458856015,144.71632522783676,144.86451884502043,130.66941816542558,133.56078971789924,136.5190038297781,162.4202061030212,172.31734111912786,43.03717000575771,24.198437271276863,145.8357105221317,32.22647593423224,24.198437271276863,145.8357105221317,43.51864379265397,146.43086288783914,147.91608729387045,78.60304899070162,147.8600762820062,148.9537987150535,61.19426241970658,147.8600762820062,148.9537987150535
Visibilities AW bw4 [1],97.57259148060747,635.0350442710396,69.3821271692709,959.8064483653875,429.0225944004759,4153.875204137512,99.88993628062082,95.81092401827544,336.47566016065014,26.519156574960544,89.7135580417565,95.81092401827544,336.47566016065014,26.519156574960544,89.7135580417565,95.81092401827544,336.47566016065014,26.519156574960544,149.73224372365172,316.9327345274183,339.32259990047464,219.27095021490064,1176.3104373694916,441.8906716137175,14.47729099309182,994.4465101258066,,,,,162.82295707012372,411.55962197760124,412.4253245357477,356.55420456889425,371.0354553221831,386.6999220688998,305.684554525404,332.0410595069659,118.91171071350942,65.71087950632081,401.18632166752406,86.29287140583514,65.71087950632081,401.18632166752406,121.58175632816398,404.3484814270455,412.39855738150175,221.02014854186,420.34904219717544,426.7956766205293,168.87095057588408,420.34904219717544,426.7956766205293
Visibilities AW bw5 [1],,,135.20826564568853,1019.7626393124507,785.3945117117124,4747.749238384897,,,,,,,,,,,,,284.50438621931596,520.1310031597046,568.8644703279491,322.0976252965112,,,,,,,,,318.31418560029636,746.0017081508062,748.4620315681269,755.5309637954116,798.5693955380827,847.5246851450588,,,215.98026676207948,125.42750145788402,702.6925269545649,160.44786688120308,125.42750145788402,702.6925269545649,223.3957114439157,710.8366222532267,731.9828479090854,413.94358354770634,761.6315057330896,780.1383840331407,332.87515802711613,761.6315057330896,780.1383840331407
Visibilities AW bw6 [1],,,311.7379483719438,1108.9560994502745,2360.298173387775,5539.402914555617,,,,,,,,,,,,,309.7777531142854,839.7705589023858,926.2514355608508,501.0531597005775,,,,,,,,,696.5077499622222,2195.899113042684,2208.4993942238543,1412.3392977158176,1520.1557260649054,1650.497431953772,,,480.3495299606054,309.5094923610183,1941.7402039022288,374.60623754609577,309.5094923610183,1941.7402039022288,507.66462038881883,1976.4788239149216,2069.8187064093854,978.6312567318186,2240.102224807839,2336.9042962202693,740.6700582374351,2240.102224807839,2336.9042962202693
Visibilities AW bw7 [1],,,599.0204360741768,1766.0360356635813,4596.309040547583,9111.796577738629,,,,,,,,,,,,,,,,,,,,,,,,,1318.8872444617675,4191.7913609783745,4225.351034770984,,,,,,827.538630166707,509.2556360533075,3518.6469512694716,622.2803947198289,509.2556360533075,3518.6469512694716,890.3980631045363,3598.14618795077,3817.4058369406744,2083.3393226297267,4272.999657746905,4536.091472322102,1424.3219832973107,4272.999657746905,4536.091472322102
Visibilities AW bw8 [1],,,822.6235293537211,1541.8020950371686,5309.058689487899,8069.761947555665,,,,,,,,,,,,,,,,,,,,,,,,,1992.928454946117,4775.8256010964205,4821.314590419983,,,,,,1153.829241063429,815.3440149559852,3883.009823492605,839.2333539216286,815.3440149559852,3883.009823492605,1255.2166217370657,3981.1550359209596,4255.960868536969,2379.4601156225212,4865.946283492453,5227.5456267208365,2174.455705759317,4865.946283492453,5227.5456267208365
Visibilities AW bw9 [1],,,1180.6618474396248,1326.1316929138618,12328.787425554014,7029.307079258727,,,,,,,,,,,,,,,,,,,,,,,,,2262.600091911018,10910.245734784428,11033.464604042476,,,,,,1716.4348231809086,1169.2568519313227,8568.694270934986,1179.9572402387166,1169.2568519313227,8568.694270934986,1298.4290403503235,4095.239070507933,4281.634432135744,4088.577581006636,11109.772969984271,12105.58920539709,2498.2235757364,11109.772969984271,12105.58920539709
Visibilities AW bw10 [1],,,1313.2269386783971,1168.825323568389,13848.276580014648,6248.529937298805,,,,,,,,,,,,,,,,,,,,,,,,,3739.3029378768792,12081.66785364926,12236.21798401639,,,,,,1864.9503702472327,1299.628878490859,8366.006746697,1720.3555320459443,1299.628878490859,8366.006746697,,,,4538.588422291876,12296.699404778663,13563.730628450221,4170.285002803642,12296.699404778663,13563.730628450221
Visibilities AW bw11 [1],,,1840.157416865788,1048.4612754042548,15203.537040158431,5639.615672031206,,,,,,,,,,,,,,,,,,,,,,,,,4038.058568401538,13102.121476748354,13286.290381999324,,,,,,2987.2235861076683,1885.12961800638,8060.337171447655,1846.4212356137627,1885.12961800638,8060.337171447655,,,,9864.092926691255,13329.927788344436,14858.471849502886,4541.554301487026,13329.927788344436,14858.471849502886
Oversampling used pred0 [1],1.8912059888035557,53.15078038174531,3.9436750640481506,63.78544273780377,14.889208237803643,63.99999306179746,2.0366413702794404,1.8907049667090448,3.1099970846638243,3.610144192115122,1.704678135078467,1.8907049667090448,3.1099970846638243,3.610144192115122,1.704678135078467,1.8907049667090448,3.1099970846638243,3.610144192115122,6.259067394006934,13.981489109158723,16.999212209542904,48.6959441582921,36.07207971490402,14.714246639320692,3.1744585148314073,63.77755984816039,35.77992323928246,13.803780980702761,13.907890944480442,59.707651089820196,6.363345606597427,14.255225078993469,17.36801183837639,14.027453082782522,14.087146426292293,14.145118564407149,15.856974872157828,16.041445765611897,5.219384461737839,3.925557389904391,14.999638806667505,4.507992830789242,3.925557389904391,14.999638806667505,5.230698548891631,15.010781430767011,15.03811950761343,8.09329556086741,14.530233233767312,14.548826136619525,6.598446775680372,14.530233233767312,14.548826136619525
Oversampling used pred1 [1],3.707713631774986,58.011943208759305,5.9988467271379875,63.96988618479191,28.677091458372416,63.99999999659141,3.980078100463338,3.70736013081401,6.01491079462842,3.5792367653394805,3.3477826127487162,3.70736013081401,6.01491079462842,3.5792367653394805,3.3477826127487162,3.70736013081401,6.01491079462842,3.5792367653394805,13.02157352518735,26.695398043637695,27.035279787888648,53.406757355632,55.827143621665705,29.722923619675164,4.872057003582455,63.94136916691544,50.121396393788714,27.766427260291685,28.07686938516303,63.151593391234094,13.293965012027137,27.380646553392246,27.388242266735382,26.979836767676346,27.154682202230674,27.325781840990388,28.737443351557665,29.239659073596513,10.224136532404088,5.890100919399693,28.708324385801923,7.7843232021381255,5.890100919399693,28.708324385801923,10.262658369736755,28.740647281193986,28.820133481931705,16.85747940007152,28.556219418217204,28.61208097419962,13.85769037359686,28.556219418217204,28.61208097419962
Oversampling used pred2 [1],7.116004511202654,63.12784695792816,10.19132490442093,63.99387347728162,41.68511778940481,63.99999999999761,7.58010566772996,7.118494163276644,16.857904043982778,3.495764910114758,6.449142360110216,7.118494163276644,16.857904043982778,3.495764910114758,6.449142360110216,7.118494163276644,16.857904043982778,3.495764910114758,21.47079664597932,39.91904122389695,40.49812800417863,56.648640555935245,61.96439767614552,42.38676555421737,6.1336449190277165,63.993105135542145,60.2869475287544,38.55341057266953,39.07158177264875,63.712120950519974,21.997444168102504,41.00162441362196,41.014984496379824,40.25410088821131,40.55625576532455,40.85325441988802,42.34957085258242,43.17406367031392,16.915528493414534,10.145580938569616,41.530337676845285,13.101100409994771,10.145580938569616,41.530337676845285,17.005974695190105,41.584947173476834,41.71942573621122,26.924042112492486,41.51087925944079,41.60676265923947,22.457149123697768,41.51087925944079,41.60676265923947
Oversampling used pred3 [1],22.04777546639375,63.941590700315174,20.854411000093876,63.999522701575266,57.92619692059583,64.0,22.98386111538673,22.075996205893574,47.22702858570857,7.279669134969517,17.85332462836159,22.075996205893574,47.22702858570857,7.279669134969517,17.85332462836159,22.075996205893574,47.22702858570857,7.279669134969517,36.705768753626714,54.99411640116929,55.69271819983951,58.324089325839225,63.934837513920236,57.737594354480926,8.202637260114074,63.998816842061906,63.96240089854946,59.267104186215256,59.70417459567663,63.9987050883261,38.9042985055264,57.44755190647844,57.462826218474504,55.8252147994871,56.189100813524824,56.544641182984016,59.041854901027335,59.757434811412956,31.503955728313777,20.280358859625935,57.56204942769486,25.472624655723358,20.280358859625935,57.56204942769486,31.749422626245995,57.62210833029352,57.76955512145957,45.43989825914797,57.76405693729598,57.87054714252803,39.58557870534051,57.76405693729598,57.87054714252803
Oversampling used pred4 [1],50.23299093668744,63.99709660774092,42.539187932084914,63.999982555593164,63.92554183691438,64.0,50.72635209396711,49.845700203512656,63.680198799263316,21.849357010529552,48.419160121982436,49.845700203512656,63.680198799263316,21.849357010529552,48.419160121982436,49.845700203512656,63.680198799263316,21.849357010529552,57.945230796736006,63.564946712269695,63.69422029274764,61.974683698500165,63.99999942337494,63.93920021061654,13.047718550576725,63.99998989030349,,,,,59.07320323825563,63.90197225785071,63.90329963965713,63.766893490764524,63.81442862775381,63.85499764987481,63.48063397865955,63.657066267378276,54.162328810194715,41.261837138563685,63.88457592459742,47.55679798133104,41.261837138563685,63.88457592459742,54.567415003037866,63.890183132521074,63.90325886812015,62.02971365107473,63.9146439275271,63.922884238077856,59.520806212246924,63.9146439275271,63.922884238077856
